#   	Company                               	Symbol 	Weight 	Price                                                                                                                                                                                                                                                                     	Change
1   	Microsoft Corp                        	MSFT   	11.237 	136.92                                                                                                                                                                                                                                                                    	-0.54 (-0.39%)
2   	Amazon.com Inc                        	AMZN   	10.186 	1                                                                                                                                                                                                                                                              ,943.29    	4.29 (0.22%)
3   	Apple Inc                             	AAPL   	10.033 	204.90                                                                                                                                                                                                                                                                    	0.49 (0.24%)
4   	Facebook Inc                          	FB     	5.102  	196.16                                                                                                                                                                                                                                                                    	-1.04 (-0.53%)
5   	Alphabet Inc                          	GOOG   	4.199  	1                                                                                                                                                                                                                                                                 ,128.52 	6.94 (0.62%)
6   	Alphabet Inc                          	GOOGL  	3.687  	1                                                                                                                                                                                                                                                                ,129.89  	6.90 (0.61%)
7   	Cisco Systems Inc                     	CSCO   	2.862  	56.49                                                                                                                                                                                                                                                                     	0.01 (0.01%)
8   	Intel Corp                            	INTC   	2.572  	48.02                                                                                                                                                                                                                                                                     	-0.50 (-1.03%)
9   	Comcast Corp                          	CMCSA  	2.323  	43.22                                                                                                                                                                                                                                                                     	-0.11 (-0.24%)
10  	PepsiCo Inc                           	PEP    	2.224  	132.73                                                                                                                                                                                                                                                                    	-1.26 (-0.94%)
11  	Netflix Inc                           	NFLX   	1.976  	380.89                                                                                                                                                                                                                                                                    	-0.83 (-0.22%)
12  	Adobe Inc                             	ADBE   	1.766  	303.95                                                                                                                                                                                                                                                                    	-1.75 (-0.57%)
13  	PayPal Holdings Inc                   	PYPL   	1.637  	116.82                                                                                                                                                                                                                                                                    	-0.86 (-0.73%)
14  	Costco Wholesale Corp                 	COST   	1.402  	268.36                                                                                                                                                                                                                                                                    	-0.78 (-0.29%)
15  	Amgen Inc                             	AMGN   	1.362  	185.55                                                                                                                                                                                                                                                                    	-3.03 (-1.61%)
16  	Broadcom Inc                          	AVGO   	1.335  	283.07                                                                                                                                                                                                                                                                    	-1.82 (-0.64%)
17  	Texas Instruments Inc                 	TXN    	1.288  	115.66                                                                                                                                                                                                                                                                    	-0.28 (-0.24%)
18  	Starbucks Corp                        	SBUX   	1.259  	87.65                                                                                                                                                                                                                                                                     	-0.14 (-0.16%)
19  	NVIDIA Corp                           	NVDA   	1.173  	160.09                                                                                                                                                                                                                                                                    	-2.66 (-1.64%)
20  	QUALCOMM Inc                          	QCOM   	1.103  	76.51                                                                                                                                                                                                                                                                     	-0.12 (-0.15%)
21  	Charter Communications Inc            	CHTR   	1.058  	401.98                                                                                                                                                                                                                                                                    	1.98 (0.50%)
22  	Gilead Sciences Inc                   	GILD   	1.039  	68.60                                                                                                                                                                                                                                                                     	-0.40 (-0.57%)
23  	Booking Holdings Inc                  	BKNG   	0.984  	1                                                                                                                                                                                                                                                        ,925.25          	5.60 (0.29%)
24  	Mondelez International Inc            	MDLZ   	0.952  	55.31                                                                                                                                                                                                                                                                     	-0.50 (-0.90%)
25  	Automatic Data Processing Inc         	ADP    	0.845  	164.81                                                                                                                                                                                                                                                                    	0.72 (0.44%)
26  	Intuit Inc                            	INTU   	0.829  	269.64                                                                                                                                                                                                                                                                    	-0.53 (-0.20%)
27  	Celgene Corp                          	CELG   	0.788  	93.88                                                                                                                                                                                                                                                                     	-0.49 (-0.51%)
28  	T-Mobile US Inc                       	TMUS   	0.767  	76.28                                                                                                                                                                                                                                                                     	0.46 (0.61%)
29  	CSX Corp                              	CSX    	0.754  	78.30                                                                                                                                                                                                                                                                     	-0.38 (-0.48%)
30  	Intuitive Surgical Inc                	ISRG   	0.734  	536.82                                                                                                                                                                                                                                                                    	-0.36 (-0.07%)
31  	Illumina Inc                          	ILMN   	0.658  	377.41                                                                                                                                                                                                                                                                    	-0.41 (-0.11%)
32  	Walgreens Boots Alliance Inc          	WBA    	0.597  	55.14                                                                                                                                                                                                                                                                     	-0.05 (-0.09%)
33  	Marriott International Inc/MD         	MAR    	0.559  	141.84                                                                                                                                                                                                                                                                    	0.09 (0.06%)
34  	Vertex Pharmaceuticals Inc            	VRTX   	0.556  	178.00                                                                                                                                                                                                                                                                    	-5.26 (-2.87%)
