#   	Company                                             	Symbol 	Weight   	Price    	Change
1   	Microsoft Corporation                               	MSFT   	4.225750 	137.55   	1.09 (0.80%)
2   	Apple Inc.                                          	AAPL   	3.554739 	203.19   	1.95 (0.97%)
3   	Amazon.com Inc.                                     	AMZN   	3.322912 	2,018.71 	30.41 (1.53%)
4   	Facebook Inc. Class A                               	FB     	1.934165 	200.66   	1.45 (0.73%)
5   	Berkshire Hathaway Inc. Class B                     	BRK-B  	1.680943 	215.23   	0.48 (0.22%)
6   	Johnson & Johnson                                   	JNJ    	1.517274 	141.76   	0.35 (0.25%)
7   	JPMorgan Chase & Co.                                	JPM    	1.485957 	113.08   	-0.28 (-0.24%)
8   	Alphabet Inc. Class C                               	GOOG   	1.393128 	1,136.63 	11.80 (1.05%)
9   	Alphabet Inc. Class A                               	GOOGL  	1.360533 	1,136.85 	12.56 (1.12%)
10  	Exxon Mobil Corporation                             	XOM    	1.306854 	77.16    	0.73 (0.96%)
11  	Visa Inc. Class A                                   	V      	1.249010 	179.24   	1.51 (0.85%)
12  	Procter & Gamble Company                            	PG     	1.144530 	113.88   	0.97 (0.86%)
13  	Bank of America Corp                                	BAC    	1.048816 	29.15    	-0.21 (-0.70%)
14  	Walt Disney Company                                 	DIS    	0.999017 	142.89   	1.28 (0.90%)
15  	Mastercard Incorporated Class A                     	MA     	0.993904 	275.99   	2.65 (0.97%)
16  	AT&T Inc.                                           	T      	0.989184 	33.72    	0.18 (0.52%)
17  	Cisco Systems Inc.                                  	CSCO   	0.974640 	57.25    	0.91 (1.61%)
18  	Pfizer Inc.                                         	PFE    	0.973046 	44.02    	0.65 (1.50%)
19  	Chevron Corporation                                 	CVX    	0.949560 	124.84   	1.49 (1.21%)
20  	UnitedHealth Group Incorporated                     	UNH    	0.944752 	247.42   	1.42 (0.58%)
21  	Verizon Communications Inc.                         	VZ     	0.942790 	56.92    	0.51 (0.90%)
22  	Home Depot Inc.                                     	HD     	0.942640 	210.37   	-1.63 (-0.77%)
23  	Merck & Co. Inc.                                    	MRK    	0.882943 	84.96    	0.10 (0.11%)
24  	Intel Corporation                                   	INTC   	0.864357 	48.26    	0.51 (1.07%)
25  	Coca-Cola Company                                   	KO     	0.800482 	51.84    	0.25 (0.48%)
26  	Comcast Corporation Class A                         	CMCSA  	0.786707 	43.55    	0.57 (1.33%)
27  	Wells Fargo & Company                               	WFC    	0.781841 	47.39    	-0.44 (-0.92%)
28  	Boeing Company                                      	BA     	0.746802 	352.36   	-0.73 (-0.21%)
29  	PepsiCo Inc.                                        	PEP    	0.746308 	133.68   	1.94 (1.47%)
30  	Netflix Inc.                                        	NFLX   	0.671261 	379.07   	-0.86 (-0.23%)
31  	Citigroup Inc.                                      	C      	0.668732 	71.28    	-0.28 (-0.39%)
32  	McDonald's Corporation                              	MCD    	0.654059 	212.72   	0.63 (0.30%)
33  	Walmart Inc.                                        	WMT    	0.638097 	112.52   	-0.36 (-0.32%)
34  	Abbott Laboratories                                 	ABT    	0.607921 	85.41    	0.14 (0.16%)
35  	Adobe Inc.                                          	ADBE   	0.599860 	306.06   	1.86 (0.61%)
36  	Oracle Corporation                                  	ORCL   	0.584446 	60.27    	0.67 (1.12%)
37  	PayPal Holdings Inc                                 	PYPL   	0.562033 	119.71   	1.34 (1.13%)
38  	Medtronic Plc                                       	MDT    	0.533346 	98.62    	0.18 (0.18%)
39  	Honeywell International Inc.                        	HON    	0.516203 	175.17   	-0.35 (-0.20%)
40  	Philip Morris International Inc.                    	PM     	0.499461 	80.14    	0.70 (0.88%)
41  	International Business Machines Corporation         	IBM    	0.498377 	140.98   	1.65 (1.18%)
42  	Accenture Plc Class A                               	ACN    	0.492563 	191.60   	0.51 (0.27%)
43  	Union Pacific Corporation                           	UNP    	0.485148 	169.60   	-0.01 (-0.00%)
44  	salesforce.com inc.                                 	CRM    	0.483119 	155.90   	1.95 (1.27%)
45  	Thermo Fisher Scientific Inc.                       	TMO    	0.480423 	297.49   	0.59 (0.20%)
46  	Costco Wholesale Corporation                        	COST   	0.479809 	269.75   	-0.22 (-0.08%)
47  	Amgen Inc.                                          	AMGN   	0.447593 	183.13   	1.54 (0.85%)
48  	NIKE Inc. Class B                                   	NKE    	0.447122 	87.89    	-0.15 (-0.17%)
49  	Linde plc                                           	LIN    	0.440820 	201.97   	1.00 (0.50%)
50  	Broadcom Inc.                                       	AVGO   	0.440782 	277.13   	1.60 (0.58%)
51  	Texas Instruments Incorporated                      	TXN    	0.438977 	117.12   	1.34 (1.16%)
52  	United Technologies Corporation                     	UTX    	0.427415 	130.81   	0.42 (0.32%)
53  	Starbucks Corporation                               	SBUX   	0.426967 	88.38    	1.15 (1.32%)
54  	AbbVie Inc.                                         	ABBV   	0.425601 	71.38    	0.14 (0.19%)
55  	NextEra Energy Inc.                                 	NEE    	0.402873 	209.97   	1.81 (0.87%)
56  	Eli Lilly and Company                               	LLY    	0.394848 	114.36   	1.28 (1.13%)
57  	NVIDIA Corporation                                  	NVDA   	0.387156 	160.68   	3.37 (2.14%)
58  	3M Company                                          	MMM    	0.385994 	166.58   	0.88 (0.53%)
59  	American Tower Corporation                          	AMT    	0.377453 	211.48   	0.17 (0.08%)
60  	QUALCOMM Incorporated                               	QCOM   	0.376079 	75.34    	-1.21 (-1.58%)
61  	Lockheed Martin Corporation                         	LMT    	0.367269 	369.88   	0.15 (0.04%)
62  	Altria Group Inc                                    	MO     	0.365564 	49.45    	1.10 (2.28%)
63  	Danaher Corporation                                 	DHR    	0.362271 	143.30   	1.01 (0.71%)
64  	General Electric Company                            	GE     	0.361235 	10.28    	0.03 (0.24%)
65  	American Express Company                            	AXP    	0.349930 	127.67   	1.77 (1.41%)
66  	Gilead Sciences Inc.                                	GILD   	0.349019 	67.67    	-0.08 (-0.12%)
67  	Lowe's Companies Inc.                               	LOW    	0.331771 	102.95   	-1.91 (-1.82%)
68  	Booking Holdings Inc.                               	BKNG   	0.328547 	1,866.70 	-11.17 (-0.59%)
69  	Mondelez International Inc. Class A                 	MDLZ   	0.323162 	55.36    	-0.02 (-0.04%)
70  	U.S. Bancorp                                        	USB    	0.322599 	53.25    	-0.09 (-0.17%)
71  	Caterpillar Inc.                                    	CAT    	0.310645 	133.48   	-0.82 (-0.61%)
72  	Bristol-Myers Squibb Company                        	BMY    	0.304336 	46.03    	-0.02 (-0.03%)
73  	Anthem Inc.                                         	ANTM   	0.295334 	287.03   	2.87 (1.01%)
74  	CME Group Inc. Class A                              	CME    	0.292209 	202.71   	0.72 (0.36%)
75  	CVS Health Corporation                              	CVS    	0.287849 	55.22    	0.39 (0.71%)
76  	Automatic Data Processing Inc.                      	ADP    	0.287636 	164.51   	0.97 (0.59%)
77  	United Parcel Service Inc. Class B                  	UPS    	0.286769 	101.99   	0.26 (0.25%)
78  	Goldman Sachs Group Inc.                            	GS     	0.285629 	206.58   	-1.19 (-0.57%)
79  	Intuit Inc.                                         	INTU   	0.283599 	274.60   	3.92 (1.45%)
80  	Charter Communications Inc. Class A                 	CHTR   	0.279782 	405.00   	3.78 (0.94%)
81  	Chubb Limited                                       	CB     	0.276172 	149.17   	-0.08 (-0.05%)
82  	Becton Dickinson and Company                        	BDX    	0.274393 	254.20   	2.48 (0.99%)
83  	ConocoPhillips                                      	COP    	0.273118 	60.79    	0.90 (1.50%)
84  	TJX Companies Inc                                   	TJX    	0.268508 	55.29    	0.50 (0.91%)
85  	Celgene Corporation                                 	CELG   	0.267364 	93.87    	0.06 (0.06%)
86  	Duke Energy Corporation                             	DUK    	0.263031 	89.86    	0.46 (0.51%)
87  	Stryker Corporation                                 	SYK    	0.261525 	209.94   	0.97 (0.46%)
88  	PNC Financial Services Group Inc.                   	PNC    	0.256712 	140.95   	0.16 (0.11%)
89  	Dominion Energy Inc                                 	D      	0.253627 	78.31    	0.09 (0.12%)
90  	Colgate-Palmolive Company                           	CL     	0.253248 	73.61    	0.50 (0.68%)
91  	Intuitive Surgical Inc.                             	ISRG   	0.246445 	531.67   	3.40 (0.64%)
92  	Cigna Corporation                                   	CI     	0.244076 	160.18   	0.45 (0.28%)
93  	Boston Scientific Corporation                       	BSX    	0.241992 	42.79    	-0.27 (-0.63%)
94  	CSX Corporation                                     	CSX    	0.238851 	76.68    	-0.02 (-0.03%)
95  	Southern Company                                    	SO     	0.237901 	56.87    	0.31 (0.55%)
96  	S&P Global Inc.                                     	SPGI   	0.231178 	235.15   	3.67 (1.59%)
97  	BlackRock Inc.                                      	BLK    	0.227785 	476.13   	2.31 (0.49%)
98  	Crown Castle International Corp                     	CCI    	0.227351 	136.18   	0.86 (0.64%)
99  	Morgan Stanley                                      	MS     	0.226195 	43.59    	-0.20 (-0.45%)
100 	Schlumberger NV                                     	SLB    	0.224006 	40.62    	0.42 (1.03%)
101 	Northrop Grumman Corporation                        	NOC    	0.223569 	325.47   	-0.34 (-0.10%)
102 	Illumina Inc.                                       	ILMN   	0.222946 	376.89   	-0.35 (-0.09%)
103 	Zoetis Inc. Class A                                 	ZTS    	0.218014 	115.22   	1.96 (1.73%)
104 	Norfolk Southern Corporation                        	NSC    	0.212552 	197.60   	-0.11 (-0.06%)
105 	DuPont de Nemours Inc.                              	DD     	0.211488 	70.12    	0.12 (0.17%)
106 	Marsh & McLennan Companies Inc.                     	MMC    	0.210842 	101.70   	0.13 (0.13%)
107 	Prologis Inc.                                       	PLD    	0.210611 	83.17    	0.55 (0.67%)
108 	EOG Resources Inc.                                  	EOG    	0.209069 	90.29    	1.14 (1.28%)
109 	Deere & Company                                     	DE     	0.208619 	161.72   	-1.63 (-1.00%)
110 	Allergan plc                                        	AGN    	0.207271 	167.09   	0.64 (0.38%)
111 	Simon Property Group Inc.                           	SPG    	0.204363 	164.31   	-0.22 (-0.13%)
112 	Intercontinental Exchange Inc.                      	ICE    	0.204295 	90.15    	0.55 (0.61%)
113 	General Motors Company                              	GM     	0.202994 	38.09    	0.01 (0.04%)
114 	Air Products and Chemicals Inc.                     	APD    	0.201092 	226.50   	0.45 (0.20%)
115 	Ecolab Inc.                                         	ECL    	0.200760 	198.98   	3.12 (1.59%)
116 	General Dynamics Corporation                        	GD     	0.198434 	182.70   	1.87 (1.03%)
117 	Raytheon Company                                    	RTN    	0.198032 	175.70   	0.76 (0.43%)
118 	Progressive Corporation                             	PGR    	0.195984 	83.12    	-0.36 (-0.43%)
119 	American International Group Inc.                   	AIG    	0.195669 	55.62    	0.10 (0.18%)
120 	MetLife Inc.                                        	MET    	0.193839 	50.42    	0.04 (0.08%)
121 	Charles Schwab Corporation                          	SCHW   	0.192532 	40.13    	-0.14 (-0.36%)
122 	Exelon Corporation                                  	EXC    	0.192190 	49.67    	0.69 (1.41%)
123 	Aon plc                                             	AON    	0.191030 	197.32   	0.77 (0.39%)
124 	Kimberly-Clark Corporation                          	KMB    	0.190151 	137.75   	0.88 (0.64%)
125 	Micron Technology Inc.                              	MU     	0.186562 	42.72    	1.37 (3.31%)
126 	Biogen Inc.                                         	BIIB   	0.185070 	232.94   	-1.28 (-0.55%)
127 	Waste Management Inc.                               	WM     	0.184748 	117.84   	0.83 (0.71%)
128 	Vertex Pharmaceuticals Incorporated                 	VRTX   	0.184725 	178.61   	0.15 (0.08%)
129 	Target Corporation                                  	TGT    	0.181786 	86.04    	-1.76 (-2.00%)
130 	American Electric Power Company Inc.                	AEP    	0.179211 	90.96    	0.60 (0.66%)
131 	Illinois Tool Works Inc.                            	ITW    	0.177638 	146.95   	0.54 (0.37%)
132 	Equinix Inc.                                        	EQIX   	0.177139 	525.24   	3.74 (0.72%)
133 	Capital One Financial Corporation                   	COF    	0.175145 	91.11    	-1.18 (-1.28%)
134 	Walgreens Boots Alliance Inc                        	WBA    	0.174306 	55.65    	0.15 (0.27%)
135 	Aflac Incorporated                                  	AFL    	0.170298 	56.69    	0.16 (0.28%)
136 	L3Harris Technologies Inc                           	LHX    	0.170117 	192.53   	1.27 (0.66%)
137 	Analog Devices Inc.                                 	ADI    	0.169288 	114.10   	0.81 (0.71%)
138 	Applied Materials Inc.                              	AMAT   	0.167729 	45.11    	1.14 (2.59%)
139 	Prudential Financial Inc.                           	PRU    	0.166686 	101.14   	-0.45 (-0.44%)
140 	Kinder Morgan Inc Class P                           	KMI    	0.166277 	21.32    	0.08 (0.38%)
141 	Phillips                                            	PSX    	0.166006 	97.91    	0.19 (0.19%)
142 	Fidelity National Information Services Inc.         	FIS    	0.165819 	126.99   	-0.01 (-0.01%)
143 	Travelers Companies Inc.                            	TRV    	0.163019 	153.64   	0.19 (0.12%)
144 	Estee Lauder Companies Inc. Class A                 	EL     	0.162969 	184.29   	0.39 (0.21%)
145 	Ford Motor Company                                  	F      	0.160579 	10.19    	0.05 (0.44%)
146 	Edwards Lifesciences Corporation                    	EW     	0.160081 	191.48   	1.49 (0.78%)
147 	Emerson Electric Co.                                	EMR    	0.160076 	64.17    	-0.08 (-0.12%)
