<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160201,000000,367.8900000,379.0000000,366.2600000,371.3300000,7915
20160202,000000,371.3300000,374.4100000,371.1700000,372.9300000,6817
20160203,000000,372.9300000,373.0100000,365.6300000,368.8700000,7098
20160204,000000,368.8700000,390.6300000,368.7400000,387.9900000,8851
20160205,000000,387.9900000,389.3600000,382.9900000,384.5000000,7414
20160206,000000,384.4400000,384.5400000,370.0500000,375.4400000,6245
20160207,000000,375.4400000,379.8100000,373.2400000,377.4900000,4128
20160208,000000,377.4700000,379.3500000,370.5000000,371.1400000,7065
20160209,000000,371.0200000,374.9300000,370.1300000,372.6800000,8393
20160210,000000,372.7600000,383.3400000,371.8700000,378.4400000,9715
20160211,000000,378.4900000,379.5000000,360.0000000,378.2300000,10388
20160212,000000,378.2300000,382.0500000,377.4600000,382.0500000,6137
20160213,000000,382.0500000,396.0000000,381.9900000,391.0000000,5927
20160214,000000,391.0000000,406.9200000,391.0000000,406.5900000,7524
20160215,000000,406.6200000,409.0900000,394.0300000,398.9500000,6524
20160216,000000,398.9400000,407.5000000,390.0000000,407.4200000,5603
20160217,000000,407.4100000,420.1300000,405.6900000,415.2000000,8699
20160218,000000,415.1800000,423.2000000,415.0100000,421.1900000,6480
20160219,000000,421.1800000,422.0000000,416.0000000,420.7200000,5759
20160220,000000,420.7200000,444.0300000,420.0900000,437.4600000,9325
20160221,000000,438.0400000,448.7000000,426.0100000,438.5600000,7064
20160222,000000,438.5600000,439.0000000,430.9500000,437.5500000,5110
20160223,000000,437.4500000,440.9000000,414.1600000,419.9700000,9146
20160224,000000,420.3200000,425.6000000,410.0000000,423.9400000,7197
20160225,000000,423.8700000,426.4400000,418.6000000,423.5400000,6003
20160226,000000,423.5100000,430.8500000,419.5300000,430.8500000,6748
20160227,000000,430.8400000,434.9700000,430.1400000,433.1200000,5456
20160228,000000,433.0900000,436.0700000,423.0000000,433.7300000,5105
20160229,000000,433.7300000,442.0000000,431.1300000,436.4400000,7553
20160301,000000,436.4100000,437.7800000,427.5000000,433.0800000,7556
20160302,000000,433.0300000,435.3600000,418.3600000,420.3900000,7396
20160303,000000,420.4400000,422.8000000,408.6300000,418.8000000,11800
20160304,000000,418.7600000,422.2100000,405.5000000,407.3500000,8928
20160305,000000,407.3800000,408.8300000,381.0900000,396.0800000,14888
20160306,000000,396.1300000,409.2700000,385.0100000,403.2400000,7635
20160307,000000,403.2400000,418.7400000,395.0000000,412.2100000,9871
20160308,000000,412.2100000,416.3300000,407.4000000,411.1800000,7462
20160309,000000,411.1800000,414.0000000,408.7500000,412.8000000,5350
20160310,000000,412.6400000,416.5200000,410.7100000,415.9800000,7870
20160311,000000,415.9800000,421.0000000,414.9700000,419.3900000,7020
20160312,000000,419.4800000,421.3000000,406.5200000,410.5800000,6856
20160313,000000,410.5600000,416.3800000,410.0100000,412.5200000,4612
20160314,000000,412.5100000,415.8400000,411.6100000,415.0200000,6619
20160315,000000,415.0200000,416.9400000,412.4800000,415.4100000,7325
20160316,000000,415.4100000,416.3900000,413.0000000,416.0700000,6257
20160317,000000,416.0600000,419.7500000,415.7000000,418.4100000,6078
20160318,000000,418.4200000,418.6600000,399.2100000,409.6500000,8557
20160319,000000,409.6600000,411.0000000,404.7200000,410.2000000,4779
20160320,000000,410.0900000,415.3400000,409.3600000,411.2700000,4667
20160321,000000,411.2500000,412.1300000,406.8900000,412.0000000,5982
20160322,000000,411.9800000,417.7900000,411.0000000,416.6600000,6092
20160323,000000,416.6600000,418.9900000,413.9500000,417.5300000,5446
20160324,000000,417.5300000,417.7200000,410.0000000,412.9500000,5022
20160325,000000,412.8600000,416.8700000,411.0000000,416.4100000,4572
20160326,000000,416.4200000,417.7700000,414.3700000,416.9700000,3578
