Date,Open,High,Low,Close,Adj Close,Volume
1995-04-04,2.937500,2.968750,2.812500,2.953125,2.294531,40387200
1995-04-05,2.906250,2.968750,2.843750,2.843750,2.209547,12236800
1995-04-06,2.843750,2.937500,2.843750,2.890625,2.245967,3776000
1995-04-07,2.906250,2.906250,2.843750,2.843750,2.209547,1920800
1995-04-10,2.843750,2.906250,2.843750,2.875000,2.233829,2047200
1995-04-11,2.843750,2.906250,2.843750,2.859375,2.221689,4096800
1995-04-12,2.843750,2.875000,2.843750,2.859375,2.221689,2457600
1995-04-13,2.843750,2.875000,2.843750,2.875000,2.233829,2297600
1995-04-17,2.843750,2.953125,2.843750,2.953125,2.294531,2233600
1995-04-18,2.890625,2.953125,2.875000,2.937500,2.282390,2441600
1995-04-19,2.875000,2.906250,2.812500,2.843750,2.209547,1422400
1995-04-20,2.812500,2.812500,2.718750,2.734375,2.124565,1023200
1995-04-21,2.718750,2.812500,2.718750,2.796875,2.173127,2803200
1995-04-24,2.750000,2.812500,2.750000,2.750000,2.136707,644800
1995-04-25,2.750000,2.812500,2.750000,2.812500,2.185268,484800
1995-04-26,2.750000,2.812500,2.750000,2.750000,2.136707,151200
1995-04-27,2.750000,2.812500,2.750000,2.781250,2.160986,3552000
1995-04-28,2.781250,2.812500,2.765625,2.765625,2.148846,1076000
1995-05-01,2.812500,2.812500,2.765625,2.765625,2.148846,2287200
1995-05-02,2.765625,2.890625,2.765625,2.843750,2.209547,1212000
1995-05-03,2.812500,2.890625,2.781250,2.859375,2.221689,791200
1995-05-04,2.843750,2.890625,2.812500,2.812500,2.185268,1011200
1995-05-05,2.812500,2.875000,2.812500,2.812500,2.185268,164000
1995-05-08,2.812500,2.890625,2.812500,2.812500,2.185268,59200
1995-05-09,2.812500,2.843750,2.734375,2.750000,2.136707,592800
1995-05-10,2.812500,2.812500,2.734375,2.750000,2.136707,817600
1995-05-11,2.750000,2.812500,2.734375,2.750000,2.136707,615200
1995-05-12,2.812500,2.812500,2.734375,2.750000,2.136707,1013600
1995-05-15,2.796875,2.796875,2.703125,2.703125,2.100286,3689600
1995-05-16,2.703125,2.734375,2.703125,2.718750,2.112425,2481600
1995-05-17,2.734375,2.734375,2.703125,2.710938,2.106354,328000
1995-05-18,2.703125,2.718750,2.593750,2.640625,2.051723,514400
1995-05-19,2.625000,2.640625,2.593750,2.609375,2.027443,1853600
1995-05-22,2.640625,2.656250,2.593750,2.656250,2.063863,432800
1995-05-23,2.593750,2.765625,2.593750,2.750000,2.136707,809600
1995-05-24,2.718750,2.812500,2.718750,2.812500,2.185268,1676800
1995-05-25,2.812500,2.812500,2.718750,2.812500,2.185268,209600
1995-05-26,2.812500,2.812500,2.718750,2.812500,2.185268,64000
1995-05-30,2.781250,2.843750,2.718750,2.781250,2.160986,558400
1995-05-31,2.828125,2.843750,2.781250,2.843750,2.209547,487200
1995-06-01,2.859375,3.000000,2.812500,2.875000,2.233829,1427200
1995-06-02,2.875000,3.062500,2.875000,3.000000,2.330952,1112800
1995-06-05,3.000000,3.062500,3.000000,3.015625,2.343091,799200
1995-06-06,3.062500,3.062500,3.000000,3.000000,2.330952,264800
1995-06-07,3.000000,3.062500,2.968750,3.031250,2.355232,469600
1995-06-08,3.031250,3.031250,2.937500,2.937500,2.282390,68000
1995-06-09,3.000000,3.000000,2.937500,2.968750,2.306671,249600
1995-06-12,2.937500,3.000000,2.937500,3.000000,2.330952,95200
1995-06-13,3.000000,3.000000,2.937500,2.937500,2.282390,504800
1995-06-14,2.937500,2.937500,2.875000,2.937500,2.282390,649600
1995-06-15,2.875000,2.937500,2.875000,2.890625,2.245967,700800
1995-06-16,2.937500,2.937500,2.875000,2.906250,2.258109,432000
1995-06-19,2.875000,3.000000,2.875000,3.000000,2.330952,398400
1995-06-20,3.031250,3.031250,2.937500,2.937500,2.282390,120800
1995-06-21,2.968750,3.062500,2.937500,3.000000,2.330952,1254400
1995-06-22,3.000000,3.062500,2.984375,2.984375,2.318811,284800
1995-06-23,2.968750,3.031250,2.937500,3.031250,2.355232,276800
1995-06-26,3.031250,3.031250,2.937500,2.984375,2.318811,39200
1995-06-27,3.031250,3.031250,2.937500,2.968750,2.306671,632000
1995-06-28,2.937500,3.031250,2.937500,2.937500,2.282390,495200
1995-06-29,2.937500,3.031250,2.875000,2.875000,2.233829,940800
1995-06-30,2.906250,2.906250,2.843750,2.851563,2.215617,737600
1995-07-03,2.843750,2.875000,2.812500,2.812500,2.185268,96800
1995-07-05,2.906250,2.906250,2.812500,2.812500,2.185268,228800
1995-07-06,2.906250,2.906250,2.781250,2.812500,2.185268,1457600
1995-07-07,2.812500,2.875000,2.812500,2.875000,2.233829,199200
1995-07-10,2.843750,2.906250,2.781250,2.812500,2.185268,1148000
1995-07-11,2.843750,2.843750,2.781250,2.812500,2.185268,418400
1995-07-12,2.781250,2.875000,2.781250,2.875000,2.233829,1061600
1995-07-13,2.812500,2.875000,2.781250,2.859375,2.221689,2342400
1995-07-14,2.843750,2.843750,2.781250,2.796875,2.173127,420800
1995-07-17,2.781250,2.843750,2.781250,2.843750,2.209547,941600
1995-07-18,2.781250,2.843750,2.750000,2.781250,2.160986,119200
1995-07-19,2.718750,2.781250,2.718750,2.718750,2.112425,28800
1995-07-20,2.750000,2.750000,2.656250,2.687500,2.088144,62400
1995-07-21,2.656250,2.750000,2.656250,2.671875,2.076004,53600
1995-07-24,2.781250,2.843750,2.656250,2.843750,2.209547,757600
1995-07-25,2.859375,2.875000,2.781250,2.828125,2.197407,179200
1995-07-26,2.875000,2.875000,2.781250,2.781250,2.160986,5600
1995-07-27,2.781250,2.875000,2.781250,2.875000,2.233829,916000
1995-07-28,2.875000,2.875000,2.781250,2.781250,2.160986,63200
1995-07-31,2.796875,2.843750,2.781250,2.781250,2.160986,31200
1995-08-01,2.781250,2.781250,2.734375,2.781250,2.160986,84800
1995-08-02,2.710938,2.734375,2.593750,2.625000,2.039583,7999200
1995-08-03,2.609375,2.656250,2.593750,2.656250,2.063863,2161600
1995-08-04,2.656250,2.656250,2.593750,2.656250,2.063863,1005600
1995-08-07,2.687500,2.687500,2.609375,2.609375,2.027443,1212800
1995-08-08,2.640625,2.687500,2.531250,2.531250,1.966740,157600
1995-08-09,2.593750,2.593750,2.468750,2.562500,1.991021,3574400
1995-08-10,2.562500,2.562500,2.468750,2.500000,1.942460,168000
1995-08-11,2.562500,2.562500,2.500000,2.515625,1.954601,289600
