Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.112772,2.131360,2.106576,2.131360,1.203824,1162000
1985-01-29,2.131360,2.174731,2.118968,2.174731,1.228320,1180200
1985-01-30,2.205709,2.261472,2.193318,2.211905,1.249317,7474800
1985-01-31,2.211905,2.230493,2.187122,2.187122,1.235318,3104900
1985-02-01,2.180926,2.193318,2.156143,2.187122,1.235318,1319400
1985-02-04,2.174731,2.218101,2.162339,2.218101,1.252817,2150500
1985-02-05,2.218101,2.255276,2.218101,2.249080,1.270313,3334800
1985-02-06,2.230493,2.261472,2.230493,2.236689,1.263314,2112200
1985-02-07,2.255276,2.255276,2.218101,2.230493,1.259816,4862000
1985-02-08,2.230493,2.255276,2.218101,2.255276,1.273813,1708700
1985-02-11,2.255276,2.255276,2.211905,2.211905,1.249317,659700
1985-02-12,2.218101,2.230493,2.205709,2.218101,1.252817,889600
1985-02-13,2.211905,2.273864,2.199514,2.267668,1.280812,1472700
1985-02-14,2.280059,2.286255,2.230493,2.230493,1.259816,3001900
1985-02-15,2.255276,2.255276,2.218101,2.236689,1.263314,3788700
1985-02-19,2.249080,2.280059,2.230493,2.267668,1.280812,724100
1985-02-20,2.255276,2.292451,2.255276,2.280059,1.287812,3223900
1985-02-21,2.267668,2.267668,2.211905,2.218101,1.252817,2414900
1985-02-22,2.205709,2.230493,2.193318,2.218101,1.252817,1113600
1985-02-25,2.205709,2.205709,2.143751,2.180926,1.231819,994500
1985-02-26,2.168535,2.242884,2.168535,2.230493,1.259816,3647500
1985-02-27,2.249080,2.249080,2.230493,2.236689,1.263314,463900
1985-02-28,2.236689,2.249080,2.230493,2.230493,1.259816,490200
1985-03-01,2.249080,2.267668,2.230493,2.242884,1.266815,982500
1985-03-04,2.249080,2.255276,2.230493,2.236689,1.263314,1274900
1985-03-05,2.242884,2.249080,2.230493,2.236689,1.263314,453800
1985-03-06,2.249080,2.255276,2.180926,2.180926,1.231819,1585700
1985-03-07,2.156143,2.156143,2.106576,2.125164,1.200324,1942700
