Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.093750,4.187500,4.093750,4.125000,2.793852,199600
1985-01-29,4.218750,4.406250,4.218750,4.375000,2.963175,903200
1985-01-30,4.562500,4.593750,4.500000,4.500000,3.047838,1037600
1985-01-31,4.500000,4.562500,4.500000,4.531250,3.069004,387600
1985-02-01,4.500000,4.500000,4.375000,4.468750,3.026672,571600
1985-02-04,4.468750,4.500000,4.437500,4.500000,3.047838,207200
1985-02-05,4.531250,4.656250,4.500000,4.625000,3.132500,418000
1985-02-06,4.562500,4.625000,4.531250,4.562500,3.090170,204800
1985-02-07,4.531250,4.687500,4.531250,4.656250,3.153664,502400
1985-02-08,4.781250,4.906250,4.531250,4.531250,3.069004,933600
1985-02-11,4.593750,4.718750,4.562500,4.718750,3.195996,474800
1985-02-12,4.687500,4.812500,4.687500,4.750000,3.217163,334800
1985-02-13,4.718750,4.750000,4.687500,4.750000,3.217163,588800
1985-02-14,4.750000,4.750000,4.687500,4.687500,3.174830,443200
1985-02-15,4.687500,4.718750,4.625000,4.687500,3.174830,296800
1985-02-19,4.687500,4.875000,4.687500,4.875000,3.301823,1018400
1985-02-20,4.875000,4.875000,4.625000,4.781250,3.238328,1711200
1985-02-21,4.781250,4.781250,4.656250,4.656250,3.153664,880800
1985-02-22,4.625000,4.656250,4.625000,4.625000,3.132500,181600
1985-02-25,4.593750,4.593750,4.437500,4.500000,3.047838,190400
1985-02-26,4.437500,4.718750,4.281250,4.656250,3.153664,696800
1985-02-27,4.718750,4.718750,4.593750,4.625000,3.132500,175200
1985-02-28,4.625000,4.812500,4.625000,4.781250,3.238328,338800
1985-03-01,4.750000,4.906250,4.750000,4.875000,3.301823,359600
1985-03-04,4.875000,4.937500,4.750000,4.781250,3.238328,1130800
1985-03-05,4.781250,4.812500,4.718750,4.718750,3.195996,346800
1985-03-06,4.718750,4.781250,4.687500,4.718750,3.195996,180800
1985-03-07,4.718750,4.750000,4.718750,4.718750,3.195996,81200
1985-03-08,4.687500,4.750000,4.687500,4.687500,3.174830,126400
1985-03-11,4.687500,4.718750,4.625000,4.656250,3.153664,378800
1985-03-12,4.625000,4.625000,4.562500,4.625000,3.132500,206400
1985-03-13,4.625000,4.656250,4.625000,4.656250,3.153664,57200
1985-03-14,4.593750,4.687500,4.562500,4.656250,3.153664,245600
1985-03-15,4.625000,4.656250,4.625000,4.625000,3.132500,87200
1985-03-18,4.625000,4.687500,4.625000,4.656250,3.153664,96000
1985-03-19,4.687500,4.781250,4.656250,4.750000,3.217163,156800
1985-03-20,4.781250,4.812500,4.750000,4.781250,3.238328,454000
1985-03-21,4.843750,4.843750,4.781250,4.812500,3.259492,118400
1985-03-22,4.843750,4.843750,4.781250,4.812500,3.259492,60000
1985-03-25,4.781250,4.812500,4.750000,4.750000,3.217163,49200
1985-03-26,4.781250,4.781250,4.687500,4.718750,3.195996,38400
1985-03-27,4.718750,4.812500,4.718750,4.812500,3.259492,94400
1985-03-28,4.812500,4.875000,4.812500,4.875000,3.301823,137200
1985-03-29,4.875000,4.906250,4.875000,4.906250,3.322989,182000
