Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,17.166666,17.958334,17.166666,17.666666,17.262011,4724800
1997-11-24,17.583334,17.583334,17.333334,17.333334,16.936319,714100
1997-11-25,17.333334,17.416666,17.333334,17.333334,16.936319,347700
1997-11-26,17.333334,17.416666,16.250000,16.291666,15.918508,939600
1997-11-28,16.333334,16.666666,16.333334,16.666666,16.284914,67000
1997-12-01,16.708334,17.166666,16.666666,16.916666,16.529188,411400
1997-12-02,16.875000,16.875000,16.333334,16.458334,16.081356,246900
1997-12-03,16.208334,16.333334,15.916667,16.166666,15.796372,714900
1997-12-04,16.166666,16.166666,15.958333,16.000000,15.633520,331800
1997-12-05,16.000000,16.083334,15.958333,16.000000,15.633520,173100
1997-12-08,16.083334,16.166666,16.000000,16.166666,15.796372,143500
1997-12-09,16.125000,16.750000,16.125000,16.583334,16.203495,222400
1997-12-10,16.583334,16.750000,16.375000,16.666666,16.284914,232000
1997-12-11,16.583334,16.625000,16.375000,16.625000,16.244205,52900
1997-12-12,16.541666,16.750000,16.458334,16.458334,16.081356,176700
1997-12-15,16.500000,16.625000,16.333334,16.583334,16.203495,118300
1997-12-16,16.750000,17.500000,16.750000,17.500000,17.099169,450100
1997-12-17,17.625000,18.541666,17.583334,18.541666,18.116972,417100
1997-12-18,18.500000,19.333334,18.458334,19.333334,18.890509,86200
1997-12-19,19.416666,19.708334,19.333334,19.708334,19.256916,93400
1997-12-22,19.625000,19.625000,18.916666,19.333334,18.890509,117300
1997-12-23,20.083334,20.125000,19.916666,19.916666,19.460478,207100
1997-12-24,19.750000,19.750000,19.000000,19.250000,18.809078,32200
1997-12-26,19.166666,19.500000,19.083334,19.416666,18.971930,8200
1997-12-29,19.333334,19.333334,18.416666,18.416666,17.994835,22900
1997-12-30,18.416666,19.166666,18.416666,19.166666,18.727657,120600
1997-12-31,19.166666,19.416666,19.166666,19.333334,18.890509,75400
1998-01-02,19.083334,19.208334,18.875000,19.208334,18.768366,34000
1998-01-05,19.291666,19.541666,18.916666,19.291666,18.849792,99700
1998-01-06,19.166666,19.541666,19.000000,19.291666,18.849792,35100
1998-01-07,19.208334,19.208334,18.166666,18.166666,17.750559,35700
1998-01-08,18.166666,18.916666,18.166666,18.375000,17.954123,41200
1998-01-09,18.333334,18.333334,18.083334,18.291666,17.872698,35100
1998-01-12,18.125000,18.416666,18.083334,18.416666,17.994835,19300
1998-01-13,18.416666,18.958334,18.416666,18.875000,18.442669,78900
1998-01-14,18.958334,19.250000,18.791666,19.250000,18.809078,92800
1998-01-15,19.250000,19.666666,19.125000,19.666666,19.216202,82900
1998-01-16,19.625000,19.958334,19.583334,19.666666,19.216202,29400
1998-01-20,19.750000,20.166666,19.750000,20.166666,19.704754,9300
1998-01-21,20.166666,20.250000,19.958334,20.166666,19.704754,60400
1998-01-22,20.041666,20.083334,20.000000,20.041666,19.582613,25900
1998-01-23,20.041666,20.083334,20.041666,20.041666,19.582613,210600
1998-01-26,20.208334,20.208334,20.000000,20.083334,19.623327,94000
1998-01-27,20.041666,20.041666,19.833334,19.833334,19.379055,173800
1998-01-28,19.958334,19.958334,19.833334,19.833334,19.379055,96300
1998-01-29,19.833334,20.083334,19.750000,20.041666,19.582613,37000
1998-01-30,20.125000,20.291666,20.083334,20.125000,19.664042,12100
1998-02-02,20.166666,20.666666,20.166666,20.500000,20.030449,41500
