Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,6.000000,6.111111,6.000000,6.074074,0.983852,344800
1985-01-29,6.074074,6.092593,5.944445,5.962963,0.965855,264600
1985-01-30,5.962963,6.055555,5.962963,6.018518,1.035161,544000
1985-01-31,6.018518,6.037037,5.962963,5.981482,1.028791,593200
1985-02-01,5.981482,6.037037,5.962963,6.018518,1.035161,172000
1985-02-04,6.018518,6.129630,6.018518,6.111111,1.051087,294900
1985-02-05,6.222222,6.370370,6.222222,6.370370,1.095679,513000
1985-02-06,6.370370,6.370370,6.296296,6.314815,1.086123,151200
1985-02-07,6.333333,6.425926,6.333333,6.407407,1.102049,477100
1985-02-08,6.407407,6.407407,6.296296,6.296296,1.082938,147700
1985-02-11,6.296296,6.296296,6.203704,6.296296,1.082938,225400
1985-02-12,6.259259,6.259259,6.185185,6.185185,1.063828,244900
1985-02-13,6.222222,6.333333,6.222222,6.333333,1.089309,103200
1985-02-14,6.370370,6.490741,6.370370,6.444445,1.108419,435300
1985-02-15,6.444445,6.555555,6.407407,6.500000,1.117974,670900
1985-02-19,6.500000,6.555555,6.490741,6.490741,1.116382,618300
1985-02-20,6.490741,6.537037,6.462963,6.490741,1.116382,220600
1985-02-21,6.490741,6.500000,6.444445,6.500000,1.117974,255700
1985-02-22,6.518518,6.574074,6.518518,6.518518,1.121160,179500
1985-02-25,6.490741,6.490741,6.370370,6.370370,1.095679,708000
1985-02-26,6.370370,6.500000,6.370370,6.490741,1.116382,101800
1985-02-27,6.490741,6.500000,6.444445,6.444445,1.108419,112000
1985-02-28,6.444445,6.555555,6.407407,6.518518,1.121160,394800
1985-03-01,6.518518,6.629630,6.462963,6.629630,1.140270,219300
1985-03-04,6.629630,6.777778,6.629630,6.722222,1.156196,1495000
1985-03-05,6.722222,6.740741,6.555555,6.629630,1.140270,450100
1985-03-06,6.611111,6.611111,6.462963,6.518518,1.121160,1265500
1985-03-07,6.518518,6.518518,6.490741,6.518518,1.121160,106600
1985-03-08,6.518518,6.555555,6.490741,6.500000,1.117974,134200
1985-03-11,6.500000,6.537037,6.490741,6.490741,1.116382,135600
1985-03-12,6.490741,6.490741,6.444445,6.490741,1.116382,144400
1985-03-13,6.490741,6.537037,6.462963,6.462963,1.111605,346200
1985-03-14,6.462963,6.490741,6.370370,6.444445,1.108419,182200
1985-03-15,6.425926,6.425926,6.370370,6.370370,1.095679,263200
1985-03-18,6.333333,6.333333,6.148148,6.277778,1.079753,306400
1985-03-19,6.277778,6.314815,6.222222,6.314815,1.086123,136300
1985-03-20,6.333333,6.370370,6.333333,6.333333,1.089309,432000
1985-03-21,6.333333,6.574074,6.296296,6.462963,1.111605,367800
1985-03-22,6.462963,6.490741,6.333333,6.333333,1.089309,136300
1985-03-25,6.296296,6.296296,6.259259,6.277778,1.079753,126900
1985-03-26,6.277778,6.296296,6.259259,6.296296,1.082938,60700
1985-03-27,6.296296,6.462963,6.296296,6.462963,1.111605,145800
1985-03-28,6.490741,6.629630,6.490741,6.490741,1.116382,456900
1985-03-29,6.490741,6.518518,6.370370,6.490741,1.116382,268600
1985-04-01,6.518518,6.574074,6.518518,6.555555,1.127530,157900
1985-04-02,6.555555,6.666667,6.518518,6.537037,1.124345,358300
1985-04-03,6.518518,6.518518,6.407407,6.444445,1.108419,309100
1985-04-04,6.444445,6.462963,6.388889,6.462963,1.111605,35700
1985-04-08,6.490741,6.592593,6.490741,6.555555,1.127530,318600
