Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,0.840278,0.861111,0.826389,0.861111,0.000051,70000
1985-01-29,0.861111,0.888889,0.847222,0.881944,0.000053,140400
1985-01-30,0.881944,0.902778,0.868056,0.875000,0.000052,136800
1985-01-31,0.875000,0.881944,0.861111,0.881944,0.000053,111600
1985-02-01,0.881944,0.881944,0.861111,0.868056,0.000052,48400
1985-02-04,0.861111,0.861111,0.854167,0.854167,0.000051,8800
1985-02-05,0.861111,0.875000,0.861111,0.861111,0.000051,77200
1985-02-06,0.861111,0.875000,0.861111,0.875000,0.000052,18000
1985-02-07,0.881944,0.888889,0.881944,0.881944,0.000053,39600
1985-02-08,0.888889,0.895833,0.888889,0.888889,0.000053,54000
1985-02-11,0.888889,0.895833,0.881944,0.888889,0.000053,57600
1985-02-12,0.888889,0.895833,0.875000,0.888889,0.000053,64800
1985-02-13,0.888889,0.888889,0.875000,0.875000,0.000052,44800
1985-02-14,0.875000,0.895833,0.875000,0.888889,0.000053,54000
1985-02-15,0.888889,0.895833,0.888889,0.888889,0.000053,25200
1985-02-19,0.888889,0.895833,0.888889,0.895833,0.000054,7200
1985-02-20,0.895833,0.895833,0.888889,0.888889,0.000053,26800
1985-02-21,0.888889,0.895833,0.881944,0.895833,0.000054,37600
1985-02-22,0.895833,0.895833,0.881944,0.881944,0.000053,23200
1985-02-25,0.875000,0.875000,0.875000,0.875000,0.000052,10800
1985-02-26,0.881944,0.888889,0.881944,0.888889,0.000053,77200
1985-02-27,0.888889,0.888889,0.888889,0.888889,0.000053,3600
1985-02-28,0.888889,0.888889,0.888889,0.888889,0.000053,1600
1985-03-01,0.888889,0.888889,0.875000,0.881944,0.000053,61200
1985-03-04,0.881944,0.881944,0.875000,0.875000,0.000052,5200
1985-03-05,0.875000,0.875000,0.868056,0.868056,0.000052,10800
1985-03-06,0.868056,0.875000,0.861111,0.861111,0.000051,16000
1985-03-07,0.861111,0.861111,0.847222,0.847222,0.000051,154800
1985-03-08,0.847222,0.847222,0.833333,0.840278,0.000050,50400
1985-03-11,0.840278,0.861111,0.833333,0.833333,0.000050,30400
1985-03-12,0.833333,0.833333,0.805556,0.826389,0.000049,122400
1985-03-13,0.826389,0.840278,0.819444,0.826389,0.000049,54000
1985-03-14,0.826389,0.826389,0.819444,0.826389,0.000049,23200
1985-03-15,0.826389,0.833333,0.819444,0.819444,0.000049,5200
1985-03-18,0.812500,0.812500,0.784722,0.784722,0.000047,34000
1985-03-19,0.777778,0.777778,0.750000,0.750000,0.000045,50400
1985-03-20,0.750000,0.756944,0.736111,0.756944,0.000045,127600
1985-03-21,0.756944,0.756944,0.756944,0.756944,0.000045,140400
1985-03-22,0.756944,0.784722,0.756944,0.784722,0.000047,39600
1985-03-25,0.791667,0.805556,0.791667,0.805556,0.000048,18000
1985-03-26,0.805556,0.805556,0.798611,0.798611,0.000048,8800
1985-03-27,0.805556,0.805556,0.805556,0.805556,0.000048,12400
1985-03-28,0.805556,0.805556,0.805556,0.805556,0.000048,0
1985-03-29,0.819444,0.868056,0.819444,0.868056,0.000052,73600
1985-04-01,0.881944,0.902778,0.881944,0.902778,0.000054,111600
1985-04-02,0.902778,0.916667,0.888889,0.916667,0.000055,95200
1985-04-03,0.909722,0.909722,0.902778,0.902778,0.000054,19600
1985-04-04,0.902778,0.909722,0.902778,0.909722,0.000054,26800
1985-04-08,0.916667,0.937500,0.916667,0.923611,0.000055,133200
1985-04-09,0.923611,0.923611,0.916667,0.923611,0.000055,138400
1985-04-10,0.909722,0.909722,0.875000,0.875000,0.000052,37600
1985-04-11,0.875000,0.875000,0.833333,0.833333,0.000050,142000
1985-04-12,0.833333,0.868056,0.833333,0.868056,0.000052,230400
1985-04-15,0.881944,0.930556,0.881944,0.923611,0.000055,131200
1985-04-16,0.923611,0.930556,0.909722,0.909722,0.000054,84400
1985-04-17,0.909722,0.923611,0.909722,0.923611,0.000055,39600
1985-04-18,0.923611,0.923611,0.909722,0.909722,0.000054,18000
1985-04-19,0.895833,0.895833,0.875000,0.888889,0.000053,50400
1985-04-22,0.888889,0.895833,0.888889,0.895833,0.000054,144000
1985-04-23,0.895833,0.902778,0.888889,0.902778,0.000054,23200
1985-04-24,0.902778,0.902778,0.895833,0.902778,0.000065,36000
1985-04-25,0.902778,0.902778,0.895833,0.902778,0.000065,54000
1985-04-26,0.909722,0.923611,0.909722,0.916667,0.000066,84400
1985-04-29,0.923611,0.930556,0.923611,0.923611,0.000066,18000
1985-04-30,0.916667,0.916667,0.902778,0.902778,0.000065,36000
1985-05-01,0.902778,0.902778,0.902778,0.902778,0.000065,7200
1985-05-02,0.902778,0.902778,0.902778,0.902778,0.000065,3600
1985-05-03,0.902778,0.909722,0.902778,0.909722,0.000065,34000
1985-05-06,0.909722,0.909722,0.909722,0.909722,0.000065,28800
1985-05-07,0.916667,0.937500,0.916667,0.930556,0.000067,68400
1985-05-08,0.930556,0.944444,0.930556,0.944444,0.000068,43200
1985-05-09,0.944444,0.986111,0.944444,0.979167,0.000070,80800
1985-05-10,0.986111,0.986111,0.986111,0.986111,0.000071,23200
1985-05-13,0.979167,0.979167,0.972222,0.979167,0.000070,5200
1985-05-14,0.972222,0.972222,0.958333,0.958333,0.000069,26800
1985-05-15,0.958333,0.979167,0.958333,0.972222,0.000070,55600
1985-05-16,0.972222,0.979167,0.965278,0.979167,0.000070,3600
1985-05-17,0.979167,1.000000,0.972222,1.000000,0.000072,113200
1985-05-20,1.000000,1.013889,1.000000,1.000000,0.000072,43200
1985-05-21,1.000000,1.000000,0.986111,0.986111,0.000071,8800
1985-05-22,0.972222,0.972222,0.965278,0.965278,0.000069,10800
1985-05-23,0.951389,0.951389,0.930556,0.944444,0.000068,138400
1985-05-24,0.944444,0.944444,0.937500,0.944444,0.000068,61200
1985-05-28,0.958333,0.972222,0.958333,0.972222,0.000070,93600
1985-05-29,0.958333,0.958333,0.958333,0.958333,0.000069,3600
1985-05-30,0.958333,0.972222,0.958333,0.958333,0.000069,36000
1985-05-31,0.958333,0.958333,0.951389,0.951389,0.000068,62800
1985-06-03,0.944444,0.944444,0.937500,0.937500,0.000067,7200
1985-06-04,0.937500,0.937500,0.916667,0.937500,0.000067,36000
1985-06-05,0.944444,0.951389,0.944444,0.951389,0.000068,41200
1985-06-06,0.958333,0.958333,0.958333,0.958333,0.000069,5200
1985-06-07,0.958333,0.958333,0.958333,0.958333,0.000069,30400
1985-06-10,0.958333,0.958333,0.958333,0.958333,0.000069,136800
1985-06-11,0.958333,0.958333,0.944444,0.944444,0.000068,26800
1985-06-12,0.937500,0.937500,0.930556,0.930556,0.000067,23200
1985-06-13,0.923611,0.923611,0.923611,0.923611,0.000066,1600
1985-06-14,0.930556,0.944444,0.930556,0.944444,0.000068,14400
1985-06-17,0.958333,0.965278,0.958333,0.965278,0.000069,8800
1985-06-18,0.965278,0.965278,0.965278,0.965278,0.000069,7200
1985-06-19,0.965278,0.965278,0.958333,0.958333,0.000069,64800
1985-06-20,0.958333,0.958333,0.958333,0.958333,0.000069,0
1985-06-21,0.965278,0.965278,0.965278,0.965278,0.000069,5200
1985-06-24,0.965278,0.965278,0.965278,0.965278,0.000069,0
1985-06-25,0.958333,0.958333,0.958333,0.958333,0.000069,21600
1985-06-26,0.958333,0.958333,0.958333,0.958333,0.000069,18000
1985-06-27,0.958333,0.958333,0.958333,0.958333,0.000069,1600
1985-06-28,0.972222,0.972222,0.972222,0.972222,0.000070,12400
1985-07-01,0.972222,0.972222,0.972222,0.972222,0.000070,3600
1985-07-02,0.972222,0.979167,0.965278,0.979167,0.000070,32400
1985-07-03,0.986111,0.986111,0.986111,0.986111,0.000071,23200
1985-07-05,0.986111,0.986111,0.986111,0.986111,0.000071,0
1985-07-08,0.986111,0.993056,0.986111,0.993056,0.000071,18000
1985-07-09,0.993056,0.993056,0.993056,0.993056,0.000071,18000
1985-07-10,0.993056,0.993056,0.986111,0.993056,0.000071,12400
1985-07-11,0.986111,0.986111,0.986111,0.986111,0.000071,14400
1985-07-12,0.986111,0.993056,0.986111,0.993056,0.000071,19600
1985-07-15,1.000000,1.041667,1.000000,1.041667,0.000075,54000
1985-07-16,1.041667,1.041667,0.993056,1.006944,0.000072,228400
1985-07-17,1.006944,1.020833,1.000000,1.020833,0.000073,115200
1985-07-18,1.020833,1.041667,1.013889,1.034722,0.000074,55600
1985-07-19,1.020833,1.020833,1.020833,1.020833,0.000073,62800
1985-07-22,1.013889,1.013889,1.013889,1.013889,0.000073,46800
1985-07-23,1.013889,1.013889,1.000000,1.013889,0.000073,39600
1985-07-24,1.000000,1.000000,1.000000,1.000000,0.000072,46800
1985-07-25,1.000000,1.000000,0.972222,0.972222,0.000082,72000
1985-07-26,0.958333,0.958333,0.958333,0.958333,0.000081,3600
1985-07-29,0.958333,0.965278,0.944444,0.944444,0.000080,72000
1985-07-30,0.944444,0.958333,0.944444,0.958333,0.000081,491200
1985-07-31,0.958333,0.958333,0.958333,0.958333,0.000081,280800
1985-08-01,0.958333,0.965278,0.958333,0.958333,0.000081,136800
1985-08-02,0.965278,0.972222,0.965278,0.972222,0.000082,36000
1985-08-05,0.965278,0.965278,0.944444,0.944444,0.000080,102400
1985-08-06,0.951389,0.958333,0.951389,0.958333,0.000081,52000
1985-08-07,0.958333,0.958333,0.958333,0.958333,0.000081,180000
1985-08-08,0.958333,0.965278,0.951389,0.965278,0.000081,21600
1985-08-09,0.958333,0.958333,0.951389,0.958333,0.000081,19600
1985-08-12,0.958333,0.965278,0.958333,0.965278,0.000081,36000
1985-08-13,0.958333,0.958333,0.958333,0.958333,0.000081,5200
1985-08-14,0.958333,0.958333,0.944444,0.944444,0.000080,14400
1985-08-15,0.944444,0.958333,0.944444,0.951389,0.000080,19600
1985-08-16,0.951389,0.979167,0.951389,0.979167,0.000083,61200
1985-08-19,0.979167,0.979167,0.979167,0.979167,0.000083,0
1985-08-20,0.965278,0.965278,0.965278,0.965278,0.000081,5200
1985-08-21,0.965278,0.972222,0.951389,0.951389,0.000080,37600
1985-08-22,0.951389,0.951389,0.951389,0.951389,0.000080,18000
1985-08-23,0.965278,0.972222,0.965278,0.972222,0.000082,91600
1985-08-26,0.972222,0.972222,0.972222,0.972222,0.000082,0
1985-08-27,0.972222,1.000000,0.972222,1.000000,0.000084,50400
1985-08-28,1.000000,1.000000,1.000000,1.000000,0.000084,25200
1985-08-29,1.000000,1.000000,1.000000,1.000000,0.000084,61200
1985-08-30,1.006944,1.006944,1.006944,1.006944,0.000085,5200
1985-09-03,1.013889,1.013889,1.013889,1.013889,0.000085,32400
1985-09-04,1.013889,1.020833,1.006944,1.020833,0.000086,115200
1985-09-05,1.020833,1.020833,1.013889,1.020833,0.000086,28800
1985-09-06,1.034722,1.034722,1.034722,1.034722,0.000087,46800
1985-09-09,1.027778,1.027778,1.027778,1.027778,0.000087,1600
1985-09-10,1.027778,1.034722,1.027778,1.027778,0.000087,41200
1985-09-11,1.020833,1.020833,1.013889,1.013889,0.000085,16000
1985-09-12,1.006944,1.006944,0.986111,0.986111,0.000083,95200
1985-09-13,0.986111,0.993056,0.972222,0.972222,0.000082,216000
1985-09-16,0.972222,0.972222,0.972222,0.972222,0.000082,3600
1985-09-17,0.972222,0.972222,0.965278,0.965278,0.000081,21600
1985-09-18,0.965278,0.965278,0.965278,0.965278,0.000081,57600
1985-09-19,0.965278,0.965278,0.965278,0.965278,0.000081,34000
1985-09-20,0.965278,0.972222,0.965278,0.972222,0.000082,162000
1985-09-23,0.979167,0.986111,0.979167,0.986111,0.000083,109600
1985-09-24,0.986111,0.986111,0.986111,0.986111,0.000083,91600
1985-09-25,0.986111,0.986111,0.986111,0.986111,0.000083,0
1985-09-26,0.986111,0.986111,0.979167,0.986111,0.000083,34000
1985-09-30,0.986111,0.993056,0.986111,0.993056,0.000084,80800
1985-10-01,1.000000,1.006944,1.000000,1.006944,0.000085,372400
1985-10-02,1.020833,1.020833,1.020833,1.020833,0.000086,14400
1985-10-03,1.020833,1.020833,1.013889,1.020833,0.000086,187200
1985-10-04,1.013889,1.013889,1.013889,1.013889,0.000085,23200
1985-10-07,1.006944,1.006944,1.006944,1.006944,0.000085,1600
1985-10-08,1.006944,1.020833,1.000000,1.013889,0.000085,162000
1985-10-09,1.013889,1.027778,1.013889,1.027778,0.000087,97200
1985-10-10,1.020833,1.020833,1.013889,1.020833,0.000086,113200
1985-10-11,1.020833,1.041667,1.020833,1.041667,0.000088,223200
1985-10-14,1.041667,1.048611,1.041667,1.041667,0.000088,8800
1985-10-15,1.055556,1.062500,1.055556,1.055556,0.000089,23200
1985-10-16,1.055556,1.062500,1.048611,1.062500,0.000090,21600
1985-10-17,1.062500,1.069444,1.055556,1.069444,0.000090,26800
1985-10-18,1.069444,1.097222,1.062500,1.097222,0.000092,133200
1985-10-21,1.097222,1.097222,1.090278,1.097222,0.000092,25200
1985-10-22,1.097222,1.097222,1.090278,1.097222,0.000092,8800
1985-10-23,1.097222,1.111111,1.097222,1.111111,0.000094,79200
1985-10-24,1.104167,1.104167,1.097222,1.097222,0.000092,37600
1985-10-25,1.090278,1.090278,1.083333,1.083333,0.000112,73600
1985-10-28,1.083333,1.090278,1.083333,1.090278,0.000112,61200
