Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.383117,4.437230,4.383117,4.437230,2.701681,111200
1985-01-29,4.437230,4.437230,4.329004,4.383117,2.668732,49800
1985-01-30,4.383117,4.491342,4.329004,4.383117,2.668732,125600
1985-01-31,4.383117,4.599567,4.383117,4.545455,2.767575,150000
1985-02-01,4.437230,4.599567,4.437230,4.545455,2.767575,123000
1985-02-04,4.545455,4.816017,4.545455,4.761905,2.899364,267000
1985-02-05,4.707792,4.761905,4.707792,4.707792,2.866417,66000
1985-02-06,4.707792,4.761905,4.653680,4.761905,2.899364,48800
1985-02-07,4.870130,5.032467,4.816017,4.978355,3.031154,231800
1985-02-08,5.032467,5.032467,4.870130,4.924242,2.998206,56200
1985-02-11,4.870130,4.870130,4.707792,4.761905,2.899364,73000
1985-02-12,4.761905,4.816017,4.761905,4.761905,2.899364,30600
1985-02-13,4.761905,5.032467,4.761905,4.978355,3.031154,82400
1985-02-14,5.032467,5.086580,4.870130,4.924242,2.998206,93600
1985-02-15,4.870130,4.924242,4.761905,4.870130,2.965260,82200
1985-02-19,4.924242,4.924242,4.761905,4.816017,2.932311,37000
1985-02-20,4.761905,4.870130,4.761905,4.870130,2.965260,81000
1985-02-21,4.816017,4.816017,4.707792,4.761905,2.899364,89000
1985-02-22,4.761905,4.870130,4.707792,4.761905,2.899364,36000
1985-02-25,4.761905,4.761905,4.707792,4.761905,2.899364,49800
1985-02-26,4.707792,4.761905,4.707792,4.707792,2.866417,43400
1985-02-27,4.707792,4.816017,4.707792,4.707792,2.866417,139200
1985-02-28,4.761905,4.816017,4.761905,4.816017,2.932311,75800
1985-03-01,4.816017,4.870130,4.761905,4.870130,2.965260,70800
1985-03-04,4.870130,4.870130,4.761905,4.816017,2.932311,120000
1985-03-05,4.761905,4.870130,4.761905,4.816017,2.932311,44200
1985-03-06,4.761905,4.816017,4.761905,4.816017,2.932311,18800
1985-03-07,4.761905,4.870130,4.761905,4.816017,2.932311,101200
1985-03-08,4.761905,4.870130,4.761905,4.816017,2.932311,23600
1985-03-11,4.870130,4.870130,4.761905,4.816017,2.932311,134400
1985-03-12,4.870130,4.870130,4.816017,4.816017,2.932311,39200
1985-03-13,4.816017,4.924242,4.816017,4.924242,2.998206,59600
1985-03-14,4.924242,4.924242,4.816017,4.816017,2.932311,49400
1985-03-15,4.924242,4.924242,4.870130,4.870130,2.965260,86200
1985-03-18,4.870130,4.978355,4.870130,4.870130,2.965260,132600
1985-03-19,4.870130,4.978355,4.870130,4.978355,3.031154,26400
1985-03-20,4.924242,4.978355,4.870130,4.924242,2.998206,114000
1985-03-21,4.924242,4.924242,4.816017,4.816017,2.932311,75600
1985-03-22,4.870130,4.924242,4.870130,4.870130,2.965260,41400
1985-03-25,4.816017,4.870130,4.816017,4.870130,2.983823,45400
1985-03-26,4.870130,4.924242,4.870130,4.870130,2.983823,96200
1985-03-27,4.924242,4.924242,4.924242,4.924242,3.016977,70800
1985-03-28,4.924242,5.140693,4.924242,5.140693,3.149592,109800
1985-03-29,5.140693,5.140693,5.032467,5.086580,3.116440,36400
1985-04-01,5.032467,5.032467,4.978355,5.032467,3.083284,25400
1985-04-02,5.032467,5.086580,4.978355,5.032467,3.083284,25400
1985-04-03,4.978355,4.978355,4.816017,4.978355,3.050130,65400
1985-04-04,4.924242,4.924242,4.816017,4.870130,2.983823,24800
1985-04-08,4.870130,4.924242,4.870130,4.870130,2.983823,24600
1985-04-09,4.870130,4.924242,4.816017,4.870130,2.983823,40200
1985-04-10,4.870130,4.924242,4.870130,4.870130,2.983823,56400
1985-04-11,4.870130,4.924242,4.870130,4.924242,3.016977,25400
1985-04-12,4.870130,4.924242,4.870130,4.870130,2.983823,58200
1985-04-15,4.924242,4.924242,4.816017,4.924242,3.016977,158400
1985-04-16,4.870130,4.924242,4.870130,4.870130,2.983823,215000
1985-04-17,4.870130,4.924242,4.870130,4.924242,3.016977,61800
1985-04-18,4.978355,4.978355,4.870130,4.870130,2.983823,45400
1985-04-19,4.870130,4.924242,4.870130,4.924242,3.016977,40400
1985-04-22,4.978355,5.140693,4.924242,5.140693,3.149592,133000
1985-04-23,5.194805,5.248918,5.140693,5.194805,3.182745,162400
1985-04-24,5.248918,5.303030,5.194805,5.248918,3.215897,108400
1985-04-25,5.303030,5.357143,5.248918,5.357143,3.282206,86600
1985-04-26,5.303030,5.411255,5.303030,5.303030,3.249051,53800
1985-04-29,5.303030,5.357143,5.303030,5.303030,3.249051,25800
1985-04-30,5.303030,5.357143,5.303030,5.303030,3.249051,60000
1985-05-01,5.303030,5.357143,5.303030,5.357143,3.282206,58400
