Date,Open,High,Low,Close,Adj Close,Volume
1986-09-08,5.562500,5.562500,5.312500,5.343750,3.901726,1090000
1986-09-09,5.343750,5.343750,5.156250,5.156250,3.764824,998000
1986-09-10,5.156250,5.187500,5.125000,5.156250,3.764824,3112800
1986-09-11,5.125000,5.125000,4.906250,5.000000,3.650738,263600
1986-09-12,5.000000,5.000000,4.843750,4.937500,3.605103,749600
1986-09-15,4.937500,4.937500,4.906250,4.906250,3.582289,175600
1986-09-16,4.875000,4.875000,4.750000,4.781250,3.491021,206400
1986-09-17,4.781250,4.781250,4.718750,4.750000,3.468200,108400
1986-09-18,4.750000,4.906250,4.750000,4.906250,3.582289,643200
1986-09-19,4.906250,4.937500,4.906250,4.937500,3.605103,212400
1986-09-22,4.968750,5.062500,4.968750,5.062500,3.696372,200000
1986-09-23,5.062500,5.093750,5.000000,5.062500,3.696372,405600
1986-09-24,5.062500,5.343750,5.062500,5.250000,3.833277,1560000
1986-09-25,5.218750,5.218750,5.156250,5.187500,3.787641,414000
1986-09-26,5.187500,5.187500,5.156250,5.187500,3.787641,314400
1986-09-29,5.187500,5.218750,5.156250,5.218750,3.810459,951600
1986-09-30,5.218750,5.343750,5.218750,5.312500,3.878910,331600
1986-10-01,5.343750,5.437500,5.343750,5.375000,3.924542,1872400
1986-10-02,5.375000,5.625000,5.343750,5.625000,4.107081,2767200
1986-10-03,5.625000,5.750000,5.531250,5.593750,4.084263,3138400
1986-10-06,5.593750,5.625000,5.531250,5.562500,4.061446,925200
1986-10-07,5.562500,5.593750,5.437500,5.500000,4.015810,1152000
1986-10-08,5.500000,5.562500,5.437500,5.562500,4.061446,2980400
1986-10-09,5.562500,5.625000,5.500000,5.562500,4.061446,4265200
1986-10-10,5.562500,5.625000,5.531250,5.593750,4.084263,996400
1986-10-13,5.593750,5.593750,5.437500,5.468750,3.992992,1656000
1986-10-14,5.375000,5.375000,5.125000,5.218750,3.810459,2104000
1986-10-15,5.281250,5.406250,5.281250,5.312500,3.878910,3973200
1986-10-16,5.312500,5.312500,5.187500,5.281250,3.856091,1820400
1986-10-17,5.250000,5.250000,5.000000,5.125000,3.742009,2462800
1986-10-20,5.125000,5.187500,5.093750,5.125000,3.742009,599600
1986-10-21,5.125000,5.125000,5.031250,5.062500,3.696372,1184800
1986-10-22,5.062500,5.125000,5.031250,5.125000,3.742009,1871600
1986-10-23,5.125000,5.281250,5.125000,5.187500,3.787641,1907200
