Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.507054,5.593779,5.507054,5.579325,1.206577,673600
1985-01-29,5.579325,5.579325,5.535962,5.579325,1.206577,320800
1985-01-30,5.564870,5.593779,5.535962,5.550416,1.200324,483400
1985-01-31,5.550416,5.564870,5.521508,5.550416,1.200324,985800
1985-02-01,5.550416,5.637142,5.535962,5.637142,1.219080,541300
1985-02-04,5.622687,5.680504,5.550416,5.680504,1.228457,1172600
1985-02-05,5.752775,5.781683,5.666050,5.738321,1.240961,548200
1985-02-06,5.738321,5.738321,5.608233,5.622687,1.215955,632100
1985-02-07,5.593779,5.622687,5.564870,5.622687,1.215955,2001100
1985-02-08,5.622687,5.622687,5.593779,5.608233,1.212828,582000
1985-02-11,5.608233,5.622687,5.593779,5.593779,1.209702,505900
1985-02-12,5.593779,5.637142,5.593779,5.637142,1.219080,1071400
1985-02-13,5.637142,5.767230,5.637142,5.752775,1.244086,1203800
1985-02-14,5.810592,5.853955,5.796138,5.839500,1.262841,1437200
1985-02-15,5.853955,5.897317,5.839500,5.868409,1.269093,357100
1985-02-19,5.853955,5.882863,5.839500,5.853955,1.265967,738500
1985-02-20,5.853955,5.882863,5.767230,5.781683,1.250339,434100
1985-02-21,5.752775,5.767230,5.666050,5.709413,1.234709,433200
1985-02-22,5.694958,5.752775,5.694958,5.723867,1.237835,601000
1985-02-25,5.709413,5.767230,5.709413,5.752775,1.244086,105500
1985-02-26,5.752775,5.767230,5.738321,5.738321,1.240961,191100
1985-02-27,5.752775,5.767230,5.694958,5.738321,1.240961,460000
1985-02-28,5.694958,5.723867,5.680504,5.709413,1.234709,193700
1985-03-01,5.709413,5.738321,5.680504,5.738321,1.240961,380500
1985-03-04,5.738321,5.752775,5.680504,5.694958,1.231584,235200
1985-03-05,5.680504,5.723867,5.666050,5.709413,1.234709,128800
1985-03-06,5.723867,5.723867,5.622687,5.637142,1.219080,753200
1985-03-07,5.622687,5.694958,5.608233,5.694958,1.231584,277600
1985-03-08,5.694958,5.709413,5.651596,5.666050,1.225331,269800
1985-03-11,5.666050,5.694958,5.651596,5.666050,1.225331,220500
1985-03-12,5.680504,5.694958,5.666050,5.666050,1.225331,229100
1985-03-13,5.694958,5.694958,5.666050,5.666050,1.225331,63100
1985-03-14,5.666050,5.694958,5.666050,5.666050,1.225331,348500
1985-03-15,5.666050,5.694958,5.666050,5.680504,1.228457,227400
1985-03-18,5.666050,5.666050,5.622687,5.637142,1.219080,897600
1985-03-19,5.666050,5.694958,5.651596,5.694958,1.231584,205800
1985-03-20,5.694958,5.694958,5.608233,5.622687,1.215955,927900
1985-03-21,5.622687,5.723867,5.608233,5.622687,1.215955,890700
1985-03-22,5.680504,5.709413,5.593779,5.608233,1.212828,872500
1985-03-25,5.593779,5.608233,5.593779,5.593779,1.209702,328600
1985-03-26,5.593779,5.608233,5.593779,5.593779,1.209702,559500
1985-03-27,5.593779,5.593779,5.579325,5.593779,1.209702,70900
1985-03-28,5.593779,5.608233,5.579325,5.593779,1.209702,181600
1985-03-29,5.564870,5.593779,5.564870,5.593779,1.217251,474700
