Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,7.000000,7.041667,7.000000,7.000000,1.296156,48000
1985-01-29,7.000000,7.041667,7.000000,7.000000,1.296156,66300
1985-01-30,7.000000,7.041667,7.000000,7.000000,1.296156,153300
1985-01-31,7.000000,7.041667,7.000000,7.000000,1.296156,16500
1985-02-01,7.041667,7.250000,7.041667,7.041667,1.303872,29700
1985-02-04,7.041667,7.166667,7.041667,7.041667,1.303872,11400
1985-02-05,7.041667,7.166667,7.041667,7.041667,1.303872,12000
1985-02-06,7.041667,7.166667,7.041667,7.041667,1.303872,2700
1985-02-07,7.041667,7.166667,7.041667,7.041667,1.303872,5400
1985-02-08,7.041667,7.166667,7.041667,7.041667,1.303872,2100
1985-02-11,7.000000,7.000000,6.916667,6.916667,1.280725,43800
1985-02-12,6.916667,7.000000,6.916667,6.916667,1.280725,20700
1985-02-13,6.791667,6.791667,6.666667,6.666667,1.234435,60000
1985-02-14,6.750000,6.916667,6.750000,6.750000,1.249865,73200
1985-02-15,7.000000,7.166667,7.000000,7.000000,1.296156,70800
1985-02-19,7.000000,7.166667,7.000000,7.000000,1.296156,47400
1985-02-20,7.166667,7.291667,7.166667,7.166667,1.327018,28200
1985-02-21,7.250000,7.291667,7.250000,7.250000,1.394357,30300
1985-02-22,7.291667,7.416667,7.291667,7.291667,1.402370,10500
1985-02-25,7.291667,7.291667,7.166667,7.166667,1.378330,30600
1985-02-26,7.166667,7.250000,7.166667,7.166667,1.378330,45300
1985-02-27,7.166667,7.250000,7.041667,7.041667,1.354289,11400
1985-02-28,7.041667,7.166667,7.000000,7.000000,1.346276,66900
1985-03-01,7.000000,7.041667,7.000000,7.000000,1.346276,66900
1985-03-04,7.000000,7.166667,7.000000,7.000000,1.346276,27600
1985-03-05,7.000000,7.000000,6.916667,6.916667,1.330248,28500
1985-03-06,6.916667,7.000000,6.916667,6.916667,1.330248,9000
1985-03-07,6.916667,7.000000,6.916667,6.916667,1.330248,12300
1985-03-08,6.916667,7.000000,6.916667,6.916667,1.330248,1200
1985-03-11,6.916667,7.000000,6.916667,6.916667,1.330248,9900
1985-03-12,6.916667,7.000000,6.916667,6.916667,1.330248,39900
1985-03-13,6.916667,7.000000,6.916667,6.916667,1.330248,23700
1985-03-14,6.916667,7.000000,6.916667,6.916667,1.330248,2100
1985-03-15,6.916667,7.000000,6.916667,6.916667,1.330248,2100
1985-03-18,6.916667,7.000000,6.916667,6.916667,1.330248,4500
1985-03-19,6.916667,7.000000,6.916667,6.916667,1.330248,43500
1985-03-20,6.916667,7.000000,6.791667,6.791667,1.306208,47700
1985-03-21,6.916667,6.916667,6.916667,6.916667,1.330248,1500
1985-03-22,6.916667,6.916667,6.750000,6.750000,1.298194,2400
1985-03-25,6.791667,6.916667,6.791667,6.791667,1.306208,2700
1985-03-26,6.916667,6.916667,6.916667,6.916667,1.330248,66900
1985-03-27,6.916667,6.916667,6.916667,6.916667,1.330248,67200
1985-03-28,6.916667,6.916667,6.791667,6.791667,1.306208,21300
