Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,8.750000,8.875000,8.750000,8.875000,2.738636,208400
1985-01-29,8.875000,9.187500,8.812500,9.156250,2.825423,151600
1985-01-30,9.250000,9.437500,9.250000,9.437500,2.912211,410800
1985-01-31,9.437500,9.437500,9.156250,9.312500,2.873638,308000
1985-02-01,9.281250,9.281250,9.218750,9.218750,2.844711,85600
1985-02-04,9.218750,9.437500,9.031250,9.406250,2.902568,213600
1985-02-05,9.437500,9.500000,9.437500,9.468750,2.921856,146000
1985-02-06,9.500000,9.562500,9.500000,9.531250,2.941141,61200
1985-02-07,9.531250,9.781250,9.531250,9.750000,3.008641,146400
1985-02-08,9.718750,9.718750,9.625000,9.625000,2.970071,272400
1985-02-11,9.625000,9.687500,9.625000,9.625000,2.970071,139200
1985-02-12,9.625000,9.750000,9.562500,9.718750,2.999000,106000
1985-02-13,9.750000,9.812500,9.750000,9.750000,3.008641,78800
1985-02-14,9.750000,9.750000,9.625000,9.625000,2.970071,48000
1985-02-15,9.625000,9.687500,9.406250,9.562500,2.950784,94000
1985-02-19,9.468750,9.468750,9.281250,9.281250,2.863997,94800
1985-02-20,9.281250,9.531250,9.281250,9.468750,2.921856,306000
1985-02-21,9.468750,9.531250,9.250000,9.250000,2.854355,47200
1985-02-22,9.250000,9.312500,9.218750,9.312500,2.873638,107600
1985-02-25,9.437500,9.531250,9.437500,9.468750,2.921856,275600
1985-02-26,9.468750,9.468750,9.406250,9.468750,2.921856,24800
1985-02-27,9.468750,9.531250,9.375000,9.375000,2.892926,66000
1985-02-28,9.312500,9.312500,9.156250,9.156250,2.825423,87600
1985-03-01,9.156250,9.281250,9.156250,9.250000,2.854355,96000
1985-03-04,9.187500,9.187500,9.031250,9.031250,2.786852,40800
1985-03-05,9.062500,9.218750,9.062500,9.125000,2.815781,66400
1985-03-06,9.125000,9.187500,9.031250,9.031250,2.786852,53600
1985-03-07,9.031250,9.031250,8.750000,8.781250,2.709708,109200
1985-03-08,8.781250,8.812500,8.750000,8.750000,2.700064,60400
1985-03-11,8.750000,8.781250,8.656250,8.656250,2.671136,198400
1985-03-12,8.718750,8.750000,8.718750,8.718750,2.690420,149600
1985-03-13,8.718750,8.781250,8.656250,8.750000,2.700064,31600
1985-03-14,8.781250,8.812500,8.781250,8.781250,2.709708,36800
1985-03-15,8.781250,8.812500,8.781250,8.812500,2.719351,50000
1985-03-18,8.812500,8.812500,8.750000,8.750000,2.700064,30000
1985-03-19,8.750000,8.750000,8.718750,8.750000,2.700064,11600
1985-03-20,8.750000,9.031250,8.750000,8.937500,2.757923,364000
1985-03-21,8.906250,8.906250,8.750000,8.812500,2.719351,72000
1985-03-22,8.812500,8.875000,8.750000,8.750000,2.700064,63600
1985-03-25,8.750000,8.812500,8.718750,8.781250,2.709708,15600
1985-03-26,8.781250,8.781250,8.750000,8.781250,2.709708,6400
1985-03-27,8.781250,8.781250,8.562500,8.562500,2.642205,31200
1985-03-28,8.562500,8.625000,8.187500,8.218750,2.536131,391600
1985-03-29,8.218750,8.468750,8.218750,8.468750,2.613276,112000
1985-04-01,8.468750,8.468750,8.312500,8.312500,2.565061,46800
1985-04-02,8.375000,8.562500,8.375000,8.500000,2.622919,155200
1985-04-03,8.437500,8.437500,8.406250,8.406250,2.593991,116400
1985-04-04,8.406250,8.437500,8.406250,8.437500,2.603634,23200
1985-04-08,8.406250,8.406250,8.250000,8.375000,2.584348,219200
1985-04-09,8.375000,8.406250,8.312500,8.406250,2.593991,26800
1985-04-10,8.406250,8.500000,8.406250,8.500000,2.622919,96000
1985-04-11,8.468750,8.468750,8.406250,8.406250,2.593991,54400
1985-04-12,8.406250,8.468750,8.406250,8.406250,2.593991,175200
1985-04-15,8.406250,8.437500,8.406250,8.437500,2.603634,34000
1985-04-16,8.437500,8.437500,8.312500,8.312500,2.565061,68800
1985-04-17,8.312500,8.437500,8.312500,8.375000,2.584348,434800
1985-04-18,8.375000,8.468750,8.375000,8.437500,2.603634,58800
1985-04-19,8.437500,8.468750,8.375000,8.437500,2.603634,42000
1985-04-22,8.375000,8.375000,8.156250,8.250000,2.545774,121600
1985-04-23,8.250000,8.281250,8.187500,8.250000,2.545774,225200
1985-04-24,8.281250,8.406250,8.281250,8.375000,2.584348,99200
1985-04-25,8.375000,8.437500,8.375000,8.406250,2.593991,61200
1985-04-26,8.437500,8.500000,8.437500,8.437500,2.603634,51200
1985-04-29,8.500000,8.656250,8.500000,8.625000,2.661491,76400
1985-04-30,8.625000,8.656250,8.562500,8.562500,2.642205,6000
1985-05-01,8.531250,8.531250,8.281250,8.375000,2.584348,260400
1985-05-02,8.281250,8.281250,8.125000,8.187500,2.526488,461600
1985-05-03,8.187500,8.250000,8.156250,8.187500,2.526488,250400
1985-05-06,8.218750,8.281250,8.218750,8.250000,2.545774,42400
1985-05-07,8.250000,8.250000,8.156250,8.250000,2.545774,152400
1985-05-08,8.250000,8.250000,8.156250,8.250000,2.545774,530400
1985-05-09,8.281250,8.281250,8.281250,8.281250,2.555418,360800
1985-05-10,8.312500,8.437500,8.312500,8.406250,2.593991,97200
1985-05-13,8.406250,8.437500,8.312500,8.375000,2.584348,270800
1985-05-14,8.375000,8.375000,8.281250,8.312500,2.565061,329600
1985-05-15,8.281250,8.281250,8.125000,8.125000,2.507202,94800
1985-05-16,8.125000,8.156250,7.968750,8.156250,2.516846,383600
1985-05-17,8.218750,8.437500,8.218750,8.437500,2.603634,176800
1985-05-20,8.437500,8.562500,8.437500,8.468750,2.613276,218400
1985-05-21,8.468750,8.468750,8.281250,8.375000,2.584348,200000
1985-05-22,8.375000,8.406250,8.281250,8.281250,2.555418,53600
1985-05-23,8.281250,8.281250,8.218750,8.281250,2.555418,97200
1985-05-24,8.281250,8.281250,8.218750,8.218750,2.536131,35600
1985-05-28,8.218750,8.250000,8.000000,8.031250,2.478272,144000
1985-05-29,8.031250,8.031250,7.968750,7.968750,2.458988,97600
1985-05-30,7.875000,7.875000,7.687500,7.875000,2.430056,395600
1985-05-31,7.875000,8.000000,7.812500,7.937500,2.449343,228000
1985-06-03,7.937500,8.000000,7.875000,7.968750,2.458988,414000
1985-06-04,7.968750,8.031250,7.906250,7.968750,2.458988,229200
1985-06-05,7.937500,7.937500,7.781250,7.812500,2.410771,191200
1985-06-06,7.812500,7.812500,7.687500,7.812500,2.410771,452000
1985-06-07,7.812500,8.031250,7.781250,8.031250,2.478272,677200
1985-06-10,8.031250,8.312500,7.968750,8.281250,2.555418,119200
1985-06-11,8.281250,8.437500,8.250000,8.406250,2.593991,102000
1985-06-12,8.406250,8.437500,8.312500,8.312500,2.565061,114400
1985-06-13,8.250000,8.250000,8.125000,8.125000,2.507202,78000
1985-06-14,8.125000,8.250000,8.125000,8.250000,2.545774,119200
1985-06-17,8.250000,8.250000,8.125000,8.125000,2.507202,60400
1985-06-18,8.156250,8.250000,8.156250,8.250000,2.545774,62800
1985-06-19,8.250000,8.281250,8.250000,8.250000,2.545774,38800
1985-06-20,8.250000,8.281250,7.937500,8.000000,2.468630,193200
1985-06-21,8.000000,8.000000,7.906250,7.906250,2.439701,208400
1985-06-24,7.906250,7.937500,7.531250,7.687500,2.372198,315200
1985-06-25,7.687500,7.812500,7.687500,7.812500,2.410771,342800
1985-06-26,7.937500,8.031250,7.937500,8.000000,2.468630,175600
1985-06-27,8.000000,8.031250,7.812500,7.968750,2.458988,480400
1985-06-28,7.968750,8.218750,7.781250,7.781250,2.401129,649200
1985-07-01,7.781250,7.906250,7.500000,7.531250,2.323984,258000
1985-07-02,7.562500,8.000000,7.562500,7.875000,2.430056,412800
1985-07-03,8.031250,8.156250,8.031250,8.125000,2.507202,262000
1985-07-05,8.156250,8.281250,8.156250,8.281250,2.555418,163600
1985-07-08,8.281250,8.281250,8.250000,8.281250,2.555418,458000
1985-07-09,8.281250,8.312500,8.187500,8.187500,2.526488,154000
1985-07-10,8.250000,8.531250,8.250000,8.531250,2.632564,81200
1985-07-11,8.625000,8.906250,8.625000,8.781250,2.709708,250400
1985-07-12,8.781250,8.875000,8.781250,8.781250,2.709708,245600
1985-07-15,8.781250,8.812500,8.625000,8.656250,2.671136,134000
1985-07-16,8.718750,8.937500,8.718750,8.937500,2.757923,185600
1985-07-17,8.937500,9.031250,8.875000,9.031250,2.786852,118400
1985-07-18,9.031250,9.250000,9.031250,9.125000,2.815781,154400
1985-07-19,9.125000,9.187500,9.031250,9.187500,2.835067,68000
1985-07-22,9.187500,9.218750,9.031250,9.031250,2.786852,50000
1985-07-23,9.031250,9.062500,8.781250,8.937500,2.757923,228000
1985-07-24,8.875000,8.875000,8.718750,8.750000,2.700064,52000
1985-07-25,8.750000,8.781250,8.656250,8.687500,2.680779,46000
1985-07-26,8.687500,8.781250,8.625000,8.781250,2.709708,318000
1985-07-29,8.781250,8.781250,8.687500,8.718750,2.690420,26400
1985-07-30,8.718750,8.718750,8.531250,8.718750,2.690420,146000
1985-07-31,8.750000,8.937500,8.750000,8.812500,2.719351,135600
1985-08-01,8.875000,9.031250,8.875000,9.031250,2.786852,239600
1985-08-02,9.031250,9.062500,8.937500,8.937500,2.757923,54400
1985-08-05,8.875000,8.875000,8.687500,8.781250,2.709708,163200
1985-08-06,8.781250,8.781250,8.656250,8.750000,2.700064,229200
1985-08-07,8.750000,8.781250,8.656250,8.781250,2.709708,257200
1985-08-08,8.781250,8.875000,8.750000,8.781250,2.709708,15200
1985-08-09,8.781250,8.781250,8.625000,8.687500,2.680779,170800
1985-08-12,8.687500,8.875000,8.687500,8.687500,2.680779,104000
1985-08-13,8.687500,8.687500,8.500000,8.500000,2.622919,78000
1985-08-14,8.500000,8.500000,8.406250,8.500000,2.622919,37200
1985-08-15,8.500000,8.500000,8.406250,8.406250,2.593991,100400
1985-08-16,8.437500,8.500000,8.437500,8.437500,2.603634,125600
1985-08-19,8.437500,8.437500,8.250000,8.312500,2.565061,220400
1985-08-20,8.312500,8.437500,8.312500,8.375000,2.584348,17600
1985-08-21,8.375000,8.437500,8.312500,8.312500,2.565061,40800
1985-08-22,8.312500,8.375000,8.218750,8.218750,2.536131,312000
1985-08-23,8.218750,8.218750,8.187500,8.218750,2.536131,42000
1985-08-26,8.218750,8.250000,8.125000,8.187500,2.526488,55600
1985-08-27,8.187500,8.250000,8.187500,8.218750,2.536131,172800
1985-08-28,8.218750,8.218750,8.125000,8.187500,2.526488,211200
1985-08-29,8.187500,8.218750,8.125000,8.218750,2.536131,51600
1985-08-30,8.250000,8.437500,8.250000,8.375000,2.584348,52800
1985-09-03,8.375000,8.375000,8.218750,8.218750,2.536131,29200
1985-09-04,8.375000,8.531250,8.375000,8.468750,2.613276,245200
1985-09-05,8.468750,8.468750,8.406250,8.437500,2.603634,12000
1985-09-06,8.437500,8.468750,8.187500,8.250000,2.545774,76400
1985-09-09,8.250000,8.281250,8.125000,8.125000,2.507202,62400
1985-09-10,8.125000,8.156250,8.031250,8.062500,2.487917,79600
1985-09-11,8.062500,8.062500,7.812500,7.812500,2.410771,135600
