Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.700014,3.730847,3.638347,3.669180,0.420074,3636300
1985-01-29,3.669180,3.730847,3.607513,3.700014,0.423605,1822200
1985-01-30,3.761680,3.823347,3.700014,3.761680,0.430665,4937500
1985-01-31,3.761680,3.761680,3.669180,3.730847,0.427134,2578100
1985-02-01,3.638347,3.730847,3.545846,3.638347,0.416544,2234200
1985-02-04,3.576680,3.700014,3.576680,3.638347,0.416544,2441500
1985-02-05,3.669180,3.700014,3.576680,3.607513,0.413014,2891100
1985-02-06,3.576680,3.607513,3.515013,3.545846,0.405954,3026200
1985-02-07,3.545846,3.638347,3.545846,3.607513,0.413014,1667500
1985-02-08,3.607513,3.669180,3.576680,3.638347,0.416544,2089900
1985-02-11,3.638347,3.669180,3.607513,3.638347,0.416544,1589500
1985-02-12,3.638347,3.669180,3.545846,3.607513,0.413014,1761400
1985-02-13,3.607513,3.638347,3.545846,3.576680,0.409484,1495900
1985-02-14,3.607513,3.607513,3.545846,3.576680,0.409484,2233800
1985-02-15,3.576680,3.607513,3.453346,3.484179,0.398894,2840600
1985-02-19,3.545846,3.576680,3.484179,3.545846,0.405954,2104600
1985-02-20,3.515013,3.576680,3.453346,3.515013,0.402424,2432600
1985-02-21,3.545846,3.545846,3.484179,3.545846,0.405954,1236000
1985-02-22,3.515013,3.545846,3.515013,3.545846,0.405954,947000
1985-02-25,3.515013,3.545846,3.484179,3.515013,0.402424,1253700
1985-02-26,3.515013,3.545846,3.484179,3.515013,0.402424,3114900
1985-02-27,3.515013,3.545846,3.453346,3.484179,0.398894,692900
1985-02-28,3.515013,3.576680,3.484179,3.576680,0.409484,1843500
1985-03-01,3.545846,3.607513,3.515013,3.576680,0.409484,1583900
1985-03-04,3.576680,3.669180,3.576680,3.638347,0.416544,3468400
1985-03-05,3.669180,3.761680,3.638347,3.730847,0.427134,2504800
1985-03-06,3.730847,3.761680,3.700014,3.730847,0.427134,2551200
1985-03-07,3.669180,3.700014,3.638347,3.669180,0.420074,1058500
1985-03-08,3.669180,3.761680,3.669180,3.700014,0.423605,1122600
1985-03-11,3.700014,3.730847,3.669180,3.669180,0.420074,861900
1985-03-12,3.700014,3.700014,3.669180,3.669180,0.420074,1544900
1985-03-13,3.669180,3.700014,3.638347,3.669180,0.422688,1046000
1985-03-14,3.669180,3.700014,3.638347,3.669180,0.422688,776500
1985-03-15,3.669180,3.700014,3.638347,3.638347,0.419136,1110100
1985-03-18,3.638347,3.730847,3.638347,3.669180,0.422688,2147300
1985-03-19,3.700014,3.792514,3.669180,3.761680,0.433344,1073300
1985-03-20,3.792514,3.823347,3.730847,3.761680,0.433344,1722400
1985-03-21,3.761680,3.792514,3.730847,3.761680,0.433344,1045600
1985-03-22,3.761680,3.854181,3.761680,3.792514,0.436896,2648000
1985-03-25,3.792514,3.915848,3.792514,3.915848,0.451104,1447700
1985-03-26,3.915848,4.008348,3.885014,3.915848,0.451104,3366400
1985-03-27,3.915848,3.946681,3.885014,3.915848,0.451104,1550100
1985-03-28,3.915848,4.162515,3.792514,3.823347,0.440448,1640300
1985-03-29,3.823347,3.885014,3.730847,3.885014,0.447552,1182600
1985-04-01,3.885014,3.977515,3.854181,3.977515,0.458209,5172800
1985-04-02,3.977515,4.008348,3.946681,3.977515,0.458209,1722400
1985-04-03,3.977515,3.977515,3.915848,3.915848,0.451104,1016900
1985-04-04,3.946681,3.946681,3.854181,3.946681,0.454656,1231200
1985-04-08,3.946681,3.946681,3.885014,3.915848,0.451104,518700
1985-04-09,3.885014,3.915848,3.823347,3.854181,0.444000,1342400
1985-04-10,3.885014,3.915848,3.823347,3.915848,0.451104,2146900
1985-04-11,3.915848,3.915848,3.854181,3.915848,0.451104,3452600
1985-04-12,3.915848,3.915848,3.854181,3.915848,0.451104,1480900
1985-04-15,3.885014,3.915848,3.823347,3.915848,0.451104,874800
1985-04-16,3.915848,3.915848,3.823347,3.915848,0.451104,1002600
1985-04-17,3.915848,3.915848,3.854181,3.885014,0.447552,680000
1985-04-18,3.915848,3.946681,3.854181,3.915848,0.451104,1243400
1985-04-19,3.915848,3.915848,3.823347,3.915848,0.451104,879900
1985-04-22,3.915848,3.915848,3.823347,3.885014,0.447552,664600
1985-04-23,3.854181,3.885014,3.823347,3.885014,0.447552,4876800
1985-04-24,3.885014,3.885014,3.854181,3.854181,0.444000,1243000
1985-04-25,3.854181,3.915848,3.823347,3.823347,0.440448,2650600
1985-04-26,3.823347,3.854181,3.761680,3.823347,0.440448,1649100
1985-04-29,3.792514,3.823347,3.669180,3.700014,0.426240,1172300
1985-04-30,3.700014,3.730847,3.669180,3.700014,0.426240,680000
1985-05-01,3.700014,3.700014,3.638347,3.700014,0.426240,1008800
1985-05-02,3.638347,3.669180,3.638347,3.669180,0.422688,592400
1985-05-03,3.669180,3.700014,3.638347,3.669180,0.422688,828000
1985-05-06,3.669180,3.669180,3.638347,3.638347,0.419136,512900
1985-05-07,3.669180,3.669180,3.576680,3.638347,0.419136,3110100
1985-05-08,3.607513,3.669180,3.607513,3.638347,0.419136,1330600
1985-05-09,3.638347,3.700014,3.607513,3.669180,0.422688,1499600
1985-05-10,3.700014,3.761680,3.669180,3.700014,0.426240,1554100
1985-05-13,3.730847,3.792514,3.700014,3.792514,0.436896,1081000
1985-05-14,3.792514,3.823347,3.761680,3.761680,0.433344,1658000
1985-05-15,3.792514,3.792514,3.730847,3.730847,0.429792,960600
1985-05-16,3.730847,3.761680,3.700014,3.730847,0.429792,1027600
1985-05-17,3.730847,3.730847,3.669180,3.730847,0.429792,2512500
1985-05-20,3.761680,3.792514,3.700014,3.730847,0.429792,1634400
1985-05-21,3.730847,3.761680,3.700014,3.761680,0.433344,1316300
1985-05-22,3.761680,3.761680,3.669180,3.730847,0.429792,1040100
1985-05-23,3.730847,3.730847,3.700014,3.730847,0.429792,653500
1985-05-24,3.730847,3.761680,3.700014,3.761680,0.433344,1141700
1985-05-28,3.761680,3.761680,3.669180,3.700014,0.426240,968300
1985-05-29,3.700014,3.761680,3.669180,3.761680,0.433344,2121200
1985-05-30,3.730847,3.761680,3.730847,3.730847,0.429792,560400
1985-05-31,3.730847,3.761680,3.700014,3.761680,0.433344,929700
1985-06-03,3.730847,3.792514,3.730847,3.761680,0.433344,1482700
1985-06-04,3.730847,3.761680,3.700014,3.730847,0.432400,1402800
1985-06-05,3.730847,3.761680,3.700014,3.730847,0.432400,1054500
1985-06-06,3.730847,3.730847,3.700014,3.730847,0.432400,1171900
1985-06-07,3.730847,3.761680,3.669180,3.669180,0.425253,968700
1985-06-10,3.700014,3.730847,3.669180,3.700014,0.428827,1071800
1985-06-11,3.730847,3.730847,3.669180,3.669180,0.425253,651700
1985-06-12,3.700014,3.730847,3.669180,3.730847,0.432400,885800
1985-06-13,3.700014,3.730847,3.638347,3.638347,0.421680,1383600
1985-06-14,3.669180,3.700014,3.638347,3.669180,0.425253,803700
1985-06-17,3.669180,3.823347,3.669180,3.823347,0.443121,2571100
1985-06-18,3.854181,3.946681,3.823347,3.946681,0.457415,2560000
1985-06-19,3.977515,4.131682,3.946681,4.100848,0.475283,3767700
1985-06-20,4.070015,4.131682,4.039182,4.100848,0.475283,4358000
1985-06-21,4.100848,4.131682,3.638347,3.915848,0.453842,3922400
1985-06-24,3.885014,3.946681,3.761680,3.946681,0.457415,2715800
1985-06-25,3.946681,4.039182,3.885014,3.946681,0.457415,2474300
1985-06-26,3.915848,3.915848,3.761680,3.915848,0.453842,2233100
1985-06-27,3.792514,3.823347,3.700014,3.730847,0.432400,6875300
1985-06-28,3.761680,3.854181,3.730847,3.792514,0.439547,4888900
1985-07-01,3.823347,3.915848,3.792514,3.915848,0.453842,1486000
1985-07-02,3.915848,3.946681,3.761680,3.823347,0.443121,1506300
1985-07-03,3.823347,3.854181,3.792514,3.823347,0.443121,2563000
1985-07-05,3.823347,3.823347,3.761680,3.823347,0.443121,647600
1985-07-08,3.823347,3.823347,3.730847,3.761680,0.435974,1122200
1985-07-09,3.730847,4.008348,3.730847,3.946681,0.457415,4406600
1985-07-10,3.885014,3.915848,3.823347,3.915848,0.453842,2230100
1985-07-11,3.915848,4.039182,3.885014,3.977515,0.460989,2112300
