Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.055555,4.111111,4.055555,4.055555,0.821306,5400
1985-01-29,4.055555,4.138889,4.055555,4.055555,0.821306,5400
1985-01-30,4.055555,4.138889,4.055555,4.055555,0.821306,4400
1985-01-31,4.055555,4.138889,4.055555,4.055555,0.821306,1800
1985-02-01,4.055555,4.138889,4.055555,4.055555,0.821306,800
1985-02-04,4.055555,4.138889,4.055555,4.055555,0.821306,2600
1985-02-05,4.055555,4.055555,4.055555,4.055555,0.821306,0
1985-02-06,4.055555,4.138889,4.055555,4.055555,0.821306,1800
1985-02-07,4.055555,4.138889,4.055555,4.055555,0.821306,800
1985-02-08,4.083333,4.166667,4.083333,4.083333,0.826932,20600
1985-02-11,4.138889,4.222222,4.138889,4.138889,0.838183,31400
1985-02-12,4.138889,4.222222,4.138889,4.138889,0.838183,2600
1985-02-13,4.138889,4.222222,4.138889,4.138889,0.838183,3600
1985-02-14,4.166667,4.277778,4.166667,4.166667,0.843807,21600
1985-02-15,4.250000,4.333333,4.250000,4.250000,0.860684,28800
1985-02-19,4.250000,4.333333,4.250000,4.250000,0.860684,3600
1985-02-20,4.250000,4.333333,4.250000,4.250000,0.860684,21600
1985-02-21,4.250000,4.333333,4.250000,4.250000,0.860684,2600
1985-02-22,4.250000,4.333333,4.250000,4.250000,0.860684,1800
1985-02-25,4.250000,4.333333,4.250000,4.250000,0.860684,9000
1985-02-26,4.250000,4.333333,4.250000,4.250000,0.860684,1800
1985-02-27,4.250000,4.333333,4.250000,4.250000,0.860684,3600
1985-02-28,4.305555,4.388889,4.305555,4.305555,0.871935,20600
1985-03-01,4.361111,4.416667,4.361111,4.361111,0.883186,10800
1985-03-04,4.361111,4.444445,4.361111,4.361111,0.883186,1800
1985-03-05,4.388889,4.444445,4.388889,4.388889,0.888811,26000
1985-03-06,4.388889,4.500000,4.388889,4.388889,0.888811,14400
1985-03-07,4.444445,4.555555,4.444445,4.444445,0.900062,7200
1985-03-08,4.472222,4.555555,4.472222,4.472222,0.905687,4400
1985-03-11,4.583333,4.666667,4.583333,4.583333,0.928189,19800
1985-03-12,4.666667,4.750000,4.666667,4.666667,0.945065,31400
1985-03-13,4.666667,4.750000,4.666667,4.666667,0.945065,41400
1985-03-14,4.666667,4.722222,4.666667,4.666667,0.945065,21600
1985-03-15,4.638889,4.638889,4.555555,4.555555,0.922563,21600
1985-03-18,4.555555,4.638889,4.555555,4.555555,0.922563,27000
1985-03-19,4.555555,4.638889,4.555555,4.555555,0.922563,800
1985-03-20,4.555555,4.638889,4.555555,4.555555,0.922563,1800
1985-03-21,4.555555,4.611111,4.555555,4.555555,0.922563,13400
1985-03-22,4.555555,4.638889,4.555555,4.555555,0.922563,9000
1985-03-25,4.555555,4.638889,4.555555,4.555555,0.922563,19800
1985-03-26,4.583333,4.638889,4.583333,4.583333,0.928189,27000
1985-03-27,4.583333,4.638889,4.583333,4.583333,0.928189,17000
1985-03-28,4.583333,4.638889,4.583333,4.583333,0.928189,800
1985-03-29,4.583333,4.638889,4.583333,4.583333,0.928189,16200
1985-04-01,4.583333,4.611111,4.527778,4.527778,0.916938,14400
1985-04-02,4.527778,4.611111,4.527778,4.527778,0.916938,61200
1985-04-03,4.527778,4.611111,4.527778,4.527778,0.916938,2600
1985-04-04,4.555555,4.638889,4.555555,4.555555,0.922563,14400
1985-04-08,4.555555,4.555555,4.555555,4.555555,0.922563,0
1985-04-09,4.555555,4.638889,4.555555,4.555555,0.922563,1800
1985-04-10,4.555555,4.638889,4.555555,4.555555,0.922563,0
1985-04-11,4.555555,4.638889,4.555555,4.555555,0.922563,800
1985-04-12,4.555555,4.638889,4.555555,4.555555,0.922563,1800
1985-04-15,4.555555,4.638889,4.555555,4.555555,0.922563,800
1985-04-16,4.555555,4.638889,4.555555,4.555555,0.922563,2600
1985-04-17,4.555555,4.638889,4.555555,4.555555,0.922563,2600
1985-04-18,4.611111,4.694445,4.611111,4.611111,0.933814,18000
1985-04-19,4.611111,4.694445,4.611111,4.611111,0.967468,2600
1985-04-22,4.611111,4.694445,4.611111,4.611111,0.967468,800
1985-04-23,4.611111,4.694445,4.611111,4.611111,0.967468,800
1985-04-24,4.611111,4.694445,4.611111,4.611111,0.967468,2600
1985-04-25,4.611111,4.694445,4.611111,4.611111,0.967468,1800
1985-04-26,4.638889,4.694445,4.638889,4.638889,0.973296,4400
