Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.750000,2.789063,2.734375,2.765625,0.548692,460800
1985-01-29,2.765625,2.781250,2.757813,2.781250,0.551791,352000
1985-01-30,2.773438,2.781250,2.757813,2.765625,0.548692,494400
1985-01-31,2.750000,2.804688,2.742188,2.796875,0.554892,558400
1985-02-01,2.781250,2.843750,2.781250,2.828125,0.561091,1668800
1985-02-04,2.796875,2.828125,2.781250,2.820313,0.559541,897600
1985-02-05,2.843750,2.851563,2.820313,2.835938,0.562642,745600
1985-02-06,2.835938,2.898438,2.835938,2.875000,0.570391,404800
1985-02-07,2.875000,2.937500,2.875000,2.914063,0.578141,894400
1985-02-08,2.898438,2.914063,2.835938,2.859375,0.567291,768000
1985-02-11,2.843750,2.851563,2.812500,2.812500,0.557991,320000
1985-02-12,2.812500,2.828125,2.781250,2.820313,0.559541,3041600
1985-02-13,2.828125,2.914063,2.828125,2.906250,0.576592,384000
1985-02-14,2.937500,2.937500,2.914063,2.914063,0.578141,1089600
1985-02-15,2.921875,2.921875,2.898438,2.898438,0.575041,161600
1985-02-19,2.906250,2.921875,2.890625,2.890625,0.573491,561600
1985-02-20,2.906250,2.929688,2.890625,2.898438,0.575041,452800
1985-02-21,2.921875,2.921875,2.882813,2.882813,0.571941,284800
1985-02-22,2.890625,2.960938,2.890625,2.921875,0.579691,756800
1985-02-25,2.906250,2.937500,2.882813,2.937500,0.582791,982400
1985-02-26,2.937500,2.960938,2.921875,2.937500,0.582791,860800
1985-02-27,2.953125,2.953125,2.882813,2.882813,0.571941,393600
1985-02-28,2.882813,2.937500,2.875000,2.937500,0.582791,732800
1985-03-01,2.921875,3.000000,2.921875,3.000000,0.595191,972800
1985-03-04,2.960938,2.976563,2.906250,2.921875,0.583337,632000
1985-03-05,2.906250,2.921875,2.859375,2.867188,0.572419,576000
1985-03-06,2.890625,2.898438,2.843750,2.843750,0.567740,923200
1985-03-07,2.843750,2.843750,2.812500,2.835938,0.566180,1408000
1985-03-08,2.835938,2.851563,2.804688,2.804688,0.559941,987200
1985-03-11,2.796875,2.796875,2.734375,2.750000,0.549023,692800
1985-03-12,2.750000,2.781250,2.718750,2.781250,0.555262,1568000
1985-03-13,2.796875,2.804688,2.781250,2.804688,0.559941,382400
1985-03-14,2.781250,2.843750,2.781250,2.843750,0.567740,560000
1985-03-15,2.828125,2.835938,2.781250,2.781250,0.555262,292800
1985-03-18,2.781250,2.812500,2.781250,2.789063,0.556822,1102400
1985-03-19,2.796875,2.867188,2.796875,2.851563,0.569300,358400
1985-03-20,2.953125,2.960938,2.890625,2.906250,0.580217,1612800
1985-03-21,2.937500,2.968750,2.929688,2.929688,0.584896,2230400
1985-03-22,2.914063,2.953125,2.906250,2.921875,0.583337,707200
1985-03-25,2.921875,2.960938,2.914063,2.953125,0.589576,425600
1985-03-26,2.953125,2.968750,2.914063,2.929688,0.584896,782400
1985-03-27,2.945313,3.031250,2.945313,3.015625,0.602054,1040000
1985-03-28,3.007813,3.054688,3.007813,3.023438,0.603613,428800
1985-03-29,3.023438,3.109375,3.023438,3.109375,0.620770,809600
1985-04-01,3.093750,3.125000,3.062500,3.093750,0.617651,1664000
1985-04-02,3.101563,3.109375,3.039063,3.039063,0.606733,444800
1985-04-03,3.062500,3.078125,3.007813,3.054688,0.609852,540800
1985-04-04,3.039063,3.054688,3.015625,3.039063,0.606733,217600
1985-04-08,3.023438,3.031250,2.937500,2.953125,0.589576,502400
1985-04-09,2.921875,2.945313,2.921875,2.921875,0.583337,433600
1985-04-10,2.953125,3.015625,2.953125,2.984375,0.595815,804800
1985-04-11,2.984375,3.046875,2.984375,3.046875,0.608292,401600
1985-04-12,3.054688,3.054688,3.023438,3.054688,0.609852,284800
1985-04-15,3.054688,3.062500,3.031250,3.031250,0.605173,284800
1985-04-16,3.031250,3.039063,3.000000,3.015625,0.602054,627200
1985-04-17,3.015625,3.039063,3.007813,3.015625,0.602054,67200
1985-04-18,3.031250,3.054688,3.015625,3.015625,0.602054,316800
1985-04-19,3.023438,3.054688,3.023438,3.054688,0.609852,846400
1985-04-22,3.039063,3.039063,3.015625,3.039063,0.606733,604800
1985-04-23,3.062500,3.078125,3.039063,3.046875,0.608292,1651200
1985-04-24,3.078125,3.093750,3.070313,3.078125,0.614531,1868800
1985-04-25,3.054688,3.117188,3.039063,3.109375,0.620770,1456000
1985-04-26,3.125000,3.125000,3.062500,3.070313,0.612971,480000
1985-04-29,3.046875,3.054688,3.023438,3.046875,0.608292,395200
1985-04-30,3.046875,3.046875,2.984375,2.984375,0.595815,764800
1985-05-01,2.984375,3.000000,2.953125,2.953125,0.589576,460800
1985-05-02,2.953125,2.976563,2.937500,2.937500,0.586456,732800
1985-05-03,2.937500,2.960938,2.937500,2.945313,0.588016,1168000
1985-05-06,2.976563,3.046875,2.976563,3.046875,0.608292,395200
1985-05-07,3.054688,3.109375,3.039063,3.085938,0.616091,585600
1985-05-08,3.085938,3.101563,3.054688,3.070313,0.612971,505600
1985-05-09,3.085938,3.093750,3.054688,3.078125,0.614531,283200
1985-05-10,3.109375,3.148438,3.109375,3.140625,0.627009,1228800
1985-05-13,3.148438,3.187500,3.148438,3.171875,0.633248,705600
1985-05-14,3.171875,3.187500,3.156250,3.171875,0.633248,318400
