Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.421098,2.421098,2.388673,2.410290,0.458716,842900
1985-01-29,2.410290,2.485949,2.399481,2.464332,0.469001,526000
1985-01-30,2.485949,2.594034,2.485949,2.561608,0.487514,1620100
1985-01-31,2.561608,2.583225,2.507566,2.572417,0.489571,641700
1985-02-01,2.561608,2.561608,2.529183,2.550800,0.485457,388500
1985-02-04,2.550800,2.594034,2.550800,2.572417,0.489571,580500
1985-02-05,2.572417,2.594034,2.518374,2.529183,0.481343,387200
1985-02-06,2.529183,2.561608,2.529183,2.550800,0.485457,273900
1985-02-07,2.550800,2.561608,2.539991,2.561608,0.487514,817500
1985-02-08,2.561608,2.572417,2.561608,2.572417,0.489571,313200
1985-02-11,2.572417,2.583225,2.496758,2.507566,0.477229,270600
1985-02-12,2.507566,2.507566,2.496758,2.507566,0.477229,78600
1985-02-13,2.507566,2.529183,2.496758,2.507566,0.477229,83200
1985-02-14,2.507566,2.529183,2.496758,2.518374,0.479286,484400
1985-02-15,2.518374,2.539991,2.507566,2.507566,0.477229,300600
1985-02-19,2.518374,2.550800,2.518374,2.529183,0.481343,152600
1985-02-20,2.529183,2.572417,2.529183,2.529183,0.481343,405800
1985-02-21,2.529183,2.561608,2.529183,2.550800,0.485457,285500
1985-02-22,2.539991,2.539991,2.518374,2.529183,0.481343,106300
1985-02-25,2.529183,2.529183,2.507566,2.507566,0.477229,63400
1985-02-26,2.507566,2.594034,2.507566,2.572417,0.489571,224300
1985-02-27,2.572417,2.583225,2.550800,2.583225,0.491628,390800
1985-02-28,2.583225,2.583225,2.539991,2.583225,0.491628,257700
1985-03-01,2.583225,2.594034,2.561608,2.594034,0.493685,425500
1985-03-04,2.594034,2.594034,2.539991,2.539991,0.483400,99400
1985-03-05,2.539991,2.550800,2.529183,2.539991,0.483400,176800
1985-03-06,2.507566,2.507566,2.442715,2.453524,0.466944,378000
1985-03-07,2.453524,2.453524,2.431907,2.442715,0.464887,108700
1985-03-08,2.442715,2.453524,2.421098,2.421098,0.460773,698500
1985-03-11,2.421098,2.442715,2.410290,2.421098,0.460773,135100
1985-03-12,2.431907,2.453524,2.431907,2.442715,0.464887,67000
1985-03-13,2.442715,2.475141,2.421098,2.442715,0.464887,117900
1985-03-14,2.442715,2.464332,2.431907,2.464332,0.469001,257700
1985-03-15,2.464332,2.475141,2.453524,2.453524,0.466944,409400
1985-03-18,2.453524,2.485949,2.453524,2.464332,0.469001,687900
1985-03-19,2.464332,2.485949,2.442715,2.464332,0.469001,722600
1985-03-20,2.464332,2.485949,2.442715,2.464332,0.469001,1144900
1985-03-21,2.475141,2.539991,2.475141,2.539991,0.483400,653200
1985-03-22,2.539991,2.594034,2.529183,2.583225,0.491628,759600
1985-03-25,2.583225,2.594034,2.572417,2.594034,0.493685,326100
1985-03-26,2.594034,2.594034,2.550800,2.572417,0.489571,195300
1985-03-27,2.572417,2.583225,2.529183,2.529183,0.481343,383900
1985-03-28,2.539991,2.583225,2.539991,2.561608,0.487514,78600
1985-03-29,2.561608,2.594034,2.550800,2.572417,0.489571,1114800
1985-04-01,2.572417,2.583225,2.572417,2.583225,0.491628,198900
1985-04-02,2.594034,2.648076,2.594034,2.615651,0.497799,529600
1985-04-03,2.615651,2.637268,2.583225,2.626459,0.499856,1188800
1985-04-04,2.626459,2.626459,2.594034,2.615651,0.497799,264700
1985-04-08,2.615651,2.637268,2.604842,2.637268,0.501913,344600
1985-04-09,2.637268,2.810203,2.637268,2.777778,0.528654,639400
1985-04-10,2.777778,2.777778,2.723735,2.745352,0.522484,403400
1985-04-11,2.745352,2.799395,2.745352,2.788586,0.530711,545800
1985-04-12,2.788586,2.810203,2.756161,2.810203,0.534825,248500
1985-04-15,2.810203,2.821012,2.766969,2.766969,0.526597,257700
1985-04-16,2.766969,2.799395,2.766969,2.777778,0.528654,86600
1985-04-17,2.777778,2.799395,2.745352,2.745352,0.522484,153600
1985-04-18,2.745352,2.766969,2.734544,2.756161,0.524540,162900
1985-04-19,2.756161,2.777778,2.756161,2.766969,0.526597,201200
1985-04-22,2.766969,2.766969,2.745352,2.745352,0.522484,30000
