Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.203125,4.234375,4.156250,4.171875,1.847127,1528000
1985-01-29,4.187500,4.281250,4.187500,4.281250,1.895552,2579200
1985-01-30,4.281250,4.312500,4.171875,4.218750,1.867881,2970400
1985-01-31,4.218750,4.218750,4.156250,4.171875,1.847127,2156000
1985-02-01,4.171875,4.218750,4.156250,4.203125,1.860963,1059200
1985-02-04,4.203125,4.234375,4.171875,4.203125,1.860963,1399200
1985-02-05,4.203125,4.218750,4.109375,4.140625,1.833290,1562400
1985-02-06,4.140625,4.171875,4.109375,4.140625,1.833290,988000
1985-02-07,4.140625,4.171875,4.109375,4.156250,1.840208,1504000
1985-02-08,4.156250,4.328125,4.156250,4.328125,1.916307,2283200
1985-02-11,4.312500,4.312500,4.187500,4.218750,1.867881,1764800
1985-02-12,4.203125,4.203125,4.078125,4.078125,1.805617,1604000
1985-02-13,4.078125,4.140625,4.062500,4.093750,1.812536,1465600
1985-02-14,4.093750,4.109375,4.031250,4.031250,1.784863,1999200
1985-02-15,4.031250,4.078125,3.984375,4.000000,1.771028,1547200
1985-02-19,3.984375,3.984375,3.937500,3.968750,1.757191,960000
1985-02-20,3.968750,4.062500,3.937500,3.984375,1.764109,1710400
1985-02-21,3.968750,3.968750,3.921875,3.921875,1.736436,2565600
1985-02-22,3.937500,4.031250,3.937500,3.984375,1.764109,1609600
1985-02-25,3.984375,4.031250,3.937500,4.000000,1.771028,1429600
1985-02-26,4.000000,4.125000,3.890625,4.125000,1.826372,2028000
1985-02-27,4.125000,4.125000,4.062500,4.093750,1.812536,1815200
1985-02-28,4.093750,4.109375,4.078125,4.109375,1.819455,997600
1985-03-01,4.109375,4.140625,4.078125,4.093750,1.812536,2152000
1985-03-04,4.093750,4.093750,4.015625,4.031250,1.784863,1028000
1985-03-05,4.031250,4.046875,4.000000,4.031250,1.784863,884800
1985-03-06,4.015625,4.015625,3.953125,3.968750,1.757191,1097600
1985-03-07,3.968750,3.968750,3.843750,3.859375,1.708765,1924000
1985-03-08,3.875000,3.968750,3.875000,3.937500,1.743355,1194400
1985-03-11,3.937500,3.968750,3.921875,3.921875,1.736436,662400
1985-03-12,3.921875,3.968750,3.906250,3.921875,1.736436,1356000
1985-03-13,3.921875,3.937500,3.843750,3.890625,1.722602,942400
1985-03-14,3.890625,3.906250,3.875000,3.890625,1.722602,494400
1985-03-15,3.890625,3.890625,3.828125,3.828125,1.694930,1693600
1985-03-18,3.828125,3.843750,3.671875,3.671875,1.625748,1736000
1985-03-19,3.671875,3.750000,3.625000,3.718750,1.646502,2697600
1985-03-20,3.718750,3.765625,3.718750,3.750000,1.660338,4013600
1985-03-21,3.750000,3.750000,3.703125,3.718750,1.646502,921600
1985-03-22,3.718750,3.781250,3.703125,3.750000,1.660338,2747200
1985-03-25,3.750000,3.781250,3.734375,3.765625,1.667256,1016800
1985-03-26,3.765625,3.843750,3.750000,3.828125,1.694930,602400
1985-03-27,3.843750,3.906250,3.843750,3.906250,1.729519,1144000
1985-03-28,3.906250,4.000000,3.890625,3.953125,1.750273,2058400
1985-03-29,3.953125,4.015625,3.937500,3.984375,1.764109,1075200
1985-04-01,4.015625,4.125000,4.015625,4.109375,1.819455,1041600
1985-04-02,4.109375,4.140625,4.078125,4.093750,1.812536,1632800
1985-04-03,4.093750,4.093750,3.953125,4.000000,1.771028,1053600
1985-04-04,4.000000,4.000000,3.937500,3.953125,1.750273,959200
1985-04-08,3.953125,3.984375,3.921875,3.953125,1.750273,876800
1985-04-09,3.953125,3.953125,3.828125,3.843750,1.701846,2126400
1985-04-10,3.843750,3.843750,3.750000,3.812500,1.688011,1731200
1985-04-11,3.875000,4.000000,3.875000,3.984375,1.764109,2472000
1985-04-12,3.984375,4.015625,3.953125,3.984375,1.764109,552000
1985-04-15,4.000000,4.062500,4.000000,4.031250,1.784863,1972000
1985-04-16,4.031250,4.140625,4.015625,4.093750,1.819591,4111200
1985-04-17,4.093750,4.171875,3.968750,4.140625,1.840426,4517600
1985-04-18,4.140625,4.156250,4.062500,4.093750,1.819591,1774400
1985-04-19,4.093750,4.125000,4.062500,4.078125,1.812645,1332000
1985-04-22,4.078125,4.109375,4.078125,4.078125,1.812645,1048800
1985-04-23,4.078125,4.109375,4.062500,4.109375,1.826536,1257600
1985-04-24,4.109375,4.109375,4.078125,4.109375,1.826536,996800
1985-04-25,4.109375,4.125000,4.078125,4.093750,1.819591,1230400
1985-04-26,4.093750,4.125000,4.093750,4.093750,1.819591,1638400
1985-04-29,4.093750,4.109375,4.046875,4.093750,1.819591,733600
1985-04-30,4.093750,4.093750,3.953125,3.953125,1.757086,1231200
1985-05-01,3.953125,3.968750,3.906250,3.921875,1.743195,1500000
1985-05-02,3.921875,3.921875,3.875000,3.890625,1.729307,669600
1985-05-03,3.890625,3.890625,3.843750,3.875000,1.722360,2264000
1985-05-06,3.875000,3.937500,3.843750,3.859375,1.715416,1525600
1985-05-07,3.859375,3.906250,3.843750,3.890625,1.729307,2597600
1985-05-08,3.906250,3.937500,3.906250,3.906250,1.736251,914400
1985-05-09,3.906250,3.937500,3.890625,3.921875,1.743195,1522400
1985-05-10,3.921875,4.078125,3.921875,4.062500,1.805701,1762400
1985-05-13,4.078125,4.109375,4.078125,4.093750,1.819591,948800
1985-05-14,4.093750,4.140625,4.062500,4.078125,1.812645,1260800
1985-05-15,4.078125,4.109375,4.031250,4.078125,1.812645,1203200
1985-05-16,4.078125,4.093750,4.046875,4.078125,1.812645,688800
1985-05-17,4.078125,4.234375,4.046875,4.234375,1.882096,6963200
1985-05-20,4.265625,4.343750,4.265625,4.328125,1.923766,3351200
1985-05-21,4.328125,4.421875,4.312500,4.375000,1.944602,4822400
1985-05-22,4.343750,4.343750,4.312500,4.328125,1.923766,1617600
1985-05-23,4.328125,4.343750,4.281250,4.296875,1.909876,1123200
1985-05-24,4.296875,4.343750,4.296875,4.328125,1.923766,1196000
1985-05-28,4.328125,4.375000,4.312500,4.343750,1.930710,1246400
1985-05-29,4.343750,4.359375,4.312500,4.343750,1.930710,905600
1985-05-30,4.343750,4.359375,4.296875,4.312500,1.916821,1735200
1985-05-31,4.312500,4.359375,4.296875,4.328125,1.923766,1889600
1985-06-03,4.343750,4.390625,4.343750,4.390625,1.951547,1594400
1985-06-04,4.421875,4.500000,4.421875,4.468750,1.986270,3568800
1985-06-05,4.468750,4.500000,4.421875,4.421875,1.965435,3457600
1985-06-06,4.406250,4.406250,4.312500,4.312500,1.916821,5049600
1985-06-07,4.312500,4.312500,4.250000,4.250000,1.889041,2058400
1985-06-10,4.250000,4.250000,4.218750,4.250000,1.889041,971200
1985-06-11,4.250000,4.265625,4.218750,4.218750,1.875151,785600
1985-06-12,4.218750,4.218750,4.187500,4.203125,1.868206,939200
1985-06-13,4.203125,4.234375,4.171875,4.187500,1.861262,724000
1985-06-14,4.187500,4.234375,4.187500,4.218750,1.875151,1597600
1985-06-17,4.218750,4.218750,4.187500,4.187500,1.861262,450400
1985-06-18,4.187500,4.234375,4.187500,4.203125,1.868206,1808000
1985-06-19,4.203125,4.218750,4.187500,4.203125,1.868206,1334400
1985-06-20,4.203125,4.234375,4.156250,4.187500,1.861262,1621600
1985-06-21,4.187500,4.234375,4.156250,4.234375,1.882096,2183200
1985-06-24,4.203125,4.203125,4.171875,4.203125,1.868206,1528000
1985-06-25,4.203125,4.234375,4.171875,4.187500,1.861262,2897600
1985-06-26,4.171875,4.171875,4.125000,4.156250,1.847370,852800
1985-06-27,4.156250,4.156250,4.125000,4.156250,1.847370,1289600
1985-06-28,4.156250,4.156250,4.093750,4.140625,1.840426,933600
1985-07-01,4.140625,4.218750,4.140625,4.203125,1.868206,1926400
1985-07-02,4.203125,4.281250,4.203125,4.265625,1.895986,1040000
1985-07-03,4.281250,4.343750,4.281250,4.312500,1.916821,1853600
1985-07-05,4.328125,4.437500,4.328125,4.437500,1.972382,1424000
1985-07-08,4.421875,4.421875,4.375000,4.406250,1.958491,1394400
1985-07-09,4.406250,4.531250,4.406250,4.468750,1.986270,3412000
1985-07-10,4.468750,4.703125,4.468750,4.687500,2.083502,9496000
1985-07-11,4.687500,4.687500,4.546875,4.593750,2.041832,5133600
1985-07-12,4.593750,4.609375,4.562500,4.593750,2.041832,2881600
1985-07-15,4.593750,4.609375,4.562500,4.562500,2.027941,1136800
1985-07-16,4.562500,4.562500,4.468750,4.546875,2.027943,2212000
1985-07-17,4.546875,4.546875,4.484375,4.515625,2.014005,1834400
1985-07-18,4.515625,4.593750,4.500000,4.531250,2.020974,3250400
1985-07-19,4.531250,4.562500,4.531250,4.562500,2.034912,642400
1985-07-22,4.562500,4.578125,4.531250,4.578125,2.041881,706400
1985-07-23,4.578125,4.671875,4.578125,4.625000,2.062788,4596000
1985-07-24,4.625000,4.671875,4.625000,4.671875,2.083694,3004800
1985-07-25,4.671875,4.781250,4.671875,4.718750,2.104601,2813600
1985-07-26,4.718750,4.781250,4.703125,4.765625,2.125507,2597600
1985-07-29,4.750000,4.750000,4.609375,4.625000,2.062788,1024000
1985-07-30,4.609375,4.609375,4.437500,4.500000,2.007036,1671200
1985-07-31,4.546875,4.609375,4.546875,4.609375,2.055819,2411200
1985-08-01,4.671875,4.734375,4.671875,4.718750,2.104601,1712000
1985-08-02,4.703125,4.703125,4.656250,4.656250,2.076725,1278400
1985-08-05,4.656250,4.687500,4.578125,4.593750,2.048851,478400
1985-08-06,4.593750,4.593750,4.437500,4.453125,1.986130,1088800
1985-08-07,4.453125,4.531250,4.453125,4.531250,2.020974,3567200
1985-08-08,4.531250,4.593750,4.484375,4.500000,2.007036,1701600
1985-08-09,4.500000,4.515625,4.453125,4.484375,2.000068,730400
1985-08-12,4.484375,4.500000,4.453125,4.484375,2.000068,1236000
1985-08-13,4.484375,4.484375,4.437500,4.453125,1.986130,2248000
1985-08-14,4.453125,4.515625,4.453125,4.468750,1.993099,801600
1985-08-15,4.468750,4.500000,4.453125,4.484375,2.000068,448000
1985-08-16,4.484375,4.484375,4.437500,4.453125,1.986130,1946400
1985-08-19,4.453125,4.515625,4.453125,4.500000,2.007036,698400
1985-08-20,4.500000,4.531250,4.468750,4.500000,2.007036,1249600
1985-08-21,4.500000,4.593750,4.500000,4.593750,2.048851,1329600
1985-08-22,4.593750,4.593750,4.515625,4.515625,2.014005,588800
1985-08-23,4.515625,4.515625,4.468750,4.515625,2.014005,2163200
1985-08-26,4.515625,4.546875,4.500000,4.531250,2.020974,1370400
1985-08-27,4.531250,4.562500,4.531250,4.546875,2.027943,457600
