Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.395830,4.447920,4.395830,4.395830,0.987446,874400
1985-01-29,4.395830,4.406250,4.354170,4.375000,0.982767,141600
1985-01-30,4.416670,4.666670,4.416670,4.666670,1.048285,896000
1985-01-31,4.666670,4.739580,4.583330,4.697920,1.055305,1397600
1985-02-01,4.708330,4.833330,4.708330,4.833330,1.085722,1692000
1985-02-04,4.833330,5.000000,4.802080,4.979170,1.118483,1752000
1985-02-05,5.031250,5.218750,5.031250,5.145830,1.155921,984800
1985-02-06,5.145830,5.145830,5.104170,5.114580,1.148900,1131200
1985-02-07,5.114580,5.145830,5.114580,5.145830,1.155921,718400
1985-02-08,5.145830,5.145830,5.000000,5.000000,1.123161,689600
1985-02-11,5.000000,5.010420,4.979170,5.000000,1.123161,293600
1985-02-12,4.968750,4.968750,4.927080,4.937500,1.109123,598400
1985-02-13,4.937500,4.947920,4.927080,4.947920,1.111463,214400
1985-02-14,4.947920,5.010420,4.937500,5.000000,1.123161,1558400
1985-02-15,5.083330,5.166670,5.083330,5.156250,1.158261,2688800
1985-02-19,5.156250,5.177080,5.135420,5.156250,1.158261,329600
1985-02-20,5.135420,5.135420,5.062500,5.114580,1.148900,199200
1985-02-21,5.114580,5.114580,4.916670,4.916670,1.104443,235200
1985-02-22,4.916670,5.000000,4.916670,4.958330,1.113801,267200
1985-02-25,4.916670,4.916670,4.812500,4.895830,1.099762,410400
1985-02-26,4.895830,4.979170,4.885420,4.968750,1.116143,586400
1985-02-27,5.020830,5.072920,5.020830,5.041670,1.132523,640800
1985-02-28,5.041670,5.052080,5.020830,5.052080,1.134860,317600
1985-03-01,5.052080,5.104170,5.052080,5.083330,1.141881,724800
1985-03-04,5.083330,5.114580,5.010420,5.010420,1.125503,860000
1985-03-05,5.010420,5.031250,4.937500,4.968750,1.116143,393600
1985-03-06,4.968750,4.968750,4.937500,4.937500,1.109123,72000
1985-03-07,4.916670,4.916670,4.843750,4.895830,1.099762,117600
1985-03-08,4.895830,4.927080,4.895830,4.895830,1.099762,619200
1985-03-11,4.895830,4.916670,4.864580,4.885420,1.097424,804800
1985-03-12,4.885420,4.895830,4.864580,4.895830,1.099762,677600
1985-03-13,4.875000,4.875000,4.802080,4.843750,1.088063,388800
1985-03-14,4.843750,4.875000,4.843750,4.875000,1.095083,226400
1985-03-15,4.875000,4.895830,4.812500,4.812500,1.081043,872000
1985-03-18,4.781250,4.781250,4.677080,4.739580,1.064663,504800
1985-03-19,4.739580,4.833330,4.697920,4.833330,1.085722,224000
1985-03-20,4.833330,4.916670,4.802080,4.916670,1.104443,206400
1985-03-21,4.916670,4.947920,4.895830,4.895830,1.099762,185600
1985-03-22,4.864580,4.864580,4.812500,4.822920,1.083384,141600
1985-03-25,4.822920,4.822920,4.760420,4.770830,1.071683,127200
1985-03-26,4.770830,4.770830,4.729170,4.729170,1.062325,156000
1985-03-27,4.729170,4.781250,4.729170,4.739580,1.064663,2378400
1985-03-28,4.750000,4.791670,4.750000,4.781250,1.074024,2007200
1985-03-29,4.770830,4.770830,4.739580,4.770830,1.071683,470400
1985-04-01,4.781250,4.812500,4.781250,4.812500,1.081043,547200
1985-04-02,4.833330,4.906250,4.833330,4.843750,1.088063,9086400
1985-04-03,4.843750,4.854170,4.833330,4.833330,1.085722,600800
1985-04-04,4.833330,4.843750,4.812500,4.833330,1.085722,922400
1985-04-08,4.833330,4.843750,4.822920,4.822920,1.083384,340800
1985-04-09,4.812500,4.812500,4.750000,4.781250,1.074024,2163200
1985-04-10,4.781250,4.875000,4.781250,4.875000,1.095083,1356800
1985-04-11,4.895830,4.968750,4.895830,4.947920,1.111463,1088000
1985-04-12,4.947920,4.958330,4.927080,4.927080,1.106781,939200
1985-04-15,4.927080,4.947920,4.927080,4.937500,1.109123,380000
1985-04-16,4.937500,4.937500,4.895830,4.895830,1.099762,437600
1985-04-17,4.916670,4.937500,4.916670,4.927080,1.106781,708800
1985-04-18,4.927080,4.958330,4.916670,4.927080,1.106781,548000
1985-04-19,4.916670,4.916670,4.875000,4.895830,1.099762,304800
1985-04-22,4.895830,4.895830,4.875000,4.895830,1.099762,783200
