Date,Open,High,Low,Close,Adj Close,Volume
1987-07-24,3.937500,3.937500,3.875000,3.937500,1.178951,15566400
1987-07-27,3.937500,3.937500,3.875000,3.906250,1.169594,1931200
1987-07-28,3.906250,3.906250,3.875000,3.875000,1.160237,2074800
1987-07-29,3.875000,3.906250,3.875000,3.875000,1.160237,4930800
1987-07-30,3.875000,3.906250,3.812500,3.812500,1.141524,4654400
1987-07-31,3.781250,3.781250,3.562500,3.625000,1.085383,3006800
1987-08-03,3.625000,3.843750,3.500000,3.843750,1.150880,1277600
1987-08-04,3.843750,3.906250,3.750000,3.781250,1.132167,698400
1987-08-05,3.781250,3.812500,3.750000,3.781250,1.132167,262000
1987-08-06,3.781250,3.781250,3.718750,3.750000,1.122810,480400
1987-08-07,3.750000,3.843750,3.750000,3.843750,1.150880,582400
1987-08-10,3.843750,3.968750,3.812500,3.906250,1.169594,1524800
1987-08-11,3.906250,3.937500,3.875000,3.937500,1.178951,2395200
1987-08-12,3.937500,3.937500,3.906250,3.937500,1.178951,1514400
1987-08-13,3.937500,3.937500,3.843750,3.875000,1.160237,516000
1987-08-14,3.875000,3.937500,3.843750,3.875000,1.160237,324000
1987-08-17,3.875000,3.875000,3.843750,3.875000,1.160237,183600
1987-08-18,3.875000,3.875000,3.718750,3.718750,1.113453,554400
1987-08-19,3.718750,3.750000,3.656250,3.750000,1.122810,304400
1987-08-20,3.750000,3.812500,3.750000,3.750000,1.122810,516000
1987-08-21,3.750000,3.843750,3.718750,3.812500,1.141524,620400
1987-08-24,3.843750,3.937500,3.843750,3.937500,1.178951,1596800
1987-08-25,3.937500,4.156250,3.937500,4.125000,1.235091,1371600
1987-08-26,4.187500,4.375000,4.187500,4.312500,1.291232,1897200
1987-08-27,4.312500,4.312500,4.187500,4.218750,1.263161,604800
1987-08-28,4.218750,4.250000,4.187500,4.250000,1.272519,171200
1987-08-31,4.218750,4.218750,4.156250,4.218750,1.263161,192000
1987-09-01,4.218750,4.281250,4.187500,4.187500,1.253804,1219600
1987-09-02,4.187500,4.218750,3.968750,4.000000,1.197664,1449600
1987-09-03,4.000000,4.093750,3.937500,4.000000,1.197664,252400
1987-09-04,4.000000,4.000000,3.906250,3.968750,1.188307,225600
1987-09-08,3.968750,3.968750,3.781250,3.875000,1.160237,536000
1987-09-09,3.875000,3.875000,3.812500,3.843750,1.150880,376800
1987-09-10,3.843750,3.875000,3.781250,3.843750,1.150880,803600
1987-09-11,3.843750,3.968750,3.843750,3.937500,1.178951,519600
1987-09-14,3.937500,4.000000,3.906250,3.968750,1.188307,206400
1987-09-15,3.968750,4.000000,3.937500,3.968750,1.188307,78000
1987-09-16,3.968750,4.000000,3.937500,4.000000,1.197664,390400
1987-09-17,3.968750,3.968750,3.937500,3.937500,1.178951,134400
1987-09-18,3.937500,3.968750,3.906250,3.906250,1.169594,95600
1987-09-21,3.937500,3.968750,3.937500,3.968750,1.188307,485600
1987-09-22,3.968750,4.000000,3.906250,3.968750,1.188307,520800
1987-09-23,3.968750,4.000000,3.937500,3.968750,1.188307,25200
1987-09-24,3.968750,3.968750,3.937500,3.937500,1.178951,46400
1987-09-25,3.937500,3.968750,3.937500,3.968750,1.188307,161600
1987-09-28,3.968750,4.062500,3.968750,4.031250,1.207021,600000
1987-09-29,4.031250,4.031250,3.968750,3.968750,1.188307,178400
1987-09-30,3.968750,4.000000,3.937500,4.000000,1.197664,235200
1987-10-01,4.000000,4.000000,3.968750,3.968750,1.188307,192000
1987-10-02,3.968750,4.000000,3.968750,4.000000,1.197664,655600
1987-10-05,4.000000,4.031250,3.937500,4.000000,1.197664,408000
1987-10-06,4.000000,4.031250,3.906250,3.906250,1.169594,310400
1987-10-07,3.906250,3.937500,3.718750,3.843750,1.150880,150400
1987-10-08,3.843750,3.843750,3.718750,3.750000,1.122810,486000
1987-10-09,3.750000,3.750000,3.562500,3.562500,1.066669,240400
1987-10-12,3.562500,3.562500,3.250000,3.343750,1.001172,558800
1987-10-13,3.343750,3.468750,3.343750,3.468750,1.038599,371200
1987-10-14,3.468750,3.468750,3.250000,3.312500,0.991816,755600
1987-10-15,3.281250,3.281250,3.156250,3.156250,0.945032,269600
1987-10-16,3.156250,3.218750,2.937500,3.031250,0.907605,620400
1987-10-19,2.687500,2.687500,2.250000,2.281250,0.683042,1634400
1987-10-20,2.281250,2.625000,2.031250,2.625000,0.785967,1648800
1987-10-21,2.625000,2.812500,2.625000,2.718750,0.814038,1183200
1987-10-22,2.468750,2.468750,2.250000,2.343750,0.701756,652400
1987-10-23,2.343750,2.375000,2.250000,2.343750,0.701756,3120400
1987-10-26,2.250000,2.250000,2.125000,2.156250,0.645616,744800
1987-10-27,2.156250,2.375000,2.125000,2.218750,0.664330,875200
1987-10-28,2.218750,2.218750,2.125000,2.187500,0.654972,768000
1987-10-29,2.187500,2.187500,2.125000,2.156250,0.645616,126000
1987-10-30,2.218750,2.562500,2.218750,2.562500,0.767253,2579200
1987-11-02,2.562500,2.687500,2.406250,2.625000,0.785967,653600
1987-11-03,2.562500,2.562500,2.343750,2.531250,0.757897,583200
1987-11-04,2.406250,2.406250,2.312500,2.343750,0.701756,307200
1987-11-05,2.312500,2.312500,2.250000,2.281250,0.683042,544800
1987-11-06,2.281250,2.312500,2.281250,2.312500,0.692400,405200
1987-11-09,2.312500,2.312500,2.250000,2.281250,0.683042,394000
1987-11-10,2.281250,2.312500,2.218750,2.250000,0.673686,718800
1987-11-11,2.250000,2.312500,2.218750,2.281250,0.683042,308000
1987-11-12,2.281250,2.375000,2.281250,2.312500,0.692400,277600
1987-11-13,2.312500,2.312500,2.218750,2.250000,0.673686,385200
1987-11-16,2.250000,2.312500,2.218750,2.218750,0.664330,145200
1987-11-17,2.218750,2.250000,2.125000,2.250000,0.673686,353600
1987-11-18,2.250000,2.250000,2.156250,2.218750,0.664330,338400
1987-11-19,2.218750,2.218750,2.125000,2.156250,0.645616,204000
1987-11-20,2.156250,2.156250,2.093750,2.156250,0.645616,606400
1987-11-23,2.156250,2.250000,2.156250,2.250000,0.673686,260000
1987-11-24,2.250000,2.375000,2.218750,2.343750,0.701756,557200
1987-11-25,2.312500,2.312500,2.250000,2.312500,0.692400,268400
1987-11-27,2.312500,2.343750,2.281250,2.312500,0.692400,124800
1987-11-30,2.281250,2.281250,2.156250,2.250000,0.673686,623200
1987-12-01,2.250000,2.250000,2.156250,2.187500,0.654972,350800
1987-12-02,2.187500,2.187500,2.093750,2.187500,0.654972,328000
1987-12-03,2.187500,2.187500,2.062500,2.093750,0.626902,306000
1987-12-04,2.093750,2.093750,2.062500,2.093750,0.626902,492800
1987-12-07,2.093750,2.125000,2.062500,2.093750,0.626902,286000
1987-12-08,2.093750,2.125000,2.062500,2.093750,0.626902,472400
1987-12-09,2.093750,2.406250,2.093750,2.375000,0.711113,503600
1987-12-10,2.375000,2.468750,2.281250,2.375000,0.711113,391200
1987-12-11,2.375000,2.406250,2.343750,2.375000,0.711113,292800
1987-12-14,2.375000,2.468750,2.343750,2.468750,0.739183,596800
1987-12-15,2.468750,2.500000,2.437500,2.468750,0.739183,234000
1987-12-16,2.500000,2.750000,2.500000,2.687500,0.804681,930400
1987-12-17,2.687500,2.875000,2.687500,2.781250,0.832751,820800
1987-12-18,2.781250,2.843750,2.656250,2.812500,0.842108,468400
1987-12-21,2.812500,2.843750,2.687500,2.750000,0.823394,322000
1987-12-22,2.750000,2.750000,2.562500,2.625000,0.785967,308400
1987-12-23,2.625000,2.750000,2.562500,2.750000,0.823394,243200
1987-12-24,2.812500,2.937500,2.812500,2.875000,0.860821,215200
1987-12-28,2.875000,2.875000,2.781250,2.812500,0.842108,151600
1987-12-29,2.812500,2.812500,2.750000,2.812500,0.842108,194800
1987-12-30,2.812500,2.812500,2.750000,2.750000,0.823394,267600
1987-12-31,2.750000,3.000000,2.656250,3.000000,0.898248,553200
1988-01-04,3.000000,3.000000,2.968750,3.000000,0.898248,258800
1988-01-05,3.000000,3.062500,3.000000,3.031250,0.907605,300400
1988-01-06,3.031250,3.375000,3.000000,3.250000,0.973102,366800
1988-01-07,3.250000,3.500000,3.218750,3.500000,1.047956,2301200
1988-01-08,3.500000,3.500000,3.312500,3.312500,0.991816,1037600
1988-01-11,3.312500,3.375000,3.218750,3.343750,1.001172,199200
1988-01-12,3.312500,3.312500,3.250000,3.312500,0.991816,512000
1988-01-13,3.281250,3.281250,3.187500,3.281250,0.982459,224800
1988-01-14,3.281250,3.375000,3.218750,3.250000,0.973102,103600
1988-01-15,3.312500,3.406250,3.312500,3.312500,0.991816,679200
1988-01-18,3.281250,3.281250,3.218750,3.281250,0.982459,116000
1988-01-19,3.250000,3.250000,3.187500,3.218750,0.963745,351200
1988-01-20,3.218750,3.218750,3.156250,3.218750,0.963745,202800
1988-01-21,3.218750,3.218750,3.093750,3.156250,0.945032,146800
1988-01-22,3.156250,3.187500,3.125000,3.156250,0.945032,104800
1988-01-25,3.156250,3.250000,3.125000,3.250000,0.973102,368800
1988-01-26,3.250000,3.312500,3.218750,3.312500,0.991816,167600
1988-01-27,3.312500,3.312500,3.250000,3.312500,0.991816,192000
1988-01-28,3.312500,3.343750,3.281250,3.312500,0.991816,68800
1988-01-29,3.312500,3.343750,3.281250,3.343750,1.001172,270800
1988-02-01,3.312500,3.312500,3.218750,3.250000,0.973102,108800
1988-02-02,3.250000,3.250000,3.187500,3.187500,0.954389,42000
