Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.645029,3.667882,3.633603,3.667882,1.144496,875000
1985-01-29,3.667882,3.679308,3.656456,3.656456,1.140931,503000
1985-01-30,3.656456,3.690735,3.656456,3.673595,1.146279,259800
1985-01-31,3.673595,3.690735,3.667882,3.667882,1.144496,135200
1985-02-01,3.673595,3.690735,3.673595,3.690735,1.151627,30300
1985-02-04,3.690735,3.690735,3.679308,3.679308,1.148062,30300
1985-02-05,3.690735,3.753580,3.690735,3.742154,1.167671,47500
1985-02-06,3.742154,3.759293,3.736440,3.747867,1.169454,577300
1985-02-07,3.747867,3.770720,3.736440,3.759293,1.173020,1393300
1985-02-08,3.759293,3.782146,3.747867,3.747867,1.169454,34600
1985-02-11,3.759293,3.793572,3.759293,3.782146,1.180150,135200
1985-02-12,3.782146,3.793572,3.770720,3.793572,1.183716,141800
1985-02-13,3.793572,3.839278,3.793572,3.822139,1.192629,200700
1985-02-14,3.862131,3.884984,3.862131,3.884984,1.212240,71700
1985-02-15,3.884984,3.919263,3.862131,3.919263,1.222936,165600
1985-02-19,3.919263,4.090660,3.919263,4.090660,1.276416,227200
1985-02-20,4.090660,4.102086,4.067807,4.102086,1.279982,21700
1985-02-21,4.102086,4.102086,4.067807,4.090660,1.276416,54100
1985-02-22,4.090660,4.090660,4.044954,4.044954,1.262155,84900
1985-02-25,4.044954,4.056380,4.044954,4.044954,1.262155,34600
1985-02-26,4.044954,4.044954,4.033527,4.033527,1.258590,19100
1985-02-27,4.033527,4.044954,4.010674,4.022101,1.255024,30300
1985-02-28,4.022101,4.033527,4.010674,4.010674,1.251458,32300
1985-03-01,4.022101,4.056380,4.022101,4.056380,1.265720,34600
1985-03-04,4.056380,4.079233,4.033527,4.079233,1.272852,102400
1985-03-05,4.079233,4.147792,4.067807,4.147792,1.294243,146400
1985-03-06,4.147792,4.216350,4.147792,4.193497,1.308504,137200
1985-03-07,4.193497,4.239203,4.193497,4.239203,1.322767,141800
1985-03-08,4.239203,4.250629,4.216350,4.250629,1.326332,157000
1985-03-11,4.250629,4.410599,4.227777,4.393460,1.370900,207300
1985-03-12,4.393460,4.422026,4.387746,4.387746,1.369117,146400
1985-03-13,4.387746,4.422026,4.387746,4.399173,1.372682,586000
1985-03-14,4.399173,4.422026,4.399173,4.422026,1.379813,190100
1985-03-15,4.422026,4.422026,4.399173,4.410599,1.376248,207300
1985-03-18,4.410599,4.422026,4.399173,4.410599,1.376248,542400
1985-03-19,4.410599,4.410599,4.376320,4.376320,1.432588,100100
1985-03-20,4.376320,4.376320,4.364894,4.364894,1.428849,38900
1985-03-21,4.364894,4.364894,4.330615,4.330615,1.417627,91500
1985-03-22,4.330615,4.342041,4.273482,4.273482,1.398924,139800
1985-03-25,4.273482,4.273482,4.216350,4.227777,1.383963,625300
1985-03-26,4.227777,4.227777,4.204924,4.204924,1.376481,102400
1985-03-27,4.199211,4.199211,4.193497,4.199211,1.374611,23700
1985-03-28,4.199211,4.216350,4.182071,4.216350,1.380222,165600
1985-03-29,4.216350,4.216350,4.193497,4.204924,1.376481,71700
1985-04-01,4.216350,4.216350,4.216350,4.216350,1.380222,1800
1985-04-02,4.216350,4.216350,4.216350,4.216350,1.380222,3800
1985-04-03,4.216350,4.216350,4.193497,4.216350,1.380222,268400
1985-04-04,4.216350,4.216350,4.193497,4.193497,1.372741,98100
1985-04-08,4.216350,4.216350,4.216350,4.216350,1.380222,10500
1985-04-09,4.216350,4.216350,4.193497,4.204924,1.376481,198700
1985-04-10,4.204924,4.227777,4.193497,4.193497,1.372741,98100
1985-04-11,4.193497,4.216350,4.193497,4.216350,1.380222,386900
1985-04-12,4.216350,4.216350,4.204924,4.204924,1.376481,143800
1985-04-15,4.204924,4.216350,4.187784,4.193497,1.372741,227200
1985-04-16,4.204924,4.227777,4.204924,4.216350,1.380222,95800
1985-04-17,4.216350,4.239203,4.216350,4.227777,1.383963,63100
1985-04-18,4.227777,4.262056,4.227777,4.256343,1.393314,292900
1985-04-19,4.256343,4.296335,4.250629,4.284909,1.402665,275100
1985-04-22,4.284909,4.364894,4.273482,4.353467,1.425108,321400
1985-04-23,4.364894,4.456305,4.364894,4.433452,1.451290,220600
1985-04-24,4.433452,4.467731,4.433452,4.467731,1.462512,82600
1985-04-25,4.433452,4.433452,4.422026,4.422026,1.447550,640600
1985-04-26,4.422026,4.444879,4.410599,4.433452,1.451290,100100
1985-04-29,4.444879,4.444879,4.444879,4.444879,1.455031,76300
1985-04-30,4.433452,4.433452,4.124939,4.159218,1.361519,719300
1985-05-01,4.204924,4.204924,3.976395,4.159218,1.361519,733500
1985-05-02,4.159218,4.239203,4.113513,4.239203,1.387703,187800
1985-05-03,4.239203,4.342041,4.204924,4.319188,1.413886,56400
1985-05-06,4.319188,4.479158,4.273482,4.456305,1.458771,227200
1985-05-07,4.456305,4.479158,4.456305,4.479158,1.466252,304600
1985-05-08,4.479158,4.479158,4.410599,4.456305,1.458771,259800
1985-05-09,4.456305,4.456305,4.410599,4.456305,1.458771,89200
1985-05-10,4.456305,4.479158,4.410599,4.456305,1.458771,477500
1985-05-13,4.456305,4.570570,4.456305,4.570570,1.496175,177800
1985-05-14,4.570570,4.616275,4.547717,4.616275,1.511138,554200
1985-05-15,4.639128,4.753392,4.639128,4.730539,1.548542,82600
1985-05-16,4.730539,4.753392,4.661981,4.730539,1.548542,93500
1985-05-17,4.730539,4.753392,4.661981,4.753392,1.556023,30300
1985-05-20,4.776245,4.981921,4.776245,4.981921,1.630831,111400
1985-05-21,4.981921,4.981921,4.844803,4.913362,1.608388,88300
1985-05-22,4.913362,4.913362,4.844803,4.867656,1.593428,75000
1985-05-23,4.867656,4.901936,4.821950,4.833377,1.582205,128600
1985-05-24,4.833377,4.844803,4.661981,4.707686,1.541060,150400
1985-05-28,4.661981,4.661981,4.661981,4.661981,1.526099,9500
1985-05-29,4.616275,4.616275,4.410599,4.616275,1.511138,219500
1985-05-30,4.616275,4.661981,4.593422,4.593422,1.503656,11500
1985-05-31,4.593422,4.616275,4.570570,4.593422,1.503656,25700
1985-06-03,4.593422,4.639128,4.456305,4.479158,1.466252,77300
