Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.609375,3.656250,3.578125,3.640625,1.317901,749600
1985-01-29,3.671875,3.765625,3.656250,3.765625,1.363149,1188000
1985-01-30,3.781250,3.859375,3.765625,3.843750,1.391431,1266400
1985-01-31,3.828125,3.828125,3.781250,3.828125,1.385775,732000
1985-02-01,3.828125,3.890625,3.812500,3.859375,1.397087,732000
1985-02-04,3.843750,3.906250,3.843750,3.843750,1.391431,426400
1985-02-05,3.812500,3.828125,3.718750,3.718750,1.346182,1327200
1985-02-06,3.734375,3.812500,3.734375,3.750000,1.357494,1795200
1985-02-07,3.734375,3.765625,3.734375,3.734375,1.351838,525600
1985-02-08,3.750000,3.750000,3.687500,3.703125,1.340525,1880000
1985-02-11,3.718750,3.734375,3.703125,3.718750,1.346182,308800
1985-02-12,3.734375,3.734375,3.703125,3.734375,1.351838,564000
1985-02-13,3.734375,3.812500,3.734375,3.812500,1.380119,1254400
1985-02-14,3.875000,3.906250,3.828125,3.875000,1.402744,1093600
1985-02-15,3.890625,4.093750,3.875000,4.031250,1.459306,3012800
1985-02-19,4.046875,4.046875,4.015625,4.015625,1.453650,501600
1985-02-20,4.015625,4.187500,3.984375,4.187500,1.515868,885600
1985-02-21,4.156250,4.187500,4.109375,4.109375,1.487587,705600
1985-02-22,4.093750,4.109375,4.093750,4.109375,1.487587,459200
1985-02-25,4.093750,4.125000,4.078125,4.109375,1.487587,653600
1985-02-26,4.125000,4.140625,4.093750,4.125000,1.493243,412000
1985-02-27,4.093750,4.125000,4.000000,4.062500,1.470619,620800
1985-02-28,4.031250,4.125000,4.015625,4.125000,1.493243,319200
1985-03-01,4.156250,4.281250,4.156250,4.281250,1.549805,1242400
1985-03-04,4.234375,4.250000,4.203125,4.203125,1.521525,378400
1985-03-05,4.218750,4.218750,4.156250,4.171875,1.510212,671200
1985-03-06,4.171875,4.187500,4.140625,4.156250,1.504556,272000
1985-03-07,4.125000,4.125000,4.000000,4.109375,1.487587,240000
1985-03-08,4.062500,4.062500,4.000000,4.046875,1.464962,1208000
1985-03-11,4.015625,4.015625,3.937500,4.000000,1.447993,420000
1985-03-12,4.000000,4.140625,4.000000,4.062500,1.470619,1517600
1985-03-13,4.078125,4.093750,3.984375,4.000000,1.447993,426400
1985-03-14,4.000000,4.046875,3.953125,4.031250,1.459306,396800
1985-03-15,4.031250,4.046875,4.000000,4.000000,1.447993,488800
1985-03-18,3.984375,4.031250,3.968750,4.031250,1.459306,458400
1985-03-19,4.031250,4.078125,4.000000,4.078125,1.476275,507200
