Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.444445,5.462963,5.407407,5.425926,0.738193,27000
1985-01-29,5.425926,5.500000,5.425926,5.500000,0.748271,78600
1985-01-30,5.518518,5.592593,5.518518,5.574074,0.758349,1042500
1985-01-31,5.574074,5.592593,5.555555,5.574074,0.758349,100200
1985-02-01,5.574074,5.592593,5.555555,5.574074,0.758349,68700
1985-02-04,5.574074,5.629630,5.574074,5.629630,0.765907,54300
1985-02-05,5.629630,5.740741,5.629630,5.722222,0.778504,73200
1985-02-06,5.722222,5.870370,5.703704,5.851852,0.796140,86400
1985-02-07,5.870370,5.962963,5.870370,5.925926,0.806217,36300
1985-02-08,5.944445,6.000000,5.944445,6.000000,0.816296,48600
1985-02-11,6.000000,6.000000,5.962963,5.962963,0.811256,77400
1985-02-12,5.962963,5.962963,5.907407,5.944445,0.808737,190200
1985-02-13,5.944445,5.944445,5.907407,5.944445,0.808737,107100
1985-02-14,5.944445,5.962963,5.925926,5.925926,0.806217,51600
1985-02-15,5.925926,5.962963,5.925926,5.962963,0.811256,128100
1985-02-19,5.962963,5.962963,5.907407,5.907407,0.803698,20100
1985-02-20,5.907407,5.962963,5.907407,5.962963,0.811256,88200
1985-02-21,5.962963,5.962963,5.925926,5.925926,0.806217,21900
1985-02-22,5.925926,5.944445,5.925926,5.944445,0.808737,89400
1985-02-25,5.925926,5.925926,5.796296,5.851852,0.796140,332100
1985-02-26,5.851852,5.851852,5.814815,5.851852,0.796140,63900
1985-02-27,5.833333,5.833333,5.759259,5.759259,0.783542,82200
1985-02-28,5.759259,5.814815,5.759259,5.777778,0.786062,39600
1985-03-01,5.777778,5.796296,5.759259,5.796296,0.788581,52500
1985-03-04,5.796296,5.796296,5.759259,5.796296,0.788581,13500
1985-03-05,5.740741,5.740741,5.722222,5.740741,0.781024,35400
1985-03-06,5.722222,5.722222,5.666667,5.666667,0.803662,27300
1985-03-07,5.666667,5.666667,5.666667,5.666667,0.803662,19200
1985-03-08,5.666667,5.685185,5.648148,5.648148,0.801035,86700
1985-03-11,5.648148,5.666667,5.648148,5.666667,0.803662,9300
1985-03-12,5.666667,5.666667,5.648148,5.666667,0.803662,61200
1985-03-13,5.648148,5.648148,5.648148,5.648148,0.801035,79500
1985-03-14,5.648148,5.666667,5.611111,5.648148,0.801035,101700
1985-03-15,5.648148,5.666667,5.629630,5.666667,0.803662,64800
1985-03-18,5.666667,5.666667,5.629630,5.629630,0.798409,31500
1985-03-19,5.629630,5.648148,5.629630,5.648148,0.801035,18900
1985-03-20,5.648148,5.648148,5.611111,5.629630,0.798409,270000
1985-03-21,5.629630,5.629630,5.611111,5.629630,0.798409,79500
1985-03-22,5.629630,5.629630,5.592593,5.592593,0.793156,13800
1985-03-25,5.592593,5.592593,5.592593,5.592593,0.793156,27300
1985-03-26,5.592593,5.592593,5.574074,5.574074,0.790530,43500
1985-03-27,5.574074,5.629630,5.555555,5.629630,0.798409,190800
1985-03-28,5.629630,5.666667,5.629630,5.648148,0.801035,43200
1985-03-29,5.648148,5.685185,5.629630,5.629630,0.798409,40500
1985-04-01,5.629630,5.666667,5.629630,5.629630,0.798409,54000
1985-04-02,5.629630,5.666667,5.537037,5.555555,0.787903,230700
1985-04-03,5.555555,5.574074,5.444445,5.444445,0.772146,47700
1985-04-04,5.444445,5.444445,5.388889,5.407407,0.766893,58500
1985-04-08,5.407407,5.407407,5.388889,5.407407,0.766893,7200
1985-04-09,5.407407,5.425926,5.407407,5.407407,0.766893,43500
1985-04-10,5.407407,5.444445,5.407407,5.444445,0.772146,765900
1985-04-11,5.444445,5.462963,5.425926,5.425926,0.769520,154200
1985-04-12,5.425926,5.425926,5.425926,5.425926,0.769520,6600
1985-04-15,5.425926,5.462963,5.425926,5.462963,0.774772,54000
1985-04-16,5.462963,5.481482,5.425926,5.444445,0.772146,47700
1985-04-17,5.444445,5.462963,5.425926,5.462963,0.774772,15300
1985-04-18,5.462963,5.462963,5.425926,5.425926,0.769520,74700
1985-04-19,5.425926,5.462963,5.425926,5.425926,0.769520,28200
1985-04-22,5.444445,5.537037,5.444445,5.518518,0.782651,4576500
1985-04-23,5.518518,5.555555,5.518518,5.555555,0.787903,234000
1985-04-24,5.555555,5.611111,5.537037,5.611111,0.795783,108300
1985-04-25,5.611111,5.666667,5.592593,5.666667,0.803662,156600
1985-04-26,5.666667,5.759259,5.648148,5.759259,0.816793,629100
1985-04-29,5.759259,5.759259,5.666667,5.666667,0.803662,89100
1985-04-30,5.666667,5.685185,5.629630,5.629630,0.798409,9300
1985-05-01,5.629630,5.666667,5.611111,5.611111,0.795783,19200
1985-05-02,5.611111,5.629630,5.574074,5.611111,0.795783,60600
1985-05-03,5.611111,5.611111,5.574074,5.574074,0.790530,27000
1985-05-06,5.592593,5.592593,5.592593,5.592593,0.793156,20700
1985-05-07,5.592593,5.629630,5.592593,5.629630,0.798409,62400
1985-05-08,5.629630,5.703704,5.629630,5.703704,0.808914,317100
1985-05-09,5.703704,5.759259,5.685185,5.759259,0.816793,143100
1985-05-10,5.759259,5.796296,5.759259,5.777778,0.819420,216300
1985-05-13,5.796296,5.814815,5.796296,5.796296,0.822046,40500
1985-05-14,5.796296,5.814815,5.759259,5.759259,0.816793,324300
1985-05-15,5.759259,5.777778,5.740741,5.777778,0.819420,27000
1985-05-16,5.777778,5.777778,5.740741,5.740741,0.814167,72900
1985-05-17,5.740741,5.777778,5.740741,5.759259,0.816793,117900
1985-05-20,5.759259,5.814815,5.740741,5.814815,0.824673,297300
1985-05-21,5.814815,5.907407,5.814815,5.888889,0.835178,345600
1985-05-22,5.888889,5.907407,5.851852,5.888889,0.835178,232500
1985-05-23,5.888889,5.888889,5.814815,5.814815,0.824673,45000
1985-05-24,5.814815,5.851852,5.814815,5.851852,0.829925,13800
1985-05-28,5.851852,5.851852,5.814815,5.814815,0.824673,12600
1985-05-29,5.833333,5.888889,5.833333,5.851852,0.829925,47700
1985-05-30,5.851852,5.925926,5.851852,5.888889,0.835178,29700
1985-05-31,5.888889,5.925926,5.888889,5.888889,0.835178,124500
1985-06-03,5.888889,5.925926,5.888889,5.925926,0.840431,46200
1985-06-04,5.925926,5.925926,5.888889,5.888889,0.835178,417000
1985-06-05,5.888889,5.944445,5.888889,5.925926,0.840431,60600
1985-06-06,5.925926,5.981482,5.907407,5.981482,0.848310,132300
1985-06-07,5.962963,5.962963,5.944445,5.962963,0.845683,50400
1985-06-10,5.925926,5.925926,5.907407,5.907407,0.871979,19200
1985-06-11,5.907407,5.944445,5.907407,5.907407,0.871979,33600
1985-06-12,5.907407,5.944445,5.907407,5.944445,0.877445,153000
1985-06-13,5.944445,5.944445,5.870370,5.870370,0.866512,30000
1985-06-14,5.870370,5.907407,5.870370,5.907407,0.871979,17400
1985-06-17,5.888889,5.888889,5.870370,5.888889,0.869246,24600
1985-06-18,5.888889,5.907407,5.870370,5.907407,0.871979,96300
1985-06-19,5.907407,5.907407,5.870370,5.870370,0.866512,65100
