Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.166667,2.187500,2.135417,2.156250,0.812593,7442400
1985-01-29,2.156250,2.260417,2.145833,2.250000,0.847923,10400400
1985-01-30,2.281250,2.281250,2.250000,2.260417,0.851848,14040000
1985-01-31,2.260417,2.281250,2.229167,2.270833,0.855774,11961600
1985-02-01,2.270833,2.270833,2.250000,2.250000,0.847923,7948800
1985-02-04,2.250000,2.260417,2.239583,2.260417,0.851848,4747200
1985-02-05,2.270833,2.281250,2.229167,2.250000,0.847923,7804800
1985-02-06,2.250000,2.260417,2.177083,2.197917,0.828295,4590000
1985-02-07,2.218750,2.229167,2.197917,2.229167,0.840071,8400000
1985-02-08,2.229167,2.229167,2.145833,2.145833,0.808667,4418400
1985-02-11,2.104167,2.114583,2.083333,2.114583,0.796890,7539600
1985-02-12,2.093750,2.145833,2.093750,2.145833,0.808667,4840800
1985-02-13,2.145833,2.218750,2.125000,2.208333,0.832220,4621200
1985-02-14,2.229167,2.239583,2.125000,2.145833,0.808667,1268400
1985-02-15,2.135417,2.177083,2.125000,2.156250,0.812593,4816800
1985-02-19,2.156250,2.166667,2.135417,2.135417,0.804742,4890000
1985-02-20,2.156250,2.177083,2.135417,2.177083,0.820444,2793600
1985-02-21,2.166667,2.187500,2.145833,2.177083,0.820444,2851200
1985-02-22,2.145833,2.177083,2.135417,2.166667,0.824727,8563200
1985-02-25,2.156250,2.156250,2.104167,2.156250,0.820762,2232000
1985-02-26,2.145833,2.187500,2.135417,2.177083,0.828692,4300800
1985-02-27,2.156250,2.166667,2.125000,2.156250,0.820762,6709200
1985-02-28,2.135417,2.135417,2.104167,2.125000,0.808867,2235600
1985-03-01,2.135417,2.197917,2.125000,2.166667,0.824727,4065600
1985-03-04,2.187500,2.197917,2.166667,2.187500,0.832657,4177200
1985-03-05,2.166667,2.208333,2.166667,2.197917,0.836622,2962800
1985-03-06,2.177083,2.229167,2.145833,2.187500,0.832657,4572000
1985-03-07,2.166667,2.187500,2.125000,2.145833,0.816797,2340000
1985-03-08,2.145833,2.156250,2.114583,2.125000,0.808867,4965600
1985-03-11,2.125000,2.125000,2.010417,2.072917,0.789042,2408400
1985-03-12,2.062500,2.083333,2.041667,2.041667,0.777147,4306800
1985-03-13,2.041667,2.041667,2.000000,2.010417,0.765251,3829200
1985-03-14,1.979167,2.020833,1.927083,1.989583,0.757321,6685200
1985-03-15,1.989583,2.020833,1.979167,1.979167,0.753357,7561200
1985-03-18,1.989583,2.010417,1.968750,1.989583,0.757321,3186000
1985-03-19,1.989583,2.020833,1.979167,2.020833,0.769217,5146800
1985-03-20,2.000000,2.010417,1.979167,2.000000,0.761286,4002000
1985-03-21,2.000000,2.010417,1.979167,2.000000,0.761286,9818400
1985-03-22,2.000000,2.000000,1.968750,1.989583,0.757321,6932400
1985-03-25,2.000000,2.000000,1.968750,1.989583,0.757321,1442400
1985-03-26,1.989583,1.989583,1.947917,1.958333,0.745427,4804800
1985-03-27,1.958333,1.968750,1.927083,1.958333,0.745427,2982000
1985-03-28,1.947917,1.968750,1.895833,1.895833,0.721636,5563200
1985-03-29,1.906250,1.937500,1.895833,1.937500,0.737497,18612000
1985-04-01,1.937500,2.000000,1.927083,2.000000,0.761286,4963200
1985-04-02,2.000000,2.020833,1.989583,1.989583,0.757321,3326400
1985-04-03,1.979167,1.989583,1.968750,1.979167,0.753357,2215200
1985-04-04,1.958333,1.979167,1.958333,1.979167,0.753357,2284800
1985-04-08,1.979167,1.979167,1.906250,1.927083,0.733531,12576000
1985-04-09,1.916667,1.937500,1.906250,1.937500,0.737497,3628800
1985-04-10,1.958333,1.979167,1.947917,1.979167,0.753357,2233200
1985-04-11,1.989583,1.989583,1.958333,1.968750,0.749391,3003600
1985-04-12,1.979167,2.000000,1.968750,1.979167,0.753357,1429200
1985-04-15,1.989583,2.020833,1.979167,2.020833,0.769217,7798800
1985-04-16,2.020833,2.041667,2.010417,2.041667,0.777147,6064800
1985-04-17,2.031250,2.041667,2.000000,2.010417,0.765251,2226000
1985-04-18,2.000000,2.020833,1.968750,1.979167,0.753357,3877200
1985-04-19,1.968750,1.989583,1.968750,1.989583,0.757321,1479600
1985-04-22,1.989583,1.989583,1.937500,1.958333,0.745427,7950000
1985-04-23,1.958333,2.010417,1.947917,2.010417,0.765251,7821600
1985-04-24,2.020833,2.020833,1.968750,1.989583,0.757321,2185200
1985-04-25,1.968750,2.000000,1.958333,1.989583,0.757321,2310000
1985-04-26,2.000000,2.020833,1.979167,2.000000,0.761286,2096400
1985-04-29,2.000000,2.000000,1.947917,1.958333,0.745427,7224000
1985-04-30,1.937500,1.958333,1.916667,1.958333,0.745427,9746400
1985-05-01,1.979167,1.979167,1.937500,1.947917,0.741461,2602800
1985-05-02,1.968750,2.000000,1.947917,2.000000,0.761286,1436400
1985-05-03,1.989583,2.000000,1.968750,2.000000,0.761286,1460400
1985-05-06,2.000000,2.000000,1.968750,1.979167,0.753357,4894800
1985-05-07,1.989583,2.000000,1.968750,1.968750,0.749391,9847200
1985-05-08,1.958333,1.979167,1.947917,1.968750,0.749391,3145200
1985-05-09,1.989583,2.041667,1.968750,2.031250,0.773182,4227600
1985-05-10,2.072917,2.125000,2.062500,2.083333,0.793007,9140400
1985-05-13,2.093750,2.104167,2.072917,2.093750,0.796972,6460800
1985-05-14,2.093750,2.156250,2.093750,2.114583,0.804902,11448000
1985-05-15,2.104167,2.104167,2.083333,2.093750,0.796972,4959600
1985-05-16,2.083333,2.104167,2.072917,2.104167,0.800937,4629600
1985-05-17,2.104167,2.125000,2.093750,2.093750,0.796972,4953600
1985-05-20,2.156250,2.156250,2.083333,2.156250,0.830348,5433600
1985-05-21,2.156250,2.177083,2.145833,2.166667,0.834359,4251600
1985-05-22,2.166667,2.177083,2.145833,2.166667,0.834359,4108800
1985-05-23,2.166667,2.208333,2.166667,2.177083,0.838370,6218400
1985-05-24,2.197917,2.208333,2.166667,2.187500,0.842381,1988400
1985-05-28,2.197917,2.208333,2.166667,2.166667,0.834359,1614000
1985-05-29,2.187500,2.218750,2.177083,2.208333,0.850404,2660400
1985-05-30,2.197917,2.218750,2.187500,2.208333,0.850404,2730000
1985-05-31,2.197917,2.239583,2.187500,2.239583,0.862438,4752000
1985-06-03,2.125000,2.177083,2.114583,2.125000,0.818313,5641200
1985-06-04,2.125000,2.166667,2.125000,2.156250,0.830348,2786400
1985-06-05,2.145833,2.177083,2.135417,2.145833,0.826336,3769200
1985-06-06,2.156250,2.177083,2.135417,2.177083,0.838370,7972800
1985-06-07,2.177083,2.177083,2.125000,2.145833,0.826336,3859200
1985-06-10,2.145833,2.156250,2.135417,2.135417,0.822325,1862400
