Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,9.409394,9.528000,9.330324,9.409394,2.636429,1089400
1985-01-29,9.409394,9.607071,9.251253,9.488465,2.658584,1649300
1985-01-30,9.686141,9.725677,9.488465,9.567535,2.680739,2245400
1985-01-31,9.488465,9.528000,9.251253,9.369859,2.625353,2824200
1985-02-01,9.211719,9.369859,9.132648,9.211719,2.581043,1185800
1985-02-04,9.132648,9.330324,9.132648,9.330324,2.614275,1328700
1985-02-05,9.488465,9.528000,9.330324,9.528000,2.669662,2101200
1985-02-06,9.567535,9.765212,9.528000,9.567535,2.680739,1278500
1985-02-07,9.607071,9.686141,9.488465,9.567535,2.680739,2248800
1985-02-08,9.567535,9.567535,9.409394,9.528000,2.669662,1353100
1985-02-11,9.448930,9.488465,9.369859,9.409394,2.636429,1395100
1985-02-12,9.330324,9.488465,9.290789,9.448930,2.647506,845000
1985-02-13,9.369859,9.528000,9.330324,9.488465,2.658584,1797200
1985-02-14,9.488465,9.488465,9.330324,9.369859,2.625353,1605000
1985-02-15,9.409394,9.448930,9.172183,9.211719,2.581043,1496700
1985-02-19,9.211719,9.330324,9.093112,9.290789,2.603197,1072400
1985-02-20,9.251253,9.369859,9.172183,9.251253,2.592121,1229800
1985-02-21,9.251253,9.448930,9.251253,9.330324,2.614275,760200
1985-02-22,9.290789,9.290789,9.132648,9.172183,2.569965,1368500
1985-02-25,9.132648,9.251253,9.093112,9.172183,2.569965,822200
1985-02-26,9.172183,9.369859,9.093112,9.290789,2.603197,1401900
1985-02-27,9.369859,9.488465,9.330324,9.369859,2.625353,1764200
1985-02-28,9.369859,9.528000,9.369859,9.448930,2.647506,1817500
1985-03-01,9.448930,9.488465,9.369859,9.409394,2.636429,2060800
1985-03-04,9.448930,9.567535,9.409394,9.448930,2.647506,2172300
1985-03-05,9.448930,9.488465,9.330324,9.448930,2.647506,1422700
1985-03-06,9.330324,9.369859,9.251253,9.290789,2.603197,1089400
1985-03-07,9.290789,9.448930,9.251253,9.369859,2.625353,1412000
1985-03-08,9.409394,9.488465,9.409394,9.448930,2.647506,1022600
1985-03-11,9.409394,9.488465,9.330324,9.369859,2.625353,1997500
1985-03-12,9.369859,9.448930,9.330324,9.409394,2.636429,832700
1985-03-13,9.290789,9.409394,9.251253,9.330324,2.614275,789700
1985-03-14,9.330324,9.409394,9.290789,9.290789,2.603197,1551100
1985-03-15,9.290789,9.330324,9.172183,9.172183,2.569965,1354400
1985-03-18,9.172183,9.251253,9.053577,9.093112,2.547810,1477100
1985-03-19,9.053577,9.290789,9.014042,9.290789,2.603197,1137100
1985-03-20,9.290789,9.330324,9.132648,9.132648,2.558887,1065000
1985-03-21,9.093112,9.290789,9.053577,9.093112,2.547810,1740200
1985-03-22,9.172183,9.448930,9.093112,9.132648,2.558887,5159900
1985-03-25,9.093112,9.132648,9.014042,9.053577,2.536733,8394300
1985-03-26,8.895436,9.053577,8.895436,9.053577,2.577249,1184300
1985-03-27,9.053577,9.290789,9.014042,9.132648,2.599757,1833300
1985-03-28,9.172183,9.251253,9.093112,9.093112,2.588503,788700
1985-03-29,9.093112,9.211719,9.093112,9.172183,2.611012,630600
1985-04-01,9.132648,9.211719,9.014042,9.053577,2.577249,859300
1985-04-02,9.053577,9.093112,8.934971,8.934971,2.543486,701800
1985-04-03,8.934971,9.014042,8.855901,8.855901,2.520978,717900
1985-04-04,8.855901,9.053577,8.855901,8.974506,2.554740,766500
1985-04-08,8.974506,9.093112,8.934971,8.974506,2.554740,977600
1985-04-09,8.974506,9.093112,8.974506,9.014042,2.565994,904400
1985-04-10,9.053577,9.290789,9.053577,9.211719,2.622267,1361400
1985-04-11,9.211719,9.290789,9.172183,9.172183,2.611012,1584100
1985-04-12,9.211719,9.290789,9.172183,9.251253,2.633521,549700
1985-04-15,9.211719,9.290789,9.172183,9.290789,2.644775,527900
1985-04-16,9.211719,9.251253,9.093112,9.132648,2.599757,1159000
1985-04-17,9.132648,9.211719,9.093112,9.172183,2.611012,671000
1985-04-18,9.251253,9.251253,8.895436,8.974506,2.554740,1084400
1985-04-19,9.053577,9.053577,8.895436,9.053577,2.577249,1104200
1985-04-22,8.974506,9.211719,8.895436,9.211719,2.622267,1097200
1985-04-23,9.211719,9.330324,9.172183,9.290789,2.644775,1227300
1985-04-24,9.330324,9.369859,9.290789,9.330324,2.656030,1171000
1985-04-25,9.369859,9.448930,9.290789,9.448930,2.689792,1821700
1985-04-26,9.448930,9.448930,9.330324,9.409394,2.678537,802600
1985-04-29,9.409394,9.488465,9.369859,9.409394,2.678537,931000
1985-04-30,9.448930,9.528000,9.409394,9.488465,2.701046,1791000
1985-05-01,9.488465,9.528000,9.409394,9.409394,2.678537,929700
1985-05-02,9.409394,9.488465,9.330324,9.488465,2.701046,819500
1985-05-03,9.488465,9.646606,9.448930,9.567535,2.723557,970800
