Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.437500,5.479167,5.375000,5.375000,2.188676,1746000
1985-01-29,5.333333,5.375000,5.291667,5.375000,2.188676,709200
1985-01-30,5.395833,5.437500,5.333333,5.333333,2.171710,758400
1985-01-31,5.375000,5.395833,5.291667,5.333333,2.171710,1071000
1985-02-01,5.333333,5.333333,5.270833,5.333333,2.171710,1179000
1985-02-04,5.291667,5.375000,5.250000,5.375000,2.188676,904200
1985-02-05,5.312500,5.375000,5.291667,5.291667,2.154743,1341600
1985-02-06,5.250000,5.250000,5.062500,5.125000,2.086878,1511400
1985-02-07,5.083333,5.187500,5.083333,5.125000,2.086878,1138200
1985-02-08,5.187500,5.270833,5.020833,5.250000,2.137775,975600
1985-02-11,5.250000,5.250000,5.145833,5.166667,2.103842,489600
1985-02-12,5.125000,5.125000,5.062500,5.062500,2.061428,1174200
1985-02-13,5.041667,5.104167,5.041667,5.083333,2.069911,1693200
1985-02-14,5.104167,5.125000,5.020833,5.020833,2.044460,976200
1985-02-15,5.020833,5.083333,5.020833,5.083333,2.069911,784200
1985-02-19,5.083333,5.083333,5.041667,5.083333,2.069911,735000
1985-02-20,5.041667,5.104167,5.020833,5.104167,2.078393,1783200
1985-02-21,5.104167,5.145833,5.083333,5.145833,2.095360,822600
1985-02-22,5.104167,5.125000,5.083333,5.083333,2.069911,834600
1985-02-25,5.062500,5.125000,5.041667,5.125000,2.086878,1150800
1985-02-26,5.145833,5.250000,5.145833,5.229167,2.129292,852600
1985-02-27,5.270833,5.291667,5.187500,5.229167,2.129292,1602000
1985-02-28,5.187500,5.187500,5.104167,5.187500,2.112326,604800
1985-03-01,5.208333,5.312500,5.187500,5.270833,2.146259,1884600
1985-03-04,5.312500,5.312500,5.208333,5.270833,2.146259,1297200
1985-03-05,5.270833,5.333333,5.270833,5.312500,2.163226,1460400
1985-03-06,5.291667,5.312500,5.208333,5.250000,2.137775,911400
1985-03-07,5.229167,5.229167,5.166667,5.187500,2.112326,1643400
