Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.330730,3.414522,3.330730,3.362152,0.392951,425900
1985-01-29,3.362152,3.393574,3.362152,3.393574,0.396623,411600
1985-01-30,3.414522,3.424996,3.414522,3.424996,0.400296,443900
1985-01-31,3.424996,3.424996,3.351678,3.372626,0.394175,215900
1985-02-01,3.372626,3.414522,3.362152,3.414522,0.399071,453400
1985-02-04,3.414522,3.424996,3.372626,3.414522,0.399071,317400
1985-02-05,3.414522,3.435470,3.383100,3.404048,0.397847,613300
1985-02-06,3.404048,3.404048,3.372626,3.393574,0.396623,537000
1985-02-07,3.383100,3.383100,3.341204,3.341204,0.390502,964200
1985-02-08,3.341204,3.372626,3.330730,3.372626,0.394175,690900
1985-02-11,3.362152,3.362152,3.309782,3.309782,0.386830,436700
1985-02-12,3.320256,3.351678,3.320256,3.351678,0.391726,540500
1985-02-13,3.351678,3.362152,3.320256,3.362152,0.392951,941400
1985-02-14,3.362152,3.561158,3.362152,3.519262,0.411313,1316200
1985-02-15,3.519262,3.519262,3.445944,3.498314,0.408864,817400
1985-02-19,3.487840,3.487840,3.456418,3.487840,0.407640,126300
1985-02-20,3.466892,3.466892,3.257412,3.341204,0.390502,1733900
1985-02-21,3.341204,3.351678,3.288834,3.288834,0.384381,927200
1985-02-22,3.288834,3.288834,3.246938,3.278360,0.383157,892500
1985-02-25,3.267886,3.267886,3.215516,3.215516,0.375813,458100
1985-02-26,3.215516,3.246938,3.184094,3.246938,0.381523,569200
1985-02-27,3.257412,3.299308,3.257412,3.299308,0.387677,775700
1985-02-28,3.299308,3.309782,3.288834,3.309782,0.388908,482000
1985-03-01,3.309782,3.341204,3.267886,3.288834,0.386446,1648000
1985-03-04,3.288834,3.288834,3.246938,3.257412,0.382754,115700
1985-03-05,3.257412,3.257412,3.205042,3.225990,0.379062,566800
1985-03-06,3.225990,3.236464,3.194568,3.215516,0.377831,132400
1985-03-07,3.215516,3.236464,3.194568,3.215516,0.377831,848500
1985-03-08,3.215516,3.215516,3.173620,3.184094,0.374139,292200
1985-03-11,3.184094,3.194568,3.152672,3.152672,0.370447,220700
1985-03-12,3.142198,3.142198,3.100302,3.142198,0.369216,1711200
1985-03-13,3.142198,3.163146,3.121250,3.142198,0.369216,145500
1985-03-14,3.142198,3.152672,3.100302,3.110776,0.365524,369900
1985-03-15,3.110776,3.121250,3.100302,3.110776,0.365524,1352100
1985-03-18,3.110776,3.131724,3.079354,3.100302,0.364293,573900
1985-03-19,3.068880,3.068880,3.016510,3.058406,0.359370,1655200
1985-03-20,3.058406,3.079354,2.995562,3.016510,0.354447,342400
1985-03-21,3.016510,3.016510,2.932719,2.974614,0.349525,1591900
1985-03-22,2.974614,3.006036,2.964140,2.995562,0.351986,630000
1985-03-25,2.985088,2.985088,2.953666,2.964140,0.348294,1114500
1985-03-26,2.964140,3.006036,2.964140,2.974614,0.349525,546500
1985-03-27,2.974614,2.974614,2.943192,2.964140,0.348294,763700
