Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.179932,1.283435,1.179932,1.273085,0.726808,4391100
1985-01-29,1.273085,1.314486,1.262735,1.314486,0.750443,1193100
1985-01-30,1.314486,1.314486,1.293785,1.304136,0.744535,891200
1985-01-31,1.283435,1.314486,1.283435,1.293785,0.738625,956400
1985-02-01,1.262735,1.335187,1.262735,1.314486,0.750443,794600
1985-02-04,1.314486,1.335187,1.293785,1.293785,0.738625,763100
1985-02-05,1.304136,1.304136,1.293785,1.293785,0.738625,217300
1985-02-06,1.293785,1.324836,1.293785,1.314486,0.750443,909300
1985-02-07,1.324836,1.397288,1.324836,1.386938,0.791806,2728100
1985-02-08,1.397288,1.428339,1.386938,1.397288,0.797716,1920200
1985-02-11,1.376588,1.386938,1.366238,1.386938,0.791806,1203900
1985-02-12,1.366238,1.386938,1.366238,1.366238,0.779989,642300
1985-02-13,1.366238,1.407639,1.366238,1.386938,0.791806,475800
1985-02-14,1.397288,1.397288,1.345537,1.355887,0.774079,534900
1985-02-15,1.355887,1.355887,1.335187,1.335187,0.762261,469600
1985-02-19,1.324836,1.345537,1.314486,1.324836,0.756352,528800
1985-02-20,1.324836,1.355887,1.314486,1.335187,0.762261,315100
1985-02-21,1.345537,1.355887,1.324836,1.324836,0.756352,473300
1985-02-22,1.324836,1.335187,1.314486,1.324836,0.756352,159400
1985-02-25,1.335187,1.335187,1.314486,1.324836,0.756352,335700
1985-02-26,1.314486,1.324836,1.314486,1.324836,0.756352,325900
1985-02-27,1.314486,1.314486,1.304136,1.304136,0.744535,162900
1985-02-28,1.304136,1.314486,1.293785,1.304136,0.744535,187100
1985-03-01,1.314486,1.314486,1.283435,1.293785,0.738625,353800
1985-03-04,1.304136,1.304136,1.242034,1.262735,0.720899,254700
1985-03-05,1.252384,1.314486,1.252384,1.304136,0.744535,1584400
1985-03-06,1.314486,1.314486,1.293785,1.293785,0.738625,234200
1985-03-07,1.293785,1.304136,1.262735,1.273085,0.726808,654500
1985-03-08,1.273085,1.304136,1.273085,1.283435,0.732716,439500
1985-03-11,1.293785,1.293785,1.283435,1.283435,0.732716,96500
1985-03-12,1.283435,1.304136,1.283435,1.304136,0.744535,485400
1985-03-13,1.314486,1.314486,1.283435,1.293785,0.738625,423700
1985-03-14,1.273085,1.273085,1.252384,1.273085,0.726808,178700
1985-03-15,1.273085,1.273085,1.242034,1.252384,0.714989,580800
1985-03-18,1.242034,1.262735,1.242034,1.262735,0.720899,338100
1985-03-19,1.252384,1.273085,1.252384,1.262735,0.720899,133900
1985-03-20,1.293785,1.293785,1.242034,1.252384,0.714989,310200
1985-03-21,1.252384,1.273085,1.252384,1.273085,0.726808,185800
1985-03-22,1.262735,1.273085,1.221334,1.231684,0.703172,304200
1985-03-25,1.221334,1.221334,1.179932,1.221334,0.697262,342900
1985-03-26,1.221334,1.231684,1.200633,1.210983,0.691353,498600
1985-03-27,1.231684,1.231684,1.221334,1.231684,0.703172,179800
1985-03-28,1.252384,1.252384,1.231684,1.242034,0.709080,182300
1985-03-29,1.231684,1.273085,1.231684,1.242034,0.709080,202800
1985-04-01,1.252384,1.293785,1.252384,1.293785,0.738625,183400
1985-04-02,1.293785,1.293785,1.273085,1.273085,0.726808,119500
1985-04-03,1.283435,1.293785,1.262735,1.262735,0.720899,120600
1985-04-04,1.262735,1.273085,1.262735,1.262735,0.720899,67600
1985-04-08,1.262735,1.273085,1.242034,1.242034,0.709080,976900
1985-04-09,1.231684,1.242034,1.221334,1.242034,0.709080,80800
1985-04-10,1.242034,1.262735,1.242034,1.262735,0.720899,170200
1985-04-11,1.252384,1.262735,1.242034,1.242034,0.709080,69900
1985-04-12,1.242034,1.252384,1.242034,1.242034,0.709080,127900
1985-04-15,1.252384,1.252384,1.221334,1.221334,0.697262,95300
1985-04-16,1.221334,1.221334,1.200633,1.221334,0.697262,652000
1985-04-17,1.221334,1.242034,1.200633,1.221334,0.697262,460000
1985-04-18,1.221334,1.231684,1.221334,1.221334,0.697262,239000
1985-04-19,1.221334,1.231684,1.210983,1.221334,0.697262,1437100
1985-04-22,1.231684,1.231684,1.221334,1.221334,0.697262,94000
1985-04-23,1.221334,1.221334,1.210983,1.210983,0.691353,230600
1985-04-24,1.231684,1.231684,1.210983,1.210983,0.691353,129100
1985-04-25,1.231684,1.273085,1.210983,1.262735,0.720899,677400
1985-04-26,1.262735,1.273085,1.242034,1.242034,0.709080,380300
1985-04-29,1.231684,1.242034,1.221334,1.242034,0.709080,370700
1985-04-30,1.231684,1.242034,1.200633,1.200633,0.685444,114600
1985-05-01,1.210983,1.231684,1.210983,1.231684,0.703172,266800
1985-05-02,1.231684,1.242034,1.221334,1.231684,0.703172,44600
1985-05-03,1.242034,1.262735,1.242034,1.242034,0.709080,121900
1985-05-06,1.242034,1.242034,1.200633,1.200633,0.685444,170200
1985-05-07,1.200633,1.210983,1.169582,1.169582,0.667718,1003500
1985-05-08,1.169582,1.169582,1.076429,1.107480,0.632263,440700
1985-05-09,1.128181,1.231684,1.128181,1.221334,0.697262,875500
1985-05-10,1.231684,1.293785,1.231684,1.283435,0.732716,1007100
1985-05-13,1.283435,1.304136,1.273085,1.273085,0.726808,429900
1985-05-14,1.242034,1.273085,1.242034,1.242034,0.709080,528800
1985-05-15,1.252384,1.273085,1.252384,1.262735,0.720899,130300
1985-05-16,1.262735,1.262735,1.221334,1.252384,0.714989,2375400
1985-05-17,1.252384,1.252384,1.231684,1.231684,0.703172,310200
1985-05-20,1.221334,1.262735,1.221334,1.262735,0.720899,519200
1985-05-21,1.262735,1.273085,1.252384,1.252384,0.714989,351400
1985-05-22,1.262735,1.262735,1.252384,1.252384,0.714989,475800
1985-05-23,1.262735,1.273085,1.252384,1.252384,0.714989,311500
1985-05-24,1.262735,1.293785,1.262735,1.293785,0.738625,185800
1985-05-28,1.314486,1.324836,1.293785,1.293785,0.738625,351400
1985-05-29,1.304136,1.304136,1.273085,1.283435,0.732716,328400
1985-05-30,1.283435,1.293785,1.262735,1.293785,0.738625,259600
1985-05-31,1.273085,1.335187,1.262735,1.335187,0.762261,1584400
1985-06-03,1.355887,1.355887,1.335187,1.355887,0.774079,1073500
1985-06-04,1.345537,1.366238,1.314486,1.366238,0.779989,850100
1985-06-05,1.366238,1.376588,1.304136,1.304136,0.744535,455200
1985-06-06,1.304136,1.366238,1.304136,1.355887,0.774079,242600
1985-06-07,1.345537,1.345537,1.304136,1.314486,0.750443,196700
1985-06-10,1.304136,1.304136,1.293785,1.304136,0.744535,307900
1985-06-11,1.304136,1.324836,1.304136,1.314486,0.750443,325900
1985-06-12,1.324836,1.366238,1.324836,1.345537,0.768171,957600
1985-06-13,1.335187,1.355887,1.324836,1.345537,0.768171,576000
1985-06-14,1.345537,1.366238,1.335187,1.345537,0.768171,538500
1985-06-17,1.335187,1.376588,1.335187,1.366238,0.779989,361000
1985-06-18,1.366238,1.376588,1.355887,1.366238,0.779989,428600
1985-06-19,1.355887,1.386938,1.355887,1.376588,0.785897,511900
1985-06-20,1.366238,1.407639,1.366238,1.386938,0.791806,935800
1985-06-21,1.376588,1.407639,1.366238,1.407639,0.803625,633900
1985-06-24,1.386938,1.407639,1.376588,1.386938,0.791806,227000
1985-06-25,1.386938,1.407639,1.386938,1.386938,0.791806,274000
1985-06-26,1.386938,1.449040,1.386938,1.449040,0.827260,561400
1985-06-27,1.407639,1.428339,1.407639,1.417989,0.809533,370700
1985-06-28,1.417989,1.438689,1.407639,1.438689,0.821352,397300
1985-07-01,1.428339,1.449040,1.417989,1.449040,0.827260,408100
1985-07-02,1.449040,1.490441,1.449040,1.459390,0.833169,613400
1985-07-03,1.469740,1.521492,1.469740,1.490441,0.850897,1359800
1985-07-05,1.490441,1.521492,1.490441,1.490441,0.850897,411700
1985-07-08,1.480091,1.490441,1.469740,1.490441,0.850897,724500
1985-07-09,1.511141,1.531842,1.490441,1.521492,0.868624,781300
1985-07-10,1.531842,1.552543,1.521492,1.531842,0.874533,939400
1985-07-11,1.531842,1.552543,1.511141,1.542192,0.880441,531200
1985-07-12,1.573243,1.656045,1.562893,1.614644,0.921805,2798200
1985-07-15,1.614644,1.614644,1.593944,1.593944,0.909986,836800
1985-07-16,1.593944,1.604294,1.593944,1.604294,0.915895,350100
1985-07-17,1.645695,1.656045,1.635345,1.656045,0.945441,1531300
1985-07-18,1.645695,1.656045,1.614644,1.624995,0.927713,612200
1985-07-19,1.624995,1.687096,1.593944,1.656045,0.945441,871800
1985-07-22,1.645695,1.645695,1.624995,1.645695,0.939532,348900
1985-07-23,1.656045,1.666396,1.614644,1.614644,0.921805,1676200
1985-07-24,1.614644,1.624995,1.604294,1.624995,0.927713,646000
1985-07-25,1.624995,1.676746,1.624995,1.666396,0.951350,2307800
1985-07-26,1.666396,1.718147,1.666396,1.697447,0.969077,877900
1985-07-29,1.697447,1.697447,1.604294,1.645695,0.939532,981700
1985-07-30,1.645695,1.645695,1.614644,1.624995,0.927713,397300
1985-07-31,1.656045,1.738848,1.645695,1.718147,0.980895,1939500
1985-08-01,1.738848,1.811300,1.707797,1.790599,1.022258,3951500
1985-08-02,1.800949,1.800949,1.780249,1.780249,1.016348,1371900
1985-08-05,1.769899,1.769899,1.718147,1.738848,0.992713,879100
1985-08-06,1.738848,1.738848,1.656045,1.656045,0.945441,1472100
1985-08-07,1.656045,1.728497,1.645695,1.728497,0.986803,1596500
1985-08-08,1.718147,1.728497,1.707797,1.718147,0.980895,1435800
1985-08-09,1.728497,1.728497,1.676746,1.687096,0.963168,815000
1985-08-12,1.676746,1.676746,1.624995,1.666396,0.951350,1085700
1985-08-13,1.666396,1.687096,1.656045,1.666396,0.951350,479300
1985-08-14,1.687096,1.707797,1.676746,1.687096,0.963168,307900
1985-08-15,1.687096,1.925153,1.676746,1.925153,1.099075,2467200
1985-08-16,1.904452,1.904452,1.821650,1.842351,1.051803,3501000
1985-08-19,1.863051,1.945853,1.842351,1.883752,1.075439,2911700
1985-08-20,1.883752,1.894102,1.873401,1.883752,1.075439,614600
1985-08-21,1.904452,2.028656,1.883752,1.945853,1.110893,4114500
1985-08-22,1.966554,2.018305,1.956204,1.966554,1.122711,2662900
1985-08-23,1.966554,1.966554,1.935503,1.935503,1.104984,700400
1985-08-26,1.945853,1.945853,1.925153,1.925153,1.099075,375500
1985-08-27,1.925153,1.966554,1.925153,1.945853,1.110893,428600
1985-08-28,1.945853,1.976904,1.935503,1.976904,1.128620,781300
