Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,8.125000,8.718750,8.093750,8.625000,5.562739,35659200
1995-11-20,8.593750,8.812500,8.187500,8.312500,5.361193,8434000
1995-11-21,8.250000,8.281250,7.937500,8.156250,5.260418,6440000
1995-11-22,8.125000,8.531250,8.125000,8.406250,5.421657,3480800
1995-11-24,8.468750,8.718750,8.437500,8.718750,5.623206,1279200
1995-11-27,8.718750,8.906250,8.625000,8.750000,5.643361,2403200
1995-11-28,8.750000,8.781250,8.500000,8.625000,5.562739,1054800
1995-11-29,8.593750,8.968750,8.562500,8.750000,5.643361,1331200
1995-11-30,8.843750,9.187500,8.812500,9.093750,5.865064,2426000
1995-12-01,9.093750,9.125000,8.937500,9.000000,5.804600,978400
1995-12-04,9.031250,9.093750,8.843750,8.906250,5.744134,594000
1995-12-05,8.906250,8.906250,8.625000,8.781250,5.663516,1148800
1995-12-06,8.750000,9.000000,8.750000,8.812500,5.683669,1216000
1995-12-07,8.875000,8.906250,8.687500,8.750000,5.643361,641200
1995-12-08,8.718750,8.968750,8.625000,8.968750,5.784447,668800
1995-12-11,9.000000,9.093750,8.968750,9.093750,5.865064,660000
1995-12-12,9.031250,9.062500,8.718750,8.750000,5.643361,971600
1995-12-13,8.812500,8.812500,8.531250,8.687500,5.603050,528400
1995-12-14,8.718750,8.718750,8.437500,8.437500,5.441814,639200
1995-12-15,8.500000,8.562500,8.343750,8.375000,5.401501,1366400
1995-12-18,8.375000,8.406250,8.250000,8.281250,5.341037,741600
1995-12-19,8.250000,8.531250,8.218750,8.437500,5.441814,643600
1995-12-20,8.468750,8.687500,8.468750,8.625000,5.562739,360400
1995-12-21,8.593750,8.781250,8.562500,8.687500,5.603050,301600
1995-12-22,8.718750,8.750000,8.625000,8.750000,5.643361,208400
1995-12-26,8.718750,8.718750,8.500000,8.531250,5.502277,240000
1995-12-27,8.625000,8.843750,8.625000,8.843750,5.703826,351600
1995-12-28,8.875000,8.906250,8.781250,8.812500,5.683669,344400
1995-12-29,8.781250,8.843750,8.656250,8.718750,5.623206,219200
1996-01-02,8.718750,8.781250,8.656250,8.750000,5.643361,169200
1996-01-03,8.781250,8.937500,8.656250,8.718750,5.623206,682000
1996-01-04,8.750000,8.812500,8.531250,8.656250,5.582894,414800
1996-01-05,8.531250,8.593750,8.281250,8.437500,5.441814,773600
1996-01-08,8.437500,8.468750,8.375000,8.468750,5.461968,48800
1996-01-09,8.500000,8.500000,8.375000,8.375000,5.401501,864000
1996-01-10,8.281250,8.375000,8.125000,8.281250,5.341037,458400
1996-01-11,8.312500,8.562500,8.312500,8.468750,5.461968,477600
1996-01-12,8.437500,8.687500,8.406250,8.687500,5.603050,338400
1996-01-15,8.687500,8.750000,8.625000,8.656250,5.582894,580800
1996-01-16,8.593750,8.593750,8.218750,8.437500,5.441814,512800
1996-01-17,8.312500,8.375000,8.125000,8.375000,5.401501,126400
1996-01-18,8.281250,8.343750,8.031250,8.156250,5.260418,696000
1996-01-19,8.156250,8.187500,8.062500,8.093750,5.220110,792800
1996-01-22,8.093750,8.468750,8.093750,8.312500,5.361193,568800
1996-01-23,8.250000,8.281250,8.156250,8.156250,5.260418,798400
1996-01-24,8.125000,8.281250,8.125000,8.281250,5.341037,776400
1996-01-25,8.250000,8.562500,8.250000,8.562500,5.522430,1303200
1996-01-26,8.562500,8.593750,8.500000,8.562500,5.522430,634800
1996-01-29,8.593750,8.593750,8.375000,8.437500,5.441814,652000
1996-01-30,8.437500,9.406250,8.375000,9.250000,5.965836,2810800
1996-01-31,9.187500,9.531250,9.125000,9.218750,5.945684,1136400
1996-02-01,9.187500,9.218750,8.843750,9.031250,5.824752,516800
1996-02-02,9.093750,9.312500,9.093750,9.250000,5.965836,702400
1996-02-05,9.312500,9.468750,9.250000,9.406250,6.066615,756400
1996-02-06,9.406250,9.562500,9.375000,9.468750,6.106921,455200
1996-02-07,9.531250,9.843750,9.500000,9.781250,6.308473,650800
