Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.193883,4.302346,4.157729,4.293307,0.065979,1131200
1985-01-29,4.266191,4.329462,4.266191,4.329462,0.066872,1002000
1985-01-30,4.329462,4.356577,4.329462,4.338500,0.067012,4155200
1985-01-31,4.338500,4.374654,4.338500,4.356577,0.067291,554000
1985-02-01,4.356577,4.356577,4.320423,4.329462,0.066872,835200
1985-02-04,4.329462,4.356577,4.284269,4.329462,0.066872,1643600
1985-02-05,4.329462,4.356577,4.329462,4.338500,0.067012,1504400
1985-02-06,4.329462,4.329462,4.239076,4.239076,0.065476,2667200
1985-02-07,4.239076,4.266191,4.211960,4.266191,0.065895,2299200
1985-02-08,4.266191,4.302346,4.248115,4.275230,0.066034,1972000
1985-02-11,4.275230,4.284269,4.211960,4.220999,0.065197,1032400
1985-02-12,4.220999,4.239076,4.193883,4.211960,0.065057,686800
1985-02-13,4.211960,4.230038,4.193883,4.230038,0.065336,1577200
1985-02-14,4.230038,4.248115,4.193883,4.193883,0.064778,1789200
1985-02-15,4.193883,4.239076,4.193883,4.230038,0.065336,1161600
1985-02-19,4.230038,4.248115,4.211960,4.211960,0.065057,534400
1985-02-20,4.211960,4.239076,4.166768,4.211960,0.065057,1344000
1985-02-21,4.193883,4.193883,4.157729,4.193883,0.064778,504000
1985-02-22,4.193883,4.239076,4.193883,4.220999,0.065197,489200
1985-02-25,4.220999,4.220999,4.184845,4.193883,0.064778,605600
1985-02-26,4.193883,4.211960,4.166768,4.211960,0.065057,866400
1985-02-27,4.202922,4.202922,4.166768,4.202922,0.064917,569600
1985-02-28,4.202922,4.211960,4.166768,4.166768,0.064359,666400
1985-03-01,4.166768,4.239076,4.166768,4.220999,0.065197,1098800
1985-03-04,4.220999,4.248115,4.193883,4.239076,0.065476,1151200
1985-03-05,4.239076,4.248115,4.211960,4.211960,0.065057,782400
1985-03-06,4.211960,4.230038,4.166768,4.166768,0.064359,644400
1985-03-07,4.166768,4.193883,4.067344,4.076382,0.062963,816800
1985-03-08,4.076382,4.085421,3.976958,4.058305,0.062684,1156800
1985-03-11,4.067344,4.085421,4.067344,4.085421,0.063103,342800
1985-03-12,4.103498,4.166768,4.103498,4.139652,0.063940,1128400
1985-03-13,4.139652,4.139652,4.112536,4.121575,0.063661,360400
1985-03-14,4.049267,4.049267,3.976958,4.013113,0.061986,3219200
1985-03-15,4.013113,4.058305,3.995035,4.040228,0.062405,2282800
1985-03-18,4.040228,4.049267,4.013113,4.031189,0.062265,526400
1985-03-19,4.040228,4.103498,4.040228,4.103498,0.063382,1928400
1985-03-20,3.877534,3.877534,3.805226,3.868496,0.059752,11285600
1985-03-21,3.868496,3.877534,3.805226,3.805226,0.058775,2840400
1985-03-22,3.805226,3.823303,3.778111,3.787149,0.058496,3944800
1985-03-25,3.787149,3.796187,3.760033,3.769072,0.058216,3609200
1985-03-26,3.769072,3.769072,3.732918,3.769072,0.058216,529200
1985-03-27,3.769072,3.769072,3.678686,3.705802,0.057239,2446000
1985-03-28,3.705802,3.732918,3.660609,3.660609,0.056541,1881600
1985-03-29,3.687725,3.741956,3.687725,3.732918,0.057658,1682400
1985-04-01,3.732918,3.796187,3.732918,3.778111,0.058356,2008000
1985-04-02,3.778111,3.796187,3.760033,3.796187,0.058635,1176400
1985-04-03,3.796187,3.814265,3.741956,3.760033,0.058077,475600
1985-04-04,3.741956,3.741956,3.705802,3.714841,0.057379,2194000
1985-04-08,3.714841,3.723879,3.615417,3.633494,0.056122,1075600
1985-04-09,3.633494,3.633494,3.597340,3.624455,0.055983,5186800
1985-04-10,3.624455,3.687725,3.615417,3.660609,0.056541,2285200
1985-04-11,3.660609,3.705802,3.651571,3.687725,0.056960,1638000
1985-04-12,3.687725,3.741956,3.687725,3.741956,0.057797,1441600
1985-04-15,3.741956,3.769072,3.732918,3.760033,0.058077,399200
1985-04-16,3.760033,3.769072,3.723879,3.732918,0.057658,4052000
1985-04-17,3.732918,3.760033,3.732918,3.741956,0.057797,600800
1985-04-18,3.741956,3.778111,3.732918,3.732918,0.057658,1588400
1985-04-19,3.732918,3.778111,3.732918,3.778111,0.058356,1457600
1985-04-22,3.778111,3.778111,3.732918,3.760033,0.058077,1269200
1985-04-23,3.760033,3.796187,3.732918,3.760033,0.058077,2374000
1985-04-24,3.778111,3.823303,3.778111,3.814265,0.058914,3109600
1985-04-25,3.814265,3.832342,3.814265,3.832342,0.059194,465200
1985-04-26,3.832342,3.832342,3.814265,3.823303,0.059054,628400
1985-04-29,3.823303,3.823303,3.760033,3.760033,0.058077,519600
1985-04-30,3.778111,3.778111,3.723879,3.769072,0.058611,3089200
1985-05-01,3.769072,3.832342,3.732918,3.787149,0.058892,1292400
1985-05-02,3.787149,3.814265,3.787149,3.787149,0.058892,916400
1985-05-03,3.787149,3.823303,3.787149,3.814265,0.059314,1474000
1985-05-06,3.814265,3.814265,3.787149,3.796187,0.059033,5136000
1985-05-07,3.796187,3.796187,3.705802,3.723879,0.057908,722800
1985-05-08,3.723879,3.723879,3.705802,3.705802,0.057627,2702000
1985-05-09,3.714841,3.732918,3.714841,3.732918,0.058049,578000
1985-05-10,3.760033,3.850419,3.760033,3.796187,0.059033,1252800
1985-05-13,3.814265,3.886573,3.814265,3.886573,0.060438,1187200
1985-05-14,3.886573,3.895612,3.814265,3.814265,0.059314,631200
1985-05-15,3.823303,3.877534,3.823303,3.859457,0.060016,656400
1985-05-16,3.859457,3.886573,3.850419,3.886573,0.060438,1422400
1985-05-17,3.886573,3.895612,3.868496,3.895612,0.060579,1292400
1985-05-20,3.895612,3.976958,3.895612,3.958881,0.061562,3272800
1985-05-21,3.958881,3.985997,3.913689,3.976958,0.061844,2356400
1985-05-22,3.976958,3.976958,3.958881,3.976958,0.061844,1518400
1985-05-23,3.976958,3.985997,3.976958,3.985997,0.061984,2528800
1985-05-24,3.985997,3.985997,3.958881,3.967920,0.061703,1474000
1985-05-28,3.967920,3.985997,3.949843,3.958881,0.061562,883200
1985-05-29,3.940804,3.940804,3.886573,3.895612,0.060579,1342000
1985-05-30,3.895612,3.931766,3.877534,3.913689,0.060860,1728400
1985-05-31,3.913689,3.985997,3.913689,3.985997,0.061984,1056400
1985-06-03,3.985997,4.013113,3.967920,3.995035,0.062125,1126400
1985-06-04,3.995035,4.022151,3.995035,4.022151,0.062546,653600
1985-06-05,4.022151,4.031189,3.967920,3.976958,0.061844,1982800
1985-06-06,3.976958,4.022151,3.976958,4.013113,0.062406,1972800
1985-06-07,4.013113,4.022151,3.976958,3.976958,0.061844,537200
1985-06-10,3.976958,3.976958,3.913689,3.976958,0.061844,1873200
1985-06-11,3.976958,3.985997,3.967920,3.976958,0.061844,1616000
1985-06-12,3.958881,3.958881,3.913689,3.931766,0.061141,2668800
1985-06-13,3.904650,3.904650,3.859457,3.859457,0.060016,5336400
1985-06-14,3.859457,3.886573,3.832342,3.850419,0.059876,1371600
1985-06-17,3.850419,3.904650,3.850419,3.877534,0.060297,1377200
1985-06-18,3.877534,3.895612,3.859457,3.868496,0.060157,1781200
1985-06-19,3.868496,3.868496,3.778111,3.778111,0.058751,1037200
1985-06-20,3.778111,3.787149,3.705802,3.723879,0.057908,611200
1985-06-21,3.714841,3.714841,3.615417,3.660609,0.056924,3675600
1985-06-24,3.651571,3.651571,3.606378,3.606378,0.056081,522400
1985-06-25,3.606378,3.633494,3.606378,3.633494,0.056503,2339600
1985-06-26,3.633494,3.633494,3.624455,3.624455,0.056362,863600
1985-06-27,3.624455,3.660609,3.624455,3.651571,0.056784,1007600
1985-06-28,3.651571,3.723879,3.651571,3.723879,0.057908,1660400
1985-07-01,3.723879,3.805226,3.723879,3.778111,0.058751,3090400
1985-07-02,3.778111,3.832342,3.750995,3.832342,0.059595,2476400
1985-07-03,3.832342,3.949843,3.814265,3.931766,0.061141,1770000
1985-07-05,3.931766,3.958881,3.931766,3.940804,0.061281,304800
1985-07-08,3.940804,3.995035,3.931766,3.995035,0.062125,1053600
1985-07-09,3.995035,4.085421,3.976958,4.085421,0.063530,1938800
1985-07-10,4.085421,4.085421,4.013113,4.067344,0.063249,5806400
1985-07-11,4.067344,4.067344,4.031189,4.058305,0.063109,1267600
1985-07-12,4.049267,4.049267,3.976958,4.040228,0.062827,750400
1985-07-15,4.040228,4.049267,3.976958,3.985997,0.061984,1551600
1985-07-16,3.985997,4.121575,3.967920,4.121575,0.064092,1746000
1985-07-17,4.121575,4.139652,3.949843,3.967920,0.061703,5676400
1985-07-18,3.967920,3.985997,3.922727,3.976958,0.061844,2047600
1985-07-19,3.967920,3.967920,3.850419,3.877534,0.060297,744000
1985-07-22,3.877534,3.886573,3.841380,3.886573,0.060438,304000
1985-07-23,3.886573,3.913689,3.850419,3.877534,0.060297,821200
1985-07-24,3.877534,3.895612,3.877534,3.886573,0.060438,4582800
1985-07-25,3.886573,3.922727,3.886573,3.895612,0.060579,1734000
1985-07-26,3.895612,3.922727,3.886573,3.895612,0.060579,600800
1985-07-29,3.895612,3.913689,3.895612,3.913689,0.060860,656400
1985-07-30,3.913689,3.913689,3.877534,3.913689,0.061256,728000
1985-07-31,3.913689,3.976958,3.913689,3.967920,0.062105,4461200
1985-08-01,3.995035,4.031189,3.995035,4.031189,0.063095,6522000
1985-08-02,4.031189,4.040228,4.013113,4.013113,0.062812,461600
1985-08-05,4.013113,4.031189,3.976958,3.995035,0.062529,1679600
1985-08-06,3.995035,4.013113,3.958881,3.976958,0.062246,384400
1985-08-07,3.976958,3.976958,3.940804,3.958881,0.061963,807600
1985-08-08,3.958881,4.013113,3.958881,4.004074,0.062670,152800
1985-08-09,4.004074,4.004074,3.985997,3.985997,0.062388,708000
1985-08-12,3.985997,4.022151,3.985997,3.985997,0.062388,177600
1985-08-13,3.985997,4.049267,3.985997,3.995035,0.062529,1256400
1985-08-14,3.995035,4.040228,3.985997,4.022151,0.062953,260800
1985-08-15,4.022151,4.031189,3.985997,3.995035,0.062529,730000
1985-08-16,3.995035,4.049267,3.985997,4.031189,0.063095,1172400
1985-08-19,4.031189,4.049267,4.022151,4.049267,0.063378,956800
1985-08-20,4.049267,4.067344,4.040228,4.049267,0.063378,1975600
1985-08-21,4.049267,4.076382,4.040228,4.076382,0.063802,1601200
1985-08-22,4.076382,4.076382,4.031189,4.031189,0.063095,720000
1985-08-23,4.031189,4.031189,4.013113,4.013113,0.062812,304800
1985-08-26,4.013113,4.049267,4.004074,4.049267,0.063378,461600
1985-08-27,4.049267,4.067344,4.022151,4.022151,0.062953,966000
1985-08-28,4.022151,4.049267,4.013113,4.040228,0.063236,448800
1985-08-29,4.040228,4.040228,4.022151,4.022151,0.062953,212800
1985-08-30,4.022151,4.049267,4.013113,4.031189,0.063095,551200
1985-09-03,4.031189,4.049267,4.004074,4.004074,0.062670,1615200
1985-09-04,4.004074,4.013113,3.985997,4.013113,0.062812,301200
1985-09-05,4.013113,4.022151,3.995035,4.022151,0.062953,700400
1985-09-06,4.031189,4.049267,4.031189,4.031189,0.063095,588800
1985-09-09,4.031189,4.058305,4.022151,4.049267,0.063378,478400
1985-09-10,4.049267,4.049267,3.940804,3.940804,0.061680,366000
1985-09-11,3.922727,3.922727,3.859457,3.877534,0.060690,5983600
1985-09-12,3.877534,3.877534,3.850419,3.859457,0.060407,993600
1985-09-13,3.859457,3.859457,3.832342,3.832342,0.059983,1089600
1985-09-16,3.832342,3.850419,3.832342,3.841380,0.060124,515200
1985-09-17,3.841380,3.868496,3.823303,3.859457,0.060407,591600
1985-09-18,3.859457,3.877534,3.832342,3.859457,0.060407,2473600
1985-09-19,3.859457,3.877534,3.823303,3.823303,0.059841,2418000
1985-09-20,3.823303,3.850419,3.796187,3.805226,0.059558,1707200
1985-09-23,3.850419,3.895612,3.850419,3.868496,0.060549,409200
1985-09-24,3.868496,3.895612,3.841380,3.841380,0.060124,390800
1985-09-25,3.841380,3.850419,3.805226,3.805226,0.059558,2574800
1985-09-26,3.805226,3.823303,3.778111,3.805226,0.059558,3508000
