Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,7.812500,7.875000,7.812500,7.875000,0.374107,360800
1985-01-29,7.812500,7.937500,7.812500,7.937500,0.377076,281400
1985-01-30,7.937500,8.000000,7.875000,8.000000,0.380045,395800
1985-01-31,7.937500,8.000000,7.875000,8.000000,0.380045,324400
1985-02-01,7.937500,8.000000,7.562500,7.937500,0.377076,318800
1985-02-04,7.937500,8.000000,7.937500,7.937500,0.377076,281000
1985-02-05,8.000000,8.000000,7.937500,8.000000,0.380045,374800
1985-02-06,7.937500,8.000000,7.750000,7.875000,0.374107,456800
1985-02-07,7.937500,8.000000,7.875000,7.937500,0.377076,342800
1985-02-08,8.000000,8.000000,7.937500,8.000000,0.380045,602600
1985-02-11,7.937500,8.000000,7.812500,7.812500,0.371138,1175200
1985-02-12,7.937500,7.937500,7.812500,7.937500,0.377076,191400
1985-02-13,8.000000,8.125000,7.937500,8.000000,0.380045,1166200
1985-02-14,8.062500,8.187500,7.625000,8.125000,0.385983,327000
1985-02-15,8.062500,8.125000,8.000000,8.062500,0.383014,215800
1985-02-19,8.062500,8.187500,7.562500,8.125000,0.385983,282200
1985-02-20,8.062500,8.187500,8.062500,8.125000,0.385983,226400
1985-02-21,8.125000,8.187500,8.062500,8.187500,0.388952,332400
1985-02-22,8.062500,8.187500,8.062500,8.062500,0.383014,620200
1985-02-25,7.750000,8.125000,7.500000,7.625000,0.375022,1686800
1985-02-26,7.625000,7.750000,7.625000,7.750000,0.381170,1091800
1985-02-27,7.687500,7.812500,7.687500,7.750000,0.381170,305400
1985-02-28,7.750000,7.812500,7.687500,7.687500,0.378096,271400
1985-03-01,7.687500,7.812500,7.687500,7.812500,0.384244,321800
1985-03-04,7.750000,7.812500,7.687500,7.687500,0.378096,502800
1985-03-05,7.750000,7.750000,7.625000,7.687500,0.378096,445600
1985-03-06,7.687500,7.750000,7.562500,7.687500,0.378096,318000
1985-03-07,7.625000,7.750000,7.562500,7.625000,0.375022,1262000
1985-03-08,7.625000,7.625000,7.562500,7.562500,0.371948,398600
1985-03-11,7.625000,7.625000,7.500000,7.500000,0.368874,932800
1985-03-12,7.562500,7.625000,7.500000,7.562500,0.371948,555200
1985-03-13,7.625000,7.625000,7.500000,7.562500,0.371948,247800
1985-03-14,7.562500,7.625000,7.562500,7.625000,0.375022,318400
1985-03-15,7.562500,7.562500,7.500000,7.500000,0.368874,407200
1985-03-18,7.500000,7.625000,7.500000,7.625000,0.375022,502200
1985-03-19,7.562500,7.750000,7.500000,7.687500,0.378096,465200
1985-03-20,7.687500,7.687500,7.562500,7.625000,0.375022,349200
1985-03-21,7.625000,7.687500,7.562500,7.625000,0.375022,337600
1985-03-22,7.687500,7.750000,7.562500,7.625000,0.375022,449200
1985-03-25,7.687500,7.750000,7.562500,7.625000,0.375022,211600
1985-03-26,7.625000,7.750000,7.625000,7.625000,0.375022,263600
1985-03-27,7.625000,7.812500,7.625000,7.750000,0.381170,468400
1985-03-28,7.687500,7.812500,7.562500,7.812500,0.384244,282800
1985-03-29,7.750000,7.937500,7.687500,7.937500,0.390392,390600
1985-04-01,7.937500,7.937500,7.687500,7.937500,0.390392,370800
1985-04-02,7.875000,8.000000,7.875000,7.937500,0.390392,592600
1985-04-03,7.875000,7.937500,7.812500,7.875000,0.387317,354200
1985-04-04,7.875000,7.875000,7.750000,7.812500,0.384244,8790000
1985-04-08,7.812500,7.875000,7.687500,7.750000,0.381170,713800
1985-04-09,7.687500,7.812500,7.687500,7.750000,0.381170,401600
1985-04-10,7.750000,7.875000,7.500000,7.812500,0.384244,480800
1985-04-11,7.812500,7.875000,7.750000,7.875000,0.387317,318200
1985-04-12,7.875000,7.937500,7.812500,7.875000,0.387317,818800
1985-04-15,7.875000,7.937500,7.687500,7.875000,0.387317,338800
1985-04-16,7.937500,7.937500,7.625000,7.875000,0.387317,506800
1985-04-17,7.937500,8.000000,7.875000,7.937500,0.390392,330400
1985-04-18,8.000000,8.000000,7.812500,7.937500,0.390392,482200
1985-04-19,7.937500,8.000000,7.875000,8.000000,0.393465,405800
1985-04-22,7.937500,8.000000,7.562500,7.937500,0.390392,369200
1985-04-23,7.875000,8.000000,7.875000,8.000000,0.393465,352000
1985-04-24,7.937500,8.000000,7.875000,7.937500,0.390392,421600
1985-04-25,8.000000,8.000000,7.875000,7.937500,0.390392,446800
1985-04-26,7.937500,7.937500,7.875000,7.937500,0.390392,386000
1985-04-29,7.875000,7.937500,7.562500,7.875000,0.387317,427400
1985-04-30,7.875000,7.875000,7.750000,7.875000,0.387317,507600
1985-05-01,7.875000,7.875000,7.750000,7.750000,0.381170,398000
