Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,8.062500,8.281250,8.000000,8.156250,7.357386,4332000
1985-01-29,8.156250,8.468750,8.125000,8.468750,7.639277,1534400
1985-01-30,8.562500,8.687500,8.500000,8.531250,7.695657,1903200
1985-01-31,8.531250,8.531250,8.187500,8.375000,7.554709,1273600
1985-02-01,8.750000,9.062500,8.750000,8.906250,8.033925,5916000
1985-02-04,8.781250,9.031250,8.750000,9.031250,8.146687,2178800
1985-02-05,8.968750,9.187500,8.968750,9.156250,8.259443,1501200
1985-02-06,9.125000,9.187500,8.968750,9.031250,8.146687,1139600
1985-02-07,9.093750,9.250000,9.062500,9.218750,8.315820,2281600
1985-02-08,9.250000,9.312500,9.125000,9.312500,8.400387,1212800
1985-02-11,9.312500,9.312500,9.031250,9.125000,8.231249,1542800
1985-02-12,9.062500,9.218750,9.000000,9.125000,8.231249,1166000
1985-02-13,9.093750,9.437500,9.093750,9.406250,8.484953,1757200
1985-02-14,9.468750,9.468750,9.250000,9.250000,8.344007,1188000
1985-02-15,9.250000,9.375000,9.218750,9.250000,8.344007,895200
1985-02-19,9.218750,9.250000,9.156250,9.187500,8.287627,1190800
1985-02-20,9.218750,9.687500,9.187500,9.531250,8.597711,1904400
1985-02-21,9.531250,9.531250,9.375000,9.375000,8.456761,1096800
1985-02-22,9.437500,9.437500,9.281250,9.375000,8.456761,1977600
1985-02-25,9.312500,9.375000,9.250000,9.281250,8.372195,412800
1985-02-26,9.312500,9.718750,9.312500,9.687500,8.738655,1184800
1985-02-27,9.656250,9.718750,9.375000,9.406250,8.484953,1496000
1985-02-28,9.187500,9.312500,9.093750,9.250000,8.344007,2387200
1985-03-01,9.250000,9.281250,8.750000,8.750000,7.892978,2731200
1985-03-04,8.750000,8.875000,8.562500,8.593750,7.752033,1419200
1985-03-05,8.656250,8.750000,8.500000,8.500000,7.667466,1563200
1985-03-06,8.531250,8.531250,8.437500,8.437500,7.611093,1112000
1985-03-07,8.375000,8.437500,8.343750,8.375000,7.554709,644800
1985-03-08,8.406250,8.500000,8.406250,8.468750,7.639277,844400
1985-03-11,8.406250,8.531250,8.406250,8.500000,7.667466,710400
1985-03-12,8.500000,8.562500,8.468750,8.531250,7.695657,646800
1985-03-13,8.531250,8.562500,8.343750,8.343750,7.526520,528800
1985-03-14,8.375000,8.531250,8.375000,8.437500,7.611093,1245600
1985-03-15,8.468750,8.468750,8.406250,8.437500,7.611093,1066800
1985-03-18,8.406250,8.812500,8.406250,8.750000,7.892978,1748800
1985-03-19,8.750000,8.750000,8.500000,8.593750,7.752033,1123600
1985-03-20,8.625000,8.687500,8.468750,8.468750,7.639277,1196000
1985-03-21,8.656250,8.718750,8.593750,8.687500,7.836598,937200
1985-03-22,8.625000,9.000000,8.625000,8.968750,8.090304,1032000
1985-03-25,8.875000,8.875000,8.718750,8.781250,7.921165,1060000
1985-03-26,8.781250,8.968750,8.781250,8.906250,8.033925,584000
1985-03-27,8.843750,9.031250,8.843750,9.031250,8.146687,830400
1985-03-28,9.000000,9.093750,8.781250,8.812500,7.949359,549600
1985-03-29,8.812500,9.031250,8.812500,8.968750,8.090304,1060000
1985-04-01,9.062500,9.125000,9.000000,9.125000,8.231249,2151200
1985-04-02,9.125000,9.125000,9.031250,9.031250,8.146687,1080000
1985-04-03,9.000000,9.062500,8.906250,8.906250,8.033925,432800
1985-04-04,8.906250,8.968750,8.906250,8.906250,8.033925,633600
1985-04-08,8.937500,8.968750,8.843750,8.843750,7.977545,842400
1985-04-09,8.750000,8.750000,8.593750,8.625000,7.780224,705200
1985-04-10,8.625000,8.750000,8.593750,8.625000,7.780224,1483200
1985-04-11,8.625000,8.750000,8.625000,8.687500,7.836598,708000
1985-04-12,8.718750,8.875000,8.687500,8.812500,7.949359,540400
1985-04-15,8.875000,8.968750,8.875000,8.968750,8.090304,1003600
1985-04-16,9.187500,9.250000,9.000000,9.187500,8.287627,2025600
1985-04-17,9.187500,9.250000,9.125000,9.250000,8.344007,658400
1985-04-18,9.312500,9.375000,9.312500,9.343750,8.428576,1109200
1985-04-19,9.312500,9.343750,9.187500,9.281250,8.372195,842400
1985-04-22,9.250000,9.250000,9.000000,9.125000,8.231249,910800
1985-04-23,9.125000,9.281250,9.062500,9.281250,8.372195,946000
1985-04-24,9.375000,9.593750,9.375000,9.468750,8.541327,1815200
1985-04-25,9.500000,9.937500,9.468750,9.843750,8.879601,2444400
1985-04-26,9.843750,9.843750,9.593750,9.718750,8.766847,886400
1985-04-29,9.656250,9.750000,9.375000,9.406250,8.484953,1047200
1985-04-30,9.406250,9.437500,9.250000,9.281250,8.372195,1190000
1985-05-01,9.281250,9.406250,9.250000,9.250000,8.344007,943600
1985-05-02,9.281250,9.468750,9.281250,9.468750,8.541327,1102400
1985-05-03,9.718750,9.875000,9.687500,9.843750,8.879601,1376000
1985-05-06,9.843750,10.125000,9.843750,10.093750,9.105112,1945200
1985-05-07,9.968750,10.125000,9.906250,9.968750,8.992361,1175600
1985-05-08,9.968750,10.125000,9.937500,10.093750,9.105112,555200
1985-05-09,10.031250,10.625000,10.000000,10.500000,9.471571,1644400
1985-05-10,10.687500,10.750000,10.500000,10.625000,9.584332,3365600
1985-05-13,10.593750,10.593750,10.218750,10.343750,9.330626,1372400
1985-05-14,10.375000,10.500000,10.156250,10.156250,9.161495,1496000
1985-05-15,10.156250,10.468750,10.156250,10.312500,9.302441,1205600
1985-05-16,10.343750,10.406250,10.281250,10.343750,9.330626,971600
1985-05-17,10.406250,10.406250,10.281250,10.375000,9.358818,575600
1985-05-20,10.500000,10.625000,10.250000,10.250000,9.246060,1478000
1985-05-21,10.187500,10.187500,9.875000,10.000000,9.020546,2593600
1985-05-22,10.031250,10.093750,9.968750,10.093750,9.105112,1293200
1985-05-23,10.125000,10.156250,10.062500,10.125000,9.133305,472000
1985-05-24,10.156250,10.250000,10.156250,10.187500,9.189687,418400
1985-05-28,10.187500,10.250000,10.062500,10.250000,9.246060,289600
1985-05-29,10.250000,10.250000,10.156250,10.250000,9.246060,438400
1985-05-30,10.218750,10.250000,10.093750,10.187500,9.189687,1160400
1985-05-31,10.250000,11.031250,10.187500,10.875000,9.809849,2104000
1985-06-03,10.906250,10.906250,10.656250,10.750000,9.697090,1148800
