Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.703704,1.722222,1.666667,1.685185,0.329134,5700
1985-01-29,1.666667,1.666667,1.666667,1.666667,0.325517,15300
1985-01-30,1.703704,1.759259,1.703704,1.740741,0.339984,160500
1985-01-31,1.740741,1.777778,1.740741,1.777778,0.347218,35400
1985-02-01,1.777778,1.777778,1.759259,1.759259,0.343601,13800
1985-02-04,1.759259,1.759259,1.740741,1.759259,0.343601,190800
1985-02-05,1.759259,1.759259,1.759259,1.759259,0.343601,1800
1985-02-06,1.759259,1.796296,1.759259,1.777778,0.347218,130800
1985-02-07,1.777778,1.796296,1.777778,1.777778,0.347218,13800
1985-02-08,1.777778,1.814815,1.759259,1.759259,0.343601,18000
1985-02-11,1.759259,1.796296,1.759259,1.759259,0.343601,28200
1985-02-12,1.759259,1.777778,1.759259,1.777778,0.347218,39000
1985-02-13,1.777778,1.777778,1.759259,1.777778,0.347218,19200
1985-02-14,1.777778,1.796296,1.759259,1.777778,0.359828,24300
1985-02-15,1.777778,1.796296,1.759259,1.796296,0.363576,46200
1985-02-19,1.777778,1.777778,1.740741,1.777778,0.359828,51600
1985-02-20,1.759259,1.759259,1.740741,1.740741,0.352331,22800
1985-02-21,1.740741,1.759259,1.703704,1.703704,0.344835,199800
1985-02-22,1.703704,1.740741,1.703704,1.722222,0.348583,41700
1985-02-25,1.722222,1.740741,1.685185,1.685185,0.341087,39600
1985-02-26,1.685185,1.685185,1.685185,1.685185,0.341087,9900
1985-02-27,1.685185,1.703704,1.685185,1.703704,0.344835,41700
1985-02-28,1.703704,1.703704,1.685185,1.703704,0.344835,28200
1985-03-01,1.703704,1.703704,1.629630,1.703704,0.344835,352200
1985-03-04,1.703704,1.703704,1.666667,1.666667,0.337339,15300
1985-03-05,1.648148,1.648148,1.629630,1.629630,0.329842,18900
1985-03-06,1.629630,1.648148,1.592593,1.648148,0.333591,9300
1985-03-07,1.574074,1.574074,1.574074,1.574074,0.318598,12000
1985-03-08,1.574074,1.574074,1.574074,1.574074,0.318598,0
1985-03-11,1.574074,1.629630,1.574074,1.611111,0.326094,119100
1985-03-12,1.592593,1.592593,1.592593,1.592593,0.322346,1800
1985-03-13,1.592593,1.611111,1.592593,1.611111,0.326094,67800
