Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.764527,2.764527,2.732003,2.742845,0.406646,456500
1985-01-29,2.742845,2.786210,2.737424,2.786210,0.413075,680200
1985-01-30,2.786210,2.840416,2.786210,2.824154,0.418700,1526500
1985-01-31,2.824154,2.927147,2.797051,2.905464,0.430755,2741800
1985-02-01,2.905464,2.905464,2.840416,2.872940,0.425933,594900
1985-02-04,2.872940,2.872940,2.829575,2.840416,0.421111,1521900
1985-02-05,2.840416,2.856678,2.840416,2.840416,0.421111,454200
1985-02-06,2.840416,2.862099,2.829575,2.829575,0.419504,954600
1985-02-07,2.829575,2.851258,2.818734,2.840416,0.421111,657200
1985-02-08,2.840416,2.872940,2.840416,2.856678,0.423522,555700
1985-02-11,2.856678,2.894623,2.732003,2.732003,0.405038,1960100
1985-02-12,2.753686,2.829575,2.753686,2.818734,0.417897,2188300
1985-02-13,2.840416,2.862099,2.840416,2.856678,0.423522,4630400
1985-02-14,2.856678,2.905464,2.851258,2.883781,0.427540,1570300
1985-02-15,2.883781,2.916305,2.872940,2.916305,0.432362,1194500
1985-02-19,2.916305,2.916305,2.894623,2.905464,0.430755,532600
1985-02-20,2.905464,2.937988,2.900043,2.927147,0.433970,394300
1985-02-21,2.927147,2.927147,2.883781,2.883781,0.427540,2631100
1985-02-22,2.872940,2.872940,2.797051,2.840416,0.421111,392000
1985-02-25,2.818734,2.818734,2.775369,2.786210,0.512267,797800
1985-02-26,2.786210,2.807893,2.786210,2.797051,0.514260,790900
1985-02-27,2.797051,2.807893,2.786210,2.786210,0.512267,1496500
1985-02-28,2.786210,2.797051,2.780789,2.797051,0.514260,475000
1985-03-01,2.797051,2.862099,2.797051,2.851258,0.524226,1217500
1985-03-04,2.851258,2.883781,2.840416,2.851258,0.524226,1051500
1985-03-05,2.851258,2.867520,2.829575,2.851258,0.524226,1309800
1985-03-06,2.851258,2.851258,2.797051,2.818734,0.518247,883100
1985-03-07,2.818734,2.829575,2.813313,2.813313,0.517250,295100
1985-03-08,2.813313,2.818734,2.786210,2.786210,0.512267,601800
1985-03-11,2.775369,2.775369,2.742845,2.742845,0.504294,2241400
