Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,9.500000,9.515625,9.343750,9.406250,0.351390,916800
1985-01-29,9.453125,9.687500,9.437500,9.656250,0.360729,445600
1985-01-30,9.718750,9.750000,9.531250,9.562500,0.357227,426400
1985-01-31,9.562500,9.578125,9.500000,9.562500,0.357227,1008000
1985-02-01,9.531250,9.531250,9.453125,9.500000,0.354892,780000
1985-02-04,9.531250,9.546875,9.437500,9.437500,0.352557,888000
1985-02-05,9.468750,9.468750,9.375000,9.421875,0.351974,704000
1985-02-06,9.421875,9.437500,9.343750,9.375000,0.350223,608000
1985-02-07,9.359375,9.468750,9.343750,9.406250,0.351390,980800
1985-02-08,9.437500,9.562500,9.406250,9.515625,0.355476,1348800
1985-02-11,9.562500,9.687500,9.500000,9.687500,0.361897,748000
1985-02-12,9.687500,10.125000,9.671875,10.125000,0.378240,2004800
1985-02-13,10.078125,10.500000,10.031250,10.375000,0.387580,3078400
1985-02-14,10.406250,10.437500,10.140625,10.140625,0.378824,1217600
1985-02-15,10.140625,10.140625,10.000000,10.000000,0.373571,483200
1985-02-19,10.046875,10.187500,10.031250,10.109375,0.377656,656000
1985-02-20,10.109375,10.125000,9.906250,9.937500,0.371236,440000
1985-02-21,9.937500,9.937500,9.687500,9.750000,0.364231,947200
1985-02-22,9.734375,9.875000,9.656250,9.875000,0.368901,703200
1985-02-25,9.843750,9.859375,9.703125,9.812500,0.366566,636800
1985-02-26,9.781250,10.062500,9.750000,10.062500,0.375905,708000
1985-02-27,10.062500,10.187500,9.968750,10.125000,0.378240,569600
1985-02-28,10.125000,10.125000,9.812500,9.906250,0.370068,844800
1985-03-01,9.906250,10.312500,9.906250,10.281250,0.384077,987200
1985-03-04,10.250000,10.296875,10.125000,10.296875,0.384661,620000
1985-03-05,10.312500,10.312500,9.437500,10.000000,0.373571,6406400
1985-03-06,9.781250,9.937500,9.625000,9.656250,0.360729,2919200
1985-03-07,9.640625,9.656250,9.453125,9.453125,0.353141,1810400
1985-03-08,9.500000,9.656250,9.468750,9.609375,0.358978,1541600
1985-03-11,9.625000,9.656250,9.562500,9.562500,0.357227,1465600
1985-03-12,9.531250,9.578125,9.484375,9.515625,0.355476,1379200
1985-03-13,9.484375,9.531250,9.281250,9.296875,0.347304,763200
1985-03-14,9.187500,9.250000,9.093750,9.156250,0.342051,827200
1985-03-15,9.156250,9.156250,8.875000,8.968750,0.335046,1695200
1985-03-18,9.000000,9.078125,8.937500,9.000000,0.336214,1626400
1985-03-19,9.015625,9.109375,9.000000,9.093750,0.339716,1580000
1985-03-20,9.140625,9.156250,9.109375,9.125000,0.340883,1106400
1985-03-21,9.125000,9.171875,9.109375,9.156250,0.342051,1130400
1985-03-22,9.140625,9.156250,9.031250,9.125000,0.340883,1480800
1985-03-25,9.093750,9.156250,9.031250,9.156250,0.342051,717600
1985-03-26,9.125000,9.250000,9.093750,9.250000,0.345553,947200
1985-03-27,9.218750,9.406250,9.218750,9.343750,0.349055,606400
1985-03-28,9.312500,9.359375,9.187500,9.234375,0.344969,472000
1985-03-29,9.218750,9.234375,9.125000,9.125000,0.340883,511200
1985-04-01,9.078125,9.218750,9.078125,9.203125,0.343802,839200
1985-04-02,9.234375,9.234375,8.968750,9.046875,0.337965,1256000
1985-04-03,8.906250,8.906250,8.687500,8.781250,0.328042,2137600
1985-04-04,8.671875,8.781250,8.406250,8.546875,0.319286,3135200
1985-04-08,8.343750,8.343750,8.218750,8.250000,0.308196,3333600
1985-04-09,8.250000,8.328125,8.250000,8.281250,0.310539,1821600
1985-04-10,8.343750,8.562500,8.343750,8.500000,0.318742,2086400
1985-04-11,8.531250,8.625000,8.515625,8.562500,0.321086,1875200
1985-04-12,8.593750,8.671875,8.562500,8.593750,0.322258,646400
1985-04-15,8.625000,8.656250,8.593750,8.593750,0.322258,456000
1985-04-16,8.593750,8.593750,8.375000,8.421875,0.315813,2225600
1985-04-17,8.437500,8.484375,8.406250,8.484375,0.318157,2033600
1985-04-18,8.500000,8.500000,8.375000,8.406250,0.315227,1959200
1985-04-19,8.437500,8.453125,8.375000,8.421875,0.315813,559200
1985-04-22,8.484375,8.625000,8.484375,8.625000,0.323430,639200
1985-04-23,8.562500,8.671875,8.484375,8.671875,0.325188,1408000
1985-04-24,8.656250,8.843750,8.640625,8.734375,0.327531,631200
1985-04-25,8.734375,8.812500,8.718750,8.765625,0.328703,1730400
1985-04-26,8.781250,8.781250,8.640625,8.640625,0.324016,708000
1985-04-29,8.640625,8.640625,8.390625,8.421875,0.315813,1071200
1985-04-30,8.390625,8.421875,8.250000,8.328125,0.312297,1356800
1985-05-01,8.406250,8.640625,8.390625,8.593750,0.322258,1324000
1985-05-02,8.625000,8.671875,8.375000,8.421875,0.315813,1554400
1985-05-03,8.390625,8.453125,8.390625,8.421875,0.315813,521600
1985-05-06,8.421875,8.468750,8.406250,8.421875,0.315813,1918400
1985-05-07,8.406250,8.531250,8.406250,8.500000,0.318742,1400000
1985-05-08,8.531250,8.546875,8.484375,8.531250,0.319914,684800
1985-05-09,8.546875,8.734375,8.531250,8.734375,0.327531,847200
1985-05-10,8.750000,9.031250,8.750000,8.968750,0.336320,1842400
1985-05-13,8.984375,8.984375,8.812500,8.828125,0.331047,733600
1985-05-14,8.796875,8.890625,8.781250,8.875000,0.332805,536000
1985-05-15,8.843750,8.875000,8.796875,8.828125,0.331047,2072000
1985-05-16,8.843750,8.859375,8.796875,8.828125,0.331047,536000
1985-05-17,8.843750,8.875000,8.796875,8.843750,0.331633,1497600
1985-05-20,8.875000,8.984375,8.875000,8.953125,0.335734,1579200
1985-05-21,8.953125,8.953125,8.593750,8.625000,0.323430,2100800
1985-05-22,8.796875,8.875000,8.625000,8.843750,0.331633,2800800
1985-05-23,8.890625,9.093750,8.843750,9.031250,0.338664,3142400
1985-05-24,9.109375,9.125000,9.046875,9.078125,0.340422,1204000
1985-05-28,9.125000,9.156250,9.031250,9.046875,0.339250,773600
1985-05-29,9.078125,9.078125,9.015625,9.078125,0.340422,634400
1985-05-30,9.078125,9.078125,8.968750,8.984375,0.336906,333600
1985-05-31,8.953125,9.046875,8.953125,8.968750,0.336320,463200
1985-06-03,9.078125,9.109375,9.015625,9.109375,0.341593,1117600
1985-06-04,9.109375,9.250000,9.078125,9.234375,0.346281,1192800
1985-06-05,9.250000,9.359375,9.250000,9.343750,0.350382,1221600
1985-06-06,9.312500,9.437500,9.281250,9.375000,0.351554,1534400
1985-06-07,9.406250,9.437500,9.250000,9.265625,0.347453,574400
1985-06-10,9.187500,9.265625,9.156250,9.250000,0.346867,289600
1985-06-11,9.281250,9.281250,9.203125,9.218750,0.345695,276000
1985-06-12,9.218750,9.218750,9.171875,9.171875,0.343937,786400
1985-06-13,9.156250,9.156250,9.093750,9.125000,0.342179,682400
1985-06-14,9.156250,9.250000,9.140625,9.250000,0.346867,352000
1985-06-17,9.234375,9.250000,9.187500,9.187500,0.344523,408000
1985-06-18,9.218750,9.328125,9.218750,9.312500,0.349211,605600
1985-06-19,9.359375,9.359375,9.218750,9.218750,0.345695,687200
1985-06-20,9.250000,9.250000,9.203125,9.250000,0.346867,786400
1985-06-21,9.250000,9.296875,9.218750,9.296875,0.348625,433600
1985-06-24,9.234375,9.375000,9.203125,9.343750,0.350382,557600
1985-06-25,9.375000,9.500000,9.375000,9.406250,0.352726,633600
1985-06-26,9.421875,9.421875,9.218750,9.312500,0.349211,617600
1985-06-27,9.296875,9.343750,9.234375,9.250000,0.346867,334400
1985-06-28,9.250000,9.296875,9.218750,9.296875,0.348625,319200
1985-07-01,9.343750,9.437500,9.312500,9.437500,0.353898,1149600
1985-07-02,9.500000,9.703125,9.437500,9.625000,0.360929,820000
1985-07-03,9.625000,9.750000,9.625000,9.734375,0.365030,1414400
1985-07-05,9.765625,9.875000,9.734375,9.843750,0.369132,634400
1985-07-08,9.859375,9.859375,9.656250,9.687500,0.363273,1015200
1985-07-09,9.578125,9.656250,9.468750,9.578125,0.360334,666400
1985-07-10,9.609375,9.718750,9.578125,9.718750,0.365624,501600
1985-07-11,9.781250,9.812500,9.750000,9.796875,0.368563,1358400
1985-07-12,9.828125,9.859375,9.812500,9.843750,0.370326,380000
1985-07-15,9.843750,9.937500,9.828125,9.875000,0.371502,1210400
1985-07-16,9.875000,9.953125,9.875000,9.921875,0.373266,620000
1985-07-17,10.062500,10.093750,9.937500,9.968750,0.375029,1948000
1985-07-18,9.937500,9.984375,9.890625,9.953125,0.374441,936000
1985-07-19,9.953125,9.984375,9.906250,9.921875,0.373266,369600
1985-07-22,9.921875,10.000000,9.890625,9.984375,0.375617,392000
1985-07-23,9.984375,10.062500,9.906250,9.921875,0.373266,751200
1985-07-24,9.906250,9.906250,9.531250,9.625000,0.362097,1079200
1985-07-25,9.625000,9.734375,9.437500,9.437500,0.355043,1013600
1985-07-26,9.406250,9.484375,9.312500,9.437500,0.355043,1104000
1985-07-29,9.437500,9.468750,9.312500,9.375000,0.352692,842400
1985-07-30,9.343750,9.406250,9.250000,9.343750,0.351516,673600
1985-07-31,9.390625,9.562500,9.390625,9.500000,0.357394,775200
1985-08-01,9.656250,9.734375,9.531250,9.562500,0.359746,931200
1985-08-02,9.625000,9.625000,9.375000,9.468750,0.356219,2375200
1985-08-05,9.578125,9.625000,9.562500,9.578125,0.360334,559200
1985-08-06,9.656250,9.687500,9.500000,9.500000,0.357394,592800
1985-08-07,9.500000,9.500000,9.390625,9.453125,0.355631,847200
1985-08-08,9.500000,9.609375,9.500000,9.578125,0.360334,387200
1985-08-09,9.609375,9.609375,9.531250,9.531250,0.358570,238400
1985-08-12,9.531250,9.625000,9.515625,9.609375,0.361509,576000
1985-08-13,9.625000,9.796875,9.625000,9.796875,0.368563,1500800
1985-08-14,9.843750,9.906250,9.843750,9.875000,0.371502,528000
1985-08-15,9.890625,9.937500,9.890625,9.906250,0.372678,567200
1985-08-16,9.937500,9.937500,9.843750,9.843750,0.370326,1023200
1985-08-19,9.812500,9.812500,9.703125,9.781250,0.367975,352000
1985-08-20,9.812500,9.906250,9.765625,9.843750,0.370326,394400
1985-08-21,9.843750,10.000000,9.843750,10.000000,0.376205,556000
1985-08-22,9.968750,9.968750,9.875000,9.906250,0.372678,390400
1985-08-23,9.875000,9.875000,9.812500,9.812500,0.369151,318400
1985-08-26,9.843750,9.843750,9.734375,9.781250,0.367975,503200
1985-08-27,9.750000,9.937500,9.750000,9.906250,0.372678,464000
1985-08-28,9.906250,9.984375,9.906250,9.921875,0.373266,564800
1985-08-29,9.984375,9.984375,9.875000,9.921875,0.373266,606400
1985-08-30,9.890625,9.890625,9.718750,9.718750,0.365624,336800
1985-09-03,9.671875,9.718750,9.640625,9.640625,0.362685,455200
1985-09-04,9.625000,9.671875,9.593750,9.656250,0.363272,532000
1985-09-05,9.750000,9.875000,9.718750,9.828125,0.369739,757600
1985-09-06,9.843750,9.890625,9.843750,9.859375,0.370914,548800
1985-09-09,9.921875,10.000000,9.875000,9.984375,0.375617,1502400
1985-09-10,10.000000,10.000000,9.843750,9.968750,0.375029,1192000
1985-09-11,9.968750,9.968750,9.703125,9.718750,0.365624,1224000
1985-09-12,9.687500,9.687500,9.343750,9.406250,0.353867,909600
1985-09-13,9.375000,9.406250,9.125000,9.171875,0.345050,1608000
1985-09-16,9.171875,9.171875,8.875000,8.937500,0.336233,2016000
1985-09-17,8.937500,9.000000,8.796875,8.796875,0.330942,2232800
1985-09-18,8.796875,8.828125,8.734375,8.781250,0.330355,1284000
1985-09-19,8.781250,8.890625,8.781250,8.875000,0.333882,1083200
1985-09-20,8.875000,9.031250,8.875000,8.875000,0.333882,749600
1985-09-23,8.906250,8.953125,8.890625,8.937500,0.336233,288800
1985-09-24,8.953125,8.968750,8.890625,8.906250,0.335058,623200
1985-09-25,8.921875,8.921875,8.843750,8.843750,0.332706,1000800
1985-09-26,8.625000,8.781250,8.625000,8.750000,0.329179,960800
1985-09-30,8.734375,8.750000,8.687500,8.703125,0.327415,356000
1985-10-01,8.703125,8.906250,8.687500,8.906250,0.335058,394400
1985-10-02,8.875000,8.953125,8.812500,8.812500,0.331530,430400
1985-10-03,8.843750,8.875000,8.812500,8.843750,0.332706,441600
1985-10-04,8.843750,8.843750,8.750000,8.781250,0.330355,532000
1985-10-07,8.781250,8.781250,8.671875,8.671875,0.326240,652800
1985-10-08,8.625000,8.625000,8.328125,8.343750,0.313896,1383200
1985-10-09,8.375000,8.421875,8.375000,8.390625,0.315659,251200
