Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,0.230324,0.233796,0.229167,0.231481,0.008578,1188000
1985-01-29,0.232639,0.236111,0.232639,0.233796,0.008664,972000
1985-01-30,0.233796,0.237269,0.231481,0.231481,0.008578,1382400
1985-01-31,0.231481,0.233796,0.231481,0.231481,0.008578,1825200
1985-02-01,0.229167,0.229167,0.225694,0.225694,0.008363,820800
1985-02-04,0.225694,0.229167,0.225694,0.229167,0.008492,561600
1985-02-05,0.228009,0.228009,0.224537,0.224537,0.008321,1371600
1985-02-06,0.224537,0.224537,0.222222,0.223380,0.008278,4071600
1985-02-07,0.223380,0.224537,0.223380,0.223380,0.008278,2613600
1985-02-08,0.223380,0.224537,0.222222,0.223380,0.008278,723600
1985-02-11,0.222222,0.222222,0.217593,0.218750,0.008106,4741200
1985-02-12,0.219907,0.224537,0.219907,0.224537,0.008321,1155600
1985-02-13,0.224537,0.229167,0.223380,0.229167,0.008492,4190400
1985-02-14,0.231481,0.233796,0.231481,0.231481,0.008578,2527200
1985-02-15,0.230324,0.230324,0.228009,0.229167,0.008492,1836000
1985-02-19,0.229167,0.229167,0.226852,0.226852,0.008406,831600
1985-02-20,0.226852,0.230324,0.226852,0.228009,0.008449,2840400
1985-02-21,0.228009,0.230324,0.226852,0.230324,0.008535,518400
1985-02-22,0.230324,0.231481,0.229167,0.229167,0.008492,594000
1985-02-25,0.229167,0.229167,0.225694,0.226852,0.008406,1414800
1985-02-26,0.226852,0.229167,0.225694,0.228009,0.008449,334800
1985-02-27,0.228009,0.228009,0.224537,0.225694,0.008363,572400
1985-02-28,0.224537,0.224537,0.221065,0.222222,0.008235,864000
1985-03-01,0.222222,0.224537,0.221065,0.222222,0.008235,1868400
1985-03-04,0.222222,0.224537,0.222222,0.223380,0.008278,248400
1985-03-05,0.223380,0.224537,0.223380,0.224537,0.008321,118800
1985-03-06,0.224537,0.224537,0.223380,0.223380,0.008278,291600
1985-03-07,0.223380,0.224537,0.223380,0.223380,0.008278,680400
1985-03-08,0.223380,0.225694,0.222222,0.222222,0.008235,864000
1985-03-11,0.222222,0.224537,0.222222,0.224537,0.008321,453600
1985-03-12,0.223380,0.223380,0.223380,0.223380,0.008278,32400
1985-03-13,0.222222,0.222222,0.218750,0.218750,0.008106,399600
1985-03-14,0.218750,0.219907,0.217593,0.218750,0.008106,1285200
1985-03-15,0.218750,0.218750,0.212963,0.212963,0.007892,14299200
1985-03-18,0.212963,0.215278,0.212963,0.214120,0.007935,486000
1985-03-19,0.214120,0.215278,0.211806,0.212963,0.007892,853200
1985-03-20,0.212963,0.212963,0.210648,0.212963,0.007892,5335200
1985-03-21,0.211806,0.211806,0.209491,0.209491,0.007763,810000
1985-03-22,0.209491,0.210648,0.209491,0.210648,0.007806,1706400
1985-03-25,0.210648,0.210648,0.210648,0.210648,0.007806,291600
1985-03-26,0.210648,0.211806,0.208333,0.208333,0.007720,2656800
1985-03-27,0.208333,0.209491,0.207176,0.209491,0.007763,2062800
1985-03-28,0.209491,0.209491,0.206019,0.207176,0.007677,3088800
1985-03-29,0.207176,0.210648,0.207176,0.208333,0.007720,1123200
1985-04-01,0.208333,0.208333,0.207176,0.207176,0.007677,1501200
1985-04-02,0.207176,0.207176,0.206019,0.207176,0.007677,540000
1985-04-03,0.207176,0.207176,0.206019,0.207176,0.007677,421200
1985-04-04,0.207176,0.208333,0.206019,0.207176,0.007677,8856000
1985-04-08,0.207176,0.208333,0.206019,0.206019,0.007634,2149200
1985-04-09,0.207176,0.210648,0.207176,0.210648,0.007806,529200
1985-04-10,0.210648,0.214120,0.209491,0.210648,0.007806,11707200
1985-04-11,0.212963,0.221065,0.212963,0.221065,0.008192,1555200
1985-04-12,0.221065,0.221065,0.221065,0.221065,0.008192,194400
1985-04-15,0.222222,0.223380,0.222222,0.223380,0.008278,367200
1985-04-16,0.224537,0.230324,0.224537,0.229167,0.008492,3207600
1985-04-17,0.231481,0.233796,0.231481,0.232639,0.008621,14774400
