Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.425926,3.611111,3.425926,3.574074,2.009290,717400
1985-01-29,3.629630,3.685185,3.611111,3.666667,2.061344,1057600
1985-01-30,3.555556,3.555556,3.481482,3.555556,1.998878,783000
1985-01-31,3.555556,3.555556,3.500000,3.537037,1.988468,338800
1985-02-01,3.537037,3.629630,3.518518,3.555556,1.998878,389400
1985-02-04,3.592592,3.703704,3.592592,3.703704,2.082165,506200
1985-02-05,3.777778,3.833333,3.777778,3.814815,2.144629,557500
1985-02-06,3.777778,4.000000,3.777778,3.981482,2.238327,842400
1985-02-07,4.000000,4.203704,3.944444,4.203704,2.363257,1616500
1985-02-08,4.074074,4.148148,4.037037,4.074074,2.290382,1285200
1985-02-11,4.055555,4.055555,3.925926,4.000000,2.248738,773500
1985-02-12,4.000000,4.222222,3.962963,4.185185,2.352845,830200
1985-02-13,4.259259,4.259259,4.111111,4.166667,2.342435,897000
1985-02-14,4.185185,4.388889,4.166667,4.388889,2.467366,2052600
1985-02-15,4.407407,4.444445,4.296296,4.296296,2.415310,1038100
1985-02-19,4.259259,4.407407,4.203704,4.407407,2.477775,388000
1985-02-20,4.444445,4.574074,4.407407,4.444445,2.498598,964500
1985-02-21,4.425926,4.444445,4.333333,4.388889,2.467366,420400
1985-02-22,4.370370,4.388889,4.277778,4.296296,2.415310,301600
1985-02-25,4.259259,4.259259,4.111111,4.259259,2.394490,341500
1985-02-26,4.259259,4.351852,4.259259,4.296296,2.415310,571000
1985-02-27,4.314815,4.370370,4.314815,4.351852,2.446543,388800
1985-02-28,4.388889,4.592593,4.351852,4.592593,2.581884,573700
1985-03-01,4.555555,4.574074,4.500000,4.555555,2.561063,581100
1985-03-04,4.555555,4.555555,4.444445,4.518518,2.540241,290800
1985-03-05,4.481482,4.592593,4.481482,4.555555,2.561063,211900
1985-03-06,4.537037,4.537037,4.518518,4.537037,2.550653,226000
1985-03-07,4.481482,4.500000,4.370370,4.481482,2.519419,463600
1985-03-08,4.481482,4.481482,4.425926,4.444445,2.498598,140400
1985-03-11,4.296296,4.296296,4.222222,4.296296,2.415310,247600
1985-03-12,4.259259,4.296296,4.222222,4.296296,2.415310,100500
1985-03-13,4.259259,4.277778,4.129630,4.148148,2.332024,152500
1985-03-14,4.129630,4.148148,4.111111,4.129630,2.321614,127500
1985-03-15,4.129630,4.148148,4.111111,4.148148,2.332024,79600
1985-03-18,4.148148,4.185185,4.111111,4.129630,2.321614,122100
1985-03-19,4.129630,4.166667,4.037037,4.111111,2.311204,624300
1985-03-20,4.129630,4.148148,4.092593,4.148148,2.332024,425800
1985-03-21,4.129630,4.314815,4.129630,4.314815,2.425723,170700
1985-03-22,4.314815,4.351852,4.203704,4.203704,2.363257,185500
1985-03-25,4.203704,4.240741,4.129630,4.148148,2.332024,205200
1985-03-26,4.166667,4.222222,4.129630,4.203704,2.363257,523000
1985-03-27,4.148148,4.166667,4.111111,4.148148,2.332024,363100
1985-03-28,4.148148,4.240741,4.148148,4.166667,2.342435,336700
1985-03-29,4.203704,4.222222,4.148148,4.185185,2.352845,573700
1985-04-01,4.185185,4.203704,4.129630,4.166667,2.342435,284100
1985-04-02,4.166667,4.277778,4.166667,4.222222,2.373668,2362500
1985-04-03,4.240741,4.240741,4.166667,4.185185,2.352845,1620000
1985-04-04,4.185185,4.185185,4.148148,4.148148,2.332024,1293900
1985-04-08,4.148148,4.185185,4.148148,4.166667,2.342435,479200
1985-04-09,4.166667,4.222222,4.148148,4.203704,2.363257,756000
1985-04-10,4.203704,4.296296,4.203704,4.259259,2.394490,500800
1985-04-11,4.296296,4.314815,4.259259,4.296296,2.415310,527100
1985-04-12,4.333333,4.351852,4.259259,4.333333,2.436132,762700
1985-04-15,4.333333,4.407407,4.333333,4.351852,2.446543,405600
1985-04-16,4.351852,4.370370,4.314815,4.370370,2.456954,348300
