Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,8.083333,8.250000,8.083333,8.250000,5.062622,768600
1985-01-29,8.083333,8.375000,8.000000,8.375000,5.139330,1110600
1985-01-30,8.333333,8.541667,8.250000,8.500000,5.216037,1837200
1985-01-31,8.500000,8.708333,8.416667,8.541667,5.241601,3039000
1985-02-01,8.458333,8.666667,8.291667,8.583333,5.267174,1165500
1985-02-04,8.583333,8.875000,8.416667,8.833333,5.420587,1016100
1985-02-05,8.875000,8.916667,8.708333,8.833333,5.420587,1238400
1985-02-06,9.166667,9.458333,9.166667,9.375000,5.752982,2084400
1985-02-07,9.375000,9.500000,9.333333,9.375000,5.752982,1748100
1985-02-08,9.416667,9.500000,9.333333,9.416667,5.778549,1224600
1985-02-11,9.416667,9.458333,9.375000,9.416667,5.778549,362700
1985-02-12,9.375000,9.416667,9.250000,9.291667,5.701844,1065900
1985-02-13,9.291667,9.458333,9.208333,9.458333,5.804121,1070100
1985-02-14,9.500000,9.541667,9.250000,9.333333,5.727411,998700
1985-02-15,9.291667,9.458333,9.291667,9.375000,5.752982,878700
1985-02-19,9.416667,9.416667,9.041667,9.083333,5.573997,734400
1985-02-20,9.041667,9.166667,8.916667,9.083333,5.573997,1319100
1985-02-21,9.125000,9.875000,9.125000,9.875000,6.059804,2885700
1985-02-22,9.916667,9.916667,9.500000,9.541667,5.855254,1885200
1985-02-25,9.541667,9.708333,9.541667,9.666667,5.931961,677700
1985-02-26,9.666667,9.708333,9.500000,9.625000,5.906392,488400
1985-02-27,9.625000,9.666667,9.458333,9.500000,5.829685,634500
1985-02-28,9.458333,9.500000,9.333333,9.458333,5.804121,706800
1985-03-01,9.458333,9.833333,9.333333,9.583333,5.880824,1323000
1985-03-04,9.625000,9.708333,9.458333,9.541667,5.855254,301200
1985-03-05,9.583333,9.583333,9.375000,9.458333,5.804121,1320900
1985-03-06,9.500000,9.750000,9.500000,9.625000,5.906392,904800
1985-03-07,9.625000,9.625000,9.291667,9.291667,5.701844,624900
1985-03-08,9.375000,9.458333,9.083333,9.166667,5.625136,943500
1985-03-11,9.208333,9.291667,9.166667,9.208333,5.650705,772800
1985-03-12,9.125000,9.375000,9.125000,9.333333,5.785002,1026900
1985-03-13,9.291667,9.500000,9.291667,9.416667,5.836651,994500
1985-03-14,9.333333,9.458333,9.250000,9.375000,5.810827,479100
1985-03-15,9.333333,9.375000,9.250000,9.250000,5.733349,549600
1985-03-18,9.333333,9.458333,9.291667,9.333333,5.785002,431100
1985-03-19,9.333333,9.708333,9.333333,9.708333,6.017433,1349100
1985-03-20,10.250000,10.458333,10.083333,10.416667,6.456476,3642000
1985-03-21,10.500000,10.791667,10.333333,10.416667,6.456476,2272800
1985-03-22,10.500000,10.583333,10.083333,10.208333,6.327343,1134600
1985-03-25,10.125000,10.208333,9.958333,10.041667,6.224044,545100
1985-03-26,10.000000,10.083333,9.916667,10.000000,6.198217,433200
1985-03-27,10.000000,10.375000,9.958333,10.291667,6.378996,1006500
1985-03-28,10.291667,10.583333,10.291667,10.333333,6.404822,644400
1985-03-29,10.416667,10.416667,10.333333,10.416667,6.456476,634500
1985-04-01,10.416667,10.833333,10.375000,10.833333,6.714736,652500
1985-04-02,10.791667,10.791667,10.500000,10.583333,6.559778,1023300
1985-04-03,10.666667,10.666667,10.125000,10.166667,6.301520,1101300
1985-04-04,10.250000,10.375000,10.083333,10.250000,6.353173,738900
1985-04-08,10.375000,10.416667,9.958333,10.000000,6.198217,981000
1985-04-09,10.000000,10.208333,10.000000,10.125000,6.275694,860700
1985-04-10,10.166667,10.333333,9.875000,10.041667,6.224044,861900
1985-04-11,10.000000,10.125000,9.916667,10.083333,6.249867,1109400
1985-04-12,10.125000,10.125000,10.041667,10.083333,6.249867,809100
1985-04-15,10.083333,10.125000,10.000000,10.083333,6.249867,331200
1985-04-16,10.083333,10.166667,10.000000,10.000000,6.198217,610200
1985-04-17,10.000000,10.125000,10.000000,10.125000,6.275694,554100
