Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.937500,5.031250,4.875000,5.000000,1.838117,171600
1985-01-29,5.000000,5.031250,4.906250,4.906250,1.803653,130800
1985-01-30,4.906250,5.218750,4.906250,5.093750,1.872582,1089200
1985-01-31,5.218750,5.437500,5.218750,5.250000,1.930025,138000
1985-02-01,5.250000,5.343750,5.218750,5.312500,1.953001,64800
1985-02-04,5.312500,5.312500,5.218750,5.312500,1.953001,68400
1985-02-05,5.312500,5.343750,5.250000,5.343750,1.964488,152000
1985-02-06,5.343750,5.343750,5.218750,5.218750,1.918536,61600
1985-02-07,5.218750,5.250000,5.187500,5.187500,1.907046,952400
1985-02-08,5.187500,5.187500,5.093750,5.125000,1.884071,59600
1985-02-11,5.125000,5.187500,5.031250,5.093750,1.872582,69200
1985-02-12,5.093750,5.125000,5.031250,5.031250,1.849607,80000
1985-02-13,5.031250,5.125000,5.031250,5.125000,1.884071,177600
1985-02-14,5.218750,5.343750,5.218750,5.250000,1.930025,582000
1985-02-15,5.250000,5.343750,5.187500,5.218750,1.918536,349200
1985-02-19,5.218750,5.250000,5.218750,5.250000,1.930025,263600
1985-02-20,5.250000,5.312500,5.218750,5.312500,1.953001,48800
1985-02-21,5.218750,5.218750,5.187500,5.187500,1.907046,118400
1985-02-22,5.187500,5.218750,5.187500,5.187500,1.907046,56800
1985-02-25,5.187500,5.187500,5.093750,5.187500,1.907046,58800
1985-02-26,5.125000,5.125000,5.031250,5.125000,1.884071,108400
1985-02-27,5.125000,5.125000,5.031250,5.031250,1.849607,54800
1985-02-28,5.031250,5.031250,5.000000,5.031250,1.849607,59600
1985-03-01,5.031250,5.093750,4.937500,5.000000,1.838117,149200
1985-03-04,5.000000,5.000000,4.937500,5.000000,1.838117,75200
1985-03-05,5.000000,5.000000,4.875000,4.937500,1.815141,1484800
1985-03-06,4.937500,5.093750,4.937500,5.093750,1.872582,143200
1985-03-07,5.093750,5.093750,5.000000,5.093750,1.872582,143200
1985-03-08,5.093750,5.093750,4.937500,5.000000,1.838117,307200
1985-03-11,5.000000,5.031250,4.937500,5.031250,1.849607,144000
1985-03-12,5.031250,5.031250,4.937500,4.937500,1.815141,418400
1985-03-13,4.937500,5.031250,4.937500,5.000000,1.838117,317600
1985-03-14,5.000000,5.031250,4.937500,5.031250,1.849607,237200
1985-03-15,5.031250,5.125000,5.031250,5.125000,1.884071,292000
1985-03-18,5.125000,5.218750,5.125000,5.218750,1.918536,436800
1985-03-19,5.218750,5.343750,5.218750,5.250000,1.930025,321200
1985-03-20,5.250000,5.406250,5.250000,5.406250,1.987464,244000
1985-03-21,5.406250,5.437500,5.343750,5.406250,1.987464,120800
1985-03-22,5.437500,5.500000,5.437500,5.500000,2.021930,467200
1985-03-25,5.500000,5.531250,5.437500,5.500000,2.021930,320000
1985-03-26,5.500000,5.968750,5.437500,5.843750,2.148300,638000
1985-03-27,5.843750,6.156250,5.843750,6.125000,2.251695,1850000
1985-03-28,6.125000,6.156250,6.031250,6.031250,2.217229,723200
1985-03-29,6.031250,6.156250,5.968750,6.156250,2.263183,3523200
1985-04-01,6.156250,6.218750,5.968750,6.062500,2.228719,858800
1985-04-02,6.062500,6.125000,5.937500,5.937500,2.182765,740400
1985-04-03,5.906250,5.906250,5.656250,5.750000,2.113835,251600
1985-04-04,5.750000,5.843750,5.718750,5.750000,2.113835,184800
1985-04-08,5.750000,5.750000,5.437500,5.500000,2.021930,321600
1985-04-09,5.531250,5.718750,5.531250,5.593750,2.056395,248400
1985-04-10,5.593750,5.625000,5.531250,5.531250,2.033417,366400
1985-04-11,5.531250,5.531250,5.406250,5.406250,1.987464,110400
1985-04-12,5.406250,5.500000,5.343750,5.437500,1.998954,183600
1985-04-15,5.437500,5.500000,5.406250,5.500000,2.021930,22800
1985-04-16,5.500000,5.593750,5.437500,5.593750,2.056395,145200
1985-04-17,5.593750,5.750000,5.500000,5.750000,2.113835,178000
1985-04-18,5.750000,5.843750,5.625000,5.718750,2.102347,186800
1985-04-19,5.718750,5.750000,5.656250,5.750000,2.113835,74000
1985-04-22,5.718750,5.718750,5.656250,5.656250,2.079370,29600
1985-04-23,5.656250,5.750000,5.625000,5.656250,2.079370,114000
1985-04-24,5.656250,5.656250,5.593750,5.625000,2.067882,35200
1985-04-25,5.625000,5.656250,5.500000,5.593750,2.056395,243600
1985-04-26,5.593750,5.593750,5.500000,5.531250,2.033417,125600
1985-04-29,5.531250,5.656250,5.437500,5.500000,2.021930,290000
1985-04-30,5.500000,5.531250,5.406250,5.531250,2.033417,78400
1985-05-01,5.531250,5.531250,5.500000,5.500000,2.021930,25200
1985-05-02,5.500000,5.500000,5.406250,5.437500,1.998954,138400
1985-05-03,5.437500,5.500000,5.406250,5.500000,2.021930,149200
1985-05-06,5.531250,5.656250,5.531250,5.625000,2.067882,156800
