Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,9.291667,9.333333,9.166667,9.208333,3.671436,147900
1985-01-29,9.208333,9.250000,9.166667,9.166667,3.654822,227700
1985-01-30,9.250000,9.291667,9.000000,9.083333,3.621597,587100
1985-01-31,9.000000,9.083333,8.833333,9.083333,3.621597,782700
1985-02-01,9.083333,9.166667,9.000000,9.166667,3.654822,279900
1985-02-04,9.166667,9.166667,9.125000,9.166667,3.654822,77100
1985-02-05,9.166667,9.166667,8.958333,9.041667,3.604985,88500
1985-02-06,9.125000,9.208333,8.916667,9.041667,3.604985,282000
1985-02-07,9.000000,9.125000,8.875000,8.958333,3.571760,277800
1985-02-08,9.041667,9.375000,8.791667,9.291667,3.704662,255900
1985-02-11,9.291667,9.333333,9.125000,9.333333,3.721276,162600
1985-02-12,9.375000,9.458333,9.250000,9.458333,3.771114,139500
1985-02-13,9.416667,9.666667,9.416667,9.583333,3.820952,169800
1985-02-14,9.625000,9.833333,9.583333,9.583333,3.820952,408900
1985-02-15,9.583333,9.583333,9.333333,9.416667,3.754500,206100
1985-02-19,9.333333,9.416667,9.250000,9.375000,3.737887,85800
1985-02-20,9.375000,9.500000,9.375000,9.416667,3.754500,97500
1985-02-21,9.458333,9.458333,9.250000,9.333333,3.721276,83700
1985-02-22,9.416667,9.500000,9.375000,9.416667,3.754500,338100
1985-02-25,9.416667,9.416667,9.333333,9.375000,3.737887,80100
1985-02-26,9.291667,9.333333,9.208333,9.291667,3.704662,117600
1985-02-27,9.291667,9.500000,9.250000,9.416667,3.754500,397200
1985-02-28,9.416667,9.500000,9.333333,9.416667,3.754500,156600
1985-03-01,9.333333,9.666667,9.291667,9.625000,3.837565,361800
1985-03-04,9.625000,9.625000,9.541667,9.583333,3.820952,153300
1985-03-05,9.541667,9.625000,9.500000,9.541667,3.804337,299100
1985-03-06,9.500000,9.541667,9.458333,9.500000,3.787725,110700
1985-03-07,9.458333,9.500000,9.333333,9.416667,3.754500,123000
1985-03-08,9.375000,9.458333,9.375000,9.416667,3.754500,85800
1985-03-11,9.333333,9.375000,9.125000,9.125000,3.638211,62100
1985-03-12,9.166667,9.250000,9.125000,9.166667,3.654822,46500
1985-03-13,9.166667,9.208333,9.083333,9.083333,3.621597,54000
1985-03-14,9.000000,9.041667,8.708333,8.708333,3.472082,372300
1985-03-15,8.791667,8.875000,8.750000,8.750000,3.488694,478500
1985-03-18,8.750000,8.791667,8.666667,8.750000,3.488694,277500
1985-03-19,8.833333,9.416667,8.750000,9.416667,3.754500,1242000
1985-03-20,9.291667,9.291667,9.000000,9.000000,3.624291,311400
1985-03-21,9.083333,9.208333,9.041667,9.166667,3.691408,231000
1985-03-22,9.166667,9.250000,9.125000,9.166667,3.691408,282300
