Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.909722,1.909722,1.895833,1.909722,0.310486,198000
1985-01-29,1.909722,1.916667,1.888889,1.895833,0.308228,855000
1985-01-30,1.895833,1.916667,1.888889,1.895833,0.308228,477000
1985-01-31,1.881944,1.881944,1.861111,1.861111,0.302583,124200
1985-02-01,1.861111,1.881944,1.847222,1.861111,0.302583,257400
1985-02-04,1.861111,1.916667,1.861111,1.916667,0.311615,311400
1985-02-05,1.916667,1.972222,1.888889,1.972222,0.320647,1704600
1985-02-06,1.972222,2.048611,1.972222,2.000000,0.325163,1189800
1985-02-07,2.000000,2.034722,1.972222,1.993056,0.324034,759600
1985-02-08,1.993056,2.000000,1.972222,2.000000,0.325163,288000
1985-02-11,1.986111,1.986111,1.930556,1.944444,0.316131,315000
1985-02-12,1.944444,1.951389,1.916667,1.916667,0.311615,124200
1985-02-13,1.902778,1.902778,1.875000,1.902778,0.309357,423000
1985-02-14,1.902778,1.944444,1.902778,1.909722,0.310486,595800
1985-02-15,1.895833,1.895833,1.868056,1.875000,0.304840,1207800
1985-02-19,1.895833,1.944444,1.895833,1.923611,0.312744,1157400
1985-02-20,1.937500,2.013889,1.937500,2.000000,0.325163,493200
1985-02-21,1.965278,1.965278,1.944444,1.944444,0.347396,250200
1985-02-22,1.944444,1.944444,1.916667,1.916667,0.342434,1402200
1985-02-25,1.902778,1.902778,1.861111,1.875000,0.334989,412200
1985-02-26,1.888889,1.944444,1.888889,1.944444,0.347396,293400
1985-02-27,1.944444,1.965278,1.930556,1.958333,0.349878,3992400
1985-02-28,1.958333,1.979167,1.958333,1.979167,0.353600,2068200
1985-03-01,2.000000,2.111111,2.000000,2.097222,0.374692,1517400
1985-03-04,2.097222,2.145833,2.083333,2.097222,0.374692,1299600
1985-03-05,2.097222,2.097222,2.069444,2.069444,0.369729,340200
1985-03-06,2.069444,2.097222,2.048611,2.048611,0.366007,549000
1985-03-07,2.048611,2.055556,2.020833,2.041667,0.364767,144000
1985-03-08,2.041667,2.041667,2.000000,2.006944,0.358563,417600
1985-03-11,2.006944,2.034722,2.006944,2.034722,0.363526,120600
1985-03-12,2.034722,2.055556,2.006944,2.006944,0.358563,228600
1985-03-13,2.006944,2.006944,1.965278,1.993056,0.356081,563400
1985-03-14,1.993056,2.013889,1.979167,2.000000,0.357322,450000
1985-03-15,2.020833,2.048611,2.020833,2.048611,0.366007,117000
1985-03-18,2.048611,2.076389,2.048611,2.055556,0.367248,507600
1985-03-19,2.062500,2.097222,2.062500,2.097222,0.374692,183600
1985-03-20,2.097222,2.111111,2.055556,2.097222,0.374692,783000
1985-03-21,2.090278,2.090278,2.055556,2.083333,0.372211,201600
1985-03-22,2.083333,2.083333,2.048611,2.062500,0.368489,138600
1985-03-25,2.062500,2.076389,2.041667,2.041667,0.364767,149400
1985-03-26,2.034722,2.034722,2.020833,2.020833,0.361044,201600
1985-03-27,2.027778,2.111111,2.027778,2.111111,0.377173,1999800
1985-03-28,2.111111,2.152778,2.111111,2.152778,0.384618,437400
1985-03-29,2.173611,2.222222,2.173611,2.215278,0.395784,390600
1985-04-01,2.215278,2.229167,2.194444,2.201389,0.393302,1011600
1985-04-02,2.194444,2.194444,2.152778,2.152778,0.384618,181800
1985-04-03,2.131944,2.131944,2.111111,2.125000,0.379655,169200
1985-04-04,2.125000,2.125000,2.111111,2.118056,0.378414,115200
1985-04-08,2.118056,2.125000,2.111111,2.125000,0.379655,18000
1985-04-09,2.131944,2.166667,2.131944,2.166667,0.387099,120600
1985-04-10,2.166667,2.187500,2.166667,2.180556,0.389580,207000
1985-04-11,2.201389,2.250000,2.201389,2.222222,0.397024,244800
1985-04-12,2.222222,2.256944,2.222222,2.222222,0.397024,63000
1985-04-15,2.222222,2.229167,2.208333,2.222222,0.397024,264600
1985-04-16,2.222222,2.222222,2.208333,2.222222,0.397024,324000
1985-04-17,2.222222,2.222222,2.180556,2.215278,0.395784,824400
1985-04-18,2.229167,2.250000,2.229167,2.229167,0.398265,99000
1985-04-19,2.229167,2.250000,2.222222,2.236111,0.399506,383400
1985-04-22,2.236111,2.236111,2.222222,2.236111,0.399506,612000
1985-04-23,2.236111,2.243056,2.222222,2.243056,0.400747,50400
1985-04-24,2.263889,2.291667,2.263889,2.291667,0.409432,163800
1985-04-25,2.291667,2.291667,2.250000,2.277778,0.406950,149400
1985-04-26,2.277778,2.291667,2.277778,2.277778,0.406950,613800
1985-04-29,2.277778,2.277778,2.250000,2.250000,0.401988,142200
1985-04-30,2.250000,2.250000,2.215278,2.215278,0.395784,138600
1985-05-01,2.215278,2.236111,2.208333,2.236111,0.399506,606600
1985-05-02,2.236111,2.236111,2.222222,2.236111,0.399506,147600
1985-05-03,2.236111,2.236111,2.187500,2.187500,0.390821,356400
1985-05-06,2.187500,2.208333,2.187500,2.208333,0.394543,176400
1985-05-07,2.208333,2.222222,2.194444,2.194444,0.392062,158400
1985-05-08,2.194444,2.194444,2.166667,2.180556,0.389580,482400
1985-05-09,2.180556,2.208333,2.159722,2.194444,0.392062,880200
1985-05-10,2.194444,2.229167,2.194444,2.194444,0.392062,732600
1985-05-13,2.194444,2.222222,2.180556,2.222222,0.397024,232200
1985-05-14,2.222222,2.250000,2.222222,2.236111,0.399506,410400
1985-05-15,2.236111,2.263889,2.229167,2.263889,0.404469,473400
1985-05-16,2.291667,2.319444,2.291667,2.319444,0.414395,126000
1985-05-17,2.319444,2.375000,2.305556,2.375000,0.424320,136800
1985-05-20,2.388889,2.430556,2.388889,2.416667,0.431764,181800
1985-05-21,2.416667,2.423611,2.388889,2.388889,0.426802,306000
1985-05-22,2.388889,2.388889,2.340278,2.361111,0.421839,91800
1985-05-23,2.347222,2.347222,2.319444,2.319444,0.448593,189000
1985-05-24,2.319444,2.333333,2.305556,2.333333,0.451279,176400
1985-05-28,2.333333,2.347222,2.305556,2.333333,0.451279,111600
1985-05-29,2.333333,2.361111,2.319444,2.347222,0.453966,1870200
1985-05-30,2.347222,2.361111,2.319444,2.361111,0.456652,437400
1985-05-31,2.361111,2.361111,2.361111,2.361111,0.456652,16200
1985-06-03,2.361111,2.375000,2.354167,2.375000,0.459338,12600
1985-06-04,2.375000,2.375000,2.347222,2.347222,0.453966,41400
1985-06-05,2.354167,2.368056,2.354167,2.368056,0.457995,149400
1985-06-06,2.368056,2.375000,2.347222,2.361111,0.456652,606600
1985-06-07,2.361111,2.361111,2.312500,2.326389,0.449936,234000
1985-06-10,2.326389,2.326389,2.291667,2.291667,0.443221,57600
1985-06-11,2.291667,2.319444,2.277778,2.319444,0.448593,498600
1985-06-12,2.298611,2.298611,2.277778,2.277778,0.440535,108000
1985-06-13,2.263889,2.263889,2.250000,2.250000,0.435162,520200
1985-06-14,2.250000,2.263889,2.250000,2.250000,0.435162,169200
1985-06-17,2.236111,2.236111,2.222222,2.236111,0.432476,52200
1985-06-18,2.236111,2.263889,2.222222,2.263889,0.437848,390600
1985-06-19,2.263889,2.277778,2.250000,2.256944,0.436505,549000
1985-06-20,2.263889,2.291667,2.263889,2.277778,0.440535,1614600
1985-06-21,2.277778,2.291667,2.250000,2.284722,0.441878,181800
1985-06-24,2.284722,2.291667,2.277778,2.291667,0.443221,50400
1985-06-25,2.305556,2.305556,2.305556,2.305556,0.445907,18000
1985-06-26,2.305556,2.354167,2.298611,2.333333,0.451279,273600
1985-06-27,2.326389,2.326389,2.312500,2.326389,0.449936,70200
1985-06-28,2.326389,2.326389,2.291667,2.305556,0.445907,176400
1985-07-01,2.305556,2.333333,2.305556,2.333333,0.451279,234000
1985-07-02,2.354167,2.388889,2.354167,2.381944,0.460681,374400
1985-07-03,2.381944,2.409722,2.368056,2.381944,0.460681,270000
1985-07-05,2.381944,2.381944,2.368056,2.381944,0.460681,63000
1985-07-08,2.381944,2.381944,2.368056,2.381944,0.460681,14400
