Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.132813,2.148438,2.125000,2.148438,0.358474,145600
1985-01-29,2.148438,2.171875,2.132813,2.171875,0.362385,516800
1985-01-30,2.187500,2.250000,2.187500,2.218750,0.370206,492800
1985-01-31,2.218750,2.218750,2.195313,2.210938,0.368902,566400
1985-02-01,2.203125,2.203125,2.156250,2.156250,0.359778,542400
1985-02-04,2.156250,2.234375,2.156250,2.203125,0.367598,89600
1985-02-05,2.203125,2.203125,2.195313,2.203125,0.367598,32000
1985-02-06,2.203125,2.218750,2.195313,2.203125,0.367598,284800
1985-02-07,2.203125,2.218750,2.171875,2.203125,0.367598,25600
1985-02-08,2.187500,2.187500,2.171875,2.179688,0.363688,395200
1985-02-11,2.179688,2.187500,2.156250,2.156250,0.359778,249600
1985-02-12,2.156250,2.156250,2.109375,2.109375,0.351956,64000
1985-02-13,2.109375,2.109375,2.046875,2.109375,0.351956,232000
1985-02-14,2.109375,2.125000,2.093750,2.109375,0.351956,542400
1985-02-15,2.109375,2.140625,2.109375,2.140625,0.357170,433600
1985-02-19,2.140625,2.171875,2.140625,2.156250,0.359778,451200
1985-02-20,2.156250,2.164063,2.125000,2.164063,0.361081,552000
1985-02-21,2.148438,2.148438,2.109375,2.125000,0.354563,88000
1985-02-22,2.125000,2.156250,2.125000,2.156250,0.359778,508800
1985-02-25,2.156250,2.156250,2.109375,2.109375,0.351956,80000
1985-02-26,2.109375,2.164063,2.109375,2.164063,0.361081,1136000
1985-02-27,2.187500,2.234375,2.187500,2.234375,0.372813,516800
1985-02-28,2.234375,2.265625,2.234375,2.250000,0.375420,468800
1985-03-01,2.250000,2.250000,2.234375,2.234375,0.372813,262400
1985-03-04,2.234375,2.234375,2.218750,2.218750,0.370206,172800
1985-03-05,2.210938,2.210938,2.195313,2.195313,0.366295,38400
1985-03-06,2.195313,2.210938,2.187500,2.195313,0.366295,126400
1985-03-07,2.187500,2.187500,2.179688,2.187500,0.364992,163200
1985-03-08,2.187500,2.187500,2.125000,2.125000,0.354563,76800
1985-03-11,2.125000,2.140625,2.125000,2.140625,0.357170,78400
1985-03-12,2.140625,2.148438,2.140625,2.140625,0.357170,104000
1985-03-13,2.140625,2.164063,2.140625,2.140625,0.357170,334400
1985-03-14,2.140625,2.148438,2.125000,2.125000,0.354563,1142400
1985-03-15,2.117188,2.117188,2.046875,2.046875,0.341528,548800
1985-03-18,2.046875,2.054688,1.992188,1.992188,0.332403,206400
1985-03-19,1.992188,1.992188,1.937500,1.968750,0.328492,912000
1985-03-20,2.000000,2.093750,2.000000,2.062500,0.344135,252800
1985-03-21,2.062500,2.085938,2.046875,2.062500,0.344135,294400
1985-03-22,2.062500,2.070313,2.062500,2.070313,0.345438,196800
1985-03-25,2.062500,2.062500,2.046875,2.046875,0.341528,78400
1985-03-26,2.046875,2.062500,2.039063,2.062500,0.344135,80000
1985-03-27,2.062500,2.093750,2.046875,2.093750,0.349349,196800
1985-03-28,2.093750,2.140625,2.078125,2.140625,0.357170,364800
1985-03-29,2.140625,2.140625,2.125000,2.132813,0.355867,201600
1985-04-01,2.132813,2.140625,2.125000,2.132813,0.355867,40000
1985-04-02,2.132813,2.148438,2.125000,2.125000,0.354563,104000
1985-04-03,2.125000,2.140625,2.117188,2.125000,0.354563,78400
1985-04-04,2.117188,2.117188,2.117188,2.117188,0.353260,22400
1985-04-08,2.117188,2.156250,2.117188,2.148438,0.358474,97600
1985-04-09,2.125000,2.125000,2.117188,2.117188,0.353260,132800
1985-04-10,2.109375,2.109375,2.078125,2.078125,0.346742,433600
1985-04-11,2.093750,2.140625,2.093750,2.125000,0.354563,196800
1985-04-12,2.125000,2.140625,2.125000,2.125000,0.354563,384000
1985-04-15,2.125000,2.148438,2.109375,2.125000,0.354563,200000
1985-04-16,2.125000,2.164063,2.125000,2.164063,0.361081,216000
1985-04-17,2.171875,2.187500,2.171875,2.171875,0.362385,187200
1985-04-18,2.171875,2.187500,2.171875,2.171875,0.362385,56000
1985-04-19,2.171875,2.171875,2.140625,2.140625,0.357170,240000
1985-04-22,2.125000,2.125000,2.109375,2.125000,0.354563,152000
1985-04-23,2.125000,2.156250,2.062500,2.062500,0.344135,702400
1985-04-24,2.062500,2.062500,2.031250,2.031250,0.338921,355200
1985-04-25,2.031250,2.046875,2.015625,2.031250,0.338921,412800
1985-04-26,2.031250,2.046875,2.031250,2.046875,0.341528,483200
1985-04-29,2.046875,2.054688,2.031250,2.046875,0.341528,188800
1985-04-30,2.046875,2.054688,2.015625,2.031250,0.338921,464000
1985-05-01,2.015625,2.015625,2.007813,2.007813,0.335010,75200
1985-05-02,2.007813,2.015625,1.984375,1.984375,0.331099,102400
1985-05-03,1.968750,1.968750,1.953125,1.968750,0.328492,35200
1985-05-06,1.984375,1.992188,1.984375,1.992188,0.332403,35200
1985-05-07,1.992188,1.992188,1.984375,1.992188,0.332403,49600
1985-05-08,1.992188,2.031250,1.953125,2.031250,0.338921,372800
1985-05-09,2.031250,2.031250,2.015625,2.015625,0.336313,30400
1985-05-10,2.015625,2.015625,1.984375,1.984375,0.331099,160000
1985-05-13,1.984375,1.992188,1.953125,1.992188,0.332403,129600
1985-05-14,1.992188,1.992188,1.968750,1.968750,0.328492,932800
1985-05-15,1.984375,1.984375,1.984375,1.984375,0.331099,24000
1985-05-16,1.984375,2.015625,1.984375,2.000000,0.333707,324800
1985-05-17,2.000000,2.015625,1.968750,1.968750,0.328492,166400
1985-05-20,2.000000,2.078125,2.000000,2.078125,0.346742,286400
1985-05-21,2.062500,2.062500,2.031250,2.031250,0.338921,62400
1985-05-22,2.031250,2.046875,2.015625,2.015625,0.336313,123200
1985-05-23,2.015625,2.023438,2.015625,2.015625,0.336313,412800
1985-05-24,2.015625,2.062500,2.015625,2.062500,0.344135,747200
1985-05-28,2.078125,2.109375,2.078125,2.093750,0.349349,184000
1985-05-29,2.093750,2.109375,2.093750,2.109375,0.351956,52800
1985-05-30,2.109375,2.156250,2.093750,2.109375,0.351956,892800
1985-05-31,2.109375,2.109375,2.085938,2.093750,0.349349,54400
1985-06-03,2.109375,2.117188,2.109375,2.109375,0.351956,217600
1985-06-04,2.109375,2.109375,2.085938,2.093750,0.349349,64000
1985-06-05,2.117188,2.125000,2.117188,2.125000,0.354563,96000
1985-06-06,2.125000,2.140625,2.109375,2.125000,0.354563,208000
1985-06-07,2.140625,2.218750,2.140625,2.218750,0.370206,308800
1985-06-10,2.210938,2.210938,2.187500,2.187500,0.364992,651200
1985-06-11,2.187500,2.187500,2.140625,2.156250,0.359778,105600
