Date,Open,High,Low,Close,Adj Close,Volume
1995-08-25,6.725000,6.825000,6.725000,6.800000,2.652903,3541000
1995-08-28,6.775000,6.775000,6.650000,6.700000,2.724265,1418500
1995-08-29,6.750000,6.775000,6.625000,6.700000,2.724265,879000
1995-08-30,6.700000,6.725000,6.675000,6.725000,2.734429,436500
1995-08-31,6.725000,6.725000,6.650000,6.700000,2.724265,606500
1995-09-01,6.700000,6.725000,6.675000,6.725000,2.734429,217000
1995-09-05,6.700000,6.725000,6.675000,6.700000,2.724265,385500
1995-09-06,6.675000,6.700000,6.650000,6.675000,2.714098,247000
1995-09-07,6.675000,6.675000,6.600000,6.625000,2.693769,738000
1995-09-08,6.575000,6.600000,6.275000,6.275000,2.551456,946000
1995-09-11,6.300000,6.525000,6.300000,6.425000,2.612448,434000
1995-09-12,6.550000,6.675000,6.550000,6.650000,2.703934,817500
1995-09-13,6.750000,6.775000,6.650000,6.675000,2.714098,542500
1995-09-14,6.675000,6.700000,6.650000,6.700000,2.724265,154500
1995-09-15,6.675000,6.700000,6.675000,6.700000,2.724265,218500
1995-09-18,6.675000,6.725000,6.650000,6.725000,2.734429,422500
1995-09-19,6.700000,6.700000,6.650000,6.675000,2.714098,116500
1995-09-20,6.650000,6.650000,6.525000,6.550000,2.663274,124500
1995-09-21,6.600000,6.625000,6.550000,6.600000,2.683603,157000
1995-09-22,6.550000,6.550000,6.450000,6.450000,2.622614,94500
1995-09-25,6.500000,6.500000,6.425000,6.425000,2.612448,53000
1995-09-26,6.550000,6.600000,6.525000,6.525000,2.653108,266500
1995-09-27,6.500000,6.525000,6.500000,6.500000,2.642943,95000
1995-09-28,6.550000,6.625000,6.550000,6.600000,2.683603,205000
1995-09-29,6.800000,6.925000,6.800000,6.900000,2.805586,1303000
1995-10-02,7.000000,7.125000,7.000000,7.025000,2.856413,570000
1995-10-03,7.050000,7.075000,7.000000,7.050000,2.866577,165000
1995-10-04,7.025000,7.025000,6.975000,6.975000,2.836081,108500
1995-10-05,7.000000,7.025000,6.975000,7.025000,2.856413,70500
1995-10-06,7.025000,7.025000,6.950000,6.975000,2.836081,277000
1995-10-09,6.950000,7.000000,6.925000,6.925000,2.815752,77000
1995-10-10,6.925000,6.925000,6.800000,6.825000,2.775090,80000
1995-10-11,6.825000,6.900000,6.825000,6.825000,2.775090,80500
1995-10-12,6.875000,7.050000,6.875000,7.025000,2.856413,170000
1995-10-13,7.150000,7.275000,7.150000,7.250000,2.947896,201000
1995-10-16,7.300000,7.425000,7.300000,7.375000,2.998723,130000
1995-10-17,7.350000,7.350000,7.275000,7.275000,2.958063,154500
1995-10-18,7.275000,7.475000,7.275000,7.375000,2.998723,169000
1995-10-19,7.425000,7.525000,7.425000,7.525000,3.059714,130500
1995-10-20,7.575000,7.700000,7.575000,7.650000,3.110541,212500
1995-10-23,7.675000,7.675000,7.650000,7.675000,3.120708,66000
1995-10-24,7.625000,7.625000,7.550000,7.550000,3.069881,71500
1995-10-25,7.550000,7.550000,7.525000,7.525000,3.059714,284500
1995-10-26,7.525000,7.550000,7.425000,7.450000,3.029219,96000
1995-10-27,7.425000,7.450000,7.400000,7.450000,3.029219,25000
1995-10-30,7.425000,7.475000,7.425000,7.425000,3.019054,18500
1995-10-31,7.550000,7.650000,7.550000,7.650000,3.110541,208000
1995-11-01,7.625000,7.625000,7.475000,7.500000,3.049550,107000
1995-11-02,7.525000,7.650000,7.525000,7.600000,3.090211,291000
