Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.145833,2.145833,2.062500,2.104167,1.353978,67200
1985-01-29,2.083333,2.083333,2.041667,2.083333,1.340572,81600
1985-01-30,2.083333,2.125000,2.041667,2.125000,1.367383,79200
1985-01-31,2.125000,2.125000,2.041667,2.125000,1.367383,118800
1985-02-01,2.125000,2.125000,2.000000,2.041667,1.313761,56400
1985-02-04,2.041667,2.041667,2.020833,2.041667,1.313761,27600
1985-02-05,2.041667,2.062500,2.020833,2.062500,1.349373,132000
1985-02-06,2.062500,2.083333,2.041667,2.083333,1.363003,61200
1985-02-07,2.083333,2.104167,2.041667,2.041667,1.335743,54000
1985-02-08,2.041667,2.104167,2.041667,2.104167,1.376633,75600
1985-02-11,2.104167,2.145833,2.062500,2.125000,1.390264,145200
1985-02-12,2.125000,2.145833,2.083333,2.104167,1.376633,94800
1985-02-13,2.104167,2.145833,2.104167,2.104167,1.376633,84000
1985-02-14,2.208333,2.312500,2.208333,2.229167,1.458414,6039600
1985-02-15,2.229167,2.270833,2.208333,2.229167,1.458414,553200
1985-02-19,2.229167,2.270833,2.208333,2.208333,1.444783,138000
1985-02-20,2.208333,2.250000,2.208333,2.250000,1.472044,60000
1985-02-21,2.250000,2.291667,2.208333,2.229167,1.458414,804000
1985-02-22,2.229167,2.291667,2.229167,2.291667,1.499303,877200
1985-02-25,2.291667,2.312500,2.250000,2.291667,1.499303,338400
1985-02-26,2.291667,2.312500,2.270833,2.291667,1.499303,402000
1985-02-27,2.291667,2.312500,2.270833,2.270833,1.485674,12000
1985-02-28,2.270833,2.333333,2.270833,2.270833,1.485674,87600
1985-03-01,2.291667,2.354167,2.291667,2.312500,1.512933,122400
1985-03-04,2.312500,2.354167,2.312500,2.354167,1.540193,200400
1985-03-05,2.354167,2.354167,2.312500,2.354167,1.540193,58800
1985-03-06,2.354167,2.354167,2.291667,2.291667,1.499303,159600
1985-03-07,2.291667,2.333333,2.291667,2.291667,1.499303,108000
1985-03-08,2.291667,2.333333,2.291667,2.333333,1.526564,34800
1985-03-11,2.333333,2.333333,2.270833,2.291667,1.499303,166800
1985-03-12,2.291667,2.312500,2.270833,2.270833,1.485674,150000
1985-03-13,2.270833,2.312500,2.250000,2.260417,1.478859,409200
1985-03-14,2.270833,2.312500,2.270833,2.270833,1.485674,43200
1985-03-15,2.270833,2.312500,2.270833,2.312500,1.512933,93600
1985-03-18,2.312500,2.312500,2.250000,2.270833,1.485674,177600
1985-03-19,2.270833,2.291667,2.208333,2.229167,1.458414,171600
1985-03-20,2.229167,2.291667,2.208333,2.260417,1.478859,267600
1985-03-21,2.260417,2.291667,2.250000,2.291667,1.499303,726000
1985-03-22,2.291667,2.291667,2.250000,2.291667,1.499303,316800
1985-03-25,2.291667,2.291667,2.291667,2.291667,1.499303,6000
1985-03-26,2.291667,2.291667,2.250000,2.291667,1.499303,145200
