Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.468750,4.625000,4.437500,4.562500,1.443025,511200
1985-01-29,4.562500,4.750000,4.562500,4.718750,1.492444,1680000
1985-01-30,4.718750,4.812500,4.687500,4.750000,1.502328,1224800
1985-01-31,4.750000,4.750000,4.562500,4.593750,1.452909,535200
1985-02-01,4.593750,4.625000,4.562500,4.562500,1.443025,207200
1985-02-04,4.562500,4.593750,4.562500,4.593750,1.452909,359200
1985-02-05,4.593750,4.593750,4.406250,4.406250,1.393607,373600
1985-02-06,4.406250,4.437500,4.343750,4.343750,1.373839,383200
1985-02-07,4.343750,4.437500,4.312500,4.437500,1.403490,3620000
1985-02-08,4.437500,4.625000,4.406250,4.562500,1.443025,254400
1985-02-11,4.562500,4.656250,4.531250,4.625000,1.462793,105600
1985-02-12,4.625000,4.625000,4.562500,4.625000,1.462793,31200
1985-02-13,4.625000,4.625000,4.531250,4.609375,1.457851,232800
1985-02-14,4.609375,4.656250,4.562500,4.562500,1.443025,251200
1985-02-15,4.562500,4.625000,4.562500,4.625000,1.462793,153600
1985-02-19,4.625000,4.625000,4.562500,4.562500,1.443025,160800
1985-02-20,4.593750,4.687500,4.593750,4.656250,1.472677,234400
1985-02-21,4.656250,4.687500,4.625000,4.656250,1.472677,99200
1985-02-22,4.656250,4.718750,4.625000,4.625000,1.462793,266400
1985-02-25,4.625000,4.687500,4.593750,4.625000,1.462793,627200
1985-02-26,4.625000,4.781250,4.625000,4.703125,1.487502,2411200
1985-02-27,4.703125,4.781250,4.656250,4.656250,1.472677,896000
1985-02-28,4.656250,4.687500,4.625000,4.687500,1.482560,1637600
1985-03-01,4.718750,4.968750,4.718750,4.906250,1.551746,1483200
1985-03-04,4.906250,4.968750,4.906250,4.906250,1.551746,420800
1985-03-05,4.906250,5.000000,4.906250,4.968750,1.571514,734400
1985-03-06,4.968750,5.093750,4.937500,5.031250,1.591281,714400
1985-03-07,5.031250,5.062500,4.968750,5.000000,1.581398,1278400
1985-03-08,5.000000,5.062500,4.937500,4.968750,1.571514,1607200
1985-03-11,4.968750,5.031250,4.937500,4.937500,1.561631,213600
1985-03-12,4.937500,5.000000,4.937500,4.953125,1.566573,429600
1985-03-13,4.953125,4.968750,4.750000,4.843750,1.531980,672800
1985-03-14,4.843750,4.906250,4.812500,4.875000,1.541862,244000
1985-03-15,4.875000,4.906250,4.875000,4.875000,1.541862,296000
1985-03-18,4.875000,4.906250,4.843750,4.843750,1.531980,216000
1985-03-19,4.843750,4.906250,4.843750,4.906250,1.551746,17600
1985-03-20,4.906250,4.906250,4.843750,4.875000,1.541862,87200
1985-03-21,4.875000,4.875000,4.843750,4.843750,1.531980,64800
1985-03-22,4.843750,4.875000,4.781250,4.781250,1.512211,372800
1985-03-25,4.781250,4.812500,4.718750,4.718750,1.492444,168800
1985-03-26,4.718750,4.750000,4.609375,4.718750,1.492444,504800
1985-03-27,4.718750,4.750000,4.687500,4.750000,1.502328,312000
1985-03-28,4.750000,4.781250,4.687500,4.718750,1.492444,210400
1985-03-29,4.718750,4.734375,4.687500,4.734375,1.497386,35200
1985-04-01,4.734375,4.781250,4.687500,4.750000,1.502328,121600
1985-04-02,4.750000,4.781250,4.750000,4.750000,1.502328,176000
1985-04-03,4.750000,4.750000,4.687500,4.687500,1.482560,213600
1985-04-04,4.687500,4.687500,4.531250,4.593750,1.452909,273600
1985-04-08,4.625000,4.687500,4.625000,4.656250,1.472677,261600
1985-04-09,4.656250,4.687500,4.656250,4.687500,1.482560,102400
1985-04-10,4.687500,4.875000,4.687500,4.875000,1.541862,854400
1985-04-11,4.875000,4.937500,4.812500,4.906250,1.551746,262400
1985-04-12,4.937500,5.031250,4.937500,4.968750,1.571514,360800
1985-04-15,4.968750,5.093750,4.968750,5.031250,1.591281,183200
1985-04-16,5.031250,5.203125,5.031250,5.125000,1.620933,645600
1985-04-17,5.125000,5.187500,5.125000,5.156250,1.630817,124000
1985-04-18,5.156250,5.187500,5.140625,5.156250,1.630817,919200
1985-04-19,5.156250,5.156250,5.031250,5.031250,1.591281,1265600
1985-04-22,5.031250,5.062500,4.968750,5.000000,1.581398,124000
1985-04-23,5.000000,5.031250,5.000000,5.031250,1.591281,271200
1985-04-24,5.031250,5.062500,5.000000,5.062500,1.601165,84000
1985-04-25,5.062500,5.125000,5.031250,5.031250,1.591281,163200
1985-04-26,5.031250,5.093750,5.031250,5.062500,1.601165,208000
1985-04-29,5.062500,5.093750,5.031250,5.062500,1.601165,168000
1985-04-30,5.062500,5.093750,5.031250,5.093750,1.611049,517600
1985-05-01,5.093750,5.125000,5.062500,5.093750,1.611049,178400
1985-05-02,5.093750,5.093750,5.062500,5.093750,1.611049,196000
1985-05-03,5.093750,5.125000,5.062500,5.093750,1.611049,52800
1985-05-06,5.093750,5.187500,5.093750,5.125000,1.620933,931200
1985-05-07,5.125000,5.218750,5.125000,5.156250,1.630817,220000
1985-05-08,5.156250,5.218750,5.156250,5.218750,1.650584,144000
1985-05-09,5.218750,5.375000,5.187500,5.375000,1.700003,276000
1985-05-10,5.375000,5.562500,5.375000,5.468750,1.729653,893600
1985-05-13,5.468750,5.531250,5.468750,5.531250,1.749422,176000
1985-05-14,5.531250,5.531250,5.468750,5.468750,1.729653,324800
1985-05-15,5.468750,5.500000,5.453125,5.468750,1.729653,881600
1985-05-16,5.468750,5.500000,5.453125,5.468750,1.729653,306400
1985-05-17,5.468750,5.812500,5.468750,5.781250,1.828491,1237600
1985-05-20,5.812500,5.937500,5.812500,5.906250,1.868026,1046400
1985-05-21,5.906250,5.937500,5.781250,5.812500,1.838375,817600
1985-05-22,5.812500,5.875000,5.796875,5.875000,1.858140,687200
1985-05-23,5.875000,5.906250,5.812500,5.875000,1.858140,700000
1985-05-24,5.875000,6.000000,5.875000,5.937500,1.877910,1053600
1985-05-28,5.937500,6.000000,5.906250,5.968750,1.887794,262400
1985-05-29,5.968750,6.062500,5.937500,6.062500,1.917445,483200
1985-05-30,6.062500,6.187500,6.000000,6.125000,1.937212,1222400
1985-05-31,6.125000,6.218750,6.062500,6.093750,1.927329,291200
1985-06-03,6.093750,6.250000,6.093750,6.187500,1.956978,727200
1985-06-04,6.187500,6.375000,6.187500,6.328125,2.001455,2220000
1985-06-05,6.343750,6.562500,6.343750,6.406250,2.026166,481600
1985-06-06,6.406250,6.437500,6.343750,6.375000,2.016282,234400
1985-06-07,6.375000,6.437500,6.203125,6.250000,1.976747,402400
1985-06-10,6.250000,6.281250,6.156250,6.218750,1.966863,262400
1985-06-11,6.218750,6.218750,6.093750,6.093750,1.927329,129600
1985-06-12,6.093750,6.156250,5.968750,6.031250,1.907561,310400
1985-06-13,6.031250,6.031250,5.781250,5.875000,1.858140,377600
1985-06-14,5.875000,5.953125,5.843750,5.906250,1.868026,330400
1985-06-17,5.906250,5.968750,5.843750,5.843750,1.848258,278400
1985-06-18,5.843750,5.890625,5.843750,5.843750,1.848258,1257600
1985-06-19,5.843750,5.937500,5.843750,5.843750,1.848258,1148800
1985-06-20,5.843750,5.906250,5.843750,5.843750,1.848258,304000
1985-06-21,5.843750,5.875000,5.812500,5.875000,1.858140,218400
1985-06-24,5.875000,5.875000,5.812500,5.812500,1.838375,127200
1985-06-25,5.812500,5.906250,5.812500,5.906250,1.868026,427200
1985-06-26,5.906250,6.156250,5.875000,6.062500,1.917445,625600
1985-06-27,6.062500,6.218750,6.062500,6.156250,1.947097,232000
1985-06-28,6.187500,6.375000,6.187500,6.312500,1.996515,702400
1985-07-01,6.343750,6.453125,6.343750,6.437500,2.036049,703200
1985-07-02,6.437500,6.531250,6.375000,6.406250,2.026166,525600
1985-07-03,6.406250,6.406250,6.343750,6.343750,2.006398,136000
1985-07-05,6.343750,6.343750,6.171875,6.250000,1.976747,494400
1985-07-08,6.218750,6.218750,6.031250,6.031250,1.907561,149600
1985-07-09,6.031250,6.125000,6.031250,6.125000,1.937212,34400
1985-07-10,6.125000,6.125000,6.031250,6.062500,1.917445,41600
1985-07-11,6.062500,6.093750,5.906250,6.000000,1.897676,216800
1985-07-12,6.000000,6.031250,5.937500,5.937500,1.877910,463200
1985-07-15,5.937500,6.031250,5.937500,6.000000,1.897676,260000
1985-07-16,6.000000,6.000000,5.875000,5.984375,1.892735,527200
1985-07-17,6.000000,6.093750,6.000000,6.093750,1.927329,894400
1985-07-18,6.093750,6.093750,5.937500,6.000000,1.897676,418400
1985-07-19,6.000000,6.031250,5.968750,5.968750,1.887794,1027200
1985-07-22,5.968750,6.031250,5.875000,5.937500,1.877910,550400
1985-07-23,5.968750,6.125000,5.968750,6.031250,1.907561,567200
1985-07-24,6.031250,6.125000,5.968750,6.125000,1.937212,1852800
1985-07-25,6.125000,6.250000,6.093750,6.218750,1.966863,845600
1985-07-26,6.218750,6.250000,6.187500,6.218750,1.966863,631200
1985-07-29,6.218750,6.218750,6.000000,6.031250,1.907561,268000
1985-07-30,6.000000,6.000000,5.937500,5.937500,1.877910,936000
1985-07-31,5.937500,5.968750,5.875000,5.906250,1.868026,584800
1985-08-01,5.906250,5.984375,5.906250,5.968750,1.887794,112000
1985-08-02,5.968750,6.031250,5.937500,6.000000,1.897676,385600
1985-08-05,6.000000,6.031250,5.937500,6.000000,1.897676,159200
