Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.281250,5.406250,5.250000,5.375000,1.141253,1496000
1985-01-29,5.359375,5.484375,5.328125,5.484375,1.164476,484800
1985-01-30,5.500000,5.562500,5.468750,5.515625,1.171111,792000
1985-01-31,5.515625,5.546875,5.500000,5.515625,1.171111,476000
1985-02-01,5.500000,5.515625,5.421875,5.500000,1.167794,383200
1985-02-04,5.500000,5.687500,5.500000,5.593750,1.187700,591200
1985-02-05,5.609375,5.609375,5.500000,5.515625,1.171111,540000
1985-02-06,5.578125,5.578125,5.359375,5.437500,1.154523,644800
1985-02-07,5.468750,5.484375,5.406250,5.468750,1.161158,159200
1985-02-08,5.500000,5.500000,5.453125,5.484375,1.164476,597600
1985-02-11,5.453125,5.468750,5.390625,5.437500,1.154523,416800
1985-02-12,5.406250,5.437500,5.390625,5.421875,1.151206,395200
1985-02-13,5.375000,5.562500,5.375000,5.546875,1.177746,462400
1985-02-14,5.531250,5.625000,5.531250,5.609375,1.191017,801600
1985-02-15,5.625000,5.625000,5.562500,5.625000,1.194335,433600
1985-02-19,5.593750,5.625000,5.562500,5.625000,1.194335,143200
1985-02-20,5.562500,5.609375,5.515625,5.562500,1.181064,633600
1985-02-21,5.531250,5.656250,5.531250,5.640625,1.197652,406400
1985-02-22,5.640625,5.750000,5.640625,5.687500,1.207605,542400
1985-02-25,5.703125,5.937500,5.703125,5.843750,1.240781,1926400
1985-02-26,5.812500,5.984375,5.812500,5.984375,1.270639,1000000
1985-02-27,5.890625,5.984375,5.890625,5.968750,1.279077,682400
1985-02-28,5.953125,6.000000,5.906250,5.968750,1.279077,341600
1985-03-01,5.953125,6.125000,5.953125,6.015625,1.289123,881600
1985-03-04,6.015625,6.031250,5.937500,5.984375,1.282426,330400
1985-03-05,5.984375,6.015625,5.953125,5.953125,1.275729,494400
1985-03-06,5.984375,6.000000,5.859375,5.890625,1.262334,614400
1985-03-07,5.859375,5.906250,5.781250,5.875000,1.258987,574400
1985-03-08,5.843750,5.968750,5.812500,5.890625,1.262334,535200
1985-03-11,5.890625,6.000000,5.890625,5.937500,1.272381,344000
1985-03-12,6.000000,6.031250,5.937500,5.984375,1.282426,532000
1985-03-13,5.984375,6.031250,5.937500,5.937500,1.272381,284800
1985-03-14,5.906250,5.968750,5.906250,5.968750,1.279077,582400
1985-03-15,5.968750,6.015625,5.921875,5.921875,1.269032,566400
1985-03-18,5.984375,6.078125,5.984375,6.015625,1.289123,626400
1985-03-19,6.078125,6.187500,6.078125,6.140625,1.315909,670400
1985-03-20,6.140625,6.218750,6.125000,6.187500,1.325954,445600
1985-03-21,6.218750,6.218750,6.156250,6.187500,1.325954,275200
1985-03-22,6.218750,6.250000,6.171875,6.187500,1.325954,397600
1985-03-25,6.187500,6.250000,6.187500,6.187500,1.325954,203200
1985-03-26,6.218750,6.250000,6.203125,6.250000,1.339348,283200
1985-03-27,6.250000,6.281250,6.203125,6.218750,1.332651,247200
1985-03-28,6.218750,6.234375,6.187500,6.187500,1.325954,250400
1985-03-29,6.218750,6.218750,6.156250,6.218750,1.332651,218400
1985-04-01,6.156250,6.187500,6.109375,6.171875,1.322606,330400
1985-04-02,6.203125,6.203125,5.875000,5.937500,1.272381,1265600
1985-04-03,5.875000,5.906250,5.875000,5.906250,1.265684,991200
1985-04-04,5.937500,5.937500,5.796875,5.906250,1.265684,1000800
1985-04-08,5.875000,5.921875,5.843750,5.859375,1.255639,196800
1985-04-09,5.859375,5.859375,5.750000,5.781250,1.238897,593600
1985-04-10,5.796875,5.890625,5.781250,5.828125,1.248942,627200
1985-04-11,5.859375,5.906250,5.828125,5.828125,1.248942,508000
1985-04-12,5.828125,5.890625,5.828125,5.890625,1.262334,680800
1985-04-15,5.890625,5.906250,5.781250,5.843750,1.252290,697600
1985-04-16,5.875000,5.890625,5.781250,5.843750,1.252290,1145600
1985-04-17,5.875000,5.921875,5.843750,5.859375,1.255639,539200
1985-04-18,5.906250,5.906250,5.843750,5.859375,1.255639,301600
1985-04-19,5.859375,5.875000,5.828125,5.875000,1.258987,183200
1985-04-22,5.875000,5.875000,5.734375,5.765625,1.235548,431200
1985-04-23,5.796875,5.875000,5.765625,5.859375,1.255639,563200
1985-04-24,5.875000,5.968750,5.875000,5.968750,1.279077,936000
1985-04-25,5.968750,6.062500,5.953125,6.062500,1.299167,451200
1985-04-26,6.093750,6.140625,6.031250,6.046875,1.295819,677600
1985-04-29,6.015625,6.031250,5.953125,5.953125,1.275729,359200
