Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.390625,2.390625,2.367188,2.375000,0.291247,1638400
1985-01-29,2.375000,2.390625,2.375000,2.390625,0.293163,340800
1985-01-30,2.398438,2.421875,2.398438,2.398438,0.294121,502400
1985-01-31,2.398438,2.437500,2.382813,2.429688,0.297953,416000
1985-02-01,2.429688,2.429688,2.421875,2.429688,0.297953,1201600
1985-02-04,2.429688,2.445313,2.414063,2.437500,0.298911,1824000
1985-02-05,2.437500,2.453125,2.390625,2.406250,0.295079,1304000
1985-02-06,2.406250,2.437500,2.382813,2.421875,0.296995,985600
1985-02-07,2.421875,2.445313,2.414063,2.421875,0.296995,361600
1985-02-08,2.421875,2.437500,2.382813,2.398438,0.294121,966400
1985-02-11,2.406250,2.429688,2.406250,2.421875,0.296995,459200
1985-02-12,2.429688,2.445313,2.429688,2.437500,0.298911,2544000
1985-02-13,2.437500,2.453125,2.421875,2.445313,0.299869,1500800
1985-02-14,2.445313,2.468750,2.437500,2.453125,0.300827,873600
1985-02-15,2.453125,2.468750,2.445313,2.453125,0.300827,3465600
1985-02-19,2.445313,2.445313,2.375000,2.382813,0.292205,883200
1985-02-20,2.382813,2.406250,2.375000,2.375000,0.291247,676800
1985-02-21,2.375000,2.414063,2.367188,2.414063,0.296037,4580800
1985-02-22,2.414063,2.429688,2.414063,2.414063,0.296037,265600
1985-02-25,2.414063,2.421875,2.382813,2.406250,0.295079,2331200
1985-02-26,2.406250,2.445313,2.406250,2.429688,0.297953,4580800
1985-02-27,2.437500,2.492188,2.437500,2.492188,0.305617,1521600
1985-02-28,2.492188,2.515625,2.484375,2.500000,0.306575,4310400
1985-03-01,2.500000,2.546875,2.484375,2.523438,0.309450,1699200
1985-03-04,2.523438,2.554688,2.523438,2.531250,0.310408,1689600
1985-03-05,2.531250,2.546875,2.507813,2.515625,0.308492,2710400
1985-03-06,2.515625,2.531250,2.507813,2.523438,0.309450,635200
1985-03-07,2.523438,2.531250,2.507813,2.507813,0.307534,1212800
1985-03-08,2.507813,2.515625,2.500000,2.500000,0.306575,1080000
1985-03-11,2.500000,2.539063,2.500000,2.515625,0.308492,822400
1985-03-12,2.515625,2.531250,2.515625,2.531250,0.310408,777600
1985-03-13,2.531250,2.546875,2.531250,2.531250,0.310408,590400
1985-03-14,2.531250,2.539063,2.515625,2.531250,0.310408,31444800
1985-03-15,2.515625,2.515625,2.484375,2.484375,0.304659,2776000
1985-03-18,2.484375,2.500000,2.476563,2.476563,0.303701,1444800
1985-03-19,2.476563,2.515625,2.468750,2.500000,0.306575,1198400
1985-03-20,2.500000,2.515625,2.500000,2.507813,0.307534,584000
1985-03-21,2.500000,2.515625,2.492188,2.515625,0.308492,360000
1985-03-22,2.523438,2.523438,2.500000,2.500000,0.306575,2948800
1985-03-25,2.484375,2.492188,2.476563,2.484375,0.304659,217600
1985-03-26,2.484375,2.492188,2.476563,2.484375,0.304659,836800
1985-03-27,2.500000,2.500000,2.484375,2.500000,0.306575,446400
1985-03-28,2.500000,2.500000,2.492188,2.500000,0.306575,776000
1985-03-29,2.500000,2.507813,2.492188,2.492188,0.305617,1345600
1985-04-01,2.492188,2.507813,2.484375,2.500000,0.306575,1000000
1985-04-02,2.507813,2.515625,2.492188,2.500000,0.306575,1278400
1985-04-03,2.500000,2.507813,2.492188,2.507813,0.307534,846400
1985-04-04,2.507813,2.507813,2.500000,2.500000,0.306575,1801600
1985-04-08,2.507813,2.507813,2.500000,2.500000,0.306575,523200
1985-04-09,2.515625,2.546875,2.515625,2.546875,0.312324,1755200
1985-04-10,2.546875,2.609375,2.539063,2.609375,0.319988,2537600
1985-04-11,2.656250,2.687500,2.648438,2.648438,0.324778,4129600
1985-04-12,2.648438,2.664063,2.648438,2.648438,0.324778,1449600
1985-04-15,2.648438,2.718750,2.648438,2.710938,0.332443,1776000
1985-04-16,2.710938,2.718750,2.687500,2.703125,0.331485,1219200
1985-04-17,2.695313,2.695313,2.671875,2.679688,0.328611,2638400
1985-04-18,2.695313,2.703125,2.679688,2.679688,0.328611,1774400
1985-04-19,2.679688,2.734375,2.640625,2.671875,0.327652,3808000
1985-04-22,2.656250,2.664063,2.640625,2.648438,0.324778,800000
1985-04-23,2.648438,2.687500,2.640625,2.687500,0.329569,2984000
1985-04-24,2.679688,2.687500,2.664063,2.687500,0.329569,1068800
1985-04-25,2.671875,2.734375,2.671875,2.718750,0.333401,7798400
1985-04-26,2.734375,2.750000,2.726563,2.726563,0.334359,3401600
1985-04-29,2.703125,2.718750,2.703125,2.710938,0.336297,1123200
1985-04-30,2.703125,2.710938,2.656250,2.656250,0.329513,724800
1985-05-01,2.656250,2.656250,2.585938,2.585938,0.320791,1478400
1985-05-02,2.593750,2.625000,2.593750,2.601563,0.322729,2073600
1985-05-03,2.625000,2.625000,2.578125,2.578125,0.319821,1529600
1985-05-06,2.585938,2.593750,2.570313,2.570313,0.318852,396800
1985-05-07,2.578125,2.578125,2.523438,2.554688,0.316914,1555200
1985-05-08,2.554688,2.578125,2.554688,2.570313,0.318852,4158400
1985-05-09,2.570313,2.585938,2.562500,2.578125,0.319821,1126400
1985-05-10,2.625000,2.648438,2.609375,2.640625,0.327575,1768000
1985-05-13,2.656250,2.695313,2.656250,2.687500,0.333390,796800
1985-05-14,2.679688,2.695313,2.679688,2.695313,0.334359,656000
1985-05-15,2.687500,2.695313,2.687500,2.687500,0.333390,585600
1985-05-16,2.695313,2.695313,2.687500,2.687500,0.333390,1094400
1985-05-17,2.695313,2.750000,2.695313,2.734375,0.339205,1665600
1985-05-20,2.828125,2.828125,2.773438,2.773438,0.344050,2864000
1985-05-21,2.773438,2.781250,2.750000,2.750000,0.341143,4625600
1985-05-22,2.750000,2.750000,2.703125,2.718750,0.337266,1270400
1985-05-23,2.710938,2.718750,2.687500,2.695313,0.334359,481600
1985-05-24,2.687500,2.703125,2.687500,2.695313,0.334359,1348800
1985-05-28,2.687500,2.695313,2.679688,2.695313,0.334359,1155200
1985-05-29,2.687500,2.734375,2.687500,2.734375,0.339205,1454400
1985-05-30,2.750000,2.765625,2.734375,2.734375,0.339205,3256000
1985-05-31,2.726563,2.734375,2.718750,2.734375,0.339205,988800
1985-06-03,2.734375,2.742188,2.726563,2.726563,0.338235,1019200
1985-06-04,2.742188,2.757813,2.742188,2.750000,0.341143,1512000
1985-06-05,2.750000,2.750000,2.726563,2.750000,0.341143,1352000
1985-06-06,2.750000,2.750000,2.726563,2.742188,0.340174,758400
1985-06-07,2.742188,2.742188,2.718750,2.718750,0.337266,2041600
1985-06-10,2.726563,2.734375,2.718750,2.726563,0.338235,1760000
1985-06-11,2.742188,2.742188,2.726563,2.734375,0.339205,302400
1985-06-12,2.742188,2.742188,2.718750,2.718750,0.337266,635200
1985-06-13,2.734375,2.734375,2.726563,2.734375,0.339205,803200
1985-06-14,2.726563,2.750000,2.726563,2.750000,0.341143,1366400
1985-06-17,2.742188,2.750000,2.734375,2.734375,0.339205,214400
1985-06-18,2.734375,2.750000,2.734375,2.750000,0.341143,601600
1985-06-19,2.742188,2.750000,2.742188,2.742188,0.340174,708800
1985-06-20,2.750000,2.773438,2.734375,2.773438,0.344050,465600
1985-06-21,2.765625,2.796875,2.765625,2.796875,0.346958,2486400
1985-06-24,2.789063,2.796875,2.773438,2.789063,0.345989,427200
1985-06-25,2.781250,2.851563,2.781250,2.820313,0.349865,1862400
1985-06-26,2.828125,2.828125,2.812500,2.812500,0.348896,1552000
1985-06-27,2.812500,2.835938,2.804688,2.804688,0.347927,1192000
1985-06-28,2.820313,2.835938,2.812500,2.835938,0.351804,1156800
1985-07-01,2.851563,2.875000,2.835938,2.851563,0.353742,955200
1985-07-02,2.867188,2.875000,2.843750,2.843750,0.352773,2632000
1985-07-03,2.843750,2.867188,2.843750,2.851563,0.353742,3134400
1985-07-05,2.867188,2.875000,2.851563,2.867188,0.355680,1931200
1985-07-08,2.859375,2.859375,2.843750,2.843750,0.352773,1132800
1985-07-09,2.843750,2.851563,2.835938,2.843750,0.352773,1683200
1985-07-10,2.828125,2.843750,2.773438,2.781250,0.345020,1742400
1985-07-11,2.789063,2.789063,2.718750,2.726563,0.338235,4598400
1985-07-12,2.726563,2.750000,2.718750,2.750000,0.341143,1379200
1985-07-15,2.742188,2.781250,2.742188,2.765625,0.343081,1180800
1985-07-16,2.773438,2.781250,2.757813,2.765625,0.343081,980800
1985-07-17,2.796875,2.812500,2.734375,2.757813,0.342112,2668800
1985-07-18,2.742188,2.742188,2.703125,2.703125,0.335328,2563200
1985-07-19,2.710938,2.726563,2.703125,2.726563,0.338235,1169600
1985-07-22,2.710938,2.718750,2.671875,2.687500,0.333390,344000
1985-07-23,2.687500,2.710938,2.671875,2.671875,0.331451,1376000
1985-07-24,2.656250,2.671875,2.656250,2.656250,0.329513,1168000
1985-07-25,2.648438,2.671875,2.625000,2.640625,0.327575,1744000
1985-07-26,2.640625,2.648438,2.625000,2.640625,0.327575,696000
1985-07-29,2.656250,2.656250,2.640625,2.648438,0.328544,648000
1985-07-30,2.625000,2.632813,2.617188,2.625000,0.329525,1225600
1985-07-31,2.640625,2.656250,2.625000,2.640625,0.331486,1219200
1985-08-01,2.640625,2.648438,2.632813,2.632813,0.330505,1280000
1985-08-02,2.648438,2.648438,2.617188,2.625000,0.329525,820800
1985-08-05,2.617188,2.625000,2.609375,2.609375,0.327563,590400
1985-08-06,2.609375,2.617188,2.593750,2.593750,0.325602,440000
1985-08-07,2.585938,2.609375,2.578125,2.609375,0.327563,2688000
1985-08-08,2.609375,2.609375,2.601563,2.601563,0.326582,1390400
1985-08-09,2.601563,2.617188,2.601563,2.617188,0.328544,710400
1985-08-12,2.617188,2.625000,2.609375,2.609375,0.327563,4806400
1985-08-13,2.609375,2.664063,2.609375,2.656250,0.333448,913600
1985-08-14,2.671875,2.671875,2.656250,2.656250,0.333448,252800
1985-08-15,2.671875,2.671875,2.656250,2.664063,0.334428,891200
1985-08-16,2.664063,2.687500,2.664063,2.687500,0.337371,1302400
1985-08-19,2.703125,2.703125,2.679688,2.687500,0.337371,926400
1985-08-20,2.703125,2.703125,2.687500,2.695313,0.338351,878400
1985-08-21,2.695313,2.703125,2.695313,2.703125,0.339332,320000
1985-08-22,2.695313,2.703125,2.679688,2.679688,0.336390,2348800
1985-08-23,2.671875,2.687500,2.664063,2.664063,0.334428,3894400
1985-08-26,2.664063,2.664063,2.648438,2.648438,0.332467,1089600
1985-08-27,2.648438,2.656250,2.648438,2.648438,0.332467,696000
1985-08-28,2.648438,2.648438,2.640625,2.640625,0.331486,528000
1985-08-29,2.640625,2.656250,2.640625,2.656250,0.333448,547200
1985-08-30,2.648438,2.664063,2.648438,2.648438,0.332467,555200
1985-09-03,2.632813,2.648438,2.632813,2.632813,0.330505,1160000
1985-09-04,2.648438,2.648438,2.632813,2.640625,0.331486,945600
1985-09-05,2.640625,2.679688,2.640625,2.679688,0.336390,824000
1985-09-06,2.664063,2.703125,2.664063,2.703125,0.339332,632000
1985-09-09,2.687500,2.695313,2.679688,2.687500,0.337371,1011200
1985-09-10,2.687500,2.695313,2.687500,2.687500,0.337371,238400
1985-09-11,2.687500,2.695313,2.679688,2.687500,0.337371,3787200
1985-09-12,2.679688,2.695313,2.671875,2.671875,0.335409,816000
1985-09-13,2.671875,2.687500,2.671875,2.687500,0.337371,2414400
1985-09-16,2.687500,2.710938,2.687500,2.710938,0.340313,198400
1985-09-17,2.710938,2.742188,2.703125,2.734375,0.343255,846400
1985-09-18,2.742188,2.765625,2.742188,2.750000,0.345216,2961600
1985-09-19,2.750000,2.757813,2.742188,2.742188,0.344236,592000
1985-09-20,2.742188,2.757813,2.742188,2.750000,0.345216,785600
1985-09-23,2.750000,2.757813,2.742188,2.750000,0.345216,1080000
1985-09-24,2.742188,2.750000,2.742188,2.742188,0.344236,1201600
1985-09-25,2.742188,2.750000,2.710938,2.710938,0.340313,571200
1985-09-26,2.703125,2.703125,2.656250,2.656250,0.333448,1052800
1985-09-30,2.664063,2.664063,2.632813,2.648438,0.332467,428800
1985-10-01,2.640625,2.648438,2.609375,2.632813,0.330505,494400
1985-10-02,2.632813,2.656250,2.632813,2.648438,0.332467,1590400
1985-10-03,2.640625,2.734375,2.640625,2.656250,0.333448,1086400
1985-10-04,2.664063,2.664063,2.656250,2.656250,0.333448,232000
1985-10-07,2.648438,2.695313,2.648438,2.687500,0.337371,784000
1985-10-08,2.687500,2.718750,2.687500,2.718750,0.341293,368000
1985-10-09,2.718750,2.718750,2.703125,2.703125,0.339332,3267200
1985-10-10,2.695313,2.710938,2.695313,2.710938,0.340313,177600
1985-10-11,2.703125,2.710938,2.703125,2.710938,0.340313,307200
1985-10-14,2.710938,2.710938,2.703125,2.710938,0.340313,548800
1985-10-15,2.718750,2.718750,2.703125,2.710938,0.340313,537600
1985-10-16,2.718750,2.718750,2.703125,2.718750,0.341293,1980800
1985-10-17,2.718750,2.742188,2.718750,2.734375,0.343255,872000
1985-10-18,2.726563,2.734375,2.710938,2.726563,0.342274,326400
1985-10-21,2.718750,2.742188,2.710938,2.742188,0.344236,569600
1985-10-22,2.742188,2.773438,2.726563,2.773438,0.348158,4435200
1985-10-23,2.757813,2.773438,2.750000,2.773438,0.348158,1398400
1985-10-24,2.765625,2.765625,2.742188,2.765625,0.347178,779200
1985-10-25,2.757813,2.773438,2.750000,2.773438,0.348158,894400
1985-10-28,2.773438,2.804688,2.773438,2.796875,0.351101,7428800
1985-10-29,2.773438,2.796875,2.757813,2.773438,0.352092,4240000
1985-10-30,2.781250,2.804688,2.773438,2.796875,0.355068,800000
1985-10-31,2.796875,2.804688,2.789063,2.796875,0.355068,358400
1985-11-01,2.796875,2.835938,2.789063,2.835938,0.360027,2662400
1985-11-04,2.820313,2.843750,2.820313,2.828125,0.359035,958400
1985-11-05,2.820313,2.828125,2.812500,2.828125,0.359035,126400
1985-11-06,2.820313,2.882813,2.820313,2.882813,0.365978,1268800
1985-11-07,2.875000,2.945313,2.875000,2.921875,0.370937,744000
1985-11-08,2.914063,2.937500,2.914063,2.937500,0.372920,444800
1985-11-11,2.921875,3.000000,2.914063,2.984375,0.378871,2644800
1985-11-12,2.976563,3.046875,2.968750,3.000000,0.380855,1240000
1985-11-13,2.968750,2.976563,2.937500,2.937500,0.372920,625600
1985-11-14,2.921875,2.968750,2.914063,2.968750,0.376888,684800
1985-11-15,2.984375,3.000000,2.937500,2.968750,0.376888,1310400
1985-11-18,2.960938,2.984375,2.953125,2.968750,0.376888,1068800
1985-11-19,2.984375,2.984375,2.937500,2.937500,0.372920,596800
1985-11-20,2.937500,2.953125,2.921875,2.945313,0.373912,184000
1985-11-21,2.960938,2.976563,2.937500,2.960938,0.375896,988800
1985-11-22,2.968750,2.968750,2.937500,2.937500,0.372920,899200
1985-11-25,2.945313,2.945313,2.906250,2.906250,0.368953,315200
1985-11-26,2.914063,2.914063,2.882813,2.882813,0.365978,376000
1985-11-27,2.875000,2.976563,2.875000,2.953125,0.374904,3227200
1985-11-29,2.968750,2.976563,2.945313,2.953125,0.374904,209600
1985-12-02,2.945313,2.953125,2.906250,2.906250,0.368953,1140800
1985-12-03,2.914063,2.914063,2.898438,2.906250,0.368953,288000
1985-12-04,2.906250,2.968750,2.906250,2.968750,0.376888,822400
1985-12-05,2.968750,2.968750,2.945313,2.953125,0.374904,800000
1985-12-06,2.945313,2.968750,2.937500,2.945313,0.373912,624000
1985-12-09,2.937500,2.968750,2.937500,2.968750,0.376888,822400
1985-12-10,2.953125,2.992188,2.953125,2.968750,0.376888,801600
1985-12-11,2.976563,3.054688,2.976563,3.039063,0.385814,1185600
1985-12-12,3.031250,3.046875,3.015625,3.015625,0.382838,622400
1985-12-13,3.007813,3.093750,3.007813,3.093750,0.392757,1628800
1985-12-16,3.085938,3.125000,3.078125,3.085938,0.391765,1632000
1985-12-17,3.101563,3.117188,3.078125,3.078125,0.390773,915200
1985-12-18,3.078125,3.109375,3.078125,3.078125,0.390773,683200
1985-12-19,3.062500,3.078125,3.046875,3.062500,0.388789,1465600
1985-12-20,3.054688,3.093750,3.054688,3.062500,0.388789,1492800
1985-12-23,3.054688,3.062500,3.015625,3.015625,0.382838,1769600
1985-12-24,3.023438,3.023438,2.992188,3.000000,0.380855,361600
1985-12-26,2.992188,3.007813,2.984375,3.000000,0.380855,89600
1985-12-27,3.015625,3.015625,3.000000,3.007813,0.381847,694400
1985-12-30,3.007813,3.039063,3.007813,3.031250,0.384822,851200
1985-12-31,3.039063,3.046875,2.984375,2.992188,0.379863,2483200
1986-01-02,2.984375,2.984375,2.906250,2.906250,0.368953,1339200
1986-01-03,2.914063,2.929688,2.914063,2.921875,0.370937,2270400
1986-01-06,2.921875,2.921875,2.890625,2.890625,0.366969,323200
1986-01-07,2.890625,2.937500,2.882813,2.937500,0.372920,2529600
1986-01-08,2.937500,2.937500,2.843750,2.875000,0.364986,1820800
1986-01-09,2.859375,2.859375,2.757813,2.796875,0.355068,939200
1986-01-10,2.804688,2.804688,2.781250,2.796875,0.355068,2720000
1986-01-13,2.796875,2.804688,2.765625,2.773438,0.352092,662400
1986-01-14,2.781250,2.796875,2.765625,2.796875,0.355068,1888000
