Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.527778,3.652778,3.493056,3.562500,0.212592,1947600
1985-01-29,3.562500,3.590278,3.510417,3.555556,0.212177,1789200
1985-01-30,3.555556,3.555556,3.506944,3.506944,0.209277,1713600
1985-01-31,3.472222,3.472222,3.430556,3.437500,0.205132,2026800
1985-02-01,3.437500,3.489583,3.406250,3.489583,0.208241,3290400
1985-02-04,3.489583,3.611111,3.479167,3.611111,0.215493,1720800
1985-02-05,3.611111,3.611111,3.572917,3.572917,0.213213,892800
1985-02-06,3.572917,3.625000,3.527778,3.527778,0.210520,1864800
1985-02-07,3.527778,3.562500,3.527778,3.534722,0.210934,1800000
1985-02-08,3.534722,3.576389,3.534722,3.569444,0.213006,1465200
1985-02-11,3.569444,3.579861,3.527778,3.534722,0.210934,957600
1985-02-12,3.534722,3.534722,3.513889,3.534722,0.210934,1746000
1985-02-13,3.534722,3.722222,3.520833,3.680556,0.219637,1602000
1985-02-14,3.680556,3.736111,3.611111,3.611111,0.215493,1490400
1985-02-15,3.583333,3.583333,3.548611,3.548611,0.211763,2336400
1985-02-19,3.548611,3.555556,3.430556,3.527778,0.210520,3513600
1985-02-20,3.562500,3.694444,3.562500,3.666667,0.218808,2401200
1985-02-21,3.666667,3.777778,3.652778,3.652778,0.217979,1692000
1985-02-22,3.652778,3.659722,3.638889,3.659722,0.218394,8154000
1985-02-25,3.645833,3.645833,3.555556,3.638889,0.217150,2203200
1985-02-26,3.638889,3.652778,3.618056,3.652778,0.217979,3427200
1985-02-27,3.652778,3.673611,3.649306,3.656250,0.218186,1087200
1985-02-28,3.663194,3.750000,3.663194,3.722222,0.222123,1418400
1985-03-01,3.722222,3.819444,3.722222,3.777778,0.225438,3747600
1985-03-04,3.812500,3.812500,3.708333,3.729167,0.222538,714000
1985-03-05,3.729167,3.760417,3.708333,3.739583,0.223159,2080800
1985-03-06,3.739583,3.781250,3.666667,3.666667,0.218808,2140800
1985-03-07,3.666667,3.677083,3.645833,3.645833,0.217565,620400
1985-03-08,3.687500,3.729167,3.687500,3.697917,0.220673,1173600
1985-03-11,3.697917,3.708333,3.635417,3.635417,0.216943,973200
1985-03-12,3.635417,3.635417,3.531250,3.583333,0.213835,3423600
1985-03-13,3.583333,3.614583,3.562500,3.572917,0.213213,1720800
1985-03-14,3.572917,3.604167,3.572917,3.583333,0.213835,939600
1985-03-15,3.583333,3.583333,3.437500,3.437500,0.205132,2266800
1985-03-18,3.479167,3.541667,3.479167,3.500000,0.208862,1309200
1985-03-19,3.500000,3.593750,3.500000,3.583333,0.213835,782400
1985-03-20,3.583333,3.645833,3.572917,3.593750,0.214457,1572000
1985-03-21,3.593750,3.593750,3.562500,3.583333,0.213835,1968000
1985-03-22,3.583333,3.583333,3.562500,3.572917,0.213213,1351200
1985-03-25,3.572917,3.583333,3.500000,3.510417,0.209484,290400
1985-03-26,3.510417,3.562500,3.510417,3.552083,0.211970,248400
1985-03-27,3.552083,3.583333,3.510417,3.562500,0.212592,1621200
1985-03-28,3.562500,3.656250,3.562500,3.635417,0.216943,1584000
1985-03-29,3.635417,3.656250,3.593750,3.656250,0.218186,1093200
1985-04-01,3.656250,3.697917,3.635417,3.677083,0.219429,700800
1985-04-02,3.677083,3.718750,3.677083,3.697917,0.220673,1252800
1985-04-03,3.697917,3.718750,3.666667,3.666667,0.218808,1702800
1985-04-04,3.666667,3.687500,3.666667,3.687500,0.220051,2312400
1985-04-08,3.697917,3.750000,3.697917,3.718750,0.221916,1296000
1985-04-09,3.729167,3.791667,3.729167,3.770833,0.225024,3084000
1985-04-10,3.791667,3.864583,3.791667,3.833333,0.228754,1591200
1985-04-11,3.875000,3.906250,3.875000,3.895833,0.232484,706800
1985-04-12,3.895833,3.947917,3.843750,3.927083,0.234348,2758800
1985-04-15,3.968750,4.072917,3.968750,4.072917,0.243051,1250400
1985-04-16,4.093750,4.166667,4.093750,4.166667,0.248645,4857600
1985-04-17,4.166667,4.187500,4.062500,4.104167,0.244916,3854400
1985-04-18,4.104167,4.104167,4.052083,4.083333,0.243673,1196400
1985-04-19,4.083333,4.208333,4.072917,4.187500,0.249889,1365600
1985-04-22,4.187500,4.208333,4.145833,4.197917,0.250510,1768800
1985-04-23,4.197917,4.302083,4.187500,4.270833,0.254862,2781600
1985-04-24,4.270833,4.312500,4.229167,4.250000,0.253618,1326000
1985-04-25,4.250000,4.270833,4.197917,4.239583,0.252997,1003200
1985-04-26,4.239583,4.250000,4.166667,4.166667,0.248645,1124400
1985-04-29,4.156250,4.156250,3.968750,3.968750,0.236835,3453600
1985-04-30,3.875000,3.875000,3.791667,3.802083,0.226889,4956000
1985-05-01,3.708333,3.708333,3.604167,3.604167,0.215078,8648400
1985-05-02,3.687500,3.791667,3.687500,3.708333,0.221294,9770400
1985-05-03,3.760417,3.812500,3.760417,3.781250,0.225646,5216400
1985-05-06,3.781250,3.864583,3.729167,3.760417,0.224403,3340800
1985-05-07,3.791667,3.875000,3.791667,3.833333,0.228754,3399600
1985-05-08,3.833333,3.906250,3.833333,3.885417,0.231862,3008400
1985-05-09,3.885417,3.989583,3.885417,3.989583,0.254422,2300400
1985-05-10,4.052083,4.187500,4.052083,4.166667,0.265715,2904000
1985-05-13,4.166667,4.187500,4.104167,4.104167,0.261729,1357200
1985-05-14,4.104167,4.135417,3.875000,4.041667,0.257744,3628800
1985-05-15,4.083333,4.187500,4.083333,4.166667,0.265715,4105200
1985-05-16,4.166667,4.177083,4.145833,4.166667,0.265715,3458400
1985-05-17,4.166667,4.166667,4.114583,4.125000,0.263058,1750800
1985-05-20,4.166667,4.208333,4.166667,4.187500,0.267044,16479600
1985-05-21,4.187500,4.197917,4.145833,4.166667,0.265715,2216400
1985-05-22,4.156250,4.156250,4.104167,4.125000,0.263058,836400
1985-05-23,4.125000,4.125000,4.083333,4.083333,0.260401,2371200
1985-05-24,4.114583,4.145833,4.114583,4.145833,0.264386,3597600
1985-05-28,4.145833,4.187500,4.135417,4.166667,0.265715,2098800
1985-05-29,4.145833,4.145833,4.125000,4.135417,0.263722,888000
1985-05-30,4.135417,4.135417,4.083333,4.104167,0.261729,1545600
1985-05-31,4.104167,4.114583,4.083333,4.104167,0.261729,3058800
1985-06-03,4.104167,4.145833,4.104167,4.125000,0.263058,5536800
1985-06-04,4.125000,4.135417,4.125000,4.135417,0.263722,1822800
1985-06-05,4.135417,4.145833,4.020833,4.083333,0.260401,2956800
1985-06-06,4.083333,4.177083,4.010417,4.166667,0.265715,5961600
1985-06-07,4.166667,4.197917,4.156250,4.166667,0.265715,2839200
1985-06-10,4.166667,4.166667,4.135417,4.145833,0.264386,1282800
1985-06-11,4.125000,4.125000,4.041667,4.104167,0.261729,2350800
1985-06-12,4.104167,4.125000,4.062500,4.062500,0.259072,1628400
1985-06-13,4.062500,4.062500,3.989583,4.000000,0.255086,1144800
1985-06-14,4.000000,4.041667,3.958333,4.020833,0.256415,1141200
1985-06-17,4.020833,4.072917,4.020833,4.020833,0.256415,601200
1985-06-18,4.020833,4.062500,4.020833,4.020833,0.256415,798000
1985-06-19,4.041667,4.104167,4.041667,4.072917,0.259736,1140000
1985-06-20,4.072917,4.104167,4.010417,4.031250,0.257079,1389600
1985-06-21,4.020833,4.020833,3.937500,3.968750,0.253094,1432800
1985-06-24,3.968750,4.062500,3.958333,4.052083,0.258408,1717200
1985-06-25,4.052083,4.083333,3.989583,4.031250,0.257079,1140000
1985-06-26,4.020833,4.020833,3.958333,4.000000,0.255086,2754000
1985-06-27,4.000000,4.041667,4.000000,4.010417,0.255751,2919600
1985-06-28,4.052083,4.145833,4.052083,4.125000,0.263058,3594000
1985-07-01,4.125000,4.187500,4.093750,4.166667,0.265715,2506800
1985-07-02,4.166667,4.166667,4.125000,4.145833,0.264386,1194000
1985-07-03,4.145833,4.166667,4.125000,4.166667,0.265715,793200
1985-07-05,4.166667,4.177083,4.145833,4.156250,0.265051,559200
1985-07-08,4.156250,4.156250,4.083333,4.093750,0.261065,1766400
1985-07-09,4.093750,4.093750,4.041667,4.083333,0.260401,838800
1985-07-10,4.083333,4.135417,4.062500,4.125000,0.263058,2541600
1985-07-11,4.125000,4.166667,4.114583,4.156250,0.265051,2467200
1985-07-12,4.156250,4.166667,4.083333,4.125000,0.263058,6084000
1985-07-15,4.114583,4.114583,4.052083,4.052083,0.258408,1687200
1985-07-16,4.052083,4.395833,4.031250,4.395833,0.280329,3816000
1985-07-17,4.395833,4.510417,4.375000,4.458333,0.284315,4028400
1985-07-18,4.458333,4.479167,4.375000,4.385417,0.279665,2719200
1985-07-19,4.385417,4.385417,4.322917,4.375000,0.279001,2949600
1985-07-22,4.354167,4.354167,4.312500,4.322917,0.275679,2329200
1985-07-23,4.322917,4.385417,4.166667,4.218750,0.269037,4540800
1985-07-24,4.208333,4.208333,4.145833,4.187500,0.267044,3002400
1985-07-25,4.187500,4.239583,4.156250,4.166667,0.265715,3483600
1985-07-26,4.166667,4.208333,4.166667,4.197917,0.267708,2454000
1985-07-29,4.197917,4.197917,4.125000,4.156250,0.265051,636000
1985-07-30,4.156250,4.197917,4.145833,4.187500,0.267044,2324400
1985-07-31,4.187500,4.239583,4.177083,4.177083,0.266379,2020800
1985-08-01,4.187500,4.291667,4.187500,4.260417,0.271694,1588800
1985-08-02,4.260417,4.270833,4.166667,4.187500,0.267044,841200
1985-08-05,4.187500,4.239583,4.166667,4.218750,0.269037,906000
1985-08-06,4.218750,4.239583,4.177083,4.177083,0.266379,524400
1985-08-07,4.166667,4.166667,4.125000,4.125000,0.263058,2071200
1985-08-08,4.125000,4.250000,4.125000,4.208333,0.268372,3745200
