Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.583333,1.583333,1.572917,1.583333,0.146546,80000
1985-01-29,1.583333,1.593750,1.572917,1.583333,0.146546,55200
1985-01-30,1.583333,1.625000,1.583333,1.614583,0.149438,144800
1985-01-31,1.614583,1.625000,1.614583,1.625000,0.150402,27200
1985-02-01,1.625000,1.625000,1.604167,1.604167,0.148474,50400
1985-02-04,1.604167,1.614583,1.604167,1.614583,0.149438,32000
1985-02-05,1.614583,1.625000,1.614583,1.625000,0.150402,60800
1985-02-06,1.625000,1.625000,1.604167,1.604167,0.148474,113600
1985-02-07,1.604167,1.625000,1.604167,1.604167,0.148474,86400
1985-02-08,1.604167,1.625000,1.593750,1.593750,0.147510,72000
1985-02-11,1.593750,1.593750,1.583333,1.583333,0.146546,67200
1985-02-12,1.583333,1.625000,1.583333,1.625000,0.150402,247200
1985-02-13,1.625000,1.666667,1.625000,1.666667,0.154259,867200
1985-02-14,1.666667,1.677083,1.656250,1.666667,0.154259,242400
1985-02-15,1.666667,1.677083,1.666667,1.677083,0.163049,103200
1985-02-19,1.677083,1.677083,1.666667,1.666667,0.162036,15200
1985-02-20,1.666667,1.677083,1.666667,1.666667,0.162036,39200
1985-02-21,1.666667,1.677083,1.666667,1.666667,0.162036,74400
1985-02-22,1.666667,1.687500,1.666667,1.687500,0.164062,165600
1985-02-25,1.687500,1.708333,1.677083,1.708333,0.166087,64800
1985-02-26,1.697917,1.697917,1.687500,1.697917,0.165074,36000
1985-02-27,1.697917,1.708333,1.697917,1.697917,0.165074,72000
1985-02-28,1.708333,1.750000,1.708333,1.739583,0.169125,188000
1985-03-01,1.729167,1.729167,1.708333,1.718750,0.167100,39200
1985-03-04,1.718750,1.718750,1.708333,1.708333,0.166087,20000
1985-03-05,1.708333,1.718750,1.697917,1.708333,0.166087,168800
1985-03-06,1.708333,1.729167,1.708333,1.729167,0.168113,260000
1985-03-07,1.729167,1.729167,1.708333,1.708333,0.166087,260000
1985-03-08,1.708333,1.718750,1.708333,1.708333,0.166087,372800
1985-03-11,1.697917,1.697917,1.666667,1.666667,0.162036,12800
1985-03-12,1.645833,1.645833,1.614583,1.645833,0.160011,64800
1985-03-13,1.656250,1.666667,1.656250,1.656250,0.161024,9600
1985-03-14,1.656250,1.656250,1.645833,1.645833,0.160011,48800
1985-03-15,1.645833,1.656250,1.645833,1.656250,0.161024,70400
1985-03-18,1.625000,1.625000,1.583333,1.583333,0.153935,89600
1985-03-19,1.572917,1.572917,1.552083,1.572917,0.152922,31200
1985-03-20,1.572917,1.593750,1.572917,1.583333,0.153935,34400
1985-03-21,1.583333,1.604167,1.583333,1.604167,0.155960,36000
1985-03-22,1.593750,1.593750,1.583333,1.583333,0.153935,7200
1985-03-25,1.583333,1.604167,1.583333,1.583333,0.153935,20000
1985-03-26,1.583333,1.604167,1.583333,1.604167,0.155960,14400
1985-03-27,1.614583,1.614583,1.614583,1.614583,0.156973,7200
1985-03-28,1.635417,1.645833,1.635417,1.645833,0.160011,24800
1985-03-29,1.666667,1.666667,1.666667,1.666667,0.162036,14400
1985-04-01,1.677083,1.687500,1.677083,1.677083,0.163049,45600
1985-04-02,1.677083,1.750000,1.677083,1.750000,0.170138,235200
1985-04-03,1.750000,1.791667,1.739583,1.791667,0.174189,115200
1985-04-04,1.791667,1.791667,1.760417,1.781250,0.173176,63200
1985-04-08,1.760417,1.760417,1.718750,1.729167,0.168113,32000
1985-04-09,1.708333,1.708333,1.687500,1.687500,0.164062,45600
1985-04-10,1.697917,1.718750,1.697917,1.708333,0.166087,26400
1985-04-11,1.708333,1.729167,1.708333,1.718750,0.167100,31200
1985-04-12,1.729167,1.739583,1.729167,1.729167,0.168113,38400
1985-04-15,1.729167,1.750000,1.729167,1.729167,0.168113,36800
1985-04-16,1.729167,1.750000,1.718750,1.718750,0.167100,33600
1985-04-17,1.718750,1.750000,1.718750,1.729167,0.168113,51200
1985-04-18,1.729167,1.750000,1.718750,1.718750,0.167100,29600
1985-04-19,1.718750,1.729167,1.708333,1.729167,0.168113,29600
1985-04-22,1.729167,1.729167,1.708333,1.708333,0.166087,20000
1985-04-23,1.729167,1.729167,1.729167,1.729167,0.168113,9600
1985-04-24,1.729167,1.729167,1.718750,1.718750,0.167100,33600
1985-04-25,1.729167,1.750000,1.729167,1.739583,0.169125,34400
1985-04-26,1.739583,1.750000,1.729167,1.729167,0.168113,48800
1985-04-29,1.729167,1.739583,1.729167,1.729167,0.168113,32000
1985-04-30,1.729167,1.729167,1.718750,1.718750,0.167100,464000
1985-05-01,1.718750,1.729167,1.708333,1.729167,0.168113,192000
1985-05-02,1.729167,1.729167,1.718750,1.718750,0.167100,14400
1985-05-03,1.718750,1.718750,1.718750,1.718750,0.167100,12800
1985-05-06,1.729167,1.739583,1.729167,1.729167,0.168113,10400
1985-05-07,1.729167,1.729167,1.729167,1.729167,0.168113,8000
1985-05-08,1.729167,1.750000,1.729167,1.750000,0.170138,33600
1985-05-09,1.750000,1.750000,1.739583,1.739583,0.169125,60000
1985-05-10,1.739583,1.791667,1.739583,1.791667,0.174189,67200
1985-05-13,1.781250,1.781250,1.750000,1.770833,0.172164,44000
1985-05-14,1.770833,1.791667,1.760417,1.760417,0.171151,48800
1985-05-15,1.750000,1.750000,1.729167,1.729167,0.168113,57600
1985-05-16,1.750000,1.781250,1.750000,1.781250,0.173176,51200
1985-05-17,1.781250,1.781250,1.760417,1.770833,0.172164,19200
1985-05-20,1.770833,1.781250,1.760417,1.781250,0.181370,51200
1985-05-21,1.791667,1.802083,1.791667,1.791667,0.182431,45600
1985-05-22,1.791667,1.812500,1.791667,1.812500,0.184552,51200
1985-05-23,1.791667,1.791667,1.781250,1.781250,0.181370,12800
1985-05-24,1.791667,1.802083,1.791667,1.791667,0.182431,32000
1985-05-28,1.791667,1.791667,1.791667,1.791667,0.182431,21600
1985-05-29,1.791667,1.791667,1.791667,1.791667,0.182431,84800
