Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,14.417178,14.570552,14.225460,14.263803,5.416442,855600
1985-01-29,14.263803,14.723927,14.225460,14.723927,5.591166,523800
1985-01-30,14.838957,14.877300,14.570552,14.685583,5.576603,1103800
1985-01-31,14.685583,14.685583,14.378835,14.455522,5.489240,353200
1985-02-01,14.263803,14.647240,13.957055,14.033742,5.329076,738200
1985-02-04,14.033742,14.302147,13.918712,14.302147,5.431003,1018000
1985-02-05,14.570552,14.838957,14.570552,14.762270,5.605725,1779600
1985-02-06,14.838957,15.299080,14.838957,15.030675,5.707650,2053400
1985-02-07,15.145705,15.682515,15.145705,15.567485,5.911489,2081800
1985-02-08,15.644172,15.912577,15.490798,15.874233,6.045840,1767200
1985-02-11,15.835890,15.835890,15.452454,15.567485,5.929012,1070200
1985-02-12,15.490798,16.219326,15.452454,16.027607,6.104259,1204200
1985-02-13,15.989264,16.372700,15.835890,16.180981,6.162672,1350600
1985-02-14,16.296013,16.411043,16.104294,16.180981,6.162672,1416400
1985-02-15,16.104294,16.104294,15.797546,15.835890,6.031239,704400
1985-02-19,15.874233,16.142637,15.797546,15.950920,6.075052,811000
1985-02-20,15.950920,15.950920,14.723927,15.260736,5.812187,4042400
1985-02-21,15.337423,15.797546,15.337423,15.759202,6.002030,2400000
1985-02-22,15.874233,15.874233,15.720859,15.874233,6.045840,679000
1985-02-25,15.835890,15.835890,15.414110,15.529141,5.914411,921800
1985-02-26,15.299080,15.452454,15.107362,15.260736,5.812187,3657600
1985-02-27,15.337423,15.720859,15.337423,15.490798,5.899807,1468600
1985-02-28,15.414110,15.682515,15.375767,15.529141,5.914411,656800
1985-03-01,15.644172,16.027607,15.529141,15.912577,6.060443,1173200
1985-03-04,16.065950,16.334356,15.989264,16.065950,6.118861,1186800
1985-03-05,16.142637,16.180981,15.989264,16.104294,6.133461,585800
1985-03-06,15.950920,16.104294,15.605828,15.644172,5.958222,747400
1985-03-07,15.184049,15.644172,15.145705,15.299080,5.826790,1093400
1985-03-08,15.375767,15.452454,15.107362,15.184049,5.782980,1181000
1985-03-11,15.184049,15.260736,14.992332,15.030675,5.724566,632400
1985-03-12,15.145705,15.337423,15.145705,15.222393,5.797586,728800
1985-03-13,15.222393,15.337423,14.953988,15.107362,5.753774,406400
1985-03-14,15.069018,15.069018,14.838957,14.877300,5.666152,1478000
1985-03-15,14.647240,14.685583,14.417178,14.570552,5.549323,2185000
1985-03-18,14.608895,14.685583,14.417178,14.455522,5.505512,579800
1985-03-19,14.417178,14.647240,14.110430,14.608895,5.563926,1527800
1985-03-20,14.723927,14.762270,14.378835,14.455522,5.505512,1498600
1985-03-21,14.263803,14.493865,14.110430,14.417178,5.490910,1038800
1985-03-22,14.417178,14.608895,14.417178,14.570552,5.549323,1282400
1985-03-25,14.532208,14.532208,14.302147,14.340490,5.461705,997400
1985-03-26,14.340490,14.532208,14.263803,14.493865,5.520119,981800
1985-03-27,14.532208,14.838957,14.532208,14.723927,5.607737,929400
1985-03-28,14.877300,15.145705,14.877300,15.030675,5.724566,1449000
1985-03-29,15.069018,15.069018,14.762270,14.838957,5.651550,459200
1985-04-01,14.915645,15.107362,14.877300,15.069018,5.739170,698800
1985-04-02,15.069018,15.184049,14.953988,14.953988,5.695360,329400
1985-04-03,14.838957,14.838957,14.647240,14.685583,5.593136,942400
1985-04-04,14.723927,14.762270,14.302147,14.340490,5.461705,1183000
1985-04-08,14.302147,14.570552,14.225460,14.263803,5.432496,669800
1985-04-09,14.263803,14.340490,13.957055,14.110430,5.374084,1245600
1985-04-10,14.148773,14.570552,14.148773,14.302147,5.447102,1563800
1985-04-11,14.532208,14.532208,14.378835,14.417178,5.490910,1158600
1985-04-12,14.493865,14.570552,14.417178,14.570552,5.549323,588000
1985-04-15,14.685583,14.762270,14.647240,14.647240,5.578530,454600
1985-04-16,14.532208,14.608895,14.225460,14.570552,5.549323,696000
1985-04-17,14.723927,14.877300,14.685583,14.838957,5.651550,466000
1985-04-18,14.953988,15.069018,14.915645,14.915645,5.680757,429600
1985-04-19,14.915645,14.953988,14.800613,14.953988,5.695360,290600
1985-04-22,14.953988,14.953988,14.532208,14.723927,5.607737,254200
1985-04-23,14.723927,14.723927,14.417178,14.570552,5.549323,927400
1985-04-24,14.647240,14.953988,14.570552,14.877300,5.666152,867800
1985-04-25,14.877300,15.030675,14.647240,14.647240,5.578530,488200
1985-04-26,14.685583,14.723927,14.685583,14.685583,5.593136,260000
1985-04-29,14.340490,14.532208,14.340490,14.378835,5.476307,601400
1985-04-30,14.378835,14.570552,14.378835,14.455522,5.505512,1112800
