Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,7.406250,7.468750,7.406250,7.437500,1.317175,33200
1985-01-29,7.437500,7.468750,7.375000,7.437500,1.317175,43600
1985-01-30,7.437500,7.468750,7.406250,7.468750,1.322710,26800
1985-01-31,7.468750,7.468750,7.343750,7.343750,1.300572,60800
1985-02-01,7.343750,7.406250,7.312500,7.375000,1.306107,27200
1985-02-04,7.375000,7.406250,7.343750,7.343750,1.300572,16000
1985-02-05,7.343750,7.468750,7.343750,7.375000,1.306107,141200
1985-02-06,7.375000,7.406250,7.281250,7.406250,1.311641,46000
1985-02-07,7.406250,7.437500,7.375000,7.437500,1.317175,36400
1985-02-08,7.437500,7.468750,7.437500,7.468750,1.322710,79600
1985-02-11,7.468750,7.500000,7.375000,7.375000,1.306107,135200
1985-02-12,7.375000,7.468750,7.375000,7.468750,1.322710,62000
1985-02-13,7.468750,7.468750,7.406250,7.437500,1.317175,20800
1985-02-14,7.437500,7.531250,7.406250,7.500000,1.328244,36000
1985-02-15,7.500000,7.531250,7.437500,7.437500,1.317175,13200
1985-02-19,7.468750,7.562500,7.468750,7.531250,1.333778,88400
1985-02-20,7.531250,7.562500,7.437500,7.500000,1.328244,68000
1985-02-21,7.500000,7.562500,7.468750,7.468750,1.322710,44000
1985-02-22,7.468750,7.468750,7.406250,7.437500,1.317175,57600
1985-02-25,7.437500,7.437500,7.343750,7.375000,1.306107,550000
1985-02-26,7.375000,7.406250,7.312500,7.375000,1.306107,41600
1985-02-27,7.406250,7.468750,7.406250,7.468750,1.322710,24400
1985-02-28,7.468750,7.500000,7.437500,7.468750,1.322710,38000
1985-03-01,7.468750,7.593750,7.437500,7.500000,1.328244,72000
1985-03-04,7.500000,7.562500,7.500000,7.531250,1.333778,114400
1985-03-05,7.531250,7.593750,7.468750,7.593750,1.344847,27200
1985-03-06,7.593750,7.625000,7.500000,7.500000,1.328244,57200
1985-03-07,7.500000,7.531250,7.468750,7.531250,1.333778,56800
1985-03-08,7.531250,7.593750,7.500000,7.593750,1.344847,60400
1985-03-11,7.593750,7.656250,7.562500,7.593750,1.344847,28000
1985-03-12,7.593750,7.625000,7.562500,7.593750,1.344847,27600
1985-03-13,7.593750,7.593750,7.500000,7.562500,1.339313,37600
1985-03-14,7.562500,7.593750,7.500000,7.593750,1.344847,100400
1985-03-15,7.593750,7.656250,7.562500,7.625000,1.350381,145600
1985-03-18,7.625000,7.718750,7.625000,7.718750,1.366984,20800
1985-03-19,7.718750,7.781250,7.718750,7.750000,1.372518,33600
1985-03-20,7.750000,7.843750,7.687500,7.750000,1.372518,74000
1985-03-21,7.781250,7.875000,7.781250,7.875000,1.394657,25600
1985-03-22,7.875000,7.875000,7.812500,7.812500,1.383587,26400
1985-03-25,7.812500,7.937500,7.812500,7.937500,1.405725,49200
1985-03-26,7.937500,8.093750,7.906250,8.062500,1.427862,62000
1985-03-27,8.062500,8.093750,8.000000,8.031250,1.422328,47600
1985-03-28,8.031250,8.062500,8.000000,8.000000,1.416794,44400
1985-03-29,8.000000,8.093750,8.000000,8.031250,1.422328,12400
1985-04-01,8.125000,8.312500,8.125000,8.187500,1.450000,53200
1985-04-02,8.187500,8.312500,8.187500,8.281250,1.466603,70000
1985-04-03,8.281250,8.375000,8.250000,8.375000,1.483205,61600
1985-04-04,8.375000,8.437500,8.312500,8.406250,1.488740,56000
1985-04-08,8.406250,8.437500,8.281250,8.437500,1.494276,106000
1985-04-09,8.437500,8.437500,8.375000,8.406250,1.488740,52800
1985-04-10,8.406250,8.437500,8.375000,8.437500,1.494276,28800
1985-04-11,8.437500,8.437500,8.375000,8.437500,1.494276,224400
1985-04-12,8.437500,8.531250,8.375000,8.531250,1.510878,62400
1985-04-15,8.531250,8.750000,8.531250,8.687500,1.538549,112800
1985-04-16,8.687500,8.750000,8.687500,8.718750,1.544085,131200
1985-04-17,8.718750,8.812500,8.687500,8.687500,1.538549,176400
1985-04-18,8.687500,8.718750,8.625000,8.625000,1.527481,54000
1985-04-19,8.625000,8.687500,8.625000,8.656250,1.533016,104400
1985-04-22,8.656250,8.718750,8.593750,8.625000,1.527481,56000
1985-04-23,8.625000,8.718750,8.593750,8.656250,1.533016,279600
1985-04-24,8.531250,8.531250,8.468750,8.500000,1.505343,83200
1985-04-25,8.500000,8.531250,8.437500,8.531250,1.510878,18400
1985-04-26,8.531250,8.593750,8.500000,8.593750,1.521947,32800
1985-04-29,8.531250,8.531250,8.468750,8.500000,1.505343,27600
1985-04-30,8.500000,8.562500,8.437500,8.468750,1.499809,92400
1985-05-01,8.468750,8.562500,8.437500,8.437500,1.494276,130800
1985-05-02,8.437500,8.468750,8.406250,8.468750,1.499809,35200
1985-05-03,8.468750,8.562500,8.468750,8.500000,1.505343,61200
1985-05-06,8.562500,8.656250,8.562500,8.562500,1.516411,40400
1985-05-07,8.562500,8.625000,8.562500,8.625000,1.527481,81600
1985-05-08,8.656250,8.781250,8.656250,8.781250,1.555152,78800
1985-05-09,8.781250,8.781250,8.687500,8.781250,1.555152,28400
1985-05-10,8.750000,8.750000,8.718750,8.718750,1.544085,36400
1985-05-13,8.718750,8.812500,8.718750,8.812500,1.560687,22400
1985-05-14,8.843750,8.906250,8.843750,8.843750,1.566221,97200
1985-05-15,8.843750,8.875000,8.812500,8.812500,1.560687,36800
1985-05-16,8.812500,8.875000,8.812500,8.812500,1.560687,45600
1985-05-17,8.875000,8.906250,8.875000,8.875000,1.571755,23600
1985-05-20,8.906250,9.093750,8.906250,9.093750,1.610496,52400
1985-05-21,9.093750,9.125000,9.000000,9.125000,1.616030,27200
1985-05-22,9.093750,9.093750,8.968750,9.031250,1.599427,112400
1985-05-23,9.031250,9.031250,8.968750,9.031250,1.599427,24000
1985-05-24,9.031250,9.031250,9.000000,9.000000,1.593893,74400
1985-05-28,9.000000,9.000000,8.875000,8.875000,1.571755,190800
1985-05-29,8.875000,8.968750,8.875000,8.937500,1.582824,30800
1985-05-30,8.937500,9.000000,8.906250,8.968750,1.588358,40000
1985-05-31,8.968750,9.000000,8.906250,9.000000,1.593893,158800
1985-06-03,9.000000,9.031250,8.968750,8.968750,1.588358,104400
1985-06-04,8.968750,9.062500,8.968750,9.062500,1.604962,81200
1985-06-05,9.062500,9.062500,8.968750,9.031250,1.599427,16400
1985-06-06,9.031250,9.031250,8.875000,8.937500,1.582824,40400
1985-06-07,8.937500,9.000000,8.875000,8.968750,1.588358,127200
1985-06-10,8.968750,9.000000,8.875000,8.875000,1.571755,43600
1985-06-11,8.875000,8.968750,8.843750,8.875000,1.571755,27600
1985-06-12,8.875000,8.937500,8.843750,8.937500,1.582824,69200
1985-06-13,8.937500,8.937500,8.875000,8.875000,1.571755,136000
1985-06-14,8.875000,8.937500,8.875000,8.906250,1.577290,31200
1985-06-17,8.906250,8.968750,8.875000,8.906250,1.577290,8400
1985-06-18,8.906250,8.968750,8.906250,8.937500,1.582824,22000
1985-06-19,8.937500,8.968750,8.937500,8.937500,1.582824,46800
1985-06-20,8.937500,9.000000,8.937500,8.968750,1.588358,27600
1985-06-21,8.968750,9.062500,8.937500,9.000000,1.593893,18400
1985-06-24,9.000000,9.062500,8.906250,9.062500,1.604962,36800
1985-06-25,9.062500,9.093750,9.031250,9.062500,1.604962,18000
1985-06-26,9.062500,9.062500,9.000000,9.000000,1.593893,29600
1985-06-27,9.000000,9.062500,9.000000,9.062500,1.604962,28400
1985-06-28,9.062500,9.093750,9.000000,9.093750,1.610496,46400
1985-07-01,9.093750,9.187500,9.031250,9.156250,1.621565,74400
1985-07-02,9.156250,9.250000,9.000000,9.250000,1.638168,44000
1985-07-03,9.250000,9.406250,9.187500,9.406250,1.665839,24800
1985-07-05,9.437500,9.500000,9.437500,9.500000,1.682441,38800
1985-07-08,9.531250,9.593750,9.531250,9.562500,1.693511,28400
1985-07-09,9.562500,9.593750,9.531250,9.531250,1.687977,52800
1985-07-10,9.531250,9.656250,9.531250,9.656250,1.710114,32400
1985-07-11,9.656250,9.750000,9.625000,9.687500,1.715649,34400
1985-07-12,9.687500,9.875000,9.656250,9.781250,1.732251,38000
1985-07-15,9.781250,9.906250,9.750000,9.906250,1.754389,306400
1985-07-16,9.906250,10.000000,9.906250,9.968750,1.765458,109600
1985-07-17,10.000000,10.093750,10.000000,10.000000,1.770992,87600
1985-07-18,10.000000,10.093750,10.000000,10.031250,1.776526,35600
1985-07-19,10.000000,10.000000,9.937500,10.000000,1.770992,88400
1985-07-22,10.000000,10.031250,9.937500,9.937500,1.759923,98000
1985-07-23,9.937500,9.968750,9.625000,9.625000,1.704580,83200
1985-07-24,9.500000,9.500000,9.125000,9.343750,1.654770,444400
1985-07-25,9.187500,9.187500,9.031250,9.187500,1.627100,63600
1985-07-26,9.156250,9.156250,8.875000,8.906250,1.577290,81200
1985-07-29,8.906250,8.968750,8.843750,8.875000,1.571755,73600
1985-07-30,8.875000,8.906250,8.843750,8.906250,1.577290,87200
1985-07-31,8.906250,8.968750,8.875000,8.875000,1.571755,42800
1985-08-01,8.875000,8.937500,8.875000,8.875000,1.571755,23200
1985-08-02,8.875000,8.875000,8.781250,8.812500,1.560687,24800
1985-08-05,8.812500,8.812500,8.718750,8.812500,1.560687,51200
1985-08-06,8.812500,8.843750,8.656250,8.687500,1.538549,53600
1985-08-07,8.687500,8.718750,8.625000,8.687500,1.538549,51600
1985-08-08,8.687500,8.750000,8.593750,8.718750,1.544085,51200
1985-08-09,8.718750,8.781250,8.718750,8.718750,1.544085,40400
1985-08-12,8.750000,9.031250,8.750000,8.937500,1.582824,48400
1985-08-13,8.937500,9.093750,8.937500,9.062500,1.604962,48400
1985-08-14,9.062500,9.187500,9.031250,9.125000,1.616030,42800
1985-08-15,9.125000,9.187500,9.125000,9.125000,1.616030,37600
1985-08-16,9.125000,9.218750,9.125000,9.156250,1.621565,68000
1985-08-19,9.156250,9.218750,9.125000,9.218750,1.632634,53600
1985-08-20,9.218750,9.250000,9.187500,9.250000,1.638168,64400
1985-08-21,9.250000,9.375000,9.250000,9.312500,1.649237,70800
1985-08-22,9.312500,9.343750,9.250000,9.343750,1.654770,43200
1985-08-23,9.343750,9.343750,9.281250,9.343750,1.654770,16000
1985-08-26,9.343750,9.406250,9.250000,9.406250,1.665839,37600
1985-08-27,9.375000,9.375000,9.312500,9.312500,1.649237,13200
1985-08-28,9.312500,9.312500,9.218750,9.218750,1.632634,28800
1985-08-29,9.187500,9.187500,9.093750,9.187500,1.627100,14800
1985-08-30,9.156250,9.156250,9.062500,9.156250,1.621565,150400
1985-09-03,9.156250,9.156250,9.062500,9.156250,1.621565,103200
1985-09-04,9.125000,9.125000,9.031250,9.125000,1.616030,68400
1985-09-05,9.125000,9.156250,9.062500,9.062500,1.604962,11200
1985-09-06,9.062500,9.093750,9.000000,9.093750,1.610496,18800
1985-09-09,9.093750,9.156250,9.062500,9.156250,1.621565,83200
1985-09-10,9.156250,9.156250,9.031250,9.093750,1.610496,41600
1985-09-11,9.093750,9.125000,9.031250,9.125000,1.616030,24000
1985-09-12,9.093750,9.093750,9.000000,9.062500,1.604962,52800
1985-09-13,9.062500,9.062500,8.906250,8.968750,1.588358,25600
1985-09-16,8.906250,8.906250,8.781250,8.812500,1.560687,11200
1985-09-17,8.812500,8.906250,8.718750,8.781250,1.555152,44400
1985-09-18,8.781250,8.812500,8.687500,8.687500,1.538549,13600
1985-09-19,8.687500,8.750000,8.625000,8.750000,1.549618,62000
1985-09-20,8.750000,8.812500,8.687500,8.750000,1.549618,51600
1985-09-23,8.750000,8.781250,8.687500,8.781250,1.555152,15600
1985-09-24,8.781250,8.875000,8.781250,8.843750,1.566221,262000
1985-09-25,8.843750,8.937500,8.812500,8.812500,1.560687,16400
1985-09-26,8.812500,8.875000,8.750000,8.750000,1.549618,14800
1985-09-30,8.750000,8.750000,8.656250,8.718750,1.544085,26000
1985-10-01,8.718750,8.781250,8.687500,8.781250,1.555152,153200
1985-10-02,8.781250,8.781250,8.687500,8.750000,1.549618,34400
1985-10-03,8.750000,8.781250,8.687500,8.750000,1.549618,19200
1985-10-04,8.750000,8.843750,8.750000,8.812500,1.560687,22400
1985-10-07,8.812500,8.906250,8.812500,8.906250,1.577290,80400
1985-10-08,8.937500,9.000000,8.937500,9.000000,1.593893,23200
1985-10-09,9.000000,9.062500,9.000000,9.062500,1.604962,16000
1985-10-10,9.062500,9.062500,9.031250,9.062500,1.604962,16000
1985-10-11,9.062500,9.062500,9.000000,9.062500,1.604962,26000
1985-10-14,9.062500,9.093750,9.000000,9.062500,1.604962,12400
1985-10-15,9.062500,9.093750,9.000000,9.062500,1.604962,168800
1985-10-16,9.062500,9.062500,9.000000,9.000000,1.593893,8400
1985-10-17,9.000000,9.093750,9.000000,9.000000,1.593893,24400
1985-10-18,9.000000,9.062500,8.906250,9.000000,1.593893,22000
1985-10-21,9.000000,9.062500,9.000000,9.062500,1.604962,102400
1985-10-22,9.062500,9.125000,9.062500,9.062500,1.604962,156800
1985-10-23,9.062500,9.156250,9.062500,9.156250,1.621565,40800
1985-10-24,9.156250,9.187500,9.125000,9.156250,1.621565,389200
1985-10-25,9.000000,9.000000,8.937500,8.968750,1.588358,38400
1985-10-28,8.968750,8.968750,8.875000,8.906250,1.577290,77600
1985-10-29,8.906250,9.000000,8.875000,9.000000,1.593893,29600
1985-10-30,9.062500,9.250000,9.062500,9.125000,1.616030,75200
1985-10-31,9.125000,9.187500,9.093750,9.093750,1.610496,54800
1985-11-01,9.093750,9.156250,9.000000,9.031250,1.599427,132400
1985-11-04,9.062500,9.156250,9.062500,9.093750,1.610496,18800
1985-11-05,9.093750,9.156250,9.093750,9.156250,1.621565,123600
1985-11-06,9.156250,9.218750,9.125000,9.156250,1.621565,32400
1985-11-07,9.187500,9.250000,9.187500,9.187500,1.627100,148800
1985-11-08,9.187500,9.343750,9.156250,9.343750,1.654770,71600
1985-11-11,9.343750,9.500000,9.281250,9.406250,1.665839,32400
1985-11-12,9.406250,9.656250,9.406250,9.625000,1.704580,81600
1985-11-13,9.625000,9.656250,9.531250,9.531250,1.687977,32800
1985-11-14,9.531250,9.593750,9.500000,9.562500,1.693511,42000
1985-11-15,9.562500,9.718750,9.531250,9.656250,1.710114,61600
1985-11-18,9.656250,9.750000,9.625000,9.656250,1.710114,89600
1985-11-19,9.687500,9.750000,9.687500,9.687500,1.715649,87200
1985-11-20,9.687500,9.812500,9.687500,9.687500,1.715649,190400
1985-11-21,9.687500,9.781250,9.656250,9.750000,1.726716,128400
1985-11-22,9.750000,9.843750,9.718750,9.843750,1.743321,184000
1985-11-25,9.843750,9.906250,9.781250,9.781250,1.732251,76000
1985-11-26,9.781250,9.843750,9.781250,9.781250,1.732251,34000
1985-11-27,9.781250,9.875000,9.781250,9.812500,1.737785,17600
1985-11-29,9.812500,9.812500,9.781250,9.781250,1.732251,14400
1985-12-02,9.781250,9.812500,9.656250,9.656250,1.710114,91200
1985-12-03,9.656250,9.718750,9.593750,9.718750,1.721183,16800
1985-12-04,9.718750,9.718750,9.656250,9.718750,1.721183,28000
1985-12-05,9.718750,9.812500,9.625000,9.656250,1.710114,41200
1985-12-06,9.656250,9.750000,9.625000,9.750000,1.726716,9600
1985-12-09,9.750000,9.875000,9.687500,9.781250,1.732251,184400
1985-12-10,9.781250,9.812500,9.718750,9.812500,1.737785,81200
1985-12-11,9.812500,9.906250,9.750000,9.843750,1.743321,39200
1985-12-12,9.843750,9.937500,9.843750,9.843750,1.743321,41600
1985-12-13,9.843750,10.000000,9.843750,9.843750,1.743321,36400
1985-12-16,9.906250,10.000000,9.906250,10.000000,1.770992,59600
1985-12-17,10.000000,10.062500,9.937500,10.000000,1.770992,63600
1985-12-18,10.000000,10.031250,9.968750,9.968750,1.765458,52400
1985-12-19,9.968750,10.062500,9.937500,10.000000,1.770992,40800
1985-12-20,10.000000,10.062500,9.937500,10.062500,1.782061,35600
1985-12-23,10.062500,10.062500,9.875000,9.875000,1.748854,42800
1985-12-24,9.906250,9.968750,9.906250,9.968750,1.765458,9600
1985-12-26,9.968750,10.031250,9.906250,10.031250,1.776526,23600
1985-12-27,10.031250,10.093750,9.968750,10.093750,1.787594,22000
1985-12-30,10.093750,10.125000,10.031250,10.125000,1.793130,14400
1985-12-31,10.125000,10.125000,10.062500,10.093750,1.787594,28800
1986-01-02,10.093750,10.156250,10.031250,10.125000,1.793130,51200
1986-01-03,10.125000,10.187500,10.093750,10.156250,1.798663,58800
1986-01-06,10.156250,10.187500,10.125000,10.187500,1.804199,23600
1986-01-07,10.187500,10.281250,10.125000,10.187500,1.804199,31200
1986-01-08,10.187500,10.312500,10.187500,10.218750,1.809732,37200
1986-01-09,10.156250,10.156250,10.000000,10.125000,1.793130,78000
1986-01-10,10.125000,10.156250,10.031250,10.031250,1.776526,23600
1986-01-13,10.031250,10.062500,9.937500,9.937500,1.759923,28400
1986-01-14,9.906250,9.906250,9.781250,9.781250,1.732251,54800
1986-01-15,9.781250,9.875000,9.750000,9.875000,1.748854,31200
1986-01-16,9.875000,10.093750,9.781250,10.062500,1.782061,31600
1986-01-17,10.062500,10.125000,10.000000,10.031250,1.776526,27600
1986-01-20,10.031250,10.031250,9.906250,9.968750,1.765458,21200
1986-01-21,9.968750,10.093750,9.906250,10.093750,1.787594,46800
1986-01-22,10.093750,10.312500,9.937500,10.218750,1.809732,56400
1986-01-23,10.218750,10.343750,10.218750,10.218750,1.809732,18400
1986-01-24,10.218750,10.406250,10.218750,10.406250,1.842937,283600
1986-01-27,10.281250,10.281250,10.156250,10.218750,1.809732,295600
1986-01-28,10.218750,10.375000,10.218750,10.375000,1.837404,120000
1986-01-29,10.375000,10.562500,10.375000,10.406250,1.842937,57600
1986-01-30,10.406250,10.468750,10.406250,10.406250,1.842937,24000
1986-01-31,10.406250,10.500000,10.406250,10.468750,1.854007,30400
1986-02-03,10.500000,10.593750,10.500000,10.531250,1.865076,54400
1986-02-04,10.562500,10.656250,10.562500,10.593750,1.876145,24000
1986-02-05,10.593750,10.687500,10.593750,10.687500,1.892748,47200
1986-02-06,10.687500,10.750000,10.562500,10.687500,1.892748,48000
1986-02-07,10.656250,10.656250,10.562500,10.562500,1.870610,148400
1986-02-10,10.562500,10.656250,10.468750,10.656250,1.887213,46400
1986-02-11,10.656250,10.718750,10.593750,10.656250,1.887213,26400
1986-02-12,10.656250,10.781250,10.625000,10.750000,1.903816,31600
1986-02-13,10.812500,10.906250,10.812500,10.875000,1.925953,34800
1986-02-14,10.875000,11.062500,10.843750,11.031250,1.953625,27600
1986-02-18,11.156250,11.343750,11.156250,11.312500,2.003434,89200
1986-02-19,11.312500,11.375000,11.218750,11.281250,1.997900,120400
1986-02-20,11.281250,11.281250,11.218750,11.281250,1.997900,27200
1986-02-21,11.281250,11.343750,11.250000,11.281250,1.997900,36400
1986-02-24,11.281250,11.468750,11.281250,11.312500,2.003434,75600
1986-02-25,11.312500,11.468750,11.312500,11.406250,2.020037,33600
1986-02-26,11.406250,11.406250,11.312500,11.343750,2.008969,39200
1986-02-27,11.343750,11.406250,11.312500,11.375000,2.014503,48800
1986-02-28,11.375000,11.468750,11.343750,11.343750,2.008969,62000
1986-03-03,11.375000,11.500000,11.375000,11.375000,2.014503,99600
1986-03-04,11.375000,11.500000,11.312500,11.375000,2.014503,48000
1986-03-05,11.375000,11.437500,11.250000,11.343750,2.008969,26800
1986-03-06,11.343750,11.437500,11.343750,11.343750,2.008969,20400
1986-03-07,11.343750,11.406250,11.281250,11.343750,2.008969,34400
1986-03-10,11.343750,11.437500,11.281250,11.437500,2.025572,49200
1986-03-11,11.437500,11.500000,11.312500,11.500000,2.036642,200000
1986-03-12,11.500000,11.593750,11.375000,11.500000,2.036642,92800
1986-03-13,11.500000,11.593750,11.406250,11.437500,2.025572,24000
1986-03-14,11.437500,11.593750,11.406250,11.500000,2.036642,32400
1986-03-17,11.500000,11.562500,11.468750,11.468750,2.031106,58800
1986-03-18,11.500000,11.718750,11.500000,11.625000,2.058778,50800
1986-03-19,11.625000,11.625000,11.500000,11.500000,2.036642,37200
1986-03-20,11.500000,11.562500,11.437500,11.437500,2.025572,28800
1986-03-21,11.437500,11.437500,11.343750,11.406250,2.020037,78400
1986-03-24,11.406250,11.468750,11.312500,11.406250,2.020037,32800
1986-03-25,11.406250,11.468750,11.375000,11.375000,2.014503,22000
1986-03-26,11.406250,11.593750,11.406250,11.593750,2.053245,58000
1986-03-27,11.593750,11.718750,11.562500,11.625000,2.058778,47600
1986-03-31,11.625000,11.718750,11.593750,11.718750,2.075381,25200
1986-04-01,11.718750,11.812500,11.687500,11.687500,2.069847,53600
1986-04-02,11.687500,11.750000,11.656250,11.687500,2.069847,27200
1986-04-03,11.687500,11.750000,11.687500,11.750000,2.080916,36800
1986-04-04,11.750000,11.750000,11.656250,11.656250,2.064312,46000
1986-04-07,11.656250,11.687500,11.625000,11.687500,2.069847,37200
1986-04-08,11.687500,11.750000,11.656250,11.718750,2.075381,44800
1986-04-09,11.750000,11.843750,11.750000,11.750000,2.080916,23200
1986-04-10,11.750000,11.812500,11.718750,11.781250,2.086451,15200
1986-04-11,11.781250,11.812500,11.656250,11.687500,2.069847,26800
1986-04-14,11.687500,11.781250,11.656250,11.718750,2.075381,40000
1986-04-15,11.718750,11.875000,11.718750,11.843750,2.097519,22000
1986-04-16,11.843750,12.062500,11.781250,12.031250,2.130725,76800
1986-04-17,12.031250,12.093750,11.968750,12.093750,2.141793,5200
1986-04-18,12.156250,12.312500,12.156250,12.250000,2.169464,41600
1986-04-21,12.250000,12.375000,12.187500,12.312500,2.180533,25200
1986-04-22,12.312500,12.437500,12.281250,12.281250,2.175000,39200
1986-04-23,12.281250,12.375000,12.187500,12.218750,2.163931,28000
1986-04-24,12.156250,12.156250,12.000000,12.093750,2.141793,25200
1986-04-25,12.093750,12.125000,12.000000,12.000000,2.125190,77600
1986-04-28,12.000000,12.031250,11.937500,12.000000,2.125190,13600
1986-04-29,12.000000,12.000000,11.500000,11.750000,2.080916,52000
1986-04-30,11.750000,11.781250,11.531250,11.531250,2.042175,36800
1986-05-01,11.531250,11.562500,11.281250,11.312500,2.003434,93200
1986-05-02,11.312500,11.531250,11.312500,11.468750,2.031106,38000
1986-05-05,11.468750,11.531250,11.437500,11.500000,2.036642,15200
1986-05-06,11.500000,11.531250,11.406250,11.468750,2.031106,22400
1986-05-07,11.468750,11.468750,11.281250,11.281250,1.997900,62000
1986-05-08,11.281250,11.343750,11.250000,11.281250,1.997900,25600
1986-05-09,11.281250,11.312500,11.187500,11.312500,2.003434,120800
1986-05-12,11.312500,11.406250,11.312500,11.312500,2.003434,23200
1986-05-13,11.312500,11.406250,11.281250,11.312500,2.003434,121600
1986-05-14,11.312500,11.343750,11.250000,11.312500,2.003434,44400
1986-05-15,11.312500,11.343750,11.281250,11.343750,2.008969,194400
