Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,0.890625,0.910156,0.890625,0.894531,0.007302,2761600
1985-01-29,0.894531,0.914063,0.886719,0.914063,0.007461,5545600
1985-01-30,0.914063,0.925781,0.894531,0.898438,0.007334,1328000
1985-01-31,0.894531,0.894531,0.859375,0.867188,0.007079,3670400
1985-02-01,0.867188,0.871094,0.859375,0.867188,0.007079,5318400
1985-02-04,0.867188,0.890625,0.867188,0.878906,0.007174,2451200
1985-02-05,0.878906,0.890625,0.875000,0.878906,0.007174,1491200
1985-02-06,0.878906,0.882813,0.863281,0.867188,0.007079,3196800
1985-02-07,0.867188,0.875000,0.859375,0.863281,0.007047,5763200
1985-02-08,0.859375,0.859375,0.843750,0.859375,0.007015,8115200
1985-02-11,0.859375,0.867188,0.847656,0.863281,0.007047,1619200
1985-02-12,0.867188,0.875000,0.867188,0.867188,0.007079,992000
1985-02-13,0.867188,0.886719,0.867188,0.882813,0.007206,4240000
1985-02-14,0.882813,0.906250,0.878906,0.894531,0.007302,2684800
1985-02-15,0.894531,0.906250,0.890625,0.898438,0.007334,617600
1985-02-19,0.902344,0.937500,0.902344,0.925781,0.007557,4723200
1985-02-20,0.921875,0.921875,0.910156,0.917969,0.007493,2208000
1985-02-21,0.917969,0.917969,0.906250,0.906250,0.007398,1523200
1985-02-22,0.906250,0.921875,0.906250,0.914063,0.007461,1542400
1985-02-25,0.910156,0.910156,0.898438,0.902344,0.007366,2137600
1985-02-26,0.902344,0.902344,0.890625,0.898438,0.007334,1968000
1985-02-27,0.898438,0.902344,0.898438,0.902344,0.007366,745600
1985-02-28,0.894531,0.894531,0.882813,0.890625,0.007270,1097600
1985-03-01,0.890625,0.894531,0.882813,0.890625,0.007270,995200
1985-03-04,0.898438,0.914063,0.898438,0.902344,0.007366,1504000
1985-03-05,0.902344,0.906250,0.890625,0.890625,0.007270,4867200
1985-03-06,0.886719,0.886719,0.882813,0.882813,0.007206,1532800
1985-03-07,0.882813,0.890625,0.875000,0.875000,0.007143,3289600
1985-03-08,0.875000,0.882813,0.867188,0.878906,0.007174,828800
1985-03-11,0.882813,0.894531,0.882813,0.894531,0.007302,1372800
1985-03-12,0.894531,0.898438,0.878906,0.882813,0.007206,531200
