Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.179688,2.195313,2.171875,2.187500,0.516790,483200
1985-01-29,2.187500,2.195313,2.171875,2.187500,0.516790,222400
1985-01-30,2.187500,2.187500,2.179688,2.179688,0.514945,278400
1985-01-31,2.179688,2.187500,2.171875,2.171875,0.513099,419200
1985-02-01,2.171875,2.187500,2.171875,2.187500,0.516790,171200
1985-02-04,2.187500,2.187500,2.171875,2.171875,0.513099,204800
1985-02-05,2.171875,2.187500,2.171875,2.179688,0.514945,243200
1985-02-06,2.179688,2.187500,2.179688,2.187500,0.516790,131200
1985-02-07,2.187500,2.195313,2.179688,2.195313,0.518636,142400
1985-02-08,2.195313,2.195313,2.179688,2.179688,0.514945,89600
1985-02-11,2.179688,2.187500,2.171875,2.187500,0.516790,219200
1985-02-12,2.187500,2.187500,2.179688,2.179688,0.514945,211200
1985-02-13,2.179688,2.187500,2.179688,2.179688,0.514945,393600
1985-02-14,2.179688,2.195313,2.179688,2.187500,0.516790,420800
1985-02-15,2.187500,2.195313,2.179688,2.187500,0.516790,593600
1985-02-19,2.187500,2.187500,2.156250,2.179688,0.514945,2742400
1985-02-20,2.179688,2.187500,2.179688,2.179688,0.514945,33600
1985-02-21,2.179688,2.187500,2.125000,2.140625,0.505716,257600
1985-02-22,2.132813,2.132813,2.125000,2.125000,0.502025,473600
1985-02-25,2.125000,2.140625,2.125000,2.140625,0.505716,835200
1985-02-26,2.140625,2.140625,2.125000,2.132813,0.503871,811200
1985-02-27,2.140625,2.148438,2.140625,2.140625,0.505716,113600
1985-02-28,2.140625,2.156250,2.140625,2.148438,0.507562,254400
1985-03-01,2.148438,2.179688,2.148438,2.171875,0.513099,516800
1985-03-04,2.171875,2.187500,2.171875,2.171875,0.513099,211200
1985-03-05,2.171875,2.187500,2.171875,2.187500,0.516790,1500800
1985-03-06,2.187500,2.195313,2.171875,2.171875,0.513099,233600
1985-03-07,2.171875,2.179688,2.164063,2.179688,0.514945,100800
1985-03-08,2.171875,2.171875,2.148438,2.148438,0.507562,160000
1985-03-11,2.148438,2.164063,2.148438,2.156250,0.509408,88000
1985-03-12,2.156250,2.171875,2.156250,2.164063,0.511253,92800
1985-03-13,2.164063,2.164063,2.156250,2.156250,0.509408,43200
1985-03-14,2.156250,2.156250,2.054688,2.062500,0.487260,985600
1985-03-15,2.062500,2.070313,2.046875,2.062500,0.487260,152000
1985-03-18,2.062500,2.062500,2.046875,2.062500,0.487260,3617600
1985-03-19,2.062500,2.093750,2.062500,2.093750,0.494642,443200
1985-03-20,2.093750,2.101563,2.085938,2.085938,0.550892,331200
1985-03-21,2.085938,2.109375,2.085938,2.109375,0.557082,2099200
1985-03-22,2.109375,2.125000,2.101563,2.125000,0.561208,857600
1985-03-25,2.125000,2.140625,2.117188,2.125000,0.561208,320000
1985-03-26,2.125000,2.140625,2.125000,2.140625,0.565335,120000
1985-03-27,2.140625,2.140625,2.125000,2.132813,0.563272,28800
1985-03-28,2.132813,2.195313,2.132813,2.195313,0.579777,569600
1985-03-29,2.195313,2.195313,2.171875,2.179688,0.575651,201600
1985-04-01,2.187500,2.203125,2.187500,2.187500,0.577714,270400
1985-04-02,2.187500,2.187500,2.148438,2.148438,0.567398,180800
1985-04-03,2.148438,2.156250,2.148438,2.156250,0.569461,449600
1985-04-04,2.156250,2.156250,2.148438,2.156250,0.569461,660800
1985-04-08,2.156250,2.164063,2.148438,2.156250,0.569461,412800
1985-04-09,2.156250,2.164063,2.156250,2.164063,0.571524,433600
1985-04-10,2.164063,2.164063,2.156250,2.156250,0.569461,176000
1985-04-11,2.164063,2.203125,2.164063,2.179688,0.575651,4707200
