Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.020833,5.062500,5.000000,5.000000,1.258384,390000
1985-01-29,5.000000,5.041667,4.968750,5.041667,1.268871,656400
1985-01-30,5.041667,5.250000,5.020833,5.208333,1.310818,2278800
1985-01-31,5.208333,5.208333,5.166667,5.166667,1.300331,2082000
1985-02-01,5.125000,5.125000,5.083333,5.093750,1.281979,1042800
1985-02-04,5.093750,5.187500,5.041667,5.166667,1.300331,1300800
1985-02-05,5.166667,5.416667,5.166667,5.354167,1.347520,1396800
1985-02-06,5.354167,5.406250,5.354167,5.354167,1.347520,1063200
1985-02-07,5.354167,5.354167,5.291667,5.291667,1.331790,326400
1985-02-08,5.291667,5.312500,5.270833,5.270833,1.326548,837600
1985-02-11,5.250000,5.250000,5.187500,5.187500,1.305574,735600
1985-02-12,5.229167,5.270833,5.229167,5.260417,1.323925,950400
1985-02-13,5.260417,5.375000,5.250000,5.354167,1.347520,2055600
1985-02-14,5.364583,5.437500,5.364583,5.385417,1.355385,2061600
1985-02-15,5.447917,5.500000,5.447917,5.500000,1.384223,723600
1985-02-19,5.468750,5.468750,5.416667,5.458333,1.373736,528000
1985-02-20,5.458333,5.614583,5.447917,5.604167,1.410439,2558400
1985-02-21,5.604167,5.625000,5.562500,5.604167,1.410439,1020000
1985-02-22,5.604167,5.645833,5.583333,5.635417,1.418305,835200
1985-02-25,5.583333,5.583333,5.479167,5.583333,1.405196,619200
1985-02-26,5.541667,5.541667,5.500000,5.520833,1.389467,877200
1985-02-27,5.520833,5.562500,5.520833,5.541667,1.394709,849600
1985-02-28,5.541667,5.541667,5.479167,5.500000,1.384223,860400
1985-03-01,5.500000,5.520833,5.458333,5.500000,1.384223,654000
1985-03-04,5.500000,5.500000,5.406250,5.427083,1.365872,92400
1985-03-05,5.427083,5.437500,5.343750,5.343750,1.344898,270000
1985-03-06,5.333333,5.333333,5.302083,5.322917,1.339656,415200
1985-03-07,5.322917,5.322917,5.270833,5.270833,1.326548,234000
1985-03-08,5.270833,5.312500,5.260417,5.260417,1.323925,768000
1985-03-11,5.260417,5.270833,5.166667,5.250000,1.321305,758400
1985-03-12,5.260417,5.375000,5.260417,5.375000,1.352764,426000
1985-03-13,5.375000,5.385417,5.354167,5.364583,1.350142,325200
1985-03-14,5.364583,5.364583,5.291667,5.291667,1.331790,1520400
1985-03-15,5.270833,5.270833,5.250000,5.270833,1.326548,208800
1985-03-18,5.270833,5.270833,5.083333,5.083333,1.279358,1030800
1985-03-19,5.125000,5.250000,5.125000,5.239583,1.318682,980400
1985-03-20,5.239583,5.250000,5.187500,5.208333,1.310818,1167600
1985-03-21,5.208333,5.239583,5.177083,5.197917,1.308195,470400
1985-03-22,5.197917,5.229167,5.177083,5.187500,1.305574,565200
1985-03-25,5.187500,5.187500,5.125000,5.145833,1.295087,502800
1985-03-26,5.145833,5.166667,5.104167,5.145833,1.295087,396000
1985-03-27,5.145833,5.166667,5.083333,5.166667,1.300331,394800
1985-03-28,5.166667,5.187500,5.125000,5.145833,1.295087,441600
1985-03-29,5.145833,5.156250,5.104167,5.145833,1.295087,86400
1985-04-01,5.104167,5.104167,5.010417,5.072917,1.276736,746400
1985-04-02,5.072917,5.156250,5.052083,5.125000,1.302684,1329600
1985-04-03,5.125000,5.166667,5.093750,5.166667,1.313275,566400
1985-04-04,5.166667,5.333333,5.166667,5.333333,1.355638,906000
1985-04-08,5.333333,5.458333,5.312500,5.458333,1.387412,441600
1985-04-09,5.416667,5.416667,5.333333,5.375000,1.366229,1069200
1985-04-10,5.385417,5.458333,5.385417,5.427083,1.379468,1656000
1985-04-11,5.427083,5.458333,5.395833,5.458333,1.387412,1215600
1985-04-12,5.458333,5.479167,5.406250,5.406250,1.374172,1029600
1985-04-15,5.406250,5.416667,5.343750,5.364583,1.363581,966000
1985-04-16,5.333333,5.333333,5.312500,5.312500,1.350343,289200
1985-04-17,5.312500,5.333333,5.291667,5.333333,1.355638,856800
1985-04-18,5.333333,5.364583,5.322917,5.322917,1.352991,582000
1985-04-19,5.322917,5.322917,5.208333,5.260417,1.337105,483600
1985-04-22,5.260417,5.281250,5.229167,5.281250,1.342400,328800
1985-04-23,5.281250,5.322917,5.239583,5.302083,1.347695,795600
1985-04-24,5.302083,5.364583,5.302083,5.354167,1.360933,1768800
1985-04-25,5.354167,5.520833,5.333333,5.520833,1.403297,801600
1985-04-26,5.520833,5.666667,5.520833,5.541667,1.408593,886800
1985-04-29,5.541667,5.562500,5.541667,5.562500,1.413889,279600
1985-04-30,5.552083,5.552083,5.479167,5.500000,1.398002,369600
1985-05-01,5.479167,5.479167,5.416667,5.479167,1.392707,277200
1985-05-02,5.479167,5.500000,5.375000,5.395833,1.371526,378000
1985-05-03,5.395833,5.479167,5.354167,5.437500,1.382116,1317600
1985-05-06,5.437500,5.510417,5.416667,5.468750,1.390058,802800
1985-05-07,5.468750,5.500000,5.395833,5.437500,1.382116,626400
1985-05-08,5.437500,5.447917,5.333333,5.395833,1.371526,2900400
1985-05-09,5.427083,5.479167,5.427083,5.458333,1.387412,901200
1985-05-10,5.458333,5.479167,5.458333,5.479167,1.392707,1564800
1985-05-13,5.479167,5.479167,5.458333,5.479167,1.392707,138000
1985-05-14,5.479167,5.479167,5.437500,5.458333,1.387412,439200
1985-05-15,5.458333,5.458333,5.416667,5.437500,1.382116,1632000
1985-05-16,5.447917,5.531250,5.447917,5.468750,1.390058,2181600
1985-05-17,5.468750,5.500000,5.437500,5.500000,1.398002,512400
1985-05-20,5.500000,5.604167,5.500000,5.604167,1.424479,2600400
1985-05-21,5.635417,5.697917,5.635417,5.666667,1.440366,376800
1985-05-22,5.656250,5.656250,5.625000,5.625000,1.429774,716400
1985-05-23,5.625000,5.625000,5.583333,5.614583,1.427127,145200
1985-05-24,5.593750,5.593750,5.552083,5.562500,1.413889,99600
1985-05-28,5.562500,5.562500,5.500000,5.500000,1.398002,264000
1985-05-29,5.479167,5.479167,5.395833,5.395833,1.371526,1056000
1985-05-30,5.395833,5.479167,5.395833,5.479167,1.392707,800400
1985-05-31,5.479167,5.645833,5.479167,5.645833,1.435071,862800
1985-06-03,5.645833,5.750000,5.645833,5.750000,1.461548,745200
1985-06-04,5.791667,5.916667,5.791667,5.906250,1.501264,1387200
