Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.427083,3.447917,3.385417,3.427083,0.009542,9996000
1985-01-29,3.416667,3.484375,3.406250,3.484375,0.009702,4989600
1985-01-30,3.479167,3.515625,3.442708,3.479167,0.009687,7423200
1985-01-31,3.479167,3.479167,3.437500,3.442708,0.009586,7684800
1985-02-01,3.442708,3.463542,3.416667,3.463542,0.009644,5851200
1985-02-04,3.453125,3.531250,3.447917,3.510417,0.009774,6552000
1985-02-05,3.567708,3.614583,3.557292,3.583333,0.009977,9825600
1985-02-06,3.588542,3.635417,3.588542,3.598958,0.010021,6158400
1985-02-07,3.593750,3.635417,3.588542,3.619792,0.010079,8558400
1985-02-08,3.604167,3.635417,3.593750,3.635417,0.010122,4305600
1985-02-11,3.625000,3.640625,3.593750,3.619792,0.010079,5776800
1985-02-12,3.609375,3.697917,3.604167,3.697917,0.010296,5784000
1985-02-13,3.666667,3.802083,3.661458,3.750000,0.010441,9772800
1985-02-14,3.739583,3.765625,3.697917,3.723958,0.010369,5618400
1985-02-15,3.708333,3.723958,3.656250,3.687500,0.010267,7802400
1985-02-19,3.682292,3.708333,3.677083,3.692708,0.010282,2724000
1985-02-20,3.687500,3.687500,3.640625,3.661458,0.010195,3525600
1985-02-21,3.625000,3.630208,3.588542,3.614583,0.010064,5299200
1985-02-22,3.619792,3.645833,3.609375,3.609375,0.010050,3542400
1985-02-25,3.604167,3.661458,3.598958,3.661458,0.010195,5942400
1985-02-26,3.682292,3.734375,3.682292,3.729167,0.010383,8260800
1985-02-27,3.723958,3.765625,3.723958,3.755208,0.010456,9055200
1985-02-28,3.744792,3.781250,3.744792,3.776042,0.010514,6343200
1985-03-01,3.786458,3.947917,3.776042,3.947917,0.010992,11764800
1985-03-04,3.906250,3.911458,3.859375,3.890625,0.010833,7274400
1985-03-05,3.885417,3.901042,3.864583,3.885417,0.010818,5452800
1985-03-06,3.885417,3.890625,3.833333,3.890625,0.010833,10785600
1985-03-07,3.854167,3.890625,3.848958,3.864583,0.010760,17450400
1985-03-08,3.859375,3.869792,3.833333,3.854167,0.010731,10512000
1985-03-11,3.802083,3.822917,3.781250,3.781250,0.010643,2544000
1985-03-12,3.765625,3.817708,3.765625,3.807292,0.010717,4041600
1985-03-13,3.796875,3.802083,3.734375,3.750000,0.010555,5563200
1985-03-14,3.734375,3.812500,3.734375,3.802083,0.010702,6192000
1985-03-15,3.796875,3.822917,3.729167,3.729167,0.010497,8440800
1985-03-18,3.770833,3.822917,3.750000,3.791667,0.010673,8796000
1985-03-19,3.781250,3.848958,3.781250,3.843750,0.010819,6235200
1985-03-20,3.843750,3.854167,3.739583,3.770833,0.010614,9948000
1985-03-21,3.770833,3.848958,3.765625,3.843750,0.010819,5644800
1985-03-22,3.854167,3.937500,3.838542,3.916667,0.011024,7276800
1985-03-25,3.906250,3.916667,3.869792,3.875000,0.010907,4008000
1985-03-26,3.885417,3.895833,3.848958,3.869792,0.010892,4797600
1985-03-27,3.854167,3.880208,3.817708,3.828125,0.010775,7483200
1985-03-28,3.854167,3.885417,3.843750,3.854167,0.010848,10272000
1985-03-29,3.875000,3.895833,3.864583,3.890625,0.010951,3573600
1985-04-01,3.901042,3.927083,3.864583,3.911458,0.011010,6302400
1985-04-02,3.927083,3.937500,3.890625,3.911458,0.011010,5419200
1985-04-03,3.927083,3.937500,3.890625,3.895833,0.010966,3184800
1985-04-04,3.916667,3.937500,3.880208,3.916667,0.011024,3940800
1985-04-08,3.885417,3.911458,3.864583,3.875000,0.010907,3852000
1985-04-09,3.864583,3.916667,3.864583,3.906250,0.010995,4080000
1985-04-10,3.916667,3.963542,3.906250,3.927083,0.011054,3914400
1985-04-11,3.911458,3.953125,3.890625,3.901042,0.010980,5344800
1985-04-12,3.911458,3.911458,3.864583,3.880208,0.010922,3396000
1985-04-15,3.880208,3.906250,3.843750,3.848958,0.010834,2344800
1985-04-16,3.848958,3.901042,3.786458,3.854167,0.010848,6405600
1985-04-17,3.843750,3.843750,3.770833,3.807292,0.010717,7044000
1985-04-18,3.822917,3.822917,3.760417,3.781250,0.010643,8220000
1985-04-19,3.781250,3.807292,3.770833,3.786458,0.010658,6388800
1985-04-22,3.786458,3.817708,3.750000,3.812500,0.010731,6703200
1985-04-23,3.812500,3.869792,3.802083,3.848958,0.010834,4048800
1985-04-24,3.848958,3.859375,3.812500,3.822917,0.010761,3360000
1985-04-25,3.833333,3.906250,3.822917,3.901042,0.010980,6912000
1985-04-26,3.911458,3.911458,3.885417,3.901042,0.010980,3708000
1985-04-29,3.843750,3.848958,3.718750,3.791667,0.010673,14702400
1985-04-30,3.625000,3.625000,3.541667,3.578125,0.010071,28056000
1985-05-01,3.520833,3.536458,3.463542,3.500000,0.009852,46728000
1985-05-02,3.510417,3.526042,3.463542,3.489583,0.009822,25200000
1985-05-03,3.479167,3.489583,3.421875,3.437500,0.009676,21372000
1985-05-06,3.458333,3.463542,3.395833,3.416667,0.009617,17800800
1985-05-07,3.421875,3.473958,3.421875,3.458333,0.009734,20263200
1985-05-08,3.463542,3.526042,3.463542,3.510417,0.009881,17392800
1985-05-09,3.552083,3.562500,3.510417,3.557292,0.010013,12604800
1985-05-10,3.583333,3.583333,3.500000,3.510417,0.009881,16776000
1985-05-13,3.520833,3.520833,3.458333,3.468750,0.009764,11544000
1985-05-14,3.458333,3.510417,3.458333,3.505208,0.009866,17028000
1985-05-15,3.505208,3.520833,3.479167,3.510417,0.009881,12170400
1985-05-16,3.515625,3.526042,3.505208,3.515625,0.009896,11347200
1985-05-17,3.520833,3.583333,3.500000,3.567708,0.010042,15782400
1985-05-20,3.593750,3.619792,3.572917,3.614583,0.010174,9904800
1985-05-21,3.619792,3.651042,3.614583,3.645833,0.010262,10574400
1985-05-22,3.645833,3.645833,3.604167,3.619792,0.010189,6328800
1985-05-23,3.619792,3.630208,3.609375,3.614583,0.010174,7915200
1985-05-24,3.625000,3.645833,3.625000,3.645833,0.010262,6537600
1985-05-28,3.645833,3.651042,3.609375,3.619792,0.010189,5762400
1985-05-29,3.619792,3.630208,3.609375,3.619792,0.010189,6746400
1985-05-30,3.619792,3.619792,3.567708,3.578125,0.010071,8342400
1985-05-31,3.578125,3.604167,3.572917,3.578125,0.010071,8788800
1985-06-03,3.604167,3.635417,3.598958,3.614583,0.010174,13418400
1985-06-04,3.619792,3.640625,3.619792,3.640625,0.010247,10677600
1985-06-05,3.656250,3.682292,3.625000,3.625000,0.010203,14268000
1985-06-06,3.640625,3.661458,3.625000,3.656250,0.010291,7800000
1985-06-07,3.677083,3.687500,3.661458,3.677083,0.010350,10960800
1985-06-10,3.671875,3.671875,3.645833,3.671875,0.010454,9789600
1985-06-11,3.671875,3.671875,3.625000,3.630208,0.010335,6393600
1985-06-12,3.656250,3.661458,3.604167,3.651042,0.010395,7435200
1985-06-13,3.625000,3.640625,3.572917,3.598958,0.010246,6705600
1985-06-14,3.619792,3.630208,3.598958,3.614583,0.010291,6513600
1985-06-17,3.625000,3.656250,3.619792,3.656250,0.010409,4576800
1985-06-18,3.661458,3.697917,3.656250,3.687500,0.010498,5361600
1985-06-19,3.703125,3.703125,3.671875,3.671875,0.010454,5097600
1985-06-20,3.666667,3.666667,3.604167,3.630208,0.010335,8126400
1985-06-21,3.614583,3.619792,3.541667,3.578125,0.010187,24912000
1985-06-24,3.557292,3.557292,3.531250,3.536458,0.010068,4303200
1985-06-25,3.536458,3.562500,3.500000,3.541667,0.010083,13365600
1985-06-26,3.552083,3.562500,3.541667,3.541667,0.010083,4087200
1985-06-27,3.541667,3.557292,3.526042,3.536458,0.010068,8376000
