Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,6.897031,6.928099,6.803828,6.928099,0.548470,1490600
1985-01-29,6.865963,6.959167,6.834896,6.928099,0.548470,1609700
1985-01-30,6.928099,6.928099,6.741693,6.803828,0.538632,1938600
1985-01-31,6.741693,6.772760,6.648489,6.741693,0.533713,2272200
1985-02-01,6.679557,6.865963,6.648489,6.834896,0.541092,2305400
1985-02-04,6.710625,6.803828,6.710625,6.741693,0.538610,1849400
1985-02-05,6.803828,6.834896,6.741693,6.741693,0.538610,1499400
1985-02-06,6.710625,6.928099,6.710625,6.834896,0.546056,3543300
1985-02-07,6.865963,7.052370,6.865963,7.052370,0.563431,3563100
1985-02-08,7.021302,7.052370,6.959167,6.959167,0.555985,843900
1985-02-11,6.897031,6.959167,6.865963,6.897031,0.551020,1422900
1985-02-12,6.834896,6.959167,6.803828,6.834896,0.546056,1924500
1985-02-13,6.865963,7.052370,6.834896,7.021302,0.560949,2375800
1985-02-14,7.052370,7.083437,6.990234,6.990234,0.558467,2554900
1985-02-15,6.990234,7.021302,6.959167,6.959167,0.555985,991700
1985-02-19,6.928099,6.990234,6.928099,6.928099,0.553503,710800
1985-02-20,6.897031,7.021302,6.865963,6.959167,0.555985,962600
1985-02-21,6.928099,6.959167,6.897031,6.928099,0.553503,657800
1985-02-22,6.897031,6.928099,6.803828,6.865963,0.548539,1606300
1985-02-25,6.772760,6.865963,6.741693,6.834896,0.546056,1423300
1985-02-26,6.803828,6.865963,6.741693,6.803828,0.543574,851200
1985-02-27,6.803828,6.834896,6.741693,6.772760,0.541092,1482600
1985-02-28,6.741693,6.834896,6.741693,6.834896,0.546056,1384000
1985-03-01,6.803828,7.145573,6.803828,6.990234,0.558467,2425100
1985-03-04,7.021302,7.114505,6.990234,7.021302,0.560949,1329000
1985-03-05,7.021302,7.083437,6.990234,7.021302,0.560949,1410500
1985-03-06,6.865963,7.021302,6.710625,6.772760,0.541092,1833000
1985-03-07,6.772760,6.772760,6.648489,6.679557,0.533646,3852400
1985-03-08,6.679557,6.741693,6.648489,6.648489,0.531164,953800
1985-03-11,6.648489,6.834896,6.648489,6.679557,0.533646,886100
1985-03-12,6.648489,6.741693,6.648489,6.710625,0.536128,734900
1985-03-13,6.679557,6.741693,6.679557,6.710625,0.536128,805300
1985-03-14,6.679557,6.772760,6.679557,6.741693,0.538610,911900
1985-03-15,6.772760,6.803828,6.524219,6.524219,0.521236,1284400
1985-03-18,6.617422,6.772760,6.617422,6.679557,0.533646,977700
1985-03-19,6.679557,6.741693,6.679557,6.741693,0.538610,893500
1985-03-20,6.772760,6.772760,6.679557,6.679557,0.533646,893200
1985-03-21,6.679557,6.741693,6.648489,6.710625,0.536128,1042400
1985-03-22,6.772760,6.865963,6.710625,6.772760,0.541092,1732400
1985-03-25,6.772760,6.803828,6.741693,6.803828,0.543574,529700
1985-03-26,6.803828,6.865963,6.741693,6.834896,0.546056,1081300
1985-03-27,6.834896,6.865963,6.772760,6.772760,0.541092,1227100
1985-03-28,6.772760,6.803828,6.648489,6.648489,0.531164,1009800
1985-03-29,6.679557,6.741693,6.648489,6.741693,0.538610,1091300
1985-04-01,6.710625,6.803828,6.710625,6.741693,0.538610,996400
1985-04-02,6.741693,6.803828,6.710625,6.710625,0.536128,796600
1985-04-03,6.741693,6.741693,6.679557,6.741693,0.538610,1158000
1985-04-04,6.710625,6.741693,6.679557,6.679557,0.533646,1394800
1985-04-08,6.679557,6.741693,6.617422,6.679557,0.533646,461300
