Date,Open,High,Low,Close,Adj Close,Volume
1996-10-29,4.733994,4.733994,4.508566,4.536745,3.944437,13418900
1996-10-30,4.564923,5.297565,4.564923,5.128494,4.458928,2777800
1996-10-31,5.128494,5.325744,5.100316,5.241208,4.556926,2769300
1996-11-01,5.241208,5.269387,4.903066,4.959423,4.311931,1621800
1996-11-04,4.987601,5.015780,4.903066,4.903066,4.262932,314900
1996-11-05,4.903066,4.931244,4.874887,4.874887,4.238433,325600
1996-11-06,4.903066,4.959423,4.846709,4.931244,4.287430,198700
1996-11-07,4.903066,4.987601,4.874887,4.987601,4.336429,273200
1996-11-08,5.015780,5.241208,4.987601,5.184851,4.507929,439100
1996-11-11,5.213030,5.382101,5.213030,5.297565,4.605927,358400
1996-11-12,5.297565,5.466637,5.297565,5.410280,4.703926,261700
1996-11-13,5.522994,5.889315,5.438458,5.748422,4.997920,815700
1996-11-14,5.804779,6.030207,5.804779,5.917493,5.144919,675600
1996-11-15,5.973850,6.002029,5.832958,5.889315,5.120418,548700
1996-11-18,5.861136,5.861136,5.607529,5.748422,4.997920,397400
1996-11-19,5.804779,5.804779,5.720243,5.804779,5.046920,103300
1996-11-20,5.804779,5.832958,5.776600,5.776600,5.022419,192900
1996-11-21,5.804779,5.804779,5.720243,5.720243,4.973421,507000
1996-11-22,5.776600,6.002029,5.720243,5.748422,4.997920,491000
1996-11-25,5.776600,6.142921,5.776600,6.086565,5.291915,285600
1996-11-26,6.142921,6.396528,6.142921,6.199279,5.389914,841900
1996-11-27,6.255636,6.311993,6.227457,6.311993,5.487911,64300
1996-11-29,6.368350,6.368350,6.340171,6.368350,5.536911,8400
1996-12-02,6.368350,6.368350,6.227457,6.311993,5.487911,239100
1996-12-03,6.311993,6.565599,6.311993,6.565599,5.708407,363700
1996-12-04,6.565599,6.565599,6.424707,6.424707,5.585912,361500
1996-12-05,6.481064,6.537421,6.368350,6.481064,5.634910,70900
1996-12-06,6.424707,6.452886,6.255636,6.311993,5.487911,63800
1996-12-09,6.340171,6.537421,6.340171,6.481064,5.634910,114800
1996-12-10,6.481064,6.481064,6.255636,6.255636,5.438912,46100
1996-12-11,6.227457,6.227457,5.832958,5.889315,5.120418,91800
1996-12-12,5.945672,6.058386,5.945672,6.058386,5.267415,72300
1996-12-13,6.086565,6.086565,6.002029,6.030207,5.242917,170700
1996-12-16,6.058386,6.199279,6.058386,6.199279,5.389914,135200
1996-12-17,6.227457,6.255636,6.199279,6.255636,5.438912,94400
1996-12-18,6.283814,6.283814,6.142921,6.227457,5.414413,238600
1996-12-19,6.481064,6.706492,6.481064,6.537421,5.683908,287800
1996-12-20,6.593778,6.847385,6.593778,6.762849,5.879906,113100
1996-12-23,6.819207,6.875564,6.791028,6.791028,5.904405,399600
1996-12-24,6.847385,6.875564,6.847385,6.847385,5.953404,9300
1996-12-26,6.875564,6.875564,6.819207,6.847385,5.953404,75400
1996-12-27,6.734671,6.791028,6.678314,6.678314,5.806406,118800
1996-12-30,6.650135,6.706492,6.650135,6.706492,5.830906,48700
1996-12-31,6.650135,6.931921,6.650135,6.931921,6.026902,98900
1997-01-02,6.875564,6.931921,6.819207,6.903742,6.002405,64700
1997-01-03,6.903742,6.903742,6.762849,6.762849,5.879906,108600
1997-01-06,6.791028,6.819207,6.791028,6.791028,5.904405,86900
1997-01-07,6.762849,6.875564,6.678314,6.819207,5.928906,339700
1997-01-08,6.847385,6.847385,6.762849,6.819207,5.928906,227100
1997-01-09,6.847385,7.241885,6.847385,7.185527,6.247399,131300
1997-01-10,7.129170,7.495492,7.100992,7.495492,6.516896,51000
1997-01-13,7.467313,7.495492,7.382777,7.382777,6.418897,34600
1997-01-14,7.410956,7.410956,7.241885,7.382777,6.418897,254600
1997-01-15,7.382777,8.115419,7.382777,8.115419,7.055887,343700
1997-01-16,8.171777,8.707169,8.171777,8.566276,7.447882,604600
1997-01-17,8.566276,8.566276,8.087241,8.115419,7.055887,106900
1997-01-20,8.059062,8.143598,7.974526,7.974526,6.933387,58900
1997-01-21,8.002706,8.002706,7.551848,7.861813,6.835390,464800
1997-01-22,7.805455,7.833634,7.636384,7.720920,6.712892,346000
1997-01-23,7.749098,7.749098,7.495492,7.495492,6.516896,266100
1997-01-24,7.580027,7.580027,7.241885,7.241885,6.296398,143200
1997-01-27,7.298242,7.382777,7.100992,7.100992,6.173901,106900
1997-01-28,7.157349,7.382777,7.157349,7.213706,6.271900,370800
1997-01-29,7.241885,7.270063,7.044635,7.241885,6.296398,613400
1997-01-30,7.270063,7.354599,7.157349,7.185527,6.247399,282500
1997-01-31,7.213706,7.213706,7.157349,7.213706,6.271900,860100
1997-02-03,7.241885,7.326420,7.241885,7.241885,6.296398,600600
