Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,7.194445,7.236111,7.166667,7.208333,1.248419,2569500
1985-01-29,7.194445,7.236111,7.138889,7.222222,1.250824,1245600
1985-01-30,7.222222,7.222222,7.069445,7.111111,1.231581,1116900
1985-01-31,7.097222,7.125000,6.875000,7.111111,1.231581,4182300
1985-02-01,7.166667,7.250000,7.111111,7.194445,1.246014,1404000
1985-02-04,7.194445,7.236111,7.166667,7.236111,1.253230,1277100
1985-02-05,7.388889,7.527778,7.305555,7.430555,1.286906,2010600
1985-02-06,7.444445,7.444445,7.319445,7.319445,1.267663,1094400
1985-02-07,7.333333,7.416667,7.333333,7.416667,1.284501,1391400
1985-02-08,7.444445,7.666667,7.416667,7.611111,1.318176,2622600
1985-02-11,7.569445,7.569445,7.361111,7.388889,1.279690,1694700
1985-02-12,7.388889,7.444445,7.333333,7.388889,1.279690,560700
1985-02-13,7.402778,7.416667,7.305555,7.416667,1.284501,2779200
1985-02-14,7.444445,7.444445,7.375000,7.388889,1.279690,2404800
1985-02-15,7.388889,7.430555,7.319445,7.319445,1.267663,586800
1985-02-19,7.319445,7.402778,7.291667,7.388889,1.279690,602100
1985-02-20,7.416667,7.486111,7.388889,7.430555,1.286906,1215900
1985-02-21,7.402778,7.416667,7.277778,7.277778,1.260446,1217700
1985-02-22,7.305555,7.333333,7.263889,7.305555,1.265257,632700
1985-02-25,7.319445,7.319445,7.250000,7.305555,1.265257,360000
1985-02-26,7.305555,7.416667,7.291667,7.388889,1.279690,611100
1985-02-27,7.388889,7.402778,7.291667,7.361111,1.274878,525600
1985-02-28,7.388889,7.402778,7.194445,7.250000,1.255635,1232100
1985-03-01,7.277778,7.347222,7.236111,7.305555,1.265257,1560600
1985-03-04,7.305555,7.347222,7.236111,7.263889,1.258041,324000
1985-03-05,7.236111,7.263889,7.166667,7.222222,1.250824,1125900
1985-03-06,7.222222,7.319445,7.166667,7.277778,1.260446,1773900
1985-03-07,7.277778,7.444445,7.277778,7.444445,1.289312,770400
1985-03-08,7.416667,7.430555,7.319445,7.319445,1.267663,3031200
1985-03-11,7.305555,7.319445,7.263889,7.291667,1.262852,936900
1985-03-12,7.305555,7.319445,7.277778,7.291667,1.262852,1608300
1985-03-13,7.263889,7.305555,7.208333,7.250000,1.255635,586800
1985-03-14,7.250000,7.250000,7.180555,7.222222,1.250824,520200
1985-03-15,7.222222,7.222222,7.152778,7.166667,1.241203,1006200
1985-03-18,7.166667,7.180555,7.069445,7.111111,1.231581,902700
1985-03-19,7.138889,7.152778,7.083333,7.138889,1.236392,1068300
1985-03-20,7.138889,7.152778,7.083333,7.083333,1.226770,1380600
1985-03-21,7.111111,7.111111,7.013889,7.027778,1.217149,647100
1985-03-22,7.083333,7.083333,7.013889,7.027778,1.217149,837000
1985-03-25,7.027778,7.041667,6.958333,7.000000,1.212338,877500
1985-03-26,7.000000,7.027778,6.958333,7.027778,1.217149,1465200
1985-03-27,7.013889,7.111111,7.000000,7.111111,1.231581,1436400
1985-03-28,7.194445,7.208333,7.125000,7.138889,1.236392,1433700
1985-03-29,7.166667,7.222222,7.152778,7.180555,1.243608,447300
1985-04-01,7.222222,7.263889,7.166667,7.208333,1.248419,1357200
1985-04-02,7.222222,7.263889,7.208333,7.208333,1.248419,1437300
1985-04-03,7.194445,7.236111,7.111111,7.222222,1.250824,377100
1985-04-04,7.194445,7.236111,7.180555,7.194445,1.246014,417600
1985-04-08,7.194445,7.236111,7.166667,7.236111,1.253230,539100
1985-04-09,7.236111,7.305555,7.222222,7.236111,1.253230,2564100
1985-04-10,7.263889,7.375000,7.263889,7.277778,1.260446,796500
1985-04-11,7.277778,7.333333,7.277778,7.333333,1.270069,621000
1985-04-12,7.333333,7.361111,7.319445,7.333333,1.270069,1084500
1985-04-15,7.333333,7.388889,7.319445,7.361111,1.274878,1249200
1985-04-16,7.333333,7.361111,7.250000,7.277778,1.260446,758700
1985-04-17,7.291667,7.319445,7.263889,7.305555,1.265257,558900
1985-04-18,7.333333,7.361111,7.277778,7.277778,1.260446,552600
1985-04-19,7.305555,7.305555,7.263889,7.277778,1.260446,313200
1985-04-22,7.277778,7.291667,7.222222,7.222222,1.250824,504900
1985-04-23,7.222222,7.388889,7.222222,7.347222,1.272473,687600
1985-04-24,7.361111,7.375000,7.305555,7.347222,1.272473,465300
1985-04-25,7.333333,7.347222,7.305555,7.333333,1.270069,623700
1985-04-26,7.347222,7.375000,7.263889,7.291667,1.262852,1938600
1985-04-29,7.194445,7.208333,7.083333,7.111111,1.247741,881100
1985-04-30,7.083333,7.097222,6.944445,6.972222,1.223372,1674900
1985-05-01,6.944445,6.972222,6.888889,6.888889,1.208749,2499300
1985-05-02,6.888889,7.027778,6.888889,7.000000,1.228246,1223100
1985-05-03,7.027778,7.180555,7.027778,7.180555,1.259927,727200
1985-05-06,7.180555,7.222222,7.166667,7.194445,1.262364,364500
1985-05-07,7.180555,7.236111,7.166667,7.222222,1.267237,968400
1985-05-08,7.222222,7.222222,7.152778,7.208333,1.264801,758700
1985-05-09,7.222222,7.222222,7.111111,7.194445,1.262364,768600
1985-05-10,7.250000,7.319445,7.222222,7.277778,1.276986,1582200
1985-05-13,7.305555,7.305555,7.250000,7.305555,1.281859,442800
1985-05-14,7.291667,7.319445,7.236111,7.263889,1.274549,457200
1985-05-15,7.291667,7.291667,7.152778,7.208333,1.264801,699300
1985-05-16,7.208333,7.208333,7.069445,7.083333,1.242868,1488600
1985-05-17,7.111111,7.152778,7.055555,7.083333,1.242868,999000
