Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.406255,3.460974,3.351537,3.460974,0.003944,205500
1985-01-29,3.460974,3.515693,3.460974,3.515693,0.004007,305100
1985-01-30,3.515693,3.515693,3.460974,3.488334,0.003975,178100
1985-01-31,3.488334,3.502014,3.460974,3.488334,0.003975,197300
1985-02-01,3.488334,3.515693,3.460974,3.460974,0.003944,178100
1985-02-04,3.460974,3.515693,3.433615,3.502014,0.003991,119700
1985-02-05,3.502014,3.529373,3.460974,3.488334,0.003975,243900
1985-02-06,3.488334,3.502014,3.460974,3.502014,0.003991,212900
1985-02-07,3.502014,3.652491,3.502014,3.611452,0.004116,314300
1985-02-08,3.611452,3.638811,3.556733,3.584092,0.004085,275900
1985-02-11,3.584092,3.597772,3.543053,3.543053,0.004038,194600
1985-02-12,3.543053,3.543053,3.515693,3.515693,0.004007,137900
1985-02-13,3.515693,3.529373,3.515693,3.529373,0.004022,229300
1985-02-14,3.529373,3.529373,3.488334,3.529373,0.004022,201000
1985-02-15,3.529373,3.529373,3.474654,3.515693,0.004007,258500
1985-02-19,3.515693,3.515693,3.474654,3.488334,0.003975,75800
1985-02-20,3.488334,3.502014,3.447295,3.460974,0.003944,130600
1985-02-21,3.460974,3.460974,3.433615,3.433615,0.003913,169900
1985-02-22,3.433615,3.460974,3.419935,3.447295,0.003929,250300
1985-02-25,3.447295,3.447295,3.406255,3.447295,0.003929,194600
1985-02-26,3.447295,3.460974,3.392576,3.433615,0.003913,456800
1985-02-27,3.433615,3.433615,3.337857,3.392576,0.003866,388300
1985-02-28,3.406255,3.488334,3.406255,3.488334,0.003975,300600
1985-03-01,3.488334,3.488334,3.447295,3.488334,0.003975,665200
1985-03-04,3.488334,3.488334,3.406255,3.460974,0.003944,138800
1985-03-05,3.460974,3.488334,3.419935,3.488334,0.003975,116000
1985-03-06,3.474654,3.474654,3.419935,3.460974,0.003944,95000
1985-03-07,3.460974,3.488334,3.433615,3.433615,0.003913,129700
1985-03-08,3.433615,3.447295,3.419935,3.419935,0.003898,88600
1985-03-11,3.419935,3.474654,3.406255,3.460974,0.003944,69400
1985-03-12,3.460974,3.460974,3.392576,3.460974,0.003944,372800
1985-03-13,3.460974,3.460974,3.406255,3.433615,0.003913,69400
1985-03-14,3.433615,3.433615,3.406255,3.419935,0.003898,85800
1985-03-15,3.419935,3.433615,3.406255,3.433615,0.003913,74900
1985-03-18,3.433615,3.460974,3.419935,3.460974,0.003944,94100
1985-03-19,3.460974,3.474654,3.406255,3.460974,0.003944,113300
1985-03-20,3.460974,3.460974,3.392576,3.433615,0.003913,132400
1985-03-21,3.433615,3.460974,3.406255,3.460974,0.003944,131500
1985-03-22,3.447295,3.447295,3.392576,3.392576,0.003866,127000
1985-03-25,3.392576,3.419935,3.365216,3.406255,0.003882,50200
1985-03-26,3.406255,3.406255,3.378896,3.406255,0.003882,98600
1985-03-27,3.406255,3.406255,3.392576,3.406255,0.003882,103200
1985-03-28,3.406255,3.406255,3.378896,3.392576,0.003866,131500
1985-03-29,3.392576,3.419935,3.392576,3.406255,0.003882,155300
1985-04-01,3.406255,3.447295,3.406255,3.419935,0.003898,101400
1985-04-02,3.419935,3.433615,3.406255,3.433615,0.003913,136100
1985-04-03,3.433615,3.433615,3.406255,3.433615,0.003913,55700
1985-04-04,3.433615,3.433615,3.378896,3.378896,0.003851,112300
1985-04-08,3.378896,3.392576,3.310497,3.324177,0.003788,131500
1985-04-09,3.324177,3.351537,3.283138,3.351537,0.003820,136100
1985-04-10,3.351537,3.351537,3.324177,3.351537,0.003820,48400
1985-04-11,3.351537,3.392576,3.310497,3.310497,0.003773,321600
1985-04-12,3.310497,3.337857,3.242099,3.283138,0.003742,3768300
1985-04-15,3.283138,3.310497,3.255778,3.310497,0.003773,165300
1985-04-16,3.337857,3.365216,3.337857,3.365216,0.003835,154400
1985-04-17,3.365216,3.365216,3.351537,3.351537,0.003820,73100
1985-04-18,3.351537,3.365216,3.310497,3.365216,0.003835,94100
1985-04-19,3.365216,3.392576,3.351537,3.392576,0.003866,106900
1985-04-22,3.378896,3.378896,3.337857,3.378896,0.003851,124200
1985-04-23,3.378896,3.378896,3.337857,3.378896,0.003851,217400
1985-04-24,3.365216,3.365216,3.324177,3.351537,0.003820,1229000
1985-04-25,3.351537,3.378896,3.310497,3.337857,0.003804,1286500
1985-04-26,3.337857,3.365216,3.324177,3.324177,0.003788,46600
1985-04-29,3.337857,3.365216,3.337857,3.365216,0.003835,74900
1985-04-30,3.365216,3.365216,3.337857,3.365216,0.003835,68500
1985-05-01,3.365216,3.365216,3.337857,3.337857,0.003804,94100
1985-05-02,3.337857,3.378896,3.337857,3.378896,0.003851,111400
1985-05-03,3.378896,3.474654,3.378896,3.474654,0.003960,342600
1985-05-06,3.488334,3.611452,3.488334,3.611452,0.004116,328000
1985-05-07,3.611452,3.666171,3.543053,3.556733,0.004053,194600
1985-05-08,3.515693,3.515693,3.474654,3.488334,0.003975,89500
1985-05-09,3.515693,3.584092,3.515693,3.543053,0.004038,116900
1985-05-10,3.515693,3.515693,3.474654,3.502014,0.003991,75800
1985-05-13,3.502014,3.570412,3.474654,3.556733,0.004053,90400
1985-05-14,3.556733,3.584092,3.515693,3.543053,0.004038,122400
1985-05-15,3.543053,3.556733,3.515693,3.515693,0.004007,79400
1985-05-16,3.515693,3.556733,3.515693,3.556733,0.004053,104100
1985-05-17,3.556733,3.611452,3.543053,3.597772,0.004100,171700
1985-05-20,3.597772,3.693530,3.543053,3.652491,0.004163,184500
1985-05-21,3.625131,3.625131,3.570412,3.597772,0.004100,2999800
1985-05-22,3.597772,3.611452,3.570412,3.584092,0.004085,130600
1985-05-23,3.584092,3.611452,3.515693,3.597772,0.004100,296000
1985-05-24,3.597772,3.597772,3.570412,3.584092,0.004085,41100
1985-05-28,3.584092,3.597772,3.570412,3.597772,0.004100,104100
1985-05-29,3.597772,3.597772,3.529373,3.584092,0.004085,138800
1985-05-30,3.584092,3.611452,3.570412,3.611452,0.004116,49300
1985-05-31,3.611452,3.611452,3.556733,3.584092,0.004085,105000
1985-06-03,3.584092,3.584092,3.529373,3.556733,0.004053,79400
1985-06-04,3.556733,3.570412,3.529373,3.556733,0.004053,126000
1985-06-05,3.556733,3.556733,3.488334,3.529373,0.004022,190900
1985-06-06,3.529373,3.529373,3.474654,3.474654,0.003960,148000
1985-06-07,3.474654,3.515693,3.460974,3.502014,0.003991,180900
1985-06-10,3.515693,3.625131,3.515693,3.597772,0.004100,210100
1985-06-11,3.597772,3.625131,3.556733,3.570412,0.004069,146200
1985-06-12,3.570412,3.570412,3.488334,3.502014,0.003991,68500
1985-06-13,3.502014,3.543053,3.433615,3.447295,0.003929,89500
1985-06-14,3.502014,3.529373,3.502014,3.502014,0.003991,115100
1985-06-17,3.502014,3.529373,3.447295,3.460974,0.003944,94100
1985-06-18,3.474654,3.515693,3.474654,3.502014,0.003991,90400
1985-06-19,3.502014,3.515693,3.502014,3.502014,0.003991,65700
1985-06-20,3.502014,3.502014,3.433615,3.433615,0.003913,73100
1985-06-21,3.433615,3.584092,3.351537,3.584092,0.004085,299700
1985-06-24,3.584092,3.584092,3.529373,3.556733,0.004053,79400
1985-06-25,3.556733,3.584092,3.556733,3.570412,0.004069,181800
1985-06-26,3.570412,3.570412,3.543053,3.570412,0.004069,127900
1985-06-27,3.556733,3.556733,3.515693,3.529373,0.004022,76700
1985-06-28,3.529373,3.543053,3.488334,3.502014,0.003991,227500
1985-07-01,3.474654,3.529373,3.474654,3.474654,0.003960,110500
1985-07-02,3.488334,3.543053,3.488334,3.543053,0.004038,86800
1985-07-03,3.543053,3.570412,3.543053,3.556733,0.004053,74900
1985-07-05,3.556733,3.570412,3.488334,3.488334,0.003975,141600
1985-07-08,3.488334,3.502014,3.419935,3.488334,0.003975,69400
1985-07-09,3.488334,3.529373,3.474654,3.488334,0.003975,146200
1985-07-10,3.488334,3.515693,3.474654,3.488334,0.003975,145200
1985-07-11,3.488334,3.529373,3.460974,3.502014,0.003991,210100
1985-07-12,3.502014,3.529373,3.488334,3.529373,0.004022,97700
1985-07-15,3.529373,3.529373,3.488334,3.529373,0.004022,103200
1985-07-16,3.529373,3.556733,3.515693,3.556733,0.004053,133400
1985-07-17,3.556733,3.584092,3.543053,3.543053,0.004038,339000
1985-07-18,3.543053,3.570412,3.515693,3.556733,0.004053,118700
1985-07-19,3.556733,3.556733,3.502014,3.529373,0.004022,227500
1985-07-22,3.529373,3.529373,3.502014,3.515693,0.004007,3675100
1985-07-23,3.515693,3.515693,3.474654,3.502014,0.003991,146200
1985-07-24,3.502014,3.502014,3.460974,3.502014,0.003991,106900
1985-07-25,3.406255,3.406255,3.365216,3.392576,0.003945,103200
1985-07-26,3.392576,3.433615,3.365216,3.433615,0.003993,74900
1985-07-29,3.433615,3.433615,3.378896,3.378896,0.003929,77600
1985-07-30,3.378896,3.392576,3.365216,3.378896,0.003929,32800
1985-07-31,3.378896,3.392576,3.337857,3.378896,0.003929,93200
1985-08-01,3.378896,3.406255,3.365216,3.392576,0.003945,116000
1985-08-02,3.365216,3.365216,3.310497,3.324177,0.003866,62100
1985-08-05,3.324177,3.337857,3.146340,3.160020,0.003675,176300
1985-08-06,3.160020,3.187380,3.132661,3.132661,0.003643,262200
1985-08-07,3.132661,3.201059,3.091621,3.173700,0.003691,190000
1985-08-08,3.173700,3.187380,3.146340,3.146340,0.003659,88600
1985-08-09,3.146340,3.173700,3.146340,3.146340,0.003659,63900
1985-08-12,3.146340,3.173700,3.146340,3.160020,0.003675,182700
1985-08-13,3.160020,3.187380,3.160020,3.160020,0.003675,87700
1985-08-14,3.160020,3.242099,3.160020,3.201059,0.003723,197300
1985-08-15,3.201059,3.242099,3.187380,3.242099,0.003770,257600
1985-08-16,3.242099,3.242099,3.187380,3.201059,0.003723,53900
1985-08-19,3.201059,3.242099,3.187380,3.214739,0.003738,71200
1985-08-20,3.214739,3.269458,3.201059,3.255778,0.003786,52900
1985-08-21,3.255778,3.269458,3.255778,3.269458,0.003802,58400
1985-08-22,3.269458,3.269458,3.201059,3.242099,0.003770,93200
1985-08-23,3.242099,3.283138,3.242099,3.283138,0.003818,59300
1985-08-26,3.283138,3.283138,3.283138,3.283138,0.003818,14600
1985-08-27,3.283138,3.283138,3.255778,3.255778,0.003786,26400
1985-08-28,3.283138,3.324177,3.283138,3.296818,0.003834,69400
1985-08-29,3.296818,3.296818,3.255778,3.269458,0.003802,68500
