Date,Open,High,Low,Close,Adj Close,Volume
1988-07-06,1.234568,1.234568,1.199295,1.216931,0.267062,3750600
1988-07-07,1.216931,1.234568,1.199295,1.216931,0.267062,2330300
1988-07-08,1.216931,1.269841,1.216931,1.269841,0.278673,1597800
1988-07-11,1.269841,1.322751,1.234568,1.322751,0.290284,941200
1988-07-12,1.322751,1.340388,1.287478,1.322751,0.290284,895800
1988-07-13,1.322751,1.340388,1.322751,1.322751,0.290284,1342700
1988-07-14,1.322751,1.340388,1.322751,1.340388,0.294155,809100
1988-07-15,1.340388,1.340388,1.322751,1.340388,0.294155,272100
1988-07-18,1.340388,1.340388,1.322751,1.340388,0.294155,294800
1988-07-19,1.340388,1.358025,1.322751,1.340388,0.294155,508600
1988-07-20,1.340388,1.358025,1.340388,1.358025,0.298025,453800
1988-07-21,1.358025,1.358025,1.322751,1.340388,0.294155,270400
1988-07-22,1.340388,1.340388,1.322751,1.322751,0.290284,403800
1988-07-25,1.322751,1.340388,1.305115,1.322751,0.290284,1023300
1988-07-26,1.322751,1.340388,1.305115,1.322751,0.290284,192700
1988-07-27,1.322751,1.340388,1.305115,1.305115,0.286414,133500
1988-07-28,1.305115,1.340388,1.305115,1.305115,0.286414,91900
1988-07-29,1.305115,1.322751,1.305115,1.322751,0.290284,113400
1988-08-01,1.322751,1.340388,1.305115,1.305115,0.286414,102000
1988-08-02,1.305115,1.340388,1.305115,1.305115,0.286414,336400
1988-08-03,1.305115,1.340388,1.305115,1.322751,0.290284,94700
1988-08-04,1.322751,1.340388,1.305115,1.340388,0.294155,381700
1988-08-05,1.340388,1.340388,1.322751,1.340388,0.294155,505800
1988-08-08,1.340388,1.358025,1.322751,1.322751,0.290284,157000
1988-08-09,1.322751,1.340388,1.305115,1.322751,0.290284,201600
1988-08-10,1.322751,1.340388,1.287478,1.340388,0.294155,88200
1988-08-11,1.322751,1.322751,1.287478,1.322751,0.290284,138800
1988-08-12,1.322751,1.322751,1.287478,1.287478,0.282543,156200
1988-08-15,1.322751,1.322751,1.322751,1.322751,0.290284,17000
1988-08-16,1.322751,1.322751,1.287478,1.287478,0.282543,45500
1988-08-17,1.287478,1.305115,1.287478,1.305115,0.286414,166300
1988-08-18,1.305115,1.305115,1.287478,1.305115,0.286414,411300
1988-08-19,1.287478,1.287478,1.287478,1.287478,0.282543,13200
1988-08-22,1.287478,1.305115,1.287478,1.287478,0.282543,72000
1988-08-23,1.287478,1.305115,1.287478,1.305115,0.286414,115200
1988-08-24,1.305115,1.305115,1.287478,1.287478,0.282543,51200
1988-08-25,1.287478,1.305115,1.287478,1.287478,0.282543,65100
1988-08-26,1.287478,1.305115,1.269841,1.305115,0.286414,21000
1988-08-29,1.305115,1.305115,1.269841,1.269841,0.278673,22800
1988-08-30,1.269841,1.305115,1.269841,1.269841,0.278673,84000
1988-08-31,1.269841,1.287478,1.269841,1.287478,0.282543,156200
1988-09-01,1.287478,1.287478,1.234568,1.269841,0.278673,222300
1988-09-02,1.252205,1.252205,1.216931,1.216931,0.267062,128700
1988-09-06,1.216931,1.234568,1.216931,1.234568,0.270932,244000
1988-09-07,1.234568,1.234568,1.216931,1.216931,0.267062,76800
1988-09-08,1.216931,1.234568,1.216931,1.216931,0.267062,127800
1988-09-09,1.216931,1.216931,1.216931,1.216931,0.267062,31000
1988-09-12,1.216931,1.216931,1.216931,1.216931,0.267062,22600
1988-09-13,1.234568,1.234568,1.234568,1.234568,0.270932,1200
1988-09-14,1.234568,1.234568,1.216931,1.216931,0.267062,170100
1988-09-15,1.216931,1.234568,1.216931,1.216931,0.267062,72000
1988-09-16,1.216931,1.234568,1.216931,1.216931,0.267062,36700
1988-09-19,1.216931,1.234568,1.216931,1.216931,0.267062,55600
1988-09-20,1.216931,1.234568,1.216931,1.234568,0.270932,31000
1988-09-21,1.234568,1.234568,1.216931,1.216931,0.267062,85200
1988-09-22,1.216931,1.234568,1.216931,1.216931,0.267062,195500
1988-09-23,1.216931,1.234568,1.216931,1.234568,0.270932,15300
1988-09-26,1.234568,1.234568,1.216931,1.216931,0.267062,8400
1988-09-27,1.216931,1.234568,1.216931,1.234568,0.270932,139200
1988-09-28,1.234568,1.234568,1.216931,1.216931,0.267062,64200
1988-09-29,1.216931,1.234568,1.199295,1.199295,0.263191,4600
1988-09-30,1.199295,1.216931,1.199295,1.199295,0.263191,17000
1988-10-03,1.199295,1.234568,1.181658,1.181658,0.259321,18200
1988-10-04,1.181658,1.216931,1.181658,1.199295,0.263191,35200
1988-10-05,1.164021,1.164021,1.164021,1.164021,0.255450,21000
1988-10-06,1.164021,1.199295,1.164021,1.199295,0.263191,15300
1988-10-07,1.199295,1.199295,1.164021,1.164021,0.255450,1800
1988-10-10,1.164021,1.199295,1.164021,1.164021,0.255450,36700
1988-10-11,1.164021,1.199295,1.164021,1.199295,0.263191,53700
1988-10-12,1.181658,1.181658,1.146384,1.181658,0.259321,31000
1988-10-13,1.164021,1.164021,1.146384,1.146384,0.251580,79300
1988-10-14,1.146384,1.181658,1.146384,1.164021,0.255450,28500
1988-10-17,1.181658,1.234568,1.181658,1.199295,0.263191,174700
1988-10-18,1.216931,1.234568,1.216931,1.216931,0.267062,714400
1988-10-19,1.216931,1.234568,1.216931,1.216931,0.267062,106600
1988-10-20,1.216931,1.216931,1.199295,1.216931,0.267062,103300
1988-10-21,1.216931,1.234568,1.199295,1.216931,0.267062,279700
1988-10-24,1.216931,1.216931,1.199295,1.216931,0.267062,164600
1988-10-25,1.216931,1.216931,1.199295,1.199295,0.263191,98200
1988-10-26,1.199295,1.216931,1.164021,1.164021,0.260350,48000
1988-10-27,1.164021,1.199295,1.128748,1.128748,0.252460,123000
1988-10-28,1.128748,1.164021,1.128748,1.164021,0.260350,22800
1988-10-31,1.164021,1.164021,1.111111,1.111111,0.248516,59800
1988-11-01,1.111111,1.146384,1.111111,1.128748,0.252460,138800
1988-11-02,1.128748,1.128748,1.111111,1.111111,0.248516,385700
1988-11-03,1.111111,1.146384,1.111111,1.128748,0.252460,177000
1988-11-04,1.128748,1.128748,1.111111,1.111111,0.248516,52200
1988-11-07,1.111111,1.111111,1.075838,1.075838,0.240626,375400
1988-11-08,1.075838,1.111111,1.075838,1.111111,0.248516,255100
1988-11-09,1.111111,1.128748,1.093474,1.128748,0.252460,323100
1988-11-10,1.128748,1.146384,1.093474,1.128748,0.252460,214400
1988-11-11,1.128748,1.128748,1.093474,1.128748,0.252460,57900
1988-11-14,1.093474,1.093474,1.093474,1.093474,0.244571,5800
1988-11-15,1.093474,1.128748,1.093474,1.128748,0.252460,45500
1988-11-16,1.128748,1.128748,1.093474,1.093474,0.244571,79300
1988-11-17,1.111111,1.128748,1.111111,1.111111,0.248516,59800
1988-11-18,1.128748,1.128748,1.128748,1.128748,0.252460,22800
1988-11-21,1.128748,1.128748,1.093474,1.093474,0.244571,42400
1988-11-22,1.093474,1.128748,1.093474,1.128748,0.252460,112300
1988-11-23,1.128748,1.128748,1.111111,1.111111,0.248516,68000
1988-11-25,1.111111,1.128748,1.111111,1.128748,0.252460,13200
1988-11-28,1.128748,1.128748,1.111111,1.128748,0.252460,207200
1988-11-29,1.128748,1.128748,1.111111,1.128748,0.252460,183300
1988-11-30,1.128748,1.128748,1.111111,1.128748,0.252460,317700
1988-12-01,1.128748,1.128748,1.111111,1.111111,0.248516,189800
1988-12-02,1.111111,1.111111,1.111111,1.111111,0.248516,5800
1988-12-05,1.111111,1.128748,1.093474,1.128748,0.252460,90900
1988-12-06,1.128748,1.128748,1.093474,1.128748,0.252460,46600
1988-12-07,1.128748,1.128748,1.093474,1.111111,0.248516,60600
1988-12-08,1.111111,1.111111,1.111111,1.111111,0.248516,99500
1988-12-09,1.111111,1.111111,1.093474,1.093474,0.244571,35200
1988-12-12,1.093474,1.111111,1.093474,1.093474,0.244571,157700
1988-12-13,1.093474,1.093474,1.093474,1.093474,0.244571,28300
1988-12-14,1.093474,1.093474,1.093474,1.093474,0.244571,21600
