Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,0.298354,0.300412,0.298354,0.298354,0.049886,1796400
1985-01-29,0.300412,0.302469,0.300412,0.302469,0.050574,291600
1985-01-30,0.302469,0.302469,0.300412,0.300412,0.050230,824400
1985-01-31,0.304527,0.304527,0.304527,0.304527,0.050918,21600
1985-02-01,0.300412,0.300412,0.300412,0.300412,0.050230,7200
1985-02-04,0.300412,0.304527,0.300412,0.304527,0.050918,896400
1985-02-05,0.304527,0.304527,0.304527,0.304527,0.050918,46800
1985-02-06,0.304527,0.306584,0.302469,0.304527,0.050918,4381200
1985-02-07,0.304527,0.307613,0.304527,0.306584,0.051262,1116000
1985-02-08,0.306584,0.308642,0.304527,0.306584,0.051262,2818800
1985-02-11,0.306584,0.308642,0.304527,0.308642,0.051606,565200
1985-02-12,0.308642,0.312757,0.304527,0.312757,0.052294,2048400
1985-02-13,0.312757,0.316872,0.310700,0.316872,0.052982,1270800
1985-02-14,0.316872,0.318930,0.312757,0.318930,0.053326,784800
1985-02-15,0.318930,0.318930,0.317901,0.317901,0.053154,129600
1985-02-19,0.316872,0.316872,0.314815,0.316872,0.052982,856800
1985-02-20,0.316872,0.318930,0.314815,0.318930,0.053326,176400
1985-02-21,0.318930,0.320988,0.316872,0.320988,0.053670,687600
1985-02-22,0.320988,0.320988,0.320988,0.320988,0.053670,0
1985-02-25,0.320988,0.323045,0.316872,0.323045,0.054015,79200
1985-02-26,0.323045,0.323045,0.318930,0.323045,0.054015,421200
1985-02-27,0.320988,0.320988,0.320988,0.320988,0.053670,32400
1985-02-28,0.320988,0.325103,0.320988,0.320988,0.053670,21600
1985-03-01,0.323045,0.331276,0.323045,0.331276,0.055391,1951200
1985-03-04,0.331276,0.331276,0.331276,0.331276,0.055391,79200
1985-03-05,0.327161,0.327161,0.327161,0.327161,0.054703,7200
1985-03-06,0.327161,0.327161,0.327161,0.327161,0.054703,0
1985-03-07,0.327161,0.327161,0.327161,0.327161,0.054703,0
1985-03-08,0.327161,0.333333,0.327161,0.333333,0.055735,6170400
1985-03-11,0.331276,0.331276,0.329218,0.331276,0.056772,460800
1985-03-12,0.329218,0.329218,0.329218,0.329218,0.056419,169200
1985-03-13,0.329218,0.333333,0.329218,0.329218,0.056419,345600
1985-03-14,0.329218,0.329218,0.329218,0.329218,0.056419,0
1985-03-15,0.333333,0.333333,0.333333,0.333333,0.057125,54000
1985-03-18,0.333333,0.336420,0.331276,0.335391,0.057477,1821600
1985-03-19,0.335391,0.335391,0.331276,0.335391,0.057477,810000
1985-03-20,0.333333,0.333333,0.333333,0.333333,0.057125,21600
1985-03-21,0.333333,0.343621,0.333333,0.343621,0.058888,26827200
1985-03-22,0.343621,0.351852,0.341564,0.349794,0.059946,12902400
1985-03-25,0.347737,0.347737,0.345679,0.345679,0.059240,687600
1985-03-26,0.345679,0.345679,0.345679,0.345679,0.059240,291600
1985-03-27,0.345679,0.345679,0.345679,0.345679,0.059240,0
1985-03-28,0.347737,0.351852,0.347737,0.349794,0.059946,3888000
1985-03-29,0.349794,0.351852,0.347737,0.351852,0.060298,27846000
1985-04-01,0.351852,0.351852,0.349794,0.349794,0.059946,777600
1985-04-02,0.349794,0.349794,0.349794,0.349794,0.059946,79200
1985-04-03,0.349794,0.351852,0.347737,0.351852,0.060298,856800
1985-04-04,0.349794,0.349794,0.343621,0.343621,0.058888,518400
1985-04-08,0.343621,0.347737,0.343621,0.343621,0.058888,1756800
1985-04-09,0.343621,0.345679,0.343621,0.343621,0.058888,3117600
1985-04-10,0.343621,0.345679,0.343621,0.343621,0.058888,1263600
1985-04-11,0.344650,0.345679,0.344650,0.345679,0.059240,1634400
1985-04-12,0.345679,0.347737,0.345679,0.345679,0.059240,32400
1985-04-15,0.345679,0.349794,0.345679,0.347737,0.059593,4039200
1985-04-16,0.347737,0.349794,0.345679,0.345679,0.059240,194400
1985-04-17,0.345679,0.345679,0.345679,0.345679,0.059240,118800
1985-04-18,0.345679,0.349794,0.345679,0.345679,0.059240,882000
1985-04-19,0.349794,0.349794,0.349794,0.349794,0.059946,104400
1985-04-22,0.349794,0.349794,0.343621,0.343621,0.058888,518400
1985-04-23,0.344650,0.345679,0.344650,0.344650,0.059064,273600
1985-04-24,0.346708,0.349794,0.346708,0.347737,0.059593,604800
1985-04-25,0.347737,0.358025,0.347737,0.355967,0.061003,1706400
1985-04-26,0.355967,0.382716,0.355967,0.382716,0.065587,3132000
1985-04-29,0.382716,0.390947,0.382716,0.386831,0.066293,2768400
1985-04-30,0.384774,0.384774,0.382716,0.382716,0.065587,226800
1985-05-01,0.382716,0.385802,0.380658,0.380658,0.065235,7700400
1985-05-02,0.384774,0.397119,0.384774,0.395062,0.067703,89618400
1985-05-03,0.395062,0.397119,0.395062,0.395062,0.067703,14698800
1985-05-06,0.395062,0.397119,0.395062,0.397119,0.068056,4590000
1985-05-07,0.397119,0.397119,0.395062,0.395062,0.067703,46800
1985-05-08,0.395062,0.397119,0.395062,0.395062,0.067703,248400
1985-05-09,0.397119,0.399177,0.397119,0.399177,0.068408,324000
1985-05-10,0.399177,0.405350,0.395062,0.403292,0.069114,2800800
1985-05-13,0.405350,0.421811,0.405350,0.421811,0.072287,6242400
1985-05-14,0.421811,0.427984,0.421811,0.425926,0.072993,1684800
1985-05-15,0.425926,0.427984,0.423868,0.425926,0.072993,5036400
1985-05-16,0.427984,0.432099,0.427984,0.432099,0.074050,882000
1985-05-17,0.432099,0.434156,0.430041,0.432099,0.074050,2120400
1985-05-20,0.432099,0.442387,0.432099,0.440329,0.075461,1512000
1985-05-21,0.440329,0.444444,0.440329,0.443416,0.075990,9849600
1985-05-22,0.443416,0.444444,0.440329,0.444444,0.076166,1123200
1985-05-23,0.444444,0.444444,0.440329,0.440329,0.075461,486000
1985-05-24,0.440329,0.440329,0.440329,0.440329,0.075461,273600
1985-05-28,0.447531,0.447531,0.444444,0.444444,0.076166,169200
1985-05-29,0.444444,0.444444,0.441358,0.441358,0.075637,1738800
1985-05-30,0.441358,0.444444,0.441358,0.442901,0.075902,5918400
1985-05-31,0.442901,0.444444,0.432099,0.435185,0.074579,1058400
1985-06-03,0.435185,0.435185,0.425926,0.432099,0.074050,1360800
1985-06-04,0.429012,0.429012,0.425926,0.429012,0.073521,1659600
1985-06-05,0.429012,0.432099,0.425926,0.432099,0.074050,907200
1985-06-06,0.432099,0.432099,0.425926,0.429012,0.073521,752400
1985-06-07,0.429012,0.432099,0.429012,0.432099,0.074050,72000
1985-06-10,0.432099,0.432099,0.429012,0.432099,0.075950,702000
1985-06-11,0.432099,0.432099,0.432099,0.432099,0.075950,0
1985-06-12,0.432099,0.432099,0.425926,0.429012,0.075408,388800
1985-06-13,0.429012,0.429012,0.413580,0.413580,0.072695,1213200
1985-06-14,0.410494,0.410494,0.398148,0.404321,0.071068,1393200
1985-06-17,0.404321,0.404321,0.401235,0.404321,0.071068,144000
1985-06-18,0.404321,0.404321,0.401235,0.402778,0.070797,1188000
1985-06-19,0.404321,0.410494,0.404321,0.404321,0.071068,1382400
1985-06-20,0.407407,0.407407,0.407407,0.407407,0.071610,86400
1985-06-21,0.407407,0.410494,0.404321,0.404321,0.071068,2509200
1985-06-24,0.404321,0.410494,0.404321,0.410494,0.072153,525600
1985-06-25,0.410494,0.416667,0.410494,0.416667,0.073238,378000
1985-06-26,0.416667,0.419753,0.416667,0.419753,0.073780,313200
1985-06-27,0.419753,0.444444,0.416667,0.438272,0.077035,2721600
1985-06-28,0.444444,0.453704,0.444444,0.447531,0.078663,766800
1985-07-01,0.450617,0.450617,0.450617,0.450617,0.079205,7200
1985-07-02,0.450617,0.453704,0.444444,0.450617,0.079205,4899600
1985-07-03,0.450617,0.475309,0.450617,0.475309,0.083546,1544400
1985-07-05,0.475309,0.475309,0.469136,0.469136,0.082461,54000
1985-07-08,0.469136,0.478395,0.469136,0.478395,0.084088,1803600
1985-07-09,0.481481,0.487654,0.481481,0.487654,0.085716,720000
1985-07-10,0.487654,0.490741,0.478395,0.490741,0.086258,1303200
1985-07-11,0.493827,0.500000,0.493827,0.496914,0.087343,2494800
1985-07-12,0.496914,0.503086,0.493827,0.503086,0.088428,849600
1985-07-15,0.503086,0.506173,0.500000,0.503086,0.088428,1407600
1985-07-16,0.503086,0.506173,0.500000,0.506173,0.088971,961200
1985-07-17,0.506173,0.509259,0.500000,0.503086,0.088428,1796400
1985-07-18,0.503086,0.518519,0.503086,0.513889,0.090327,1004400
1985-07-19,0.513889,0.518519,0.500000,0.506173,0.088971,2444400
1985-07-22,0.506173,0.506173,0.500000,0.506173,0.088971,1634400
1985-07-23,0.503086,0.503086,0.487654,0.487654,0.085716,3855600
1985-07-24,0.487654,0.487654,0.481481,0.481481,0.084630,7246800
1985-07-25,0.481481,0.486111,0.481481,0.481481,0.084630,979200
1985-07-26,0.481481,0.487654,0.478395,0.481481,0.084630,1026000
1985-07-29,0.481481,0.481481,0.456790,0.458333,0.080562,1854000
1985-07-30,0.462963,0.469136,0.462963,0.469136,0.082461,896400
1985-07-31,0.469136,0.478395,0.469136,0.478395,0.084088,1771200
1985-08-01,0.478395,0.481481,0.478395,0.478395,0.084088,136800
1985-08-02,0.481481,0.484568,0.481481,0.484568,0.085173,226800
1985-08-05,0.484568,0.484568,0.481481,0.481481,0.084630,324000
1985-08-06,0.481481,0.484568,0.481481,0.481481,0.084630,2041200
1985-08-07,0.481481,0.481481,0.476852,0.478395,0.084088,2138400
1985-08-08,0.478395,0.484568,0.478395,0.481481,0.084630,151200
1985-08-09,0.481481,0.484568,0.481481,0.481481,0.084630,1058400
1985-08-12,0.481481,0.481481,0.478395,0.478395,0.084088,194400
1985-08-13,0.478395,0.478395,0.478395,0.478395,0.084088,241200
1985-08-14,0.478395,0.478395,0.478395,0.478395,0.084088,136800
1985-08-15,0.481481,0.484568,0.481481,0.484568,0.085173,298800
1985-08-16,0.484568,0.484568,0.478395,0.481481,0.084630,1058400
1985-08-19,0.481481,0.481481,0.481481,0.481481,0.084630,0
1985-08-20,0.481481,0.481481,0.481481,0.481481,0.084630,176400
1985-08-21,0.481481,0.487654,0.481481,0.487654,0.085716,396000
1985-08-22,0.487654,0.490741,0.483025,0.490741,0.086258,378000
1985-08-23,0.490741,0.490741,0.484568,0.484568,0.085173,64800
1985-08-26,0.484568,0.490741,0.484568,0.484568,0.085173,1044000
1985-08-27,0.484568,0.487654,0.481481,0.481481,0.084630,759600
1985-08-28,0.481481,0.481481,0.481481,0.481481,0.084630,7200
1985-08-29,0.478395,0.478395,0.478395,0.478395,0.084088,54000
1985-08-30,0.478395,0.478395,0.478395,0.478395,0.084088,118800
1985-09-03,0.478395,0.481481,0.478395,0.481481,0.084630,518400
1985-09-04,0.481481,0.481481,0.478395,0.478395,0.084088,280800
1985-09-05,0.481481,0.481481,0.481481,0.481481,0.084630,7200
1985-09-06,0.481481,0.481481,0.478395,0.478395,0.084088,14400
1985-09-09,0.478395,0.484568,0.478395,0.484568,0.087142,1026000
1985-09-10,0.484568,0.484568,0.481481,0.484568,0.087142,597600
1985-09-11,0.481481,0.481481,0.478395,0.478395,0.086032,111600
1985-09-12,0.478395,0.481481,0.478395,0.478395,0.086032,4453200
1985-09-13,0.478395,0.479938,0.475309,0.475309,0.085477,1522800
1985-09-16,0.475309,0.475309,0.475309,0.475309,0.085477,0
1985-09-17,0.475309,0.475309,0.472222,0.472222,0.084922,1432800
1985-09-18,0.472222,0.475309,0.469136,0.469136,0.084367,2268000
1985-09-19,0.469136,0.472222,0.466049,0.466049,0.083812,468000
1985-09-20,0.469136,0.469136,0.469136,0.469136,0.084367,39600
1985-09-23,0.466049,0.466049,0.466049,0.466049,0.083812,7200
1985-09-24,0.469136,0.469136,0.469136,0.469136,0.084367,248400
1985-09-25,0.469136,0.472222,0.469136,0.472222,0.084922,5061600
1985-09-26,0.462963,0.462963,0.432099,0.432099,0.077706,1933200
1985-09-30,0.432099,0.436728,0.429012,0.432099,0.077706,3358800
1985-10-01,0.432099,0.441358,0.432099,0.441358,0.079371,428400
1985-10-02,0.441358,0.444444,0.438272,0.438272,0.078816,856800
1985-10-03,0.438272,0.438272,0.438272,0.438272,0.078816,14400
1985-10-04,0.438272,0.441358,0.438272,0.441358,0.079371,680400
1985-10-07,0.441358,0.441358,0.438272,0.438272,0.078816,1148400
1985-10-08,0.438272,0.444444,0.438272,0.442901,0.079649,248400
1985-10-09,0.442901,0.442901,0.442901,0.442901,0.079649,32400
1985-10-10,0.442901,0.444444,0.438272,0.444444,0.079927,280800
1985-10-11,0.444444,0.444444,0.438272,0.441358,0.079371,2412000
1985-10-14,0.441358,0.444444,0.438272,0.444444,0.079927,104400
1985-10-15,0.444444,0.444444,0.441358,0.441358,0.079371,1490400
1985-10-16,0.441358,0.447531,0.441358,0.447531,0.080482,2397600
1985-10-17,0.444444,0.444444,0.441358,0.444444,0.079927,486000
1985-10-18,0.444444,0.444444,0.441358,0.444444,0.079927,532800
1985-10-21,0.444444,0.444444,0.444444,0.444444,0.079927,14400
1985-10-22,0.444444,0.447531,0.441358,0.444444,0.079927,2235600
1985-10-23,0.444444,0.450617,0.444444,0.450617,0.081037,1504800
1985-10-24,0.450617,0.450617,0.447531,0.450617,0.081037,2095200
1985-10-25,0.450617,0.450617,0.447531,0.447531,0.080482,46800
1985-10-28,0.447531,0.456790,0.447531,0.456790,0.082147,345600
1985-10-29,0.456790,0.466049,0.453704,0.466049,0.083812,1828800
1985-10-30,0.469136,0.484568,0.469136,0.484568,0.087142,907200
1985-10-31,0.484568,0.487654,0.478395,0.487654,0.087697,241200
1985-11-01,0.484568,0.484568,0.469136,0.475309,0.085477,1620000
1985-11-04,0.475309,0.478395,0.472222,0.472222,0.084922,1879200
1985-11-05,0.472222,0.487654,0.472222,0.487654,0.087697,1562400
1985-11-06,0.487654,0.493827,0.484568,0.490741,0.088252,1058400
1985-11-07,0.490741,0.496914,0.490741,0.490741,0.088252,216000
1985-11-08,0.490741,0.493827,0.487654,0.493827,0.088807,11782800
1985-11-11,0.493827,0.493827,0.487654,0.487654,0.087697,111600
1985-11-12,0.490741,0.506173,0.490741,0.506173,0.091027,1569600
1985-11-13,0.506173,0.506173,0.500000,0.500000,0.089917,1328400
1985-11-14,0.500000,0.506173,0.500000,0.506173,0.091027,183600
1985-11-15,0.506173,0.512346,0.503086,0.509259,0.091582,1782000
1985-11-18,0.509259,0.512346,0.509259,0.512346,0.092138,8067600
1985-11-19,0.512346,0.515432,0.509259,0.512346,0.092138,10382400
1985-11-20,0.512346,0.515432,0.512346,0.515432,0.092693,46800
1985-11-21,0.515432,0.521605,0.515432,0.521605,0.093803,2235600
1985-11-22,0.521605,0.527778,0.518519,0.527778,0.094913,896400
1985-11-25,0.527778,0.527778,0.521605,0.521605,0.093803,234000
1985-11-26,0.521605,0.527778,0.521605,0.527778,0.094913,273600
1985-11-27,0.527778,0.527778,0.524691,0.524691,0.094358,687600
1985-11-29,0.524691,0.533951,0.524691,0.533951,0.096023,648000
1985-12-02,0.533951,0.533951,0.527778,0.527778,0.094913,259200
1985-12-03,0.527778,0.533951,0.527778,0.527778,0.094913,97200
1985-12-04,0.527778,0.533951,0.527778,0.533951,0.096023,734400
1985-12-05,0.533951,0.540123,0.527778,0.540123,0.097133,1180800
1985-12-06,0.540123,0.540123,0.537037,0.537037,0.096578,655200
1985-12-09,0.537037,0.543210,0.537037,0.543210,0.099695,1278000
1985-12-10,0.543210,0.546296,0.540123,0.546296,0.100261,298800
1985-12-11,0.546296,0.567901,0.543210,0.567901,0.104226,1555200
1985-12-12,0.566358,0.566358,0.561728,0.566358,0.103943,1706400
1985-12-13,0.567901,0.580247,0.567901,0.580247,0.106492,1900800
1985-12-16,0.580247,0.586420,0.580247,0.584877,0.107342,2484000
1985-12-17,0.584877,0.586420,0.583333,0.584877,0.107342,558000
1985-12-18,0.584877,0.586420,0.583333,0.586420,0.107625,3110400
1985-12-19,0.586420,0.586420,0.583333,0.583333,0.107059,1004400
1985-12-20,0.583333,0.586420,0.583333,0.583333,0.107059,648000
1985-12-23,0.583333,0.584877,0.583333,0.583333,0.107059,597600
1985-12-24,0.580247,0.580247,0.570988,0.577160,0.105926,1814400
1985-12-26,0.577160,0.577160,0.574074,0.574074,0.105359,331200
1985-12-27,0.575617,0.577160,0.575617,0.575617,0.105642,266400
1985-12-30,0.575617,0.577160,0.574074,0.577160,0.105926,144000
1985-12-31,0.574074,0.574074,0.570988,0.570988,0.104793,493200
1986-01-02,0.574074,0.574074,0.574074,0.574074,0.105359,162000
1986-01-03,0.570988,0.570988,0.570988,0.570988,0.104793,7200
1986-01-06,0.570988,0.574074,0.570988,0.570988,0.104793,266400
1986-01-07,0.570988,0.577160,0.564815,0.577160,0.105926,12625200
1986-01-08,0.577160,0.580247,0.574074,0.580247,0.106492,1933200
1986-01-09,0.580247,0.580247,0.577160,0.577160,0.105926,558000
1986-01-10,0.578704,0.586420,0.578704,0.583333,0.107059,1749600
1986-01-13,0.583333,0.586420,0.583333,0.586420,0.107625,306000
1986-01-14,0.586420,0.589506,0.586420,0.589506,0.108191,817200
1986-01-15,0.589506,0.592593,0.586420,0.589506,0.108191,38934000
1986-01-16,0.589506,0.589506,0.577160,0.580247,0.106492,13492800
1986-01-17,0.580247,0.592593,0.580247,0.586420,0.107625,7020000
1986-01-20,0.586420,0.589506,0.586420,0.589506,0.108191,1627200
1986-01-21,0.589506,0.589506,0.586420,0.589506,0.108191,2365200
1986-01-22,0.589506,0.589506,0.586420,0.586420,0.107625,3546000
1986-01-23,0.586420,0.589506,0.586420,0.586420,0.107625,2178000
1986-01-24,0.586420,0.589506,0.586420,0.589506,0.108191,702000
1986-01-27,0.589506,0.589506,0.586420,0.589506,0.108191,518400
1986-01-28,0.589506,0.598765,0.586420,0.598765,0.109891,6987600
1986-01-29,0.598765,0.629630,0.598765,0.620370,0.113856,4550400
1986-01-30,0.620370,0.638889,0.614198,0.632716,0.116122,2962800
1986-01-31,0.632716,0.663580,0.632716,0.663580,0.121786,9183600
1986-02-03,0.663580,0.672840,0.660494,0.672840,0.123485,1036800
1986-02-04,0.672840,0.688272,0.669753,0.688272,0.126318,3099600
1986-02-05,0.688272,0.703704,0.685185,0.694444,0.127451,1814400
1986-02-06,0.694444,0.697531,0.679012,0.679012,0.124618,2995200
1986-02-07,0.679012,0.685185,0.666667,0.679012,0.124618,4582800
1986-02-10,0.679012,0.722222,0.679012,0.722222,0.132549,6552000
1986-02-11,0.722222,0.737654,0.719136,0.737654,0.135381,3603600
1986-02-12,0.737654,0.743827,0.737654,0.740741,0.135947,1771200
1986-02-13,0.743827,0.762346,0.743827,0.757716,0.139063,6040800
1986-02-14,0.759259,0.774691,0.759259,0.774691,0.142178,2818800
1986-02-18,0.774691,0.787037,0.771605,0.787037,0.144444,1983600
1986-02-19,0.787037,0.787037,0.777778,0.777778,0.142745,1206000
1986-02-20,0.777778,0.780864,0.768519,0.777778,0.142745,3585600
1986-02-21,0.777778,0.780864,0.774691,0.774691,0.142178,856800
1986-02-24,0.774691,0.777778,0.771605,0.777778,0.142745,2030400
1986-02-25,0.774691,0.774691,0.756173,0.759259,0.139346,2833200
1986-02-26,0.759259,0.765432,0.759259,0.760802,0.139629,2095200
1986-02-27,0.760802,0.765432,0.759259,0.765432,0.140479,1609200
1986-02-28,0.765432,0.771605,0.765432,0.768519,0.141045,1245600
1986-03-03,0.768519,0.771605,0.762346,0.768519,0.141045,1317600
1986-03-04,0.768519,0.771605,0.762346,0.771605,0.141612,1868400
1986-03-05,0.771605,0.771605,0.768519,0.771605,0.141612,6454800
1986-03-06,0.771605,0.771605,0.765432,0.768519,0.141045,1148400
1986-03-07,0.768519,0.768519,0.765432,0.766975,0.140762,1083600
1986-03-10,0.766975,0.768519,0.765432,0.768519,0.143062,1414800
1986-03-11,0.768519,0.777778,0.765432,0.777778,0.144785,1652400
1986-03-12,0.777778,0.777778,0.771605,0.777778,0.144785,6469200
1986-03-13,0.777778,0.777778,0.771605,0.774691,0.144211,3099600
1986-03-14,0.774691,0.777778,0.768519,0.777778,0.144785,1659600
1986-03-17,0.777778,0.799383,0.774691,0.799383,0.148807,1465200
1986-03-18,0.799383,0.820988,0.799383,0.820988,0.152829,1155600
1986-03-19,0.820988,0.820988,0.814815,0.820988,0.152829,687600
1986-03-20,0.820988,0.824074,0.820988,0.820988,0.152829,1990800
1986-03-21,0.820988,0.820988,0.817901,0.820988,0.152829,1004400
1986-03-24,0.817901,0.817901,0.808642,0.811728,0.151105,615600
1986-03-25,0.808642,0.808642,0.793210,0.796296,0.148233,759600
