Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,7.308642,7.382716,7.283951,7.382716,1.589710,162900
1985-01-29,7.382716,7.481482,7.333333,7.481482,1.610978,434200
1985-01-30,7.506173,7.654321,7.506173,7.654321,1.648195,271500
1985-01-31,7.654321,7.703704,7.580247,7.679012,1.653512,243000
1985-02-01,7.679012,7.703704,7.654321,7.654321,1.648195,316800
1985-02-04,7.654321,7.777778,7.629630,7.728395,1.664145,434200
1985-02-05,7.728395,7.777778,7.728395,7.753087,1.669462,216000
1985-02-06,7.753087,7.802469,7.728395,7.777778,1.674779,361300
1985-02-07,7.777778,7.802469,7.753087,7.802469,1.680095,84300
1985-02-08,7.753087,7.753087,7.703704,7.703704,1.658828,582400
1985-02-11,7.703704,7.703704,7.580247,7.629630,1.642878,225000
1985-02-12,7.629630,7.753087,7.629630,7.753087,1.669462,101400
1985-02-13,7.753087,7.777778,7.654321,7.777778,1.674779,139000
1985-02-14,7.777778,7.777778,7.703704,7.728395,1.664145,387600
1985-02-15,7.703704,7.703704,7.629630,7.629630,1.642878,369400
1985-02-19,7.629630,7.654321,7.555555,7.629630,1.642878,103500
1985-02-20,7.629630,7.679012,7.604939,7.654321,1.648195,158800
1985-02-21,7.629630,7.629630,7.530864,7.555555,1.626928,122800
1985-02-22,7.481482,7.481482,7.358025,7.358025,1.584393,99400
1985-02-25,7.308642,7.308642,7.209877,7.259259,1.563126,171000
1985-02-26,7.259259,7.308642,7.209877,7.308642,1.573759,85900
1985-02-27,7.308642,7.308642,7.259259,7.283951,1.568443,255100
1985-02-28,7.283951,7.333333,7.209877,7.209877,1.552493,186400
1985-03-01,7.209877,7.333333,7.185185,7.333333,1.579077,219600
1985-03-04,7.333333,7.382716,7.308642,7.333333,1.579077,118800
1985-03-05,7.333333,7.456790,7.308642,7.407407,1.595027,269200
1985-03-06,7.407407,7.456790,7.358025,7.358025,1.584393,171000
1985-03-07,7.358025,7.358025,7.135802,7.209877,1.552493,336100
1985-03-08,7.209877,7.209877,7.061728,7.061728,1.520593,129700
1985-03-11,6.962963,6.962963,6.864198,6.962963,1.499325,150000
1985-03-12,6.962963,6.962963,6.888889,6.938272,1.494009,182400
1985-03-13,6.938272,6.962963,6.938272,6.962963,1.499325,266500
1985-03-14,6.962963,7.037037,6.938272,6.962963,1.499325,134500
1985-03-15,6.962963,6.987654,6.888889,6.888889,1.483375,457800
1985-03-18,6.888889,6.913580,6.790123,6.839506,1.472742,553000
1985-03-19,6.839506,6.839506,6.666667,6.839506,1.472742,383500
1985-03-20,6.790123,6.790123,6.641975,6.641975,1.430207,158100
1985-03-21,6.617284,6.617284,6.172840,6.222222,1.339823,1830600
1985-03-22,6.074074,6.074074,5.827160,5.975308,1.286655,2331000
1985-03-25,5.975308,6.024692,5.975308,6.024692,1.297289,234900
1985-03-26,6.024692,6.123457,6.024692,6.049383,1.302606,398800
