Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.515625,2.625000,2.515625,2.625000,1.922542,1300800
1985-01-29,2.625000,2.656250,2.562500,2.593750,1.899655,755200
1985-01-30,2.593750,2.640625,2.578125,2.609375,1.911099,1374400
1985-01-31,2.609375,2.609375,2.578125,2.593750,1.899655,388000
1985-02-01,2.593750,2.609375,2.531250,2.593750,1.899655,710400
1985-02-04,2.593750,2.593750,2.546875,2.593750,1.899655,944800
1985-02-05,2.593750,2.609375,2.546875,2.578125,1.888211,758400
1985-02-06,2.578125,2.593750,2.500000,2.500000,1.830993,783200
1985-02-07,2.500000,2.531250,2.484375,2.531250,1.853881,425600
1985-02-08,2.531250,2.531250,2.500000,2.531250,1.853881,389600
1985-02-11,2.531250,2.531250,2.437500,2.437500,1.785218,822400
1985-02-12,2.437500,2.453125,2.359375,2.390625,1.750887,1035200
1985-02-13,2.390625,2.468750,2.359375,2.437500,1.785218,1188800
1985-02-14,2.453125,2.500000,2.453125,2.453125,1.796663,261600
1985-02-15,2.453125,2.484375,2.437500,2.453125,1.796663,1779200
1985-02-19,2.453125,2.468750,2.437500,2.453125,1.796663,280800
1985-02-20,2.453125,2.484375,2.421875,2.453125,1.796663,326400
1985-02-21,2.453125,2.453125,2.421875,2.437500,1.785218,224800
1985-02-22,2.421875,2.421875,2.375000,2.375000,1.739443,624000
1985-02-25,2.359375,2.359375,2.265625,2.281250,1.670781,780800
1985-02-26,2.281250,2.312500,2.265625,2.312500,1.693668,161600
1985-02-27,2.312500,2.312500,2.156250,2.187500,1.602118,632000
1985-02-28,2.187500,2.218750,2.171875,2.203125,1.613563,134400
1985-03-01,2.203125,2.234375,2.187500,2.203125,1.613563,392800
1985-03-04,2.203125,2.203125,1.968750,2.078125,1.522013,862400
1985-03-05,2.078125,2.109375,2.046875,2.109375,1.544900,456000
1985-03-06,2.109375,2.109375,2.078125,2.093750,1.533457,356000
1985-03-07,2.093750,2.093750,2.046875,2.078125,1.522013,762400
1985-03-08,2.078125,2.093750,2.046875,2.062500,1.510569,444800
1985-03-11,2.062500,2.109375,2.046875,2.078125,1.522013,313600
1985-03-12,2.078125,2.125000,2.078125,2.109375,1.544900,108800
1985-03-13,2.109375,2.125000,2.046875,2.078125,1.522013,476000
1985-03-14,2.046875,2.046875,1.984375,2.015625,1.476238,84800
1985-03-15,2.015625,2.015625,1.984375,2.015625,1.476238,315200
1985-03-18,2.015625,2.015625,1.984375,2.000000,1.464794,204000
1985-03-19,1.984375,1.984375,1.906250,1.984375,1.453351,412000
1985-03-20,1.984375,2.000000,1.906250,1.953125,1.430463,1726400
1985-03-21,1.953125,1.968750,1.921875,1.953125,1.430463,201600
1985-03-22,1.953125,1.984375,1.937500,1.984375,1.453351,200800
1985-03-25,1.984375,1.984375,1.937500,1.953125,1.430463,284800
1985-03-26,1.953125,1.968750,1.953125,1.953125,1.430463,274400
1985-03-27,1.953125,2.031250,1.953125,2.031250,1.487682,324800
1985-03-28,2.031250,2.062500,2.000000,2.062500,1.510569,275200
1985-03-29,2.062500,2.062500,2.046875,2.062500,1.510569,305600
1985-04-01,2.046875,2.046875,1.984375,2.000000,1.464794,136800
1985-04-02,2.000000,2.031250,1.984375,2.000000,1.464794,76800
1985-04-03,1.984375,1.984375,1.937500,1.984375,1.453351,347200
1985-04-04,1.968750,1.968750,1.937500,1.937500,1.419019,282400
1985-04-08,1.937500,1.968750,1.937500,1.953125,1.430463,47200
1985-04-09,1.953125,1.968750,1.937500,1.968750,1.441907,78400
1985-04-10,1.968750,1.968750,1.953125,1.968750,1.441907,136000
1985-04-11,1.968750,1.984375,1.937500,1.968750,1.441907,537600
1985-04-12,1.968750,1.968750,1.937500,1.968750,1.441907,574400
1985-04-15,1.968750,1.984375,1.937500,1.984375,1.453351,364000
1985-04-16,1.984375,2.000000,1.968750,2.000000,1.464794,76000
1985-04-17,2.000000,2.078125,2.000000,2.062500,1.510569,788800
